r_kib,latency_asc_ms,latency_desc_ms,latency_ms,direction_half_span_ms,l_over_r_ms_per_kib,logical_throughput_mib_s
480,0.10152254158790745,0.0972547785621968,0.09938866007505212,0.002133881512855325,0.0002070597084896919,4716.332825556046
484,0.10203002072217697,0.09933032164385588,0.10068017118301642,0.0013498495391605428,0.00020801688260953805,4694.6309729728755
488,0.09774910839107187,0.09732742183673988,0.09753826511390587,0.00021084327716599377,0.00019987349408587268,4885.9029781129175
492,0.09234570850514523,0.09393346949809175,0.09313958900161849,0.0007938804964732621,0.00018930810772686685,5158.5878266185055
496,0.08936519107544393,0.09155636287911477,0.09046077697727935,0.001095585901835422,0.00018238059874451482,5354.530617415086
500,0.09099811937315744,0.09291623292581387,0.09195717614948565,0.0009590567763282168,0.0001839143522989713,5309.876514762151
504,0.09167911558729959,0.09208048986654731,0.09187980272692345,0.0002006871396238591,0.00018230119588675287,5356.862829394983
508,0.09172086504476375,0.09338001608499671,0.09255044056488024,0.0008295755201164837,0.00018218590662378,5360.252711625133
512,0.08993019179481218,0.0908106156342709,0.09037040371454154,0.000440211919729358,0.00017650469475496394,5532.784843801077
516,0.09408410937616794,0.09435491125026091,0.09421951031321443,0.00013540093704648287,0.00018259595021940782,5348.215548190196
520,0.09430397541228547,0.09455785143049772,0.0944309134213916,0.00012693800910612563,0.00018159791042575307,5377.60868343951
524,0.09573839331003542,0.09738420057634886,0.09656129694319214,0.0008229036331567213,0.00018427728424273308,5299.418775423539
528,0.09283938473916141,0.09436158822143952,0.09360048648030046,0.000761101741139053,0.0001772736486369327,5508.785470987061
532,0.09533539326662066,0.09745880029649337,0.09639709678155702,0.0010617035149363546,0.00018119755034127257,5389.490631417007
536,0.09660515339097214,0.09879415679291662,0.09769965509194438,0.0010945017009722363,0.00018227547591780668,5357.618709169414
540,0.09957379710068201,0.10292734570279474,0.10125057140173838,0.0016767743010563663,0.00018750105815136737,5208.3039404056735
544,0.10310872802156401,0.10424980926050287,0.10367926864103344,0.0005705406194694285,0.00019058689088425265,5123.975187743036
548,0.10137383374520519,0.10141900207479791,0.10139641791000155,2.258416479636316e-05,0.00018502995968978385,5277.861496793697
552,0.10317404366670484,0.10259065034870862,0.10288234700770674,0.0002916966589981071,0.00018638106341975857,5239.601502866374
556,0.10371965935558852,0.10309428625519704,0.10340697280539278,0.00031268655019574265,0.00018598376403847623,5250.794363953024
560,0.10314364425067746,0.10382087578550568,0.10348226001809158,0.00033861576741411187,0.0001847897500323064,5284.722230693367
564,0.10606439162797288,0.10509359419441015,0.10557899291119152,0.00048539871678136143,0.00018719679594182893,5216.769310001786
568,0.10502789285803811,0.10485951353474017,0.10494370319638914,8.418966164897013e-05,0.00018476004083871328,5285.572007707514
572,0.10579592263135236,0.10580222634702723,0.10579907448918979,3.151857837432881e-06,0.000184963416939143,5279.760269141819
576,0.10567601580238599,0.10691910815191838,0.10629756197715218,0.0006215461747661952,0.00018454437843255585,5291.7488372960515
580,0.10832253658481189,0.10927413753629013,0.108798337060551,0.00047580047573912015,0.0001875833397595707,5206.019368520038
584,0.1062300710449527,0.10882112370577716,0.10752559737536493,0.0012955263304122305,0.00018411917358795367,5303.969602782822
588,0.10756063124848131,0.10995468503534848,0.1087576581419149,0.0011970268934335879,0.00018496200364271243,5279.8006118402955
592,0.1104362261650659,0.11035822618294569,0.1103972261740058,3.8999991060106876e-05,0.0001864818009696044,5236.771067859726
596,0.11388938663654423,0.11237835120169679,0.1131338689191205,0.0007555177174237218,0.00018982192771664513,5144.624289443284
600,0.11267355031282862,0.11101658167112925,0.11184506599197894,0.0008284843208496845,0.0001864084433199649,5238.831903787522
604,0.11495127647072946,0.11085471231289491,0.11290299439181219,0.002048282078917274,0.00018692548740366257,5224.341065331178
608,0.11640069506733415,0.11825623941765219,0.11732846724249317,0.0009277721751590196,0.00019297445270146903,5060.579192369778
612,0.1144731299520423,0.11428877850160596,0.11438095422682412,9.217572521817013e-05,0.00018689698403075836,5225.137821588834
616,0.11679722101702977,0.11507392356215794,0.11593557228959386,0.0008616487274359166,0.0001882070978727173,5188.7655196747155
620,0.11563853136696249,0.11480216746962135,0.11522034941829193,0.0004181819486705693,0.00018583927325530955,5254.87687771131
624,0.1153249936015892,0.11397136024028903,0.11464817692093912,0.0006768166806500817,0.00018373105275791527,5315.173920473435
628,0.11856148217616114,0.11651184040245753,0.11753666128930934,0.001024820886851803,0.00018716028867724418,5217.786886854354
632,0.12042817595993928,0.11737989258274184,0.11890403427134055,0.0015241416885987194,0.0001881392947331338,5190.635488376871
636,0.11980770847562902,0.11760363788039663,0.11870567317801282,0.0011020352976161968,0.00018664414021700128,5232.216231726334
640,0.1179803619416894,0.11910707985395501,0.1185437208978222,0.0005633589561328048,0.0001852245639028472,5272.31636788855
644,0.11581967222173922,0.11830553725450986,0.11706260473812455,0.0012429325163853186,0.00018177423095982074,5372.392416919969
648,0.12113710841845154,0.12053009571127143,0.12083360206486149,0.00030350635359005507,0.00018647160812478624,5237.057318380003
652,0.12247453856081304,0.12236050869666676,0.1224175236287399,5.7014932073141955e-05,0.0001877569380808894,5201.205931358327
656,0.12035280025564353,0.12305598914851422,0.12170439470207887,0.0013515944464353447,0.00018552499192390072,5263.778695651795
660,0.12110777884448534,0.12344972358215749,0.12227875121332141,0.001170972368836072,0.0001852708351716991,5270.999610354075
664,0.12181163157229988,0.1218495167162411,0.12183057414427048,1.8942571970610722e-05,0.00018347978033775674,5322.452960224313
668,0.12253410535707529,0.12173335350798056,0.12213372943252793,0.0004003759245473637,0.0001828349243001915,5341.225172038848
672,0.12819478161669626,0.1319615965444972,0.13007818908059673,0.0018834074639004772,0.00019356873375088798,5045.042559697584
676,0.12445010853327619,0.1268505736187619,0.12565034107601905,0.0012002325427428531,0.0001858732856154128,5253.915304540259
680,0.12762443046086872,0.12481011384057777,0.12621727215072326,0.0014071583101454704,0.00018561363551576948,5261.264870365801
684,0.1257047121287334,0.12918097804295237,0.1274428450858429,0.0017381329571094783,0.00018631994895591065,5241.320134920638
688,0.12520513732459956,0.12881878571399227,0.12701196151929592,0.0018068241946963548,0.00018461040918502314,5289.856104599467
692,0.13077747505436865,0.12965619706395384,0.13021683605916123,0.0005606389952074048,0.00018817461858260294,5189.661110280495
696,0.12819058436359074,0.12863374825352714,0.12841216630855895,0.00022158194496819938,0.00018450023894907896,5293.014825143538
700,0.13030114808104631,0.13169615102031962,0.13099864955068297,0.0006975014696366522,0.00018714092792954709,5218.326695310853
704,0.13193662764936667,0.12891944647423872,0.1304280370618027,0.0015085905875639738,0.00018526709809915155,5271.1059331072465
708,0.13029892163191042,0.13216726495307912,0.13123309329249477,0.0009341716605843486,0.00018535747640182877,5268.535798809381
712,0.13150145351213388,0.1326678894915599,0.13208467150184688,0.000583217989713003,0.00018551217907562765,5264.142251285212
716,0.13312620836444095,0.13479900995945068,0.1339626091619458,0.0008364007975048687,0.000187098616147969,5219.506803982317
720,0.1325996955331637,0.13182598751891336,0.13221284152603852,0.0003868540071251675,0.00018362894656394238,5318.129403198129
724,0.13179700638958539,0.1346304053912831,0.13321370589043424,0.0014166995008488559,0.0001839968313403788,5307.496291571679
728,0.1344795824174953,0.13683270426875158,0.13565614334312343,0.0011765609256281367,0.00018634085624055416,5240.732063285789
732,0.1384996570691063,0.1353559512371408,0.13692780415312356,0.0015718529159827466,0.00018705984173923983,5220.588721342561
736,0.14066148574949394,0.13782635732591056,0.13924392153770226,0.0014175642117916915,0.00018919011078492154,5161.805212483823
740,0.13469816107790397,0.1383773444589632,0.13653775276843358,0.0018395916905296072,0.00018451047671409944,5292.721136443607
744,0.13590690935532318,0.13443813630473372,0.13517252283002845,0.0007343865252947279,0.0001816834984274576,5375.075383579323
748,0.13058494456776895,0.13797355395016553,0.13427924925896723,0.0036943046911982885,0.0001795177129130578,5439.922802898892
752,0.13403937849384615,0.13463369785016369,0.13433653817200492,0.0002971596781587704,0.00017863901352660228,5466.68099381647
756,0.13450344243410525,0.13835331496798484,0.13642837870104504,0.0019249362669397918,0.00018046081838762572,5411.493246707803
760,0.13469738912261867,0.13445726857242973,0.1345773288475242,0.00012006027509446626,0.0001770754326941108,5514.951933998457
764,0.1360941568282322,0.13597861804277878,0.1360363874355055,5.7769392726711444e-05,0.00017805809873757265,5484.5160479854785
768,0.1382529213479945,0.13990463080944285,0.13907877607871866,0.0008258547307241765,0.00018109215635249824,5392.62726597119
