n,trial,spatial_mode,scenario,track,target_fraction,target_importance,row_budget_fraction,row_budget,top_row_budget_importance,row_budget_intrinsically_feasible,method,method_label,family,importance,rows,chunks,two_line_ms,lookup_ms,importance_fraction,importance_overshoot,coverage_met,row_budget_met,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,fallback_used,fallback_reason,fallback_added_rows,error,deterministic,scalarized_calls,bracket_converged,trim_deletions,chosen_offset,candidate_count,paper_lookup_ms,paper_two_line_ms,supported_lookup_ms,supported_two_line_ms,lookup_saving_vs_paper_pct,two_line_saving_vs_paper_pct,supported_gain_recovery_pct
4864,2,local,1,row_budget,0.7,0.7,0.5,2432,0.9267837358416996,True,paper_bucket64,Paper bucket 64,bucket,0.8788432232054507,2430,50,1.1473833428437743,1.1442935467117052,0.8788432232054507,0.1788432232054507,True,True,True,0.1846,0.4260018499999988,True,True,False,,0,,True,0,False,0,-1,12003,0.9814282893975228,0.9962221307313454,0.4675195986159023,0.4688836667360125,-16.594718032242774,-15.173444500922573,-31.691477539808748
4864,2,local,1,row_budget,0.7,0.7,0.5,2432,0.9267837358416996,True,paper_bucket256,Paper bucket 256,bucket,0.8821913805419193,2430,41,1.0469065626230576,1.0269835716466762,0.8821913805419193,0.1821913805419193,True,True,True,0.1804474999999999,0.19653755,True,True,False,,0,,True,0,False,0,-1,12003,0.9814282893975228,0.9962221307313454,0.4675195986159023,0.4688836667360125,-4.641733149664851,-5.087663717579116,-8.864470102629882
4864,2,local,1,row_budget,0.7,0.7,0.5,2432,0.9267837358416996,True,paper_bucket1024,Paper bucket 1024,bucket,0.8849660928192487,2430,37,1.0053307734242516,0.9906403318343608,0.8849660928192487,0.1849660928192487,True,True,True,0.1695865,0.18642755,True,True,False,,0,,True,0,False,0,-1,12003,0.9814282893975228,0.9962221307313454,0.4675195986159023,0.4688836667360125,-0.9386363258891972,-0.9143184448451747,-1.792544590523882
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,paper,Paper,paper,0.9001700893896704,2610,36,1.0417270538691012,1.0294663726470483,0.9001700893896704,0.0001700893896703,True,True,True,7.4211735,7.9719921,False,False,False,,0,,True,0,False,0,-1,12003,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,0.0,0.0,0.0
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,supported_full,Full supported,supported,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,70.02236149999999,72.99251375,False,False,False,,0,,True,1311,False,0,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,13.699274448228815,15.36786456211362,100.0
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c4,TD-2L (4),td,0.9350055329752368,2881,22,0.9868970399635552,0.9933397033315232,0.9350055329752368,0.0350055329752367,True,True,True,0.2579525,0.3825178499999999,True,True,False,,0,,True,4,False,0,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,3.509261718052359,5.2633762079904445,25.61640568129557
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c8,TD-2L (8),td,0.906087517891026,2556,21,0.8865911238823967,0.8930591575993828,0.906087517891026,0.006087517891026,True,True,True,0.6004974999999999,0.6506649,True,True,False,,0,,True,8,False,0,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,13.250283707366183,14.892185953173708,96.72252174697705
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c16,TD-2L (16),td,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,0.8102050000000001,0.8545013499999999,True,True,False,,0,,True,11,True,0,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,13.699274448228815,15.36786456211362,100.0
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c32,TD-2L (32),td,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,0.809328,0.8398119999999999,True,True,False,,0,,True,11,True,0,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,13.699274448228815,15.36786456211362,100.0
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c8_trim64,TD-2L (8) + trim 64,trim,0.9000841992550894,2502,21,0.8720522585550085,0.8815264826315533,0.9000841992550894,8.419925508940107e-05,True,True,True,0.835366,0.8757594,True,True,False,,0,,True,8,False,54,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,14.370541277137573,16.287836116370404,104.90001738008503
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c16_trim256,TD-2L (16) + trim 256,trim,0.9000032816855146,2501,21,0.871151779892488,0.8794986200893942,0.9000032816855146,3.2816855145556545e-06,True,True,True,0.989595,1.02124045,True,True,False,,0,,True,11,True,38,-1,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,14.567523188935716,16.374277056842846,106.33791770497129
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_half_s,Tiles (s/2),tiles,0.9049880825178034,2960,18,0.9985352282584088,1.011539986464867,0.9049880825178034,0.0049880825178033,True,True,True,0.1388694999999999,0.1643962499999999,True,True,False,,0,,True,0,False,0,0,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,1.741327998513198,4.146174897759714,12.71109652627137
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_s,Tiles (s),tiles,0.9048238585330972,3379,9,1.0992546695903276,1.1220561080947535,0.9048238585330972,0.0048238585330971,True,True,True,0.096485,0.1055212,True,True,False,,0,,True,0,False,0,67,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,-8.993954334771615,-5.522330970244238,-65.65277868372392
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,tiles_2s,Tiles (2s),tiles,0.9057182420207396,3645,3,1.1857896628164375,1.21129971719457,0.9057182420207396,0.0057182420207396,True,True,True,0.0771095,0.08475655,True,True,False,,0,,True,0,False,0,135,0,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,-17.662873638113787,-13.829208756004775,-128.93291323466718
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,paper_bucket64,Paper bucket 64,bucket,0.901491546125318,2670,54,1.2508139823487885,1.2519667056504231,0.901491546125318,0.001491546125318,True,True,True,0.1929255,0.21391475,True,True,False,,0,,True,0,False,0,-1,12003,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,-21.613171533836862,-20.07118157324541,-157.76873158878308
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,paper_bucket256,Paper bucket 256,bucket,0.9023090342372216,2670,42,1.1180813385712338,1.097097475190664,0.9023090342372216,0.0023090342372216,True,True,True,0.1880415,0.2063313499999999,True,True,False,,0,,True,0,False,0,-1,12003,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,-6.569530034256199,-7.329586422714418,-47.95531368528475
4864,2,local,2,coverage,0.9,0.9,0.75,3648,0.9832829423625736,True,paper_bucket1024,Paper bucket 1024,bucket,0.9020043672148902,2646,36,1.0485086212336134,1.0379813836116976,0.9020043672148902,0.0020043672148901,True,True,True,0.175603,0.19223415,True,True,False,,0,,True,0,False,0,-1,12003,1.0294663726470483,1.0417270538691012,0.8884369489059032,0.8816358511236013,-0.8271286164262648,-0.6509927278287142,-6.037754915795629
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,paper,Paper,paper,0.962478539997421,3648,42,1.3855359246877812,1.369968096767236,0.962478539997421,0.0624785399974209,True,True,True,0.7221905,0.740885,True,True,False,,0,,True,0,False,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,0.0,0.0,0.0
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,supported_full,Full supported,supported,0.9044211366176772,2539,21,0.8816358511236013,0.8884369489059032,0.9044211366176772,0.004421136617677,True,True,True,71.3992055,72.65085255,False,False,False,,0,,True,1311,False,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,35.14907748564507,36.36860398821702,100.0
4864,2,local,2,row_budget,0.9,0.9,0.75,3648,0.9832829423625736,True,td_2l_c4,TD-2L (4),td,0.9350055329752368,2881,22,0.9868970399635552,0.9933397033315232,0.9350055329752368,0.0350055329752367,True,True,True,0.271798,0.3684101499999999,True,True,False,,0,,True,4,False,0,-1,0,1.369968096767236,1.3855359246877812,0.8884369489059032,0.8816358511236013,27.491763810008184,28.771457861264473,78.21475206919969
