trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms,cover_lookup_ms,cover_runs
0,4.55,random,0.3,0.29999999999999993,0.3001517027801305,604,6,0.2137873681389798,9.191115,13036.152346,0.2257353298745234,274:112;1324:127;1796:24;2026:2;3860:268;4332:71
0,4.55,random,0.5,0.49999999999999994,0.5001212406594626,1387,9,0.4383684158097173,8.731535,13036.152346,0.48198666472749246,166:220;1157:294;1789:239;2405:72;2941:68;3513:1;3817:311;4332:71;4611:111
0,4.55,random,0.7,0.6999999999999998,0.7000187482366776,2543,7,0.6992077924621297,9.105044,13036.152346,0.848934136350259,166:410;1157:294;1789:244;2405:327;2941:68;3392:201;3723:999
0,4.55,random,0.9,0.8999999999999999,0.9001275762408226,3909,5,1.0114283465703884,9.004956,13036.152346,1.2990317131724485,6:613;1140:421;1688:555;2392:431;2941:1889
0,4.55,random,0.95,0.9499999999999998,0.9501174161120223,4367,3,1.101486476250512,8.319385,13036.152346,1.4512334334674042,6:807;1140:1681;2941:1879
0,4.55,random,0.99,0.9899999999999999,0.9900661612309662,4732,2,1.1797909703000744,6.891445,13036.152346,1.5725295642701527,6:915;1013:3817
0,4.55,local,0.1,0.09999999999999999,0.1003477471057916,14,1,0.014426297644560118,15.783951,13040.576729,0.016219262660459866,868:14
0,4.55,local,0.3,0.29999999999999993,0.3001430279568031,72,5,0.07262083276999912,8.926369,13040.576729,0.07820671918409279,174:11;866:18;2226:25;2389:11;3669:7
0,4.55,local,0.5,0.49999999999999994,0.5000004348285233,252,9,0.16066538527454877,8.533325,13040.576729,0.1666696763119256,174:13;865:19;1880:13;1945:34;2191:62;2363:38;2807:52;3669:7;3758:14
0,4.55,local,0.7,0.6999999999999998,0.7002026231178764,699,13,0.3140374348301028,8.427797,13040.576729,0.32042868852160716,173:14;653:74;864:33;1879:184;2190:72;2360:42;2805:58;3056:107;3417:16;3521:24;3656:22;3757:40;4283:13
0,4.55,local,0.9,0.8999999999999999,0.9000520760632799,2021,15,0.6594959521566751,7.923294,13040.576729,0.7135770751635563,162:66;306:67;614:116;862:38;1518:113;1876:388;2353:72;2700:21;2802:470;3412:143;3640:159;3998:95;4220:158;4463:67;4662:48
0,4.55,local,0.95,0.9499999999999998,0.9500683797131717,2662,15,0.8163308795338056,7.316609,13040.576729,0.9187192678649918,80:16;158:216;597:146;861:121;1478:185;1875:390;2353:74;2535:50;2660:612;3412:143;3639:161;3998:95;4185:364;4662:53;4828:36
0,4.55,local,0.99,0.9899999999999999,0.9900103413326994,3932,8,1.0500584663056827,6.018111,13040.576729,1.3135237605398977,73:316;501:695;1426:327;1873:1400;3409:150;3631:171;3889:834;4825:39
0,4.55,hot-cold,0.1,0.09999999999999998,0.1027415246342672,49,1,0.022989827220534477,8.600109,13694.268259,0.02316668677003868,65:49
0,4.55,hot-cold,0.3,0.29999999999999993,0.300439563159529,215,2,0.07460631045218324,12.95938,13694.268259,0.07894753693528977,43:178;329:37
0,4.55,hot-cold,0.5,0.4999999999999999,0.5002977586156916,570,1,0.15046408176575285,12.375759,13694.268259,0.1894213549522373,0:570
0,4.55,hot-cold,0.7,0.6999999999999998,0.7007636000953839,1027,1,0.26227931080061806,11.417046,13694.268259,0.34129075708061,0:1027
0,4.55,hot-cold,0.9,0.8999999999999998,0.9000405325055751,2036,1,0.5091536348622789,15.296289,13694.268259,0.6765997871627284,0:2036
0,4.55,hot-cold,0.95,0.9499999999999997,0.9500459731711808,2717,1,0.6757754531833801,7.485726,13694.268259,0.9029084586056644,0:2717
0,4.55,hot-cold,0.99,0.9899999999999998,0.9900423712808712,3903,1,0.9659567696721113,6.165868,13694.268259,1.2970378041729513,0:3903
0,9.19,random,0.1,0.1,0.12206515905776871,29,1,0.01809638174854913,8.419051,14684.258851,0.018632828349575827,4341:29
0,9.19,random,0.3,0.3,0.3001383673873724,89,4,0.0657793756070163,8.363758,14684.258851,0.07009722469538317,1509:17;3354:10;4147:24;4335:38
0,9.19,random,0.5,0.5,0.5000173854527337,240,11,0.1797310896196983,15.807265,14684.258851,0.18335838243748764,341:2;524:1;807:17;1509:17;2262:28;2771:13;3296:68;4147:24;4307:63;4564:6;4711:1
0,9.19,random,0.7,0.7,0.700102043069865,834,18,0.4020726208368558,8.188119,14684.258851,0.3940674784382635,253:90;524:1;648:32;807:60;1015:81;1317:58;1509:17;2128:9;2239:51;2517:92;2771:13;3023:73;3296:98;3783:34;4135:50;4307:66;4564:8;4711:1
0,9.19,random,0.9,0.9,0.9000536790333878,2550,16,0.799928470704858,8.336827,14684.258851,0.882038175709094,20:118;237:288;648:219;1000:96;1180:199;1509:129;1752:192;2078:212;2517:103;2771:54;3023:79;3208:195;3783:122;4046:526;4711:1;4818:17
0,9.19,random,0.95,0.95,0.9500372957001487,3412,11,0.9558315414765748,12.442914,14684.258851,1.152495784629659,20:505;605:491;1180:458;1752:192;2027:600;2771:54;3023:108;3208:199;3783:122;4046:666;4818:17
0,9.19,random,0.99,0.99,0.9900190725661239,4492,3,1.1320705104504205,7.700176,14684.258851,1.5025197963809753,5:3525;3773:943;4811:24
0,9.19,local,0.1,0.09999999999999999,0.12372691231768937,2,1,0.01149023036136891,17.92812,14879.720722,0.011177093239925686,3873:2
0,9.19,local,0.3,0.29999999999999993,0.3082905143304723,19,1,0.015649659012556456,14.964249,14879.720722,0.016897459315513078,3873:19
0,9.19,local,0.5,0.49999999999999994,0.5008576743046202,28,2,0.028852595289120236,9.0178,14879.720722,0.03101450003910567,2324:6;3872:22
0,9.19,local,0.7,0.6999999999999998,0.7002164864003972,118,3,0.06187398572722468,12.710295,14879.720722,0.061163802121748226,2310:26;3611:44;3863:48
0,9.19,local,0.9,0.8999999999999999,0.9000015428314098,562,8,0.22551290427615128,12.663287,14879.720722,0.2314836196778218,319:29;413:73;1998:32;2176:11;2306:48;3530:212;3861:56;4422:101
0,9.19,local,0.95,0.9499999999999998,0.9500106145788739,1061,13,0.4026087978730376,8.007451,14879.720722,0.42157438956997045,2:15;203:150;413:83;609:36;1616:9;1996:100;2176:183;2554:27;3527:233;3859:58;4294:42;4422:103;4606:22
0,9.19,local,0.99,0.9899999999999999,0.9900012709777701,2241,17,0.7353256239768546,11.033388,14879.720722,0.8195851011790867,0:17;191:316;606:40;823:16;1032:10;1309:9;1418:35;1548:80;1703:84;1904:196;2174:259;2490:93;3137:279;3495:423;4020:96;4293:43;4417:245
0,9.19,hot-cold,0.1,0.09999999999999999,0.10130368968370514,12,1,0.013936953097361583,10.220779,13958.767768,0.015592276422764229,78:12
0,9.19,hot-cold,0.3,0.29999999999999993,0.3003078485499088,106,2,0.0479370326298631,10.240086,13958.767768,0.04770417680084255,77:18;190:88
0,9.19,hot-cold,0.5,0.49999999999999994,0.5001353541066916,277,2,0.08977599141533783,14.126071,13958.767768,0.1017987242341679,26:253;458:24
0,9.19,hot-cold,0.7,0.6999999999999998,0.7001817848266878,462,3,0.1460412478453727,12.630865,13958.767768,0.16398481688913166,26:321;459:23;593:118
0,9.19,hot-cold,0.9,0.8999999999999999,0.9004170523428204,1115,3,0.30581224250569433,8.309777,13958.767768,0.3814888311267551,0:998;1262:88;1634:29
0,9.19,hot-cold,0.95,0.9499999999999998,0.9500640961157492,1569,2,0.4058925689055914,13.319995,13958.767768,0.5265078399534706,0:1506;1634:63
0,9.19,hot-cold,0.99,0.9899999999999999,0.9900014429961687,2552,3,0.6574062996678416,12.802897,13958.767768,0.873069613127065,0:2547;2802:4;3034:1
1,1.07,random,0.1,0.1,0.10009908760148417,438,1,0.11816734165064952,12.554052,14558.636917,0.14555535696329813,1204:438
1,1.07,random,0.3,0.3,0.30023322740795844,1370,1,0.34620190064516676,16.407186,14558.636917,0.4552758882185353,304:1370
1,1.07,random,0.5,0.5,0.5000457895006024,2294,2,0.5832799672650603,8.981993,14558.636917,0.7623378741411095,294:1866;2574:428
1,1.07,random,0.7,0.7,0.700366637662925,3327,1,0.8250255400789333,10.63818,14558.636917,1.1056225402212168,251:3327
1,1.07,random,0.9,0.9,0.9001201438042405,4310,1,1.065538385027013,13.155076,14558.636917,1.4322912979721802,25:4310
1,1.07,random,0.95,0.95,0.9500347039561108,4580,1,1.1315998988988154,16.335933,14558.636917,1.5220172029495558,19:4580
1,1.07,random,0.99,0.99,0.9900091355419273,4806,1,1.1868958327322499,5.817968,14558.636917,1.5971211085972852,45:4806
1,1.07,local,0.1,0.1,0.10039308289877151,136,2,0.05527720083784113,8.486227,14046.948788,0.05587480967941637,515:36;2964:100
1,1.07,local,0.3,0.3,0.3000400872858527,539,7,0.20888455616919777,14.707908,14046.948788,0.209039880395618,0:29;511:41;849:54;2469:123;2962:109;3378:51;4504:132
1,1.07,local,0.5,0.5,0.5001449256881921,1250,8,0.3938474285124473,12.140789,14046.948788,0.4325399895271588,0:30;509:90;841:158;1240:120;2468:244;2943:136;3375:58;4224:414
