n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
4864,0,hot-cold,3.3,paper,0.05,0.26262902921237846,0.10092645697325671,240,4
4864,0,hot-cold,3.3,paper,0.1,0.43078336082029667,0.1821195054360856,486,6
4864,0,hot-cold,3.3,paper,0.15,0.5688088167654571,0.25508158582683954,726,7
4864,0,hot-cold,3.3,paper,0.2,0.6712503285486823,0.3645651802364314,972,11
4864,0,hot-cold,3.3,paper,0.25,0.7414569372120744,0.4414917572725087,1212,13
4864,0,hot-cold,3.3,paper,0.3,0.7987527614055129,0.5299400661635232,1458,16
4864,0,hot-cold,3.3,paper,0.35,0.8442864482102758,0.6436371622565347,1698,21
4864,0,hot-cold,3.3,paper,0.39999999999999997,0.8703512294364584,0.699146187685522,1944,20
4864,0,hot-cold,3.3,paper,0.44999999999999996,0.8987939857861749,0.7850580352015799,2184,22
4864,0,hot-cold,3.3,paper,0.49999999999999994,0.9243691934904024,0.8695002652251713,2430,24
4864,0,hot-cold,3.3,paper,0.5499999999999999,0.9419281894894286,0.9689385892978055,2670,26
4864,0,hot-cold,3.3,paper,0.6,0.9541135244443603,1.050110959281476,2916,27
4864,0,hot-cold,3.3,paper,0.65,0.9641648375030856,1.127378447528673,3162,28
4864,0,hot-cold,3.3,paper,0.7,0.970492339600003,1.2072832079225408,3402,28
4864,0,hot-cold,3.3,paper,0.75,0.9773220744884238,1.2862560377933998,3648,27
4864,0,hot-cold,3.3,paper,0.7999999999999999,0.9818438964726144,1.3787317911013015,3888,30
4864,0,hot-cold,3.3,paper,0.85,0.9854585969291079,1.4579006171952773,4134,31
4864,0,hot-cold,3.3,paper,0.9,0.9880193942782465,1.546320598499026,4374,34
4864,0,hot-cold,3.3,paper,0.95,0.989968699815911,1.6447682093684894,4620,36
4864,1,random,3.3,supported,0.05,0.05066847299719487,0.020406084984404514,41,1
4864,1,random,3.3,supported,0.1,0.11671253924651684,0.08538939810582255,256,2
4864,1,random,3.3,supported,0.15,0.17085069561158772,0.1477891677392763,424,4
4864,1,random,3.3,supported,0.2,0.20330950800305891,0.18628314944126048,541,5
4864,1,random,3.3,supported,0.25,0.2712438965371266,0.2722173421081254,777,8
4864,1,random,3.3,supported,0.3,0.3164490101778537,0.33287000286408375,945,10
