n,trial,spatial_mode,cv,paper_budget_fraction,paper_importance_fraction,paper_latency_ms,supported_importance_fraction,supported_latency_ms,supported_saving_pct,supported_strict_win
512,0,hot-cold,3.3,0.7,0.9359580507098137,0.14595573504028375,0.9409743572486944,0.09194553175500961,37.00450912077373,True
512,0,hot-cold,3.3,0.75,0.9418684426468853,0.15301969800031243,0.9644525588618503,0.10784681118066203,29.520961948021995,True
512,0,hot-cold,3.3,0.7999999999999999,0.9478041087562421,0.17135897483203105,0.9644525588618503,0.10784681118066203,37.06380930069447,True
512,0,hot-cold,3.3,0.85,0.9484690396113299,0.17478861691923134,0.9644525588618503,0.10784681118066203,38.29872157493109,True
512,0,hot-cold,3.3,0.9,0.9520243981079214,0.18016998836035888,0.9644525588618503,0.10784681118066203,40.141633930198694,True
512,0,hot-cold,3.3,0.95,0.9586704414869343,0.18817806996812003,0.9644525588618503,0.10784681118066203,42.68895881494971,True
512,1,random,3.3,0.05,0.28171809765301037,0.055162962992935785,0.3144614262080037,0.03221768901569187,41.59543420497971,True
512,1,random,3.3,0.1,0.18430169189814427,0.02176891891891892,0.3144614262080037,0.03221768901569187,-47.998571429710026,False
512,1,random,3.3,0.15,0.39238350221865,0.06440812718427687,0.5478315018046076,0.06858393390457138,-6.483353736318387,False
512,1,random,3.3,0.2,0.3860407754235246,0.0471454744760446,0.5478315018046076,0.06858393390457138,-45.472995376088576,False
512,1,random,3.3,0.25,0.4641055201969529,0.06544871442394491,0.5478315018046076,0.06858393390457138,-4.790345399785911,False
512,1,random,3.3,0.3,0.5007119130502563,0.06985140989260115,0.5478315018046076,0.06858393390457138,1.8145317180835119,True
512,1,random,3.3,0.35,0.48274458714136476,0.061758519577286015,0.5478315018046076,0.06858393390457138,-11.051777753098314,False
512,1,random,3.3,0.39999999999999997,0.6217668688555509,0.09374704664901833,0.7103791178206248,0.09513802579600518,-1.4837578320675782,False
512,1,random,3.3,0.44999999999999996,0.6594248573591107,0.10201537789406973,0.7103791178206248,0.09513802579600518,6.741485685820647,True
512,1,random,3.3,0.49999999999999994,0.6839861242537699,0.10715173189464583,0.7103791178206248,0.09513802579600518,11.211863668664556,True
512,1,random,3.3,0.5499999999999999,0.7358200911909135,0.11212350773069163,0.7680455570396407,0.1054564967655043,5.946131279803302,True
512,1,random,3.3,0.6,0.7669015603630317,0.11832450504543948,0.7680455570396407,0.1054564967655043,10.875184540170746,True
512,1,random,3.3,0.65,0.8016525840127955,0.12273950384573633,0.841220952843831,0.12058793700192164,1.7529538383329824,True
512,1,random,3.3,0.7,0.8209003076572505,0.1272045455735278,0.841220952843831,0.12058793700192164,5.201550417694456,True
512,1,random,3.3,0.75,0.8720767662757603,0.1466228372705129,0.9283176678156696,0.1400951363040994,4.452035636420115,True
512,1,random,3.3,0.7999999999999999,0.9193115239536245,0.16434506535921406,0.9283176678156696,0.1400951363040994,14.755495701748544,True
512,1,random,3.3,0.85,0.9426574932149692,0.16932877268706945,0.9680770453183439,0.1515196866054034,10.517460086112107,True
512,1,random,3.3,0.9,0.9660291075792753,0.1737437714873663,0.9680770453183439,0.1515196866054034,12.791298756616964,True
512,1,random,3.3,0.95,0.990553004885371,0.1814846845529844,0.992986952603158,0.16188893969618479,10.797464758564034,True
512,1,local,3.3,0.05,0.4576734917809642,0.030292445021603973,0.575281443745521,0.0300998678996037,0.635726570974815,True
512,1,local,3.3,0.1,0.6117369766280285,0.04859568496950428,0.7412329034192057,0.04594273107527939,5.459237576113452,True
512,1,local,3.3,0.15,0.7016592957785883,0.06572124404378404,0.7412329034192057,0.04594273107527939,30.094550485575176,True
512,1,local,3.3,0.2,0.7396260963098569,0.05831612634843791,0.7412329034192057,0.04594273107527939,21.217793512600082,True
512,1,local,3.3,0.25,0.818505067761211,0.07603835443713908,0.8205503943150021,0.06275647816084173,17.467337864705467,True
512,1,local,3.3,0.3,0.8566286404860359,0.09376058252584023,0.8973614830928112,0.08256561619361702,11.93994963623215,True
512,1,local,3.3,0.35,0.8547128736651882,0.08546641670848437,0.8973614830928112,0.08256561619361702,3.3940822917165603,True
512,1,local,3.3,0.39999999999999997,0.8950777823763088,0.10597570669123227,0.8973614830928112,0.08256561619361702,22.090053681663292,True
512,1,local,3.3,0.44999999999999996,0.9217381223037369,0.12369793477993343,0.9509813030755457,0.10329586288377114,16.493462022998916,True
512,1,local,3.3,0.49999999999999994,0.9369147770451806,0.11639837940476609,0.9509813030755457,0.10329586288377114,11.256614214045024,True
512,1,local,3.3,0.5499999999999999,0.9460824886590369,0.13465416188079152,0.9509813030755457,0.10329586288377114,23.288028055740064,True
512,1,local,3.3,0.6,0.9543037281853858,0.12613063577810646,0.9549870478855259,0.1049541112381349,16.789358437252353,True
512,1,local,3.3,0.65,0.9626742568132376,0.14385286386680762,0.9667622187782775,0.11076709637237443,22.999728058988854,True
512,1,local,3.3,0.7,0.9706738523216474,0.13851505176119502,0.9760755352174924,0.11727181814488011,15.336408098766785,True
512,1,local,3.3,0.75,0.977766614096578,0.15817361210739203,0.9801706956962484,0.12028332930594896,23.95486977670931,True
512,1,local,3.3,0.7999999999999999,0.9845460859796156,0.17514652450895107,0.9856365272284523,0.12542328716178336,28.389508433909317,True
512,1,local,3.3,0.85,0.9852848197723832,0.18569272837539963,0.9856365272284523,0.12542328716178336,32.45654352806672,True
512,1,local,3.3,0.9,0.9892995839896881,0.17779512280562687,0.9903402335517383,0.13367140975870648,24.81716728256843,True
512,1,local,3.3,0.95,0.9904846262894972,0.19810881441160663,0.9960836674571959,0.14544875657485204,26.58138053733635,True
512,1,hot-cold,3.3,0.05,0.26715666841050234,0.01772222808870116,0.5061735636693927,0.022746173773761404,-28.348273478453144,False
512,1,hot-cold,3.3,0.1,0.4269554874847369,0.02176891891891892,0.5061735636693927,0.022746173773761404,-4.4892208863581695,False
512,1,hot-cold,3.3,0.15,0.5731214157142506,0.03953760921294505,0.573934686816935,0.02705923873409013,31.560761328910512,True
512,1,hot-cold,3.3,0.2,0.6606668983293367,0.04480482385849394,0.7594203879043723,0.04422120831403427,1.3025730137962266,True
512,1,hot-cold,3.3,0.25,0.7381081636076728,0.05018619529962148,0.7594203879043723,0.04422120831403427,11.885712694447282,True
512,1,hot-cold,3.3,0.3,0.812943711771263,0.07412068844098132,0.8963616713296212,0.07344231481481468,0.9152284475970496,True
512,1,hot-cold,3.3,0.35,0.8240033365019435,0.06654648216757453,0.8963616713296212,0.07344231481481468,-10.36243002278523,False
512,1,hot-cold,3.3,0.39999999999999997,0.8690363296926614,0.08480226464359994,0.8963616713296212,0.07344231481481468,13.395809506418177,True
512,1,hot-cold,3.3,0.44999999999999996,0.9104628210711713,0.08756537372963162,0.9351006078850462,0.09063540755566643,-3.505990661918368,False
512,1,hot-cold,3.3,0.49999999999999994,0.9169999674277372,0.09495026801704988,0.9351006078850462,0.09063540755566643,4.544337316255542,True
512,1,hot-cold,3.3,0.5499999999999999,0.9309770380687016,0.10025571059568665,0.9351006078850462,0.09063540755566643,9.595765650514599,True
512,1,hot-cold,3.3,0.6,0.9493612173845356,0.10387450088100138,0.9527154338799235,0.10286203868191895,0.9746975345203301,True
512,1,hot-cold,3.3,0.65,0.955371408377828,0.12396995544240255,0.9643410577846088,0.1115485598918751,10.019682193318635,True
512,1,hot-cold,3.3,0.7,0.9614121305138945,0.12807876563316753,0.9643410577846088,0.1115485598918751,12.90628127119593,True
512,1,hot-cold,3.3,0.75,0.9781686003125023,0.14484852210522398,0.9931671948070321,0.14808020149570184,-2.2310751559689646,False
512,1,hot-cold,3.3,0.7999999999999999,0.9834660252385021,0.1492512175738802,0.9931671948070321,0.14808020149570184,0.7845939867115126,True
