trial,target_cv,spatial_mode,budget_fraction,q,two_line_ms,gap_to_max_q_pct
0,1.25,random,0.75,16384,1.2050237047896544,4.440892098500626e-14
0,1.25,random,0.75,65536,1.2050237047896544,4.440892098500626e-14
0,1.25,random,0.75,131072,1.2050237047896544,4.440892098500626e-14
0,1.25,random,0.875,1024,1.3616147986968994,0.45664382208521204
0,1.25,random,0.875,4096,1.3616147986968994,0.45664382208521204
0,1.25,random,0.875,16384,1.3573856448926158,0.14462709180853572
0,1.25,random,0.875,65536,1.355425332652364,0.0
0,1.25,random,0.875,131072,1.355425332652364,0.0
0,1.25,local,0.125,1024,0.22977867968645752,0.0
0,1.25,local,0.125,4096,0.22977867968645752,0.0
0,1.25,local,0.125,16384,0.22977867968645752,0.0
0,1.25,local,0.125,65536,0.22977867968645752,0.0
0,1.25,local,0.125,131072,0.22977867968645752,0.0
0,1.25,local,0.25,1024,0.4411254481962391,1.196000152159593
0,1.25,local,0.25,4096,0.4403959863999258,1.0286586026013733
0,1.25,local,0.25,16384,0.4359119407219232,2.220446049250313e-14
0,1.25,local,0.25,65536,0.4359119407219232,2.220446049250313e-14
0,1.25,local,0.25,131072,0.4359119407219232,2.220446049250313e-14
0,1.25,local,0.375,1024,0.6484427598904218,1.6538069377315834
0,1.25,local,0.375,4096,0.6381363912091187,0.038118280285059924
0,1.25,local,0.375,16384,0.6381363912091187,0.038118280285059924
0,1.25,local,0.375,65536,0.6378932372770142,4.440892098500626e-14
0,1.25,local,0.375,131072,0.6378932372770142,4.440892098500626e-14
0,1.25,local,0.5,1024,0.8624459500093714,0.22605808628581858
0,1.25,local,0.5,4096,0.8624459500093714,0.22605808628581858
0,1.25,local,0.5,16384,0.8605007185525358,2.220446049250313e-14
0,1.25,local,0.5,65536,0.8605007185525358,2.220446049250313e-14
0,1.25,local,0.5,131072,0.8605007185525358,2.220446049250313e-14
0,1.25,local,0.625,1024,0.9864166962447799,0.03299080907575025
0,1.25,local,0.625,4096,0.9860913767213734,2.220446049250313e-14
0,1.25,local,0.625,16384,0.9860913767213734,2.220446049250313e-14
0,1.25,local,0.625,65536,0.9860913767213734,2.220446049250313e-14
0,1.25,local,0.625,131072,0.9860913767213734,2.220446049250313e-14
0,1.25,local,0.75,1024,1.1364898897141376,0.11463100319235586
0,1.25,local,0.75,4096,1.1351886116205119,2.220446049250313e-14
0,1.25,local,0.75,16384,1.1351886116205119,2.220446049250313e-14
0,1.25,local,0.75,65536,1.1351886116205119,2.220446049250313e-14
0,1.25,local,0.75,131072,1.1351886116205119,2.220446049250313e-14
0,1.25,local,0.875,1024,1.2935340150488137,0.0
0,1.25,local,0.875,4096,1.2935340150488137,0.0
0,1.25,local,0.875,16384,1.2935340150488137,0.0
0,1.25,local,0.875,65536,1.2935340150488137,0.0
0,1.25,local,0.875,131072,1.2935340150488137,0.0
0,1.25,hot-cold,0.125,1024,0.207055810127479,2.220446049250313e-14
0,1.25,hot-cold,0.125,4096,0.207055810127479,2.220446049250313e-14
0,1.25,hot-cold,0.125,16384,0.207055810127479,2.220446049250313e-14
0,1.25,hot-cold,0.125,65536,0.207055810127479,2.220446049250313e-14
0,1.25,hot-cold,0.125,131072,0.207055810127479,2.220446049250313e-14
0,1.25,hot-cold,0.25,1024,0.4368135592437207,12.860151209584881
0,1.25,hot-cold,0.25,4096,0.4316084468692178,11.515298795510652
0,1.25,hot-cold,0.25,16384,0.3870396721625369,2.220446049250313e-14
0,1.25,hot-cold,0.25,65536,0.3870396721625369,2.220446049250313e-14
0,1.25,hot-cold,0.25,131072,0.3870396721625369,2.220446049250313e-14
0,1.25,hot-cold,0.375,1024,0.5924068521231093,0.0
0,1.25,hot-cold,0.375,4096,0.5924068521231093,0.0
0,1.25,hot-cold,0.375,16384,0.5924068521231093,0.0
0,1.25,hot-cold,0.375,65536,0.5924068521231093,0.0
0,1.25,hot-cold,0.375,131072,0.5924068521231093,0.0
0,1.25,hot-cold,0.5,1024,0.791827719971251,0.0
0,1.25,hot-cold,0.5,4096,0.791827719971251,0.0
0,1.25,hot-cold,0.5,16384,0.791827719971251,0.0
0,1.25,hot-cold,0.5,65536,0.791827719971251,0.0
0,1.25,hot-cold,0.5,131072,0.791827719971251,0.0
0,1.25,hot-cold,0.625,1024,0.9642470673766591,2.220446049250313e-14
0,1.25,hot-cold,0.625,4096,0.9642470673766591,2.220446049250313e-14
0,1.25,hot-cold,0.625,16384,0.9642470673766591,2.220446049250313e-14
0,1.25,hot-cold,0.625,65536,0.9642470673766591,2.220446049250313e-14
0,1.25,hot-cold,0.625,131072,0.9642470673766591,2.220446049250313e-14
0,1.25,hot-cold,0.75,1024,1.1490201615716984,2.220446049250313e-14
0,1.25,hot-cold,0.75,4096,1.1490201615716984,2.220446049250313e-14
0,1.25,hot-cold,0.75,16384,1.1490201615716984,2.220446049250313e-14
0,1.25,hot-cold,0.75,65536,1.1490201615716984,2.220446049250313e-14
0,1.25,hot-cold,0.75,131072,1.1490201615716984,2.220446049250313e-14
0,1.25,hot-cold,0.875,1024,1.3136402355151648,0.12397718819736614
0,1.25,hot-cold,0.875,4096,1.3120136378981326,0.0
0,1.25,hot-cold,0.875,16384,1.3120136378981326,0.0
0,1.25,hot-cold,0.875,65536,1.3120136378981326,0.0
