n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,importance,two_line_ms,two_line_efficiency,exact_importance,exact_two_line_ms,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,0,local,1,0.5,9,rho4_mu32,Exp24 rho4/mu32,0.999943416805175,0.04684601137052594,21.34532668952705,0.9999434168051748,0.04684601137052594,21.345326689527045,1.0000000000000002,-2.220446049250313e-14,True,False,
18,0,local,2,0.75,14,top_r,Top-R,1.0000000127568198,0.08845955970718897,11.304600837568394,0.9999874974114878,0.07287157324304035,13.722600637100866,0.8237943474799456,17.620565252005438,True,False,
18,0,local,2,0.75,14,rho2_mu4,Exp24 rho2/mu4,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho2_mu8,Exp24 rho2/mu8,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho2_mu16,Exp24 rho2/mu16,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho3_mu8,Exp24 rho3/mu8,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho3_mu16,Exp24 rho3/mu16,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho4_mu16,Exp24 rho4/mu16,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,local,2,0.75,14,rho4_mu32,Exp24 rho4/mu32,0.9999874899225313,0.07287157324304035,13.72260053433162,0.9999874974114878,0.07287157324304035,13.722600637100866,0.9999999925109497,7.4890502688163e-07,True,False,
18,0,hot-cold,0,0.25,4,top_r,Top-R,0.999031922314316,0.04880370230714579,20.470412593432254,0.8390197148453489,0.026642468538838122,31.491815918718864,0.6500232519543135,34.997674804568646,True,False,
18,0,hot-cold,0,0.25,4,rho2_mu4,Exp24 rho2/mu4,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho2_mu8,Exp24 rho2/mu8,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho2_mu16,Exp24 rho2/mu16,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho3_mu8,Exp24 rho3/mu8,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho3_mu16,Exp24 rho3/mu16,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho4_mu16,Exp24 rho4/mu16,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,rho4_mu32,Exp24 rho4/mu32,0.8390197148453489,0.026642468538838122,31.491815918718864,0.8390197148453489,0.026642468538838122,31.491815918718864,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,top_r,Top-R,1.0000000051272195,0.09041725064380882,11.059836458273164,0.9999867469129587,0.04684601137052594,21.34625163716968,0.518116091118075,48.1883908881925,True,False,
18,0,hot-cold,1,0.5,9,rho2_mu4,Exp24 rho2/mu4,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho2_mu8,Exp24 rho2/mu8,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho2_mu16,Exp24 rho2/mu16,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho3_mu8,Exp24 rho3/mu8,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho3_mu16,Exp24 rho3/mu16,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho4_mu16,Exp24 rho4/mu16,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,1,0.5,9,rho4_mu32,Exp24 rho4/mu32,0.9999867469129587,0.04684601137052594,21.34625163716968,0.9999867469129587,0.04684601137052594,21.34625163716968,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,top_r,Top-R,1.0000000127568198,0.08845955970718897,11.304600837568394,0.9999874974576165,0.07287157324304035,13.722600637733878,0.8237943474419447,17.62056525580553,True,False,
18,0,hot-cold,2,0.75,14,rho2_mu4,Exp24 rho2/mu4,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho2_mu8,Exp24 rho2/mu8,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho2_mu16,Exp24 rho2/mu16,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho3_mu8,Exp24 rho3/mu8,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho3_mu16,Exp24 rho3/mu16,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho4_mu16,Exp24 rho4/mu16,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,0,hot-cold,2,0.75,14,rho4_mu32,Exp24 rho4/mu32,0.9999874974576165,0.07287157324304035,13.722600637733878,0.9999874974576165,0.07287157324304035,13.722600637733878,1.0,0.0,True,False,
18,1,random,0,0.25,4,top_r,Top-R,0.9998785705829505,0.05988431919129963,16.696834565136363,0.783747635997283,0.026642468538838122,29.41723042122666,0.5675868980884207,43.241310191157936,True,False,
18,1,random,0,0.25,4,rho2_mu4,Exp24 rho2/mu4,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho2_mu8,Exp24 rho2/mu8,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho2_mu16,Exp24 rho2/mu16,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho3_mu8,Exp24 rho3/mu8,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho3_mu16,Exp24 rho3/mu16,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho4_mu16,Exp24 rho4/mu16,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,0,0.25,4,rho4_mu32,Exp24 rho4/mu32,0.783747635997283,0.026642468538838122,29.41723042122666,0.783747635997283,0.026642468538838122,29.41723042122666,1.0,0.0,True,False,
18,1,random,1,0.5,9,top_r,Top-R,0.9999999677369829,0.09041725064380882,11.059836044743264,0.9997571198720372,0.05717539999134732,17.48579144218206,0.6325041723912442,36.749582760875576,True,False,
18,1,random,1,0.5,9,rho2_mu4,Exp24 rho2/mu4,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho2_mu8,Exp24 rho2/mu8,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho2_mu16,Exp24 rho2/mu16,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho3_mu8,Exp24 rho3/mu8,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho3_mu16,Exp24 rho3/mu16,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho4_mu16,Exp24 rho4/mu16,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,1,0.5,9,rho4_mu32,Exp24 rho4/mu32,0.7839906571648295,0.04684601137052594,16.73548364585191,0.9997571198720372,0.05717539999134732,17.48579144218206,0.9570904297462833,4.290957025371666,True,False,
18,1,random,2,0.75,14,top_r,Top-R,1.0000000209365938,0.10986956521216418,9.101701813468896,0.9999999933784169,0.07662771455970267,13.050108555688302,0.6974426131881969,30.25573868118031,True,False,
18,1,random,2,0.75,14,rho2_mu4,Exp24 rho2/mu4,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho2_mu8,Exp24 rho2/mu8,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho2_mu16,Exp24 rho2/mu16,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho3_mu8,Exp24 rho3/mu8,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho3_mu16,Exp24 rho3/mu16,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho4_mu16,Exp24 rho4/mu16,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,random,2,0.75,14,rho4_mu32,Exp24 rho4/mu32,0.784838371881155,0.07287157324304035,10.77015819685369,0.9999999933784169,0.07662771455970267,13.050108555688302,0.8252926135360901,17.47073864639099,True,False,
18,1,local,0,0.25,4,top_r,Top-R,0.9998785705829505,0.03772308542299196,26.50574732610635,0.9998688063424197,0.026642468538838122,37.52913529333284,0.7062711975358295,29.372880246417054,True,False,
18,1,local,0,0.25,4,rho2_mu4,Exp24 rho2/mu4,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho2_mu8,Exp24 rho2/mu8,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho2_mu16,Exp24 rho2/mu16,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho3_mu8,Exp24 rho3/mu8,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho3_mu16,Exp24 rho3/mu16,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho4_mu16,Exp24 rho4/mu16,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,0,0.25,4,rho4_mu32,Exp24 rho4/mu32,0.9998688063424197,0.026642468538838122,37.52913529333284,0.9998688063424197,0.026642468538838122,37.52913529333284,1.0,0.0,True,False,
18,1,local,1,0.5,9,top_r,Top-R,0.9999999677369829,0.06825601687550115,14.650722581145939,0.9999952636824634,0.04684601137052594,21.346433440684116,0.6863311673051274,31.366883269487257,True,False,
18,1,local,1,0.5,9,rho2_mu4,Exp24 rho2/mu4,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
18,1,local,1,0.5,9,rho2_mu8,Exp24 rho2/mu8,0.9999952636824634,0.04684601137052594,21.346433440684116,0.9999952636824634,0.04684601137052594,21.346433440684116,1.0,0.0,True,False,
