track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,896x128,896,128,0.25,rho4_mu32,Exp24 rho4/mu32,96,96,1.0,1.0,0.9270833333333334,0.9270833333333334,1.0,0.0,0.0,1.39616425,2.0918679375,2.9013052,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,1.25290425,0.0,128.0,1012.96875,0.0,0.0,0.0
cuda,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1633505,0.2634207875,0.43584115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x128,896,128,0.25,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.037607749999999995,0.06520566249999993,0.0862276999999999,-97.61830881181261,-97.82333231382279,0.0,-97.81140254262918,0.0,43.0843872276596,1.0,-6219.856772699585,-5581.998868974086,0.0,0.0,-1.8247115123152138,-0.12606574999999998,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3261545,0.5660196874999999,0.6751451999999999,16.537319797855773,28.11074272779829,0.65625,16.690790606343036,0.65625,-5.361848646484133,0.07291666666666667,16.759248126698395,20.384193898840962,1.0,0.07291666666666667,0.00666343260712928,0.15803275000000008,0.0,8.0,741.46875,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho2_mu8,Exp24 rho2/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3767315,0.6512413125,1.0418504,16.982810294341643,28.11074272779829,0.6875,17.091978372743572,0.6875,-4.15057581322045,0.125,15.63848730997323,19.73450624451687,0.9791666666666666,0.10416666666666667,0.00645105482453182,0.2061175,0.0,16.0,483.3020833333333,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho2_mu16,Exp24 rho2/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.49438125,0.7060083874999998,1.2089477999999994,13.264943407359858,28.362078934745647,0.6770833333333334,13.947844352727055,0.6770833333333334,-2.029739680061543,0.21875,5.404744817604694,13.802164521283567,0.8645833333333334,0.09375,0.004511818989580608,0.32502525,0.0,32.0,205.5625,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho3_mu8,Exp24 rho3/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5482819999999999,0.7893673124999991,1.00736195,17.49049286516363,28.11074272779829,0.6875,17.64396367365089,0.6875,-4.408675579176278,0.10416666666666667,16.759248126698395,20.384193898840962,1.0,0.10416666666666667,0.00666343260712928,0.3823465,0.0,24.0,906.8333333333334,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho3_mu16,Exp24 rho3/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.78729925,1.1203493125,1.41706855,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,0.6207199999999999,0.0,48.0,609.1458333333334,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho4_mu16,Exp24 rho4/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.00380825,1.4332558874999997,1.77313285,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,0.83328775,0.0,64.0,1013.5208333333334,0.0,0.0,0.0
cuda,896x128,896,128,0.25,rho4_mu32,Exp24 rho4/mu32,96,96,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,0.0,0.0,1.478666,2.2464678749999996,3.2322671,17.376098468741336,28.362078934745647,0.6770833333333334,17.530250885048336,0.6770833333333334,-4.570771274494465,0.09375,16.759248126698395,20.384193898840962,1.0,0.09375,0.00666343260712928,1.317377,0.0,128.0,1012.96875,0.0,0.0,0.0
