method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_x2,Cell-1 X²,x2,13,0.75,63,1.4547994449197583,1.414695825592847,0.04010361932691124,0.1213481349206349,0.16145175424754615,1.1571821031746032,0.3390691587301587,0.7642419206349207,0.017743238144450668,0.11842234935315825,0.26141082146574574,0.0414600949438791,0.75,9.746031746031745,1.0,0.0
cell1_x2,Cell-1 X²,x2,14,0.8,63,1.5713024299475447,1.5311988106206336,0.04010361932691124,0.12292730952380952,0.16303092885072074,1.249816642857143,0.37164959523809526,0.8233516190476191,0.017662984008590333,0.1407918742310906,0.22575554013666177,0.03135412363778972,0.7998427353896104,8.206349206349206,1.0,0.0
cell1_x2,Cell-1 X²,x2,15,0.85,63,1.7080749277758012,1.6679713084488899,0.04010361932691124,0.12362545238095238,0.1637290717078636,1.3349383650793651,0.4090512142857143,0.8700156428571428,0.01861282526737162,0.19079466572120074,0.19048593488950574,0.022715914817083405,0.8500786323051949,6.634920634920635,1.0,0.0
cell1_x2,Cell-1 X²,x2,16,0.9,63,1.7777660479013702,1.7376624285744589,0.04010361932691124,0.1257730476190476,0.16587666694595887,1.3916450634920636,0.4165300238095238,0.9193063095238095,0.01836698400300168,0.20187733346034606,0.15043356695345467,0.014403902349017872,0.8999213676948051,5.2063492063492065,1.0,0.0
cell1_x2,Cell-1 X²,x2,17,0.95,63,1.7942445001801044,1.7541408808531933,0.04010361932691124,0.1209780238095238,0.16108164313643505,1.4593220952380952,0.43683085714285713,0.9642917142857143,0.01807796813192816,0.15576279367364582,0.1039973674970309,0.006990754415118462,0.9501572646103896,3.0634920634920637,1.0,0.0
paper,Paper |x|,abs,0,0.1,63,0.7486266116343689,0.7167317543635189,0.03189485727085003,0.37276216666666667,0.40465702393751674,0.2935126984126984,0.11883241269841267,0.12234707142857142,0.01539504766050307,0.03506184162365061,0.7381280360240785,0.33349150230014135,0.09810014204545453,7.777777777777778,0.2857142857142857,0.0
paper,Paper |x|,abs,1,0.15,63,0.8152548571276788,0.7833599998568287,0.03189485727085003,0.4065773095238095,0.4384721667946596,0.3167593253968254,0.10258800793650792,0.1679316746031746,0.01574603172521737,0.0442773332109763,0.6874732828684269,0.2794086923674931,0.1493379667207792,10.301587301587302,0.2857142857142857,0.0
paper,Paper |x|,abs,2,0.2,63,0.8576100159170003,0.8257151586461502,0.03189485727085003,0.3825494444444444,0.4144443017152945,0.374943746031746,0.11052897619047618,0.21995096825396823,0.015457523779736571,0.052764444390223084,0.6426817963402423,0.24261572909733603,0.19876217532467533,13.079365079365079,0.7142857142857143,0.0
paper,Paper |x|,abs,3,0.25,63,0.8861752938873909,0.8542804366165409,0.03189485727085003,0.3544491111111111,0.38634396838196117,0.4322849126984127,0.11706881746031744,0.27279737301587303,0.01571199997136039,0.05183441283565661,0.5938439631154613,0.20258403202844041,0.25,15.714285714285714,1.0,0.0
paper,Paper |x|,abs,4,0.3,63,0.9821389288410374,0.9502440715701873,0.03189485727085003,0.36427650793650795,0.396171365207358,0.503203880952381,0.1317958492063492,0.326009373015873,0.01558298415075687,0.06718069853054147,0.5443187880196741,0.17183455777546713,0.2990056818181818,18.666666666666668,0.7142857142857143,0.0
paper,Paper |x|,abs,5,0.35,63,1.0670711025096007,1.0351762452387505,0.03189485727085003,0.372037619047619,0.4039324763184691,0.5682997698412698,0.14540226984126983,0.37856458730158726,0.015782095166662336,0.07905676118319939,0.5071598091236655,0.1497424831466069,0.34810014204545453,21.238095238095237,0.2857142857142857,0.0
paper,Paper |x|,abs,6,0.4,63,1.1517913730671199,1.1198965157962697,0.03189485727085003,0.3665191825396825,0.3984140398105326,0.6523289523809525,0.1727918571428571,0.431667626984127,0.01567085708181058,0.08537752379382409,0.4653275989823871,0.1291208986252073,0.3993379667207792,23.88888888888889,0.2857142857142857,0.0
