trial,target_cv,spatial_mode,coverage_target,target_importance,cover_importance,cover_rows,cover_chunks,cover_aff_ms,cover_runtime_ms,cover_build_ms
0,2.48,random,0.3,0.3,0.30001034593070414,1052,4,0.30139877508311086,8.274771,14345.564352
0,2.48,random,0.5,0.5,0.5004212019425016,2048,4,0.5450923595879813,8.200202,14345.564352
0,2.48,random,0.7,0.7,0.7001728387882357,3057,4,0.7919666836496422,8.891164,14345.564352
0,2.48,random,0.9,0.9,0.9000529240532795,4155,3,1.0496159542474675,7.335455,14345.564352
0,2.48,random,0.95,0.95,0.950044281264715,4493,2,1.1213142969098495,6.636197,14345.564352
0,2.48,random,0.99,0.99,0.990026319805639,4795,1,1.184204437722658,5.658559,14345.564352
0,2.48,local,0.1,0.09999999999999999,0.10011837663554667,68,1,0.027638600418920564,14.322668,14728.690103
0,2.48,local,0.3,0.29999999999999993,0.30028143240793365,230,4,0.10027816618451302,10.613394,14728.690103
0,2.48,local,0.5,0.49999999999999994,0.5001565998163836,569,8,0.22722561019134618,8.324554,14728.690103
0,2.48,local,0.7,0.6999999999999998,0.7001087974733872,1335,10,0.4366463433967258,11.560905,14728.690103
0,2.48,local,0.9,0.8999999999999999,0.9000431559725333,2749,12,0.8046147098944307,12.456159,14728.690103
0,2.48,local,0.95,0.9499999999999998,0.9500108472966177,3549,8,0.9563489855171632,6.515883,14728.690103
0,2.48,local,0.99,0.9899999999999999,0.990001436588293,4366,5,1.1232435756052535,6.959342,14728.690103
0,2.48,hot-cold,0.1,0.09999999999999999,0.10067823813008892,114,1,0.03889352500448687,13.148233,14207.269646
0,2.48,hot-cold,0.3,0.29999999999999993,0.3004162015592354,401,1,0.10911446752747662,17.252947,14207.269646
0,2.48,hot-cold,0.5,0.49999999999999994,0.5004206071776635,744,2,0.20403794318619572,13.777569,14207.269646
0,2.48,hot-cold,0.7,0.6999999999999998,0.7001157258126548,1327,1,0.33568099288039827,17.787186,14207.269646
0,2.48,hot-cold,0.9,0.8999999999999999,0.9000181718969835,2564,1,0.6383405953226922,15.131722,14207.269646
0,2.48,hot-cold,0.95,0.9499999999999998,0.9500149158948876,3250,1,0.8061857750117896,9.606811,14207.269646
0,2.48,hot-cold,0.99,0.9899999999999999,0.990047300873147,4337,1,1.0721445364141933,11.271114,14207.269646
0,3.3,random,0.1,0.1,0.10013492206960693,158,2,0.060659990857025003,10.13013,15214.883317
0,3.3,random,0.3,0.3,0.300044493255084,906,5,0.27667750895178816,14.63404,15214.883317
0,3.3,random,0.5,0.5,0.5000475794434801,1928,4,0.5157316867560692,14.26445,15214.883317
0,3.3,random,0.7,0.7,0.7000527425162753,2890,6,0.7731081855869052,10.813308,15214.883317
