error_ceiling,method,method_label,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selector_total_ms,io_median_ms,upload_median_ms,selected_fraction,chunks,row_match_rate
0.42,cell1_abs_lookup,Cell-1 |x| lookup,0.5583019079289356,0.5282122570344944,0.030089650894441253,0.08189772529943233,0.3794259569571558,0.015416366445850671,0.05147220833205539,0.1119873761938736,0.12158300221409833,0.2177363565742317,0.573953059816987,5.038451921877501,1.0
0.42,cell1_abs_twoline,Cell-1 |x| 2-line,0.5562074436261436,0.5261177927317022,0.030089650894441253,0.08134929666107346,0.3778694395606707,0.015415873450210546,0.051483183059747424,0.11143894755551473,0.120665040354352,0.2173591933142438,0.5733480371846388,5.02686163864851,1.0
0.42,cell1_x2_lookup,Cell-1 X² lookup,0.558630805552993,0.5269396311014357,0.03169117445155737,0.07965060903307315,0.37993611222513607,0.015468771489883416,0.05188413835334289,0.11134178348463054,0.12453440310690765,0.21548518185236806,0.5714064654375852,4.871202231680659,1.0
0.42,cell1_x2_twoline,Cell-1 X² 2-line,0.5609172282242912,0.5292260537727338,0.03169117445155737,0.08140250468906843,0.37991460880182915,0.01563112401013643,0.052277816271699716,0.11309367914062583,0.12499755882110868,0.2149059512513733,0.5704038974986858,4.872787728674762,1.0
0.4,paper,Paper |x|,0.6981675829360776,0.6680779320416363,0.030089650894441253,0.24193588934960863,0.361031352180141,0.01591421902659286,0.049196471485293776,0.2720255402440499,0.1124638488503716,0.20702756734912228,0.551415333983216,10.835084485166254,0.2857142857142857
0.4,cell1_abs_lookup,Cell-1 |x| lookup,0.5743639808035444,0.5442743299091032,0.030089650894441253,0.08151759229031784,0.3998368221703877,0.015484166020473538,0.047435749427923925,0.11160724318475909,0.12732440435935047,0.23107495354243632,0.6063321551899603,4.841370220114796,1.0
0.4,cell1_abs_twoline,Cell-1 |x| 2-line,0.572429717629165,0.5423400667347236,0.030089650894441253,0.08230480282776702,0.39706355380386177,0.01557106466797795,0.04740064543511683,0.1123944537222083,0.12608234600865767,0.230306882215897,0.6059220956843375,4.817562388107825,1.0
0.4,cell1_x2_lookup,Cell-1 X² lookup,0.5727404940798967,0.5410493196283394,0.03169117445155737,0.07993805539898605,0.39795916658808766,0.01570773026272365,0.04744436737854185,0.11162922985054344,0.12641326372501493,0.2301839190223183,0.6048867952898743,4.790471888519807,1.0
0.4,cell1_x2_twoline,Cell-1 X² 2-line,0.5789177750963125,0.547226600644755,0.03169117445155737,0.08161413631642932,0.4024032408548267,0.015766917269402343,0.047442306204096674,0.11330531076798671,0.13003871336377346,0.22998093212857942,0.6037574253895197,4.795932366734015,1.0
0.35,paper,Paper |x|,0.7487239933908013,0.7186343424963599,0.030089650894441253,0.2466868363639839,0.4055004173693663,0.0159675043514536,0.050479584411556075,0.2767764872584252,0.1244748509079509,0.23877640238744557,0.637754970461751,11.840921934990657,0.4046575328781494
0.35,cell1_abs_lookup,Cell-1 |x| lookup,0.6177158559609502,0.5876262050665089,0.030089650894441253,0.08148292088764855,0.43185646401204886,0.015561232424120575,0.05872558774269081,0.11157257178208982,0.13747303659631208,0.2526563334111353,0.679241804945403,4.156165479921888,1.0
0.35,cell1_abs_twoline,Cell-1 |x| 2-line,0.6208873460004743,0.5907976951060331,0.030089650894441253,0.08304533483126635,0.4334859091559488,0.015653662652026383,0.058612788466791466,0.11313498572570761,0.13551206565609264,0.2568706547864105,0.679015259070205,4.157885165334755,1.0
0.35,cell1_x2_lookup,Cell-1 X² lookup,0.6134244423019907,0.5817332678504332,0.03169117445155737,0.08008593074709199,0.42785570864388095,0.015576255641235805,0.05821537281822438,0.11177710519864938,0.13375432848540678,0.25430937797566666,0.6773950186540457,4.321496360097528,1.0
0.35,cell1_x2_twoline,Cell-1 X² 2-line,0.6154286320254866,0.5837374575739291,0.03169117445155737,0.0803996838915375,0.42963458134985455,0.015665387692227823,0.05803780464030921,0.11209085834309487,0.13407697433333715,0.25512991538953134,0.6765133682598965,4.286284429967926,1.0
0.3,paper,Paper |x|,0.7944809402470778,0.7643912893526364,0.030089650894441253,0.24628300363240008,0.44939755169328643,0.016202550621058538,0.05250818340589134,0.27637265452684134,0.13482590525060253,0.2728027170162902,0.7214880680459542,12.746545721355226,0.6445092063968989
0.3,cell1_abs_lookup,Cell-1 |x| lookup,0.6420566600444696,0.6119670091500283,0.030089650894441253,0.08193534122642668,0.46415306771794496,0.01599182450142614,0.04988677570423044,0.11202499212086796,0.14307879468379664,0.2790309687671697,0.7518688194032265,3.8711563796112207,1.0
0.3,cell1_abs_twoline,Cell-1 |x| 2-line,0.6472104417512675,0.6171207908568263,0.030089650894441253,0.08217743779297354,0.46883338906732674,0.015996535165969602,0.050113428830556195,0.11226708868741479,0.14567118428241851,0.28035780795749343,0.7526439490051798,3.8638014726393104,1.0
0.3,cell1_x2_lookup,Cell-1 X² lookup,0.6515766255364437,0.6198854510848862,0.03169117445155737,0.08014222522306544,0.473514631307628,0.015947635661039048,0.050280958893153704,0.11183339967462282,0.14541044967606062,0.28504103288422805,0.753449455238958,3.9755053308679194,1.0
0.3,cell1_x2_twoline,Cell-1 X² 2-line,0.6518407735127054,0.6201495990611482,0.03169117445155737,0.08123518278347465,0.4727156816849087,0.01604016485176458,0.050158569741000025,0.11292635723503204,0.14580108560867905,0.2835217252803724,0.7531977340943953,3.9764283246321037,1.0
0.25,paper,Paper |x|,0.8420361019092902,0.811946451014849,0.030089650894441253,0.25122308003606636,0.487369921277412,0.016358915328317535,0.05699453437305287,0.2813127309305076,0.1478313557177573,0.2959564037615031,0.7908389682773286,13.198073393346482,0.3607552446182029
0.25,cell1_abs_lookup,Cell-1 |x| lookup,0.6967269315961016,0.6666372807016603,0.030089650894441253,0.08219583497693277,0.504828155547813,0.01598401807854191,0.06362927209837244,0.11228548587137402,0.15468068051046668,0.3068155164943712,0.8240801900326713,3.231316025602995,1.0
0.25,cell1_abs_twoline,Cell-1 |x| 2-line,0.6938026451445352,0.6637129942500939,0.030089650894441253,0.08203505557605321,0.5021253578568806,0.015998972623227404,0.06355360819393262,0.11212470647049447,0.15252226588694895,0.3070684805246398,0.824072630786502,3.231373407028979,1.0
0.25,cell1_x2_lookup,Cell-1 X² lookup,0.6895651134997912,0.6578739390482338,0.03169117445155737,0.07946022997622113,0.49922546786491384,0.015690780213612265,0.06349746099348647,0.11115140442777852,0.15070868915369415,0.305226243403093,0.823557240222632,3.236374303061362,1.0
0.25,cell1_x2_twoline,Cell-1 X² 2-line,0.6899844696365698,0.6582932951850123,0.03169117445155737,0.079596936804547,0.49964577952826944,0.015610430379213008,0.06344014847298281,0.1112881112561044,0.149602537411594,0.30768488557684537,0.8234650921138239,3.2201121519847327,1.0
0.2,paper,Paper |x|,0.8854145552109437,0.8553249043165023,0.030089650894441253,0.25412231271801144,0.5259634175874505,0.016106083382036313,0.05913309062900404,0.2842119636124527,0.1601048471492359,0.3236782254650273,0.8630411667476984,12.76629712406449,0.3729942615523036
0.2,cell1_abs_lookup,Cell-1 |x| lookup,0.7118254865286652,0.6817358356342239,0.030089650894441253,0.08079565545979235,0.5251244391676941,0.015860771461191112,0.05995496954554611,0.11088530635423362,0.1575869582249282,0.32472921907207675,0.8798652744423563,2.680086947579491,1.0
0.2,cell1_abs_twoline,Cell-1 |x| 2-line,0.7123960338749524,0.6823063829805112,0.030089650894441253,0.08133929323717919,0.525305439495175,0.01582003598028824,0.059841614267868604,0.11142894413162045,0.15784610875978874,0.32494384425776346,0.8798759577604232,2.68946731338204,1.0
0.2,cell1_x2_lookup,Cell-1 X² lookup,0.7081945126835024,0.676503338231945,0.03169117445155737,0.07818950569477597,0.5227689650406115,0.015705829043074337,0.05983903845348306,0.10988068014633336,0.15377750915705268,0.32626124062848505,0.8799446371641159,2.682327443132777,1.0
0.2,cell1_x2_twoline,Cell-1 X² 2-line,0.7090827486784438,0.6773915742268863,0.03169117445155737,0.07861595927159465,0.5233106416255626,0.01568955188614416,0.05977542144358482,0.11030713372315204,0.15514825924549785,0.3252857779385461,0.8798971674134699,2.673348251080767,1.0
0.15,paper,Paper |x|,0.9122379849798237,0.8821483340853823,0.030089650894441253,0.2567652131701023,0.5460743695852036,0.01642484635750807,0.06288390497256818,0.2868548640645436,0.16457119751397592,0.33899574457652976,0.9136719153519267,12.472582810568603,0.2857142857142857
0.15,cell1_abs_lookup,Cell-1 |x| lookup,0.7338882941237074,0.7037986432292661,0.030089650894441253,0.07873364558674362,0.5377533943058611,0.015966714270376624,0.0713448890662846,0.10882329648118488,0.1532572463718971,0.34188033234933823,0.930685804582411,2.022062347336514,1.0
0.15,cell1_abs_twoline,Cell-1 |x| 2-line,0.7355555564855036,0.7054659055910623,0.030089650894441253,0.07919566862271898,0.5389149337198725,0.015998224818571594,0.07135707842989918,0.10928531951716026,0.1544171192305421,0.3417334309127637,0.9307566572046477,2.0369717427994702,1.0
0.15,cell1_x2_lookup,Cell-1 X² lookup,0.731331643131508,0.6996404686799506,0.03169117445155737,0.07700682188737075,0.5356788017527647,0.015971482264034696,0.07098336277578034,0.10869799633892815,0.15488536791002208,0.33848607033360206,0.929705525499503,1.9751651831442552,1.0
0.15,cell1_x2_twoline,Cell-1 X² 2-line,0.7324491526906122,0.7007579782390547,0.03169117445155737,0.07792295030079086,0.535898681605107,0.015981262626676283,0.0709550837064805,0.10961412475234823,0.15534847431734863,0.3381553372095465,0.9296796517412661,1.9692141339375182,1.0
