trial,target_cv,spatial_mode,coverage_target,target_importance,q,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,random,0.1,0.1,65536,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,0.10000222193699045,1178,30,1.4829223276248242,16.441349,14298.570091,14315.01144,1037.7677840714287,False
0,1.07,random,0.3,0.3,65536,0.30000183566250166,5538,1,5.430981090585143,6.624838,0.30000538223042217,1500,1389,16.748264037478254,0.091441,0.3000129912066954,4201,69,4.870534006740035,14.862559,14298.570091,14313.432649999999,1036.1889940714286,False
0,1.07,random,0.5,0.5,65536,0.5000131784511898,9388,1,9.198934104013862,5.138511,0.5000401717726972,3551,2887,35.23488231971386,0.106189,0.5000223605867002,7934,65,8.479976852868978,13.074419,14298.570091,14311.64451,1034.4008540714285,False
0,1.07,random,0.7,0.7,65536,0.7000147465077846,13193,1,12.922846108194712,4.280828,0.7000039005901427,6795,4318,54.15201734201576,0.110878,0.7000152525883837,11919,57,12.292045807529417,10.910295,14298.570091,14309.480386,1032.2367300714286,False
0,1.07,random,0.9,0.9,65536,0.9000299179301872,16969,1,16.618376128638047,4.00315,0.9000142875018471,12399,4248,58.86652902002502,0.131907,0.9000100719905255,16399,25,16.32454460437599,9.099362,14298.570091,14307.669453,1030.4257970714286,False
0,1.07,random,0.95,0.95,65536,0.9500054807627962,17941,1,17.569661928391998,3.234523,0.9500082672424446,14716,3253,50.18827026664351,0.101149,0.9500057996600828,17618,14,17.39655686648869,8.640524,14298.570091,14307.210615,1029.9669590714286,False
0,1.07,random,0.99,0.99,65536,0.9900503600570335,18721,1,18.333039422021713,3.116714,0.9900007161520626,17530,1299,31.446570497387953,0.075761,0.9900013824504461,18656,4,18.30242728832986,8.316378,14298.570091,14306.886469,1029.6428130714287,False
0,1.07,random,0.1,0.1,131072,0.10001985101927424,1811,1,1.7834068357672639,7.016029,0.10001855856014721,291,286,3.4310518693222742,0.105296,0.10000222193699045,1178,30,1.4829223276248242,25.733631,31029.240483,31054.974114,2242.107951214286,False
0,1.07,random,0.3,0.3,131072,0.30000183566250166,5538,1,5.430981090585143,6.624838,0.30000538223042217,1500,1389,16.748264037478254,0.091441,0.3000129912066954,4201,69,4.870534006740035,23.324179,31029.240483,31052.564662,2239.698499214286,False
0,1.07,random,0.5,0.5,131072,0.5000131784511898,9388,1,9.198934104013862,5.138511,0.5000401717726972,3551,2887,35.23488231971386,0.106189,0.5000223605867002,7934,65,8.479976852868978,20.453375,31029.240483,31049.693858000002,2236.827695214286,False
0,1.07,random,0.7,0.7,131072,0.7000147465077846,13193,1,12.922846108194712,4.280828,0.7000039005901427,6795,4318,54.15201734201576,0.110878,0.7000152525883837,11919,57,12.292045807529417,16.795912,31029.240483,31046.036395000003,2233.170232214286,False
0,1.07,random,0.9,0.9,131072,0.9000299179301872,16969,1,16.618376128638047,4.00315,0.9000142875018471,12399,4248,58.86652902002502,0.131907,0.9000100719905255,16399,25,16.32454460437599,13.859696,31029.240483,31043.100179,2230.234016214286,False
0,1.07,random,0.95,0.95,131072,0.9500054807627962,17941,1,17.569661928391998,3.234523,0.9500082672424446,14716,3253,50.18827026664351,0.101149,0.9500057996600828,17618,14,17.39655686648869,13.243073,31029.240483,31042.483556000003,2229.617393214286,False
0,1.07,random,0.99,0.99,131072,0.9900503600570335,18721,1,18.333039422021713,3.116714,0.9900007161520626,17530,1299,31.446570497387953,0.075761,0.9900013824504461,18656,4,18.30242728832986,12.891787,31029.240483,31042.132270000002,2229.266107214286,False
0,1.07,local,0.1,0.1,1024,0.10004557712255345,1191,1,1.1766195972410805,5.546162,0.10001855856014721,291,83,1.1978720490456884,0.077965,1.0,18944,1,18.55128709007226,0.047469,41.349768,41.397237,3.001023857142857,True
0,1.07,local,0.3,0.3,1024,0.30002560620369356,4851,1,4.758621682734356,4.821458,0.30000538223042217,1500,351,5.329344562369406,0.055183,1.0,18944,1,18.55128709007226,0.012223,41.349768,41.361990999999996,2.9657778571428572,True
0,1.07,local,0.5,0.5,1024,0.5000367544333302,8761,1,8.585296041826899,4.109147,0.5000401717726972,3551,614,10.229868864104604,0.05899,1.0,18944,1,18.55128709007226,0.012594,41.349768,41.362362,2.966148857142857,True
0,1.07,local,0.7,0.7,1024,0.7000226649601295,12567,1,12.310186735102146,3.504167,0.7000039005901426,6795,880,16.33097191289802,0.078427,1.0,18944,1,18.55128709007226,0.011211,41.349768,41.360979,2.964765857142857,True
0,1.07,local,0.9,0.9,1024,0.9000920704386459,16479,1,16.138818472383484,2.746221,0.9000142875018472,12399,921,22.26658191628018,0.075321,1.0,18944,1,18.55128709007226,0.01081,41.349768,41.360578,2.9643648571428574,True
0,1.07,local,0.95,0.95,1024,0.9500372370182557,17660,1,17.29465029286642,2.521051,0.9500082672424445,14716,734,22.477038900748333,0.080771,1.0,18944,1,18.55128709007226,0.01072,41.349768,41.360488,2.964274857142857,True
0,1.07,local,0.99,0.99,1024,0.9900332332370284,18643,1,18.256701672658743,2.369488,0.9900007161520626,17530,336,20.85271745834188,0.06945,1.0,18944,1,18.55128709007226,0.011231,41.349768,41.360999,2.964785857142857,True
0,1.07,local,0.1,0.1,2048,0.10004557712255345,1191,1,1.1766195972410805,5.546162,0.10001855856014721,291,83,1.1978720490456884,0.077965,0.10017485819325993,379,12,0.5029337965465359,0.261539,127.5569,127.818439,9.372746142857144,False
0,1.07,local,0.3,0.3,2048,0.30002560620369356,4851,1,4.758621682734356,4.821458,0.30000538223042217,1500,351,5.329344562369406,0.055183,0.30032483381519776,2121,43,2.548837659225435,0.139882,127.5569,127.696782,9.251089142857143,False
0,1.07,local,0.5,0.5,2048,0.5000367544333302,8761,1,8.585296041826899,4.109147,0.5000401717726972,3551,614,10.229868864104604,0.05899,1.0,18944,1,18.55128709007226,0.136656,127.5569,127.693556,9.247863142857144,True
0,1.07,local,0.7,0.7,2048,0.7000226649601295,12567,1,12.310186735102146,3.504167,0.7000039005901426,6795,880,16.33097191289802,0.078427,1.0,18944,1,18.55128709007226,0.133629,127.5569,127.690529,9.244836142857142,True
0,1.07,local,0.9,0.9,2048,0.9000920704386459,16479,1,16.138818472383484,2.746221,0.9000142875018472,12399,921,22.26658191628018,0.075321,1.0,18944,1,18.55128709007226,0.135834,127.5569,127.692734,9.247041142857142,True
0,1.07,local,0.95,0.95,2048,0.9500372370182557,17660,1,17.29465029286642,2.521051,0.9500082672424445,14716,734,22.477038900748333,0.080771,1.0,18944,1,18.55128709007226,0.133931,127.5569,127.690831,9.245138142857144,True
