method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,nonselector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,fallback_rate,cell_count,length_factor
c2_l3,C2 · 3s,9,0.55,189,0.676891624296551,0.10049035449735448,0.5764012697991965,0.4358213765980311,0.11170604083903879,0.594794304282577,0.5500093959533574,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,10,0.6,189,0.734342754165934,0.10072619576719576,0.6336165583987381,0.4028775519272559,0.09564861103340427,0.6425524924797986,0.6001498457487062,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,11,0.65,189,0.778696516000982,0.1011093439153439,0.677587172085638,0.36244342955095427,0.07949987668839709,0.692185761751952,0.6498501542512938,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,12,0.7,189,0.8234972807603433,0.1043766111111111,0.7191206696492323,0.33024458971771375,0.06612679756507667,0.7372029653932682,0.6999906040466426,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,13,0.75,189,0.8339723835492238,0.10092994444444443,0.7330424391047793,0.2941313648138136,0.0537759491375514,0.7826992730615,0.75,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,14,0.8,189,0.8979686379064816,0.10409732539682538,0.7938713125096563,0.25671571878982435,0.04162734116195997,0.8290925539990581,0.8000093959533574,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,15,0.85,189,0.972161262014677,0.10633042592592591,0.8658308360887511,0.2235555833762403,0.03248178107397892,0.8722211945624578,0.8501498457487062,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,16,0.9,189,0.9970472329684654,0.10109925925925925,0.8959479737092061,0.1798442211876766,0.021216195727151492,0.915949216280034,0.8998501542512938,1.0,0.0,2.0,3.0
c2_l3,C2 · 3s,17,0.95,189,1.0313971270494944,0.10253258465608464,0.9288645423934097,0.12217045889270522,0.01011890362179464,0.9590578640579547,0.9499906040466426,1.0,0.0,2.0,3.0
c2_l4,C2 · 4s,0,0.1,189,0.300675798914816,0.0857876746031746,0.2148881243116414,0.7962758397515962,0.41347895507459287,0.13491245284282338,0.10014984574870615,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,1,0.15,189,0.34382470367799517,0.08950028306878306,0.25432442060921207,0.7481445376539514,0.34572776190187565,0.18920936991298007,0.1498501542512938,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,2,0.2,189,0.39013667986332323,0.09065179894179894,0.2994848809215243,0.7101224773716202,0.3021759390830993,0.24275600705197245,0.19999060404664257,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,3,0.25,189,0.4251599470097864,0.09361475925925926,0.3315451877505271,0.6518104393133726,0.25152347106782214,0.2998465879884346,0.25,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,4,0.3,189,0.4795116299084907,0.0944335238095238,0.38507810609896687,0.6165026150269326,0.22271591141110372,0.3503506536836977,0.3000093959533574,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,5,0.35,189,0.528129428450404,0.09420285449735448,0.4339265739530495,0.5782971116246054,0.19512434642781654,0.4020237009676676,0.3501498457487061,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,6,0.4,189,0.5800532405243405,0.09490614021164019,0.48514710031270036,0.5434513280276584,0.17079004913410809,0.4517828331737922,0.3998501542512938,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,7,0.45,189,0.6017940264331468,0.09675284920634919,0.5050411772267975,0.5104657032541813,0.1487870620041297,0.4994939083144778,0.4499906040466426,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,8,0.5,189,0.6381379892478715,0.09752050529100528,0.5406174839568662,0.4794967040991184,0.13276376200731466,0.5426605760105072,0.5,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,9,0.55,189,0.6935051878863803,0.10313669576719575,0.5903684921191845,0.4466000469302926,0.1145726782935006,0.5921989767639725,0.5500093959533574,1.0,0.0,2.0,4.0
c2_l4,C2 · 4s,10,0.6,189,0.7359277538300173,0.09783777248677247,0.6380899813432448,0.40926656668522843,0.09630236297688152,0.6407084953848017,0.6001498457487062,1.0,0.0,2.0,4.0
