method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,cell_count,length_factor,projection_path_ms
c2_l2,C2 · 2s,17,0.95,9,0.6015447013907962,0.6551353335380554,0.22902499304877388,0.4162040915754106,0.9499906040466427,0,2.0,2.0,1.0409251825372337
c2_l3,C2 · 3s,0,0.1,9,13.25690343644884,0.0,11.874062750074598,1.4531612793604534,0.10014984574870617,0,2.0,3.0,0.29622624330141806
c2_l3,C2 · 3s,1,0.15,9,12.09438705444336,0.0,10.772470315297445,1.3995519081751506,0.14985015425129372,0,2.0,3.0,0.3455880185290673
c2_l3,C2 · 3s,2,0.2,9,12.014094352722168,0.0026455026947789667,10.766900062561035,1.6046046747101679,0.19999060404664257,0,2.0,3.0,0.387108225004819
c2_l3,C2 · 3s,3,0.25,9,13.250117090013292,0.005952381011512544,11.872623761494955,1.4377045498953924,0.25,0,2.0,3.0,0.4231098041293381
c2_l3,C2 · 3s,4,0.3,9,11.881105740865072,0.012413512915372843,10.643029901716444,1.2951708767149184,0.30000939595335735,0,2.0,3.0,0.4744015821039891
c2_l3,C2 · 3s,5,0.35,9,12.18017832438151,0.006982527259323323,11.178054438696968,1.5123415523105197,0.3501498457487061,0,2.0,3.0,0.5185103147192569
c2_l3,C2 · 3s,6,0.4,9,13.135121663411459,0.007376882454587345,11.743359671698677,1.3985279202461243,0.3998501542512938,0,2.0,3.0,0.5582487725953359
c2_l3,C2 · 3s,7,0.45,9,11.272932900322807,0.025307370556725377,10.243883556789822,1.4096350736088223,0.4499906040466426,0,2.0,3.0,0.5931750844924905
c2_l3,C2 · 3s,8,0.5,9,11.46168851852417,0.01743263254563012,10.422189500596788,1.4484946131706238,0.5,0,2.0,3.0,0.6322976402267675
c2_l3,C2 · 3s,9,0.55,9,12.270177523295084,0.003306878316733567,11.335802819993761,1.3985104362169902,0.5500093959533574,0,2.0,3.0,0.676891624296551
c2_l3,C2 · 3s,10,0.6,9,11.01011848449707,0.019158544225825167,10.010494338141548,1.4495456748538547,0.6001498457487062,0,2.0,3.0,0.734342754165934
c2_l3,C2 · 3s,11,0.65,9,9.137274689144558,0.04963531164038509,8.058967696295845,1.1195367044872708,0.6498501542512938,0,2.0,3.0,0.778696516000982
c2_l3,C2 · 3s,12,0.7,9,7.355555746290419,0.07813722536795666,6.331748406092326,1.0247420072555542,0.6999906040466426,0,2.0,3.0,0.8234972807603433
