model,shape,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate
tiny11,2048x5632,0.55,0.09101562500000004,18,1.0
tiny11,2048x5632,0.6,0.08925781249999998,18,1.0
tiny11,2048x5632,0.65,0.08554687500000002,18,1.0
tiny11,2048x5632,0.7,0.08134765624999996,18,1.0
tiny11,2048x5632,0.75,0.08642578125,18,1.0
tiny11,2048x5632,0.8,0.08906250000000004,18,1.0
tiny11,2048x5632,0.85,0.07412109374999998,18,1.0
tiny11,2048x5632,0.9,0.05576171875000002,18,1.0
tiny11,2048x5632,0.925,0.07060546874999996,18,1.0
tiny11,2048x5632,0.95,0.033984374999999956,18,1.0
tiny11,5632x2048,0.5,0.2474076704545455,9,1.0
tiny11,5632x2048,0.55,0.2642045454545455,9,1.0
tiny11,5632x2048,0.6,0.27620738636363645,9,1.0
tiny11,5632x2048,0.65,0.2809303977272727,9,1.0
tiny11,5632x2048,0.7,0.275,9,1.0
tiny11,5632x2048,0.75,0.25735085227272725,9,1.0
tiny11,5632x2048,0.8,0.22816051136363635,9,1.0
tiny11,5632x2048,0.85,0.18654119318181828,9,1.0
tiny11,5632x2048,0.9,0.18160511363636367,9,1.0
tiny11,5632x2048,0.925,0.12301136363636367,9,1.0
tiny11,5632x2048,0.95,0.1092684659090909,9,1.0
