model,prompt,situation,policy,mode,budget_index,budget_fraction,target,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,search_attempts_mean,feasible_rate,fallback_calls
qwen05,test_medium_code,medium,cell8_r25,cell8,3,0.25,,2.5622923374176025,0.7109388113021851,11.699411392211914,0.025641025975346565,4.315040588378906,15.003782272338867,10.688741683959961,168,0.25,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r30,cell8,4,0.3,,1.82174551486969,0.6957201361656189,10.361958503723145,0.06410256773233414,4.315040588378906,13.256111145019531,8.941070556640625,168,0.3001854524704619,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r35,cell8,5,0.35,,2.2077739238739014,0.697157621383667,13.605941772460938,0.025641025975346565,4.315040588378906,17.269948959350586,12.95490837097168,168,0.35037090494092366,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r40,cell8,6,0.4,,2.8281538486480713,0.7111855149269104,15.452932357788086,0.025641025975346565,4.315040588378906,18.763057708740234,14.448017120361328,168,0.39962909505907634,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r45,cell8,7,0.45,,2.77425479888916,0.6800941228866577,13.521688461303711,0.025641025975346565,4.315040588378906,17.365755081176758,13.050714492797852,168,0.4498145475295381,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r50,cell8,8,0.5,,2.1589725017547607,0.6918255686759949,9.271602630615234,0.0,4.315040588378906,12.435555458068848,8.120514869689941,168,0.5,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r55,cell8,9,0.55,,1.4540297985076904,0.6757689714431763,9.780625343322754,0.05128205195069313,4.315040588378906,12.988419532775879,8.673378944396973,168,0.550185452470462,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r60,cell8,10,0.6,,2.409406900405884,0.7249711751937866,10.0795316696167,0.025641025975346565,4.315040588378906,13.20177936553955,8.886738777160645,168,0.6003709049409238,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r65,cell8,11,0.65,,1.2473911046981812,0.6306765079498291,8.68632984161377,0.05128205195069313,4.315040588378906,12.05809497833252,7.743054389953613,168,0.6496290950590762,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r70,cell8,12,0.7,,1.3097387552261353,0.6254737377166748,10.132488250732422,0.03846153989434242,4.315040588378906,13.724123001098633,9.409082412719727,168,0.6998145475295381,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r75,cell8,13,0.75,,1.1818993091583252,0.6665656566619873,8.544161796569824,0.07692307978868484,4.315040588378906,12.28779411315918,7.972753524780273,168,0.75,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r80,cell8,14,0.8,,1.1495534181594849,0.7217192649841309,9.087759017944336,0.03846153989434242,4.315040588378906,12.289777755737305,7.974737167358398,168,0.8001854524704617,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r85,cell8,15,0.85,,1.2467458248138428,0.8402208685874939,6.397229194641113,0.025641025975346565,4.315040588378906,9.969847679138184,5.654807090759277,168,0.8503709049409238,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r90,cell8,16,0.9,,1.0046515464782715,0.5244059562683105,5.556924819946289,0.11538461595773697,4.315040588378906,9.270305633544922,4.955265045166016,168,0.8996290950590762,1.0,1.0,0
qwen05,test_medium_code,medium,cell8_r95,cell8,17,0.95,,0.9297558665275574,0.45995956659317017,4.127721309661865,0.1666666716337204,4.315040588378906,7.7495222091674805,3.434481620788574,168,0.9498145475295383,1.0,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.5,adaptive,0,,0.5,1.2519279718399048,0.7356393933296204,9.303580284118652,0.0,4.315040588378906,12.297526359558105,7.982485771179199,168,0.5564523403933942,1.3214285714285714,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.55,adaptive,0,,0.55,2.2482903003692627,0.6853593587875366,13.137980461120605,0.0,4.315040588378906,16.767982482910156,12.45294189453125,168,0.6067171626051736,1.2023809523809523,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.6,adaptive,0,,0.6,1.2850738763809204,0.6258903741836548,8.838465690612793,0.025641025975346565,4.315040588378906,12.35926628112793,8.044225692749023,168,0.667259317378267,1.4345238095238095,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.65,adaptive,0,,0.65,1.178727388381958,0.5908561944961548,7.289536952972412,0.05128205195069313,4.315040588378906,10.600457191467285,6.285416603088379,168,0.7260201983754028,1.1428571428571428,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.7,adaptive,0,,0.7,1.1927053928375244,0.5530377626419067,6.876619815826416,0.10256410390138626,4.315040588378906,10.291023254394531,5.975982666015625,168,0.774906714330469,1.1011904761904763,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.75,adaptive,0,,0.75,0.8089250922203064,0.3819769024848938,3.513477087020874,0.3076923191547394,4.315040588378906,7.242857933044434,2.9278173446655273,168,0.8482520475295381,1.0,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.8,adaptive,0,,0.8,0.7574801445007324,0.3011976480484009,2.3732593059539795,0.5512820482254028,4.315040588378906,6.381546497344971,2.0665059089660645,168,0.8860406107344254,1.0,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.85,adaptive,0,,0.85,0.9758922457695007,0.511836051940918,4.979746341705322,0.11538461595773697,4.315040588378906,8.546680450439453,4.231639862060547,168,0.9061361900845865,1.0952380952380953,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.9,adaptive,0,,0.9,0.9827913045883179,0.5167593955993652,4.123897552490234,0.21794871985912323,4.315040588378906,7.687872409820557,3.3728318214416504,168,0.9378617092396169,1.0476190476190477,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.925,adaptive,0,,0.925,0.9420260190963745,0.4842851161956787,3.9623613357543945,0.20512820780277252,4.315040588378906,7.481662273406982,3.166621685028076,168,0.948321382418099,1.0,1.0,0
qwen05,test_medium_code,medium,adaptive_t0.95,adaptive,0,,0.95,0.9297558665275574,0.45995956659317017,4.127721309661865,0.1666666716337204,4.315040588378906,7.7495222091674805,3.434481620788574,168,0.9498145475295383,1.0119047619047619,0.9940476190476191,0
qwen05,test_medium_code,medium,adaptive_calibrated,adaptive_calibrated,0,,0.0,1.2155405282974243,0.6799373626708984,10.178956985473633,0.03846153989434242,4.315040588378906,13.356226921081543,9.041186332702637,168,0.6083889970461869,1.369047619047619,1.0,0
qwen05,test_long_structured,long,paper_r10,paper,0,0.1,,1.5024561882019043,1.104760766029358,16.24008560180664,0.0,4.793145656585693,18.91166114807129,14.118515014648438,168,0.09144233351235231,1.0,1.0,0
qwen05,test_long_structured,long,paper_r15,paper,1,0.15,,1.4312968254089355,0.787122368812561,7.130382061004639,0.0,4.793145656585693,10.502151489257812,5.709005832672119,168,0.14696059344790546,1.0,1.0,0
qwen05,test_long_structured,long,paper_r20,paper,2,0.2,,1.541935682296753,0.7949637174606323,7.764083385467529,0.0535714291036129,4.793145656585693,10.790521621704102,5.997375965118408,168,0.1927698711063373,1.0,1.0,0
qwen05,test_long_structured,long,paper_r25,paper,3,0.25,,1.9336113929748535,0.7679527997970581,8.256869316101074,0.0,4.793145656585693,11.67029094696045,6.877145290374756,168,0.2498825187969925,1.0,1.0,0
qwen05,test_long_structured,long,paper_r30,paper,4,0.3,,1.5050164461135864,0.6695248484611511,8.368683815002441,0.0476190485060215,4.793145656585693,11.989161491394043,7.19601583480835,168,0.29569179645542426,1.0,1.0,0
qwen05,test_long_structured,long,paper_r35,paper,5,0.35,,1.9725761413574219,0.683661937713623,10.808501243591309,0.0535714291036129,4.793145656585693,14.361827850341797,9.568681716918945,168,0.3413248523093448,1.0,1.0,0
qwen05,test_long_structured,long,paper_r40,paper,6,0.4,,1.9588427543640137,0.6577751636505127,13.532735824584961,0.0535714291036129,4.793145656585693,16.900142669677734,12.106996536254883,168,0.39701933404940926,1.0,1.0,0
qwen05,test_long_structured,long,paper_r45,paper,7,0.45,,1.8700793981552124,0.74072265625,11.055743217468262,0.0535714291036129,4.793145656585693,14.913477897644043,10.120332717895508,168,0.4426523899033297,1.0,1.0,0
