policy,mode,budget_index,budget_fraction,target,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,feasible_rate,projection_path_ms
cell8_r35,cell8,5,0.35,,9,12.315521346198189,0.006883394490513522,11.134453879462349,1.5632541047202215,0.3501498457487061,1.0,0.5832809125021208
cell8_r40,cell8,6,0.4,,9,11.434956921471489,0.018106409762468564,10.425712373521593,1.511814170413547,0.3998501542512938,1.0,0.6230407410630363
cell8_r45,cell8,7,0.45,,9,11.227955712212456,0.0112167554390099,10.139008945888943,1.5070949991544087,0.4499906040466426,1.0,0.6661073331583722
cell8_r50,cell8,8,0.5,,9,11.657801946004232,0.02333874643469848,10.656889809502495,1.5235278010368347,0.5,1.0,0.6877701877188317
cell8_r55,cell8,9,0.55,,9,10.769691732194689,0.02600395575993589,9.691555976867676,1.326371020740933,0.5500093959533574,1.0,0.755609653426548
cell8_r60,cell8,10,0.6,,9,8.519597583346897,0.03327374822563592,7.3933994505140515,1.2370485994550917,0.6001498457487062,1.0,0.8037754761271054
cell8_r65,cell8,11,0.65,,9,8.069072988298204,0.05730333096451226,7.062450091044108,1.0684270395172968,0.6498501542512938,1.0,0.8535437670979894
cell8_r70,cell8,12,0.7,,9,6.44514799118042,0.06994156570484239,5.527538432015313,0.984752012623681,0.6999906040466426,1.0,0.9004602411572609
cell8_r75,cell8,13,0.75,,9,5.794718795352512,0.12877593572354973,4.828392240736219,0.9103277391857572,0.75,1.0,0.905376433600637
cell8_r80,cell8,14,0.8,,9,4.688711643218994,0.20133790953291786,3.725304034021166,0.8556421200434366,0.8000093959533573,1.0,0.9974322780450923
cell8_r85,cell8,15,0.85,,9,2.8509572678142123,0.31308160577383304,2.074974020322164,0.7737625572416518,0.8501498457487061,1.0,1.0596579414193077
cell8_r90,cell8,16,0.9,,9,2.467284166150623,0.38779966284831363,1.7318721214930217,0.6693572435114119,0.8998501542512939,1.0,1.1037966298526183
cell8_r95,cell8,17,0.95,,9,1.5587277313073475,0.5410692542791367,1.036031511094835,0.5290928383668264,0.9499906040466427,1.0,1.1237936990299557
paper_r10,paper,0,0.1,,9,14.25604894426134,0.0013888889095849443,12.845267825656467,1.5011008977890015,0.09651415851926894,1.0,0.5793472883109672
paper_r15,paper,1,0.15,,9,11.60441255569458,0.0033421346710787777,10.359810140397814,1.4500705003738403,0.14876618672289485,1.0,0.6770665236837684
paper_r20,paper,2,0.2,,9,12.369837178124321,0.008801383897662156,11.071887069278294,1.4259745942221747,0.19717734881033755,1.0,0.707277793559983
paper_r25,paper,3,0.25,,9,11.789568212297228,0.019588784625132867,10.772083653344048,1.5543261766433716,0.24996083959899748,1.0,0.7499139575055844
paper_r30,paper,4,0.3,,9,11.704020182291666,0.01413334637052482,10.592721144358316,1.3721385134590998,0.2982324927578686,1.0,0.7965447961829529
paper_r35,paper,5,0.35,,9,11.710204230414497,0.015132501721382134,10.680266380310059,1.5883304211828444,0.34647499811826643,1.0,0.8634011770641972
paper_r40,paper,6,0.4,,9,12.170986440446642,0.025419439810017732,10.969031439887154,1.3527985281414456,0.3987857669233962,1.0,0.8881135531073105
paper_r45,paper,7,0.45,,9,11.271714316474068,0.022750028098622945,10.277249548170301,1.341227286391788,0.44713818840933506,1.0,0.9377147168329759
paper_r50,paper,8,0.5,,9,9.760278330908882,0.023306541869209843,8.60834370719062,1.3491777115397983,0.49998041979949875,1.0,0.963646322523722
paper_r55,paper,9,0.55,,9,8.893751197391087,0.03955048157109152,7.6661744647555885,1.1556299328804016,0.5481933323568662,1.0,1.0187518864218974
paper_r60,paper,10,0.6,,9,8.557203663720024,0.0252768891967005,7.607950475480822,1.1380412644810147,0.5964945783187676,1.0,1.0804042963311022
paper_r65,paper,11,0.65,,9,8.109722084469265,0.04509306595557262,7.033200449413723,1.0522314839892917,0.6488053471238975,1.0,1.1348815986667826
paper_r70,paper,12,0.7,,9,6.2026121616363525,0.09965566462940635,5.100098927815755,0.9312567379739549,0.6971577686098364,1.0,1.163443439511771
paper_r75,paper,13,0.75,,9,4.977282285690308,0.16028740877906478,3.933073149787055,0.8868155611885918,0.75,1.0,1.2241329259226947
paper_r80,paper,14,0.8,,9,4.588180859883626,0.19163215812295673,3.65949018796285,0.9119353095690409,0.7982129125573675,1.0,1.2986306115377155
paper_r85,paper,15,0.85,,9,2.9082143041822643,0.3195876632299688,2.06764288743337,0.7579998009734683,0.8465141585192689,1.0,1.3802770928097459
paper_r90,paper,16,0.9,,9,2.117678185304006,0.4349854124916924,1.4589480426576402,0.66440482934316,0.8987661867228951,1.0,1.4315258838336167
paper_r95,paper,17,0.95,,9,1.0912665377060573,0.5875511831707425,0.6467394696341621,0.4696333275900947,0.9471773488103374,1.0,1.4619293465814405
