trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,quant_build_ms,quant_peak_states
7,3.3,local,3.3000000000000003,0.824110070372904,0.5481342859030888,63.774255,1339
7,3.3,hot-cold,3.3000000000000003,0.11948344526448479,0.9197369130370578,92.65745,1783
7,4.55,random,4.550000000000002,0.0032496125107078534,0.5137437541838964,80.082996,1779
7,4.55,local,4.550000000000002,0.5666573554749393,0.523120712971592,54.56069,1130
7,4.55,hot-cold,4.550000000000002,0.08359958515159804,0.897975000207378,90.607149,1650
7,9.19,random,9.190000000000003,-0.004621158667349111,0.4849770237902286,62.359361,1262
7,9.19,local,9.190000000000001,0.6178298262788752,0.381592488716414,52.175183,1089
7,9.19,hot-cold,9.19,0.03720819926707685,0.9734654207672211,79.224793,1347
8,1.07,random,1.07,-0.0036620902087994406,0.5039439276901361,70.087831,1819
8,1.07,local,1.0699999999999998,0.9286716220567455,0.5417200224206669,55.024106,1258
8,1.07,hot-cold,1.0699999999999998,0.37686351906139687,0.7590130542871611,80.682837,1942
8,1.25,random,1.2500000000000002,0.01161681275936345,0.49882326803975996,73.869576,1869
8,1.25,local,1.2500000000000002,0.9268780407461661,0.5909603483577045,54.907688,1062
8,1.25,hot-cold,1.2500000000000002,0.36144320456901785,0.7902333592635467,82.701258,1862
8,1.44,random,1.4400000000000004,0.001526328635379628,0.49480911417415013,77.630364,2005
8,1.44,local,1.4400000000000002,0.9058678038714364,0.5404010830607633,55.433762,1262
8,1.44,hot-cold,1.4400000000000004,0.2900568335871515,0.8044833712837097,83.192976,1854
8,2.48,random,2.480000000000001,0.0034065206780523488,0.49222910901252614,78.610775,1945
8,2.48,local,2.480000000000001,0.7761986526163941,0.5260319696200508,56.071513,1235
8,2.48,hot-cold,2.480000000000001,0.18114252652852367,0.8740680269099077,88.296973,1805
8,3.3,random,3.3,-0.0024390779884956924,0.50878123077364,82.183329,1889
8,3.3,local,3.299999999999999,0.7415434209863946,0.46019947992308624,53.349667,1214
8,3.3,hot-cold,3.3,0.10626638578548252,0.8912915104647373,88.398181,1734
8,4.55,random,4.550000000000002,0.01670356060503008,0.5271843094979403,76.052135,1743
8,4.55,local,4.550000000000001,0.670385451703859,0.3889482500554702,55.68963,1445
8,4.55,hot-cold,4.55,0.09761268108489043,0.9360395169144808,89.932498,1670
8,9.19,random,9.190000000000005,-0.0052613681866450915,0.5387842591013923,63.925517,1383
8,9.19,local,9.190000000000001,0.5050459775682754,0.45368412340490993,47.036863,920
8,9.19,hot-cold,9.190000000000001,0.023455544492697697,0.9639803861269531,80.394167,1400
9,1.07,random,1.0700000000000003,-0.01371423860624146,0.5022183101535461,71.636204,2013
9,1.07,local,1.0700000000000003,0.8705412822360801,0.5046970641070924,50.144489,1142
9,1.07,hot-cold,1.0700000000000003,0.34046456711613265,0.7491750943345925,76.260665,1946
9,1.25,random,1.2500000000000002,-9.987976828480368e-05,0.508912367085862,70.140399,1913
9,1.25,local,1.2500000000000002,0.8791080400194095,0.4552699439771697,47.896579,1079
9,1.25,hot-cold,1.2500000000000004,0.3370674672437418,0.7828615328734005,79.592178,1936
9,1.44,random,1.4400000000000006,0.030955831195823274,0.5097098191141183,76.577897,2013
9,1.44,local,1.4400000000000006,0.8963509569314296,0.5219111679930959,52.096467,1146
9,1.44,hot-cold,1.4400000000000006,0.3332503767985132,0.8081885367450616,82.970752,1897
9,2.48,random,2.48,0.004440220686719892,0.48394081373580367,81.491588,1967
9,2.48,local,2.4800000000000004,0.8707806536700903,0.5573082766323972,58.153563,1282
9,2.48,hot-cold,2.48,0.19984885954744075,0.8866170552961959,88.607683,1801
9,3.3,random,3.3,-0.007029185173496681,0.501828508982384,78.536697,1901
9,3.3,local,3.3,0.5902280141096502,0.45909967658103285,59.810479,1400
9,3.3,hot-cold,3.3000000000000003,0.10421275779923637,0.8880029757108433,86.782093,1694
9,4.55,random,4.549999999999999,-0.004404794130103754,0.4677974475820828,72.381526,1670
9,4.55,local,4.549999999999999,0.765264373510797,0.541497605042982,54.872322,1202
9,4.55,hot-cold,4.549999999999999,0.10173984657069746,0.9342365140098441,91.451126,1733
9,9.19,random,9.19,-0.0013329622283040478,0.5771778935060883,66.016314,1451
9,9.19,local,9.19,0.5756990543101224,0.6453672134267829,50.859886,972
9,9.19,hot-cold,9.19,0.0300943394479339,0.9648147802560074,82.567748,1547
10,1.07,random,1.07,0.0025104116736939376,0.5074663784781602,71.667592,1967
10,1.07,local,1.0699999999999998,0.9379983813041907,0.5081994499032948,52.757131,1146
10,1.07,hot-cold,1.0699999999999998,0.3631818768526936,0.7617203904135643,79.043484,1904
10,1.25,random,1.2500000000000002,-0.001562037365603836,0.4929133316266052,79.672148,1917
10,1.25,local,1.2500000000000004,0.9029243773888023,0.49163329916925885,59.880249,1534
10,1.25,hot-cold,1.2500000000000002,0.3398965884956474,0.7909008167223425,81.175026,1850
10,1.44,random,1.44,0.0015255311833150644,0.4970807396097513,80.947841,1978
10,1.44,local,1.4400000000000002,0.9249802319865282,0.4311052719312959,51.175766,1146
10,1.44,hot-cold,1.44,0.3210078834697135,0.8070055091164353,84.7521,1891
10,2.48,random,2.48,-0.005947307392978667,0.4876215347577324,81.401099,1975
10,2.48,local,2.48,0.9044780648398355,0.4484738171912995,55.526084,1272
10,2.48,hot-cold,2.48,0.20713532107644372,0.8744318842443225,89.01795,1762
10,3.3,random,3.3000000000000007,0.004010352065487606,0.500576080259234,79.4057,1881
10,3.3,local,3.3000000000000003,0.6634592462629089,0.46801361794075513,55.985683,1222
10,3.3,hot-cold,3.3,0.09959745517877265,0.8928140339200934,89.146149,1738
10,4.55,random,4.550000000000002,-0.006114431779123119,0.5248234522007942,79.676276,1821
10,4.55,local,4.550000000000002,0.6567236672807854,0.45454275918540593,55.937643,1214
10,4.55,hot-cold,4.55,0.06905961134930955,0.9334385684774967,89.695796,1669
10,9.19,random,9.190000000000001,0.027203517449253894,0.4513361273932587,57.851068,1289
10,9.19,local,9.190000000000001,0.6785489149605365,0.49707405009464556,51.635625,1034
10,9.19,hot-cold,9.190000000000001,0.04877504598237077,0.9782860128877291,82.178932,1479
11,1.07,random,1.07,-0.018079222610360147,0.4943049521977764,64.723279,1788
11,1.07,local,1.07,0.9413773113821434,0.5196149206853937,53.764433,1098
11,1.07,hot-cold,1.0700000000000003,0.36315294201799203,0.7591358599975907,79.905905,1968
11,1.25,random,1.25,-0.006580014323018813,0.5029711292698675,74.801789,1999
11,1.25,local,1.25,0.9266731865681108,0.47489253238141993,51.117417,1136
11,1.25,hot-cold,1.2500000000000002,0.3503706307079649,0.7814702772177401,79.961579,1870
11,1.44,random,1.4400000000000002,0.01653137876329518,0.49262908799344285,80.064431,1934
11,1.44,local,1.4400000000000004,0.8838159211339351,0.49922354385808465,61.514393,1400
11,1.44,hot-cold,1.4400000000000004,0.3275609357280723,0.8099543331324197,84.989373,1884
11,2.48,random,2.4800000000000004,0.002820986986391968,0.4874627662480812,79.592449,1935
11,2.48,local,2.48,0.8206395742677851,0.45617513357643985,67.628396,1355
11,2.48,hot-cold,2.4800000000000004,0.1661458588634376,0.875050573452784,89.51594,1817
11,3.3,random,3.3000000000000007,-0.0056357689511584465,0.5354157187978773,83.309694,1914
11,3.3,local,3.3000000000000007,0.6846391773889411,0.5220249037130109,61.187963,1332
11,3.3,hot-cold,3.3000000000000007,0.08684120025215133,0.8890794960072601,88.0437,1738
11,4.55,random,4.550000000000002,-0.0020445984562055086,0.5071607695198943,74.859877,1788
11,4.55,local,4.550000000000002,0.555392899441248,0.48421945338330324,57.742315,1304
11,4.55,hot-cold,4.550000000000001,0.05995681576837597,0.9269794829587651,87.948922,1687
11,9.19,random,9.190000000000001,-0.0058980036529781565,0.4801584130457625,59.604835,1077
11,9.19,local,9.19,0.5543262655244874,0.3798974292716566,44.827084,972
11,9.19,hot-cold,9.19,0.013442091509291277,0.9806787271735636,84.968043,1423
12,1.07,random,1.0700000000000003,0.0012768376732171232,0.4901775973502353,72.718727,1987
12,1.07,local,1.0700000000000003,0.9339279053980704,0.47299666465998447,57.67533,1328
12,1.07,hot-cold,1.0700000000000005,0.39257380613156545,0.7634560095801581,80.670103,1954
12,1.25,random,1.25,-0.005659679261006225,0.5084647321716029,74.165259,1976
12,1.25,local,1.25,0.8563234582556267,0.5190610715241674,57.684797,1334
12,1.25,hot-cold,1.2499999999999996,0.3268304226249084,0.7805992689412743,79.296847,1900
12,1.44,random,1.4400000000000004,-0.00492704500318035,0.49828786514776385,73.862814,1936
12,1.44,local,1.4400000000000004,0.8573298136960992,0.469485480630753,53.768761,1322
12,1.44,hot-cold,1.4400000000000004,0.2858992656526066,0.7936886495158539,83.155566,1845
12,2.48,random,2.48,-0.009118337354828598,0.4806066140725619,78.192324,1928
12,2.48,local,2.48,0.7440500746925323,0.4700072189310967,53.407586,1186
12,2.48,hot-cold,2.48,0.1528207120344633,0.860957665107294,88.196355,1725
12,3.3,random,3.3000000000000003,-0.0005471248245701756,0.5079391093007737,80.586196,1976
12,3.3,local,3.3000000000000007,0.8343847913473051,0.49746653109702677,54.244078,1328
12,3.3,hot-cold,3.3,0.16576348657947357,0.9100901248961918,88.300279,1693
12,4.55,random,4.550000000000002,0.0008851540892327634,0.5335179725104338,75.494082,1850
12,4.55,local,4.550000000000002,0.5170272358700553,0.44589543646147306,56.210724,1289
12,4.55,hot-cold,4.550000000000002,0.059037472133601714,0.880158019494839,84.892431,1682
12,9.19,random,9.190000000000005,-0.006241442520712451,0.5076173747447142,67.545411,1370
12,9.19,local,9.190000000000001,0.5922127069688158,0.2485019508195035,49.483794,972
12,9.19,hot-cold,9.190000000000007,0.03839928358112736,0.9624395950608241,85.131979,1499
13,1.07,random,1.07,-0.011129831238634355,0.49027698501493283,73.097144,1986
13,1.07,local,1.0699999999999998,0.9252762917117422,0.5224283558549786,47.586249,854
13,1.07,hot-cold,1.07,0.35053962838488173,0.7569625270780466,80.050014,1924
