method,method_label,score_kind,control_kind,budget_index,control_value,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selected_fraction_std,chunks,fallback_rate
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,10,0.6,63,1.0393783651215964,0.028636444448715128,0.09165949206349207,0.8652050952380952,0.016221460235852046,0.03765587313544179,0.3638204455020882,0.08112495759176826,0.8317811621559991,0.6,0.0,3.2857142857142856,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,11,0.65,63,1.1008169286704044,0.028636444448715128,0.09421969841269841,0.9210338015873015,0.0165434920835116,0.04038349213817758,0.3380971023487666,0.06974417822701585,0.8525960587319874,0.65,0.0,3.1904761904761907,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,12,0.7,63,1.1331573175795617,0.028636444448715128,0.09995465079365079,0.9470444444444445,0.016177269837094624,0.041344508055656634,0.30788891295355464,0.05815400017632374,0.8778486687039572,0.7,0.0,3.0,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,13,0.75,63,1.215044134728302,0.028636444448715128,0.09358692063492063,1.0332936587301587,0.016413968219052184,0.043113142695455284,0.27580263997827253,0.04719804771362785,0.8994079799879164,0.75,0.0,2.7777777777777777,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,14,0.8,63,1.2008460793573108,0.028636444448715128,0.09163355555555555,1.0185824285714287,0.016602412649681587,0.0453912381319299,0.2520061002245971,0.03891646483587835,0.9166892265516614,0.8,0.0,2.5555555555555554,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,15,0.85,63,1.2590217538369959,0.028636444448715128,0.09481449206349206,1.06622376984127,0.016244317316228378,0.053102730167290474,0.21928932411330085,0.029890821093604625,0.9356164979556251,0.85,0.0,2.253968253968254,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,16,0.9,63,1.3040248571784876,0.028636444448715128,0.09370077777777777,1.110352015873016,0.016745650726887863,0.0545899683520907,0.1828552581192482,0.021273769083477157,0.954885462919871,0.9,0.0,1.8888888888888888,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,17,0.95,63,1.3108055323178873,0.028636444448715128,0.09040831746031747,1.1196927063492064,0.016427682461364824,0.055640381598283335,0.13366253626725028,0.012184917926788278,0.9769136215013171,0.95,0.0,1.380952380952381,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,18,0.97,63,1.5395176272225823,0.028636444448715128,0.0927789365079365,1.3187117698412698,0.016780190539383642,0.08261028588527719,0.0861231907019539,0.005090736207507861,0.989645570989639,0.969810267857143,4.592940244154294e-05,1.253968253968254,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,19,0.98,63,1.5623550398724713,0.028636444448715128,0.09161928571428571,1.3424045793650794,0.016911745973167854,0.08278298437122308,0.07120348912264615,0.003468556063515759,0.9928767056692214,0.980189732142857,4.592940244154126e-05,1.253968253968254,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,20,0.99,63,1.540791897113272,0.028636444448715128,0.10410163492063493,1.3310277857142856,0.016780698435410572,0.06024533359422567,0.04960076634343415,0.0017481853091527106,0.9965995228479779,0.9896205357142858,9.185880488314707e-05,1.2380952380952381,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,0,0.1,63,0.3253106507648844,0.028636444448715128,0.08902377777777777,0.17834909523809522,0.012217396825906725,0.017083936474389452,0.8575723632460549,0.5040580138327584,0.3193801019399885,0.009891699735449686,0.019620204690434385,1.0952380952380953,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,1,0.15,63,0.3775780395490423,0.028636444448715128,0.08927795238095239,0.22931799206349207,0.012618666662583227,0.017726983993299375,0.8470957712048576,0.4807893189172896,0.33584727725339314,0.01891534391534386,0.03461064206065859,1.2063492063492063,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,2,0.2,63,0.36932836510049916,0.028636444448715128,0.09044409523809524,0.2190742380952381,0.012828952381535131,0.018344634936915453,0.8369102485123134,0.4611287826583499,0.35321325655021363,0.02972883597883593,0.048341141363331314,1.3333333333333333,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,3,0.25,63,0.3965810793252086,0.028636444448715128,0.0881998888888889,0.24842385714285714,0.012669968256165062,0.018650920588582233,0.8217036929868516,0.4352797042755854,0.37377364626006476,0.045928406084656044,0.06504118764300039,1.4126984126984128,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,4,0.3,63,0.4198354603009451,0.028636444448715128,0.0913591746031746,0.2665395238095238,0.013124571462708753,0.020175745976822663,0.7946362095692802,0.39971278111139935,0.4022097521358066,0.0618158895502645,0.08396280749137423,1.6984126984126984,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,5,0.35,63,0.46849521436600644,0.028636444448715128,0.08858931746031747,0.31482297619047617,0.014327873061928434,0.022118603204569123,0.770490397300039,0.3690346914624411,0.436119183188393,0.09265666335978832,0.0990184080672761,1.8253968253968254,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,6,0.4,63,0.4938495237651278,0.028636444448715128,0.08784020634920635,0.34002836507936507,0.013825523755734823,0.023518984132106294,0.7419321629263106,0.341531893563649,0.4719120680339753,0.11842137896825393,0.11410472707837072,1.9523809523809523,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,7,0.45,63,0.5615678652454803,0.028636444448715128,0.08616571428571429,0.40703084920634924,0.014269968287812294,0.02546488901688934,0.7093690120511584,0.31275207561159885,0.5050541143568735,0.15770089285714284,0.13653207433179787,2.142857142857143,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,8,0.5,63,0.5935876586667962,0.028636444448715128,0.08667022222222223,0.43637470634920633,0.01427200001974896,0.027634285626903364,0.6670608324190926,0.2666067121520874,0.5503040589983501,0.19119957010582006,0.15132846760399746,2.238095238095238,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,9,0.55,63,0.6710365713390727,0.028636444448715128,0.0898716507936508,0.5085269523809524,0.015110095164605496,0.02889142855114876,0.6225641528292308,0.2196306434888688,0.6049548803813873,0.2345630787037037,0.15592275876175363,2.2857142857142856,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,10,0.6,63,0.6985289599611239,0.028636444448715128,0.08643304761904762,0.5370584523809524,0.014958730115303865,0.03144228539710475,0.5878373926121091,0.1927937411126636,0.640684081448449,0.27290013227513227,0.1681851905608962,2.365079365079365,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,11,0.65,63,0.7447167697565811,0.028636444448715128,0.08558401587301587,0.5814697698412699,0.015730793513948908,0.033295746079631226,0.5449147269366279,0.16643200223408045,0.6904111703236898,0.32331555886243385,0.18660646430703284,2.4603174603174605,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,12,0.7,63,0.8410060635442241,0.028636444448715128,0.08487493650793651,0.6754002063492064,0.015142095245657418,0.03695238099270866,0.5079287827487976,0.14575835069020587,0.726906176597353,0.3757151124338624,0.20011868373326774,2.4603174603174605,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,13,0.75,63,0.9069639761587277,0.028636444448715128,0.08849387301587301,0.7350613412698412,0.015450412584912155,0.03932190483938603,0.4577240284000124,0.12043652174964779,0.7764149961017427,0.42720527447089945,0.21492351977202037,2.3968253968253967,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,14,0.8,63,0.9589097384168156,0.028636444448715128,0.08524687301587301,0.7859462936507937,0.016120380928946812,0.04295974637248682,0.4102447321490636,0.09766692206973117,0.8161444427475096,0.4923363095238095,0.21988708618553057,2.4761904761904763,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,15,0.85,63,1.063272476152103,0.028636444448715128,0.0876470634920635,0.8814504285714285,0.015719618943948542,0.04981892069594723,0.35521604995878914,0.07500100230413766,0.8582266550215464,0.5567604993386243,0.234082482600706,2.3968253968253967,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,16,0.9,63,1.1496440637245424,0.028636444448715128,0.08810646031746032,0.9663660476190477,0.015542857127175395,0.050992254212143824,0.28958711311930696,0.05147411615129496,0.9042864981151763,0.6550181878306878,0.24710257451827217,2.1587301587301586,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,17,0.95,63,1.3224224044936526,0.028636444448715128,0.08656342857142858,1.1320575793650793,0.016042666583661946,0.0591222855247675,0.20513893179004153,0.02834195939321362,0.9547387702124459,0.7750372023809523,0.22935717280529705,1.8253968253968254,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,18,0.97,63,1.4798277538180966,0.028636444448715128,0.08496298412698414,1.2888695952380953,0.016137142754381557,0.06122158724992043,0.16401902935098084,0.018269887046208404,0.9708682837940398,0.8396246693121694,0.18431436767131373,1.7936507936507937,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,19,0.98,63,1.4532487064501494,0.028636444448715128,0.08462853968253968,1.2586082301587302,0.016653714125000236,0.06472177803516384,0.13284757555950252,0.01205393435463068,0.9809124431912861,0.8860863095238095,0.13763500032576065,1.746031746031746,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,20,0.99,63,1.551826500145197,0.028636444448715128,0.0852793492063492,1.3594939444444443,0.016289523699217327,0.06212723834647068,0.092511673531835,0.006002280447218103,0.9906203907633585,0.9323123346560847,0.08142884704546427,1.5396825396825398,0.0
paper,Paper fixed R |x|,abs,fixed_r,0,0.1,63,0.762340849263249,0.03059606357581081,0.2903539365079365,0.40630716666666666,0.014804825423255757,0.02027885708957905,0.7186366213219506,0.33217722839779323,0.17017339962342426,0.1,0.0,2.6984126984126986,0.0
paper,Paper fixed R |x|,abs,fixed_r,1,0.15,63,0.8316307144241201,0.03059606357581081,0.2949674126984127,0.46786076190476195,0.015723174556143655,0.02248330168899085,0.6536222825211192,0.2643197462672279,0.2298980809393383,0.15,0.0,3.492063492063492,0.0
paper,Paper fixed R |x|,abs,fixed_r,2,0.2,63,0.9206183969238108,0.03059606357581081,0.3034084444444444,0.544300746031746,0.016445460241465284,0.025867682630344,0.6196096723987943,0.23770525436552742,0.2815970955860047,0.2,0.0,3.8095238095238093,0.0
paper,Paper fixed R |x|,abs,fixed_r,3,0.25,63,1.001430793662288,0.03059606357581081,0.30624311111111113,0.6196204444444444,0.016610031755315814,0.02836114277560555,0.5675096947049337,0.19897798980985365,0.33844609345708576,0.25,0.0,4.492063492063492,0.0
paper,Paper fixed R |x|,abs,fixed_r,4,0.3,63,1.0649493253863689,0.03059606357581081,0.30067168253968257,0.6868320555555556,0.0162895238174805,0.030559999897839477,0.5425127713926254,0.1805280494311499,0.38835959207443965,0.3,0.0,4.936507936507937,0.0
paper,Paper fixed R |x|,abs,fixed_r,5,0.35,63,1.1426683733753533,0.03059606357581081,0.3115916507936508,0.7505733571428571,0.016675047546861603,0.033232254316172855,0.5017601192470581,0.15433581102462038,0.44204818682065083,0.35,0.0,5.444444444444445,0.0
paper,Paper fixed R |x|,abs,fixed_r,6,0.4,63,1.2088112703973177,0.03059606357581081,0.30676469841269843,0.8207660634920635,0.016822857117014218,0.03386158779973072,0.4681368044444493,0.13472918480161633,0.4897282672306848,0.4,0.0,5.9523809523809526,0.0
paper,Paper fixed R |x|,abs,fixed_r,7,0.45,63,1.3086538173753952,0.03059606357581081,0.3162651904761905,0.9116368809523809,0.016094984161475298,0.03406069820953735,0.44033708789991954,0.11867521111927332,0.5372506943013933,0.45,0.0,6.428571428571429,0.0
paper,Paper fixed R |x|,abs,fixed_r,8,0.5,63,1.3769244286460838,0.03059606357581081,0.3141232857142857,0.980824761904762,0.015805460305677473,0.03557485714554782,0.41099682438468177,0.10463248831885198,0.5830602134977069,0.5,0.0,7.015873015873016,0.0
paper,Paper fixed R |x|,abs,fixed_r,9,0.55,63,1.4687897063936222,0.03059606357581081,0.3152879365079365,1.0706867857142857,0.01569219045932325,0.03652673013626579,0.371162547064679,0.0864613226481846,0.6328838391909524,0.55,0.0,7.666666666666667,0.0
paper,Paper fixed R |x|,abs,fixed_r,10,0.6,63,1.6928415160834422,0.03059606357581081,0.32096336507936507,1.2872300238095238,0.016184888824465667,0.037867174794276516,0.3464429974555969,0.07530951594549508,0.6753392474991935,0.6,0.0,7.809523809523809,0.0
paper,Paper fixed R |x|,abs,fixed_r,11,0.65,63,1.5179340558648384,0.03059606357581081,0.3194526349206349,1.1115216746031744,0.016164063476026006,0.04019961928919189,0.3176584223669673,0.06345644356712457,0.7186302854901269,0.65,0.0,8.158730158730158,0.0
paper,Paper fixed R |x|,abs,fixed_r,12,0.7,63,1.5871412618184013,0.03059606357581081,0.3221185396825397,1.1768627222222223,0.016202158693756324,0.04136177764407221,0.2883347790274355,0.052354092635805594,0.7615987743650164,0.7,0.0,8.587301587301587,0.0
paper,Paper fixed R |x|,abs,fixed_r,13,0.75,63,1.618378245957786,0.03059606357581081,0.32061741269841265,1.2036254682539684,0.018346666713200805,0.045192634716393405,0.24415588769174754,0.0387490864783998,0.8057587799571809,0.75,0.0,8.841269841269842,0.0
paper,Paper fixed R |x|,abs,fixed_r,14,0.8,63,1.7396314762382006,0.03059606357581081,0.33318463492063494,1.3138952222222222,0.016702476134967184,0.045253079384565305,0.21414984336921145,0.030257583610595166,0.8461458474870712,0.8,0.0,9.0,0.0
paper,Paper fixed R |x|,abs,fixed_r,15,0.85,63,1.8284541507989518,0.03059606357581081,0.3388804920634921,1.3887960079365078,0.016822857146580012,0.05335873007656085,0.179073229136448,0.02149738868077591,0.8865086190284245,0.85,0.0,8.634920634920634,0.0
paper,Paper fixed R |x|,abs,fixed_r,16,0.9,63,1.8693620876317083,0.03059606357581081,0.3498237777777778,1.417823007936508,0.016673523784866355,0.05444571455674508,0.14129974864541536,0.013617843862563796,0.926337891154819,0.9,0.0,8.079365079365079,0.0
paper,Paper fixed R |x|,abs,fixed_r,17,0.95,63,1.8530515241749657,0.03059606357581081,0.3607669365079365,1.3898754444444443,0.016359618924085058,0.05545346072268859,0.09532379781797762,0.006317384659297838,0.9641954927217393,0.95,0.0,6.857142857142857,0.0
paper,Paper fixed R |x|,abs,fixed_r,18,0.97,63,1.8590182067724836,0.03059606357581081,0.35301603174603174,1.3957149365079367,0.016602920590057205,0.0630882543526471,0.07732227556998764,0.004213899847060868,0.9765495071335445,0.9666666666666668,0.002916426641429364,6.26984126984127,0.0
paper,Paper fixed R |x|,abs,fixed_r,19,0.98,63,1.883834278134521,0.03059606357581081,0.3541425238095238,1.4166098492063492,0.016455111005121696,0.06603073053771537,0.060398181612115485,0.002629610281141942,0.985119881137969,0.9783482142857143,0.002171186703005683,5.507936507936508,0.0
paper,Paper fixed R |x|,abs,fixed_r,20,0.99,63,1.8342356825915576,0.03059606357581081,0.34937199999999996,1.3776713015873017,0.016442412569645796,0.060153904858799165,0.04334788001881582,0.0013379861438084764,0.9920705632557945,0.9883184523809524,0.000966338327825654,4.380952380952381,0.0
