n,target_cv,observed_cv,trial,spatial_mode,target_fraction,method,method_label,importance_fraction,importance_overshoot,rows,chunks,two_line_ms,lookup_ms,coverage_met,fallback_used,error
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c4,TD-2L (4),0.6739862892830479,0.22398628928304798,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c8,TD-2L (8),0.4635962077105547,0.013596207710554753,979,7,0.3185582410645825,0.32578817024908413,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c16,TD-2L (16),0.4635962077105547,0.013596207710554753,979,7,0.3185582410645825,0.32578817024908413,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c32,TD-2L (32),0.4635962077105547,0.013596207710554753,979,7,0.3185582410645825,0.32578817024908413,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c8_trim64,TD-2L (8) + trim 64,0.45012212646653776,0.00012212646653780856,949,7,0.3103950154219711,0.3190100101922224,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,td_2l_c16_trim256,TD-2L (16) + trim 256,0.45012212646653776,0.00012212646653780856,949,7,0.3103950154219711,0.3190100101922224,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,tiles_half_s,Tiles (s/2),0.4657334037341887,0.015733403734188744,1020,2,0.33182591387455873,0.3391118295403837,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,tiles_s,Tiles (s),0.4644634929551091,0.014463492955109125,1012,2,0.3292233576873073,0.3360236589856095,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,tiles_2s,Tiles (2s),0.4888140069918693,0.03881400699186932,1080,1,0.35134508527894454,0.35890361990950226,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,paper_bucket64,Paper bucket 64,0.4723109974374704,0.022310997437470448,1038,11,0.3784827503481189,0.36892596022338175,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,paper_bucket256,Paper bucket 256,0.4665795331589315,0.01657953315893157,1020,9,0.3504657651584955,0.34912807354033293,True,False,
4864,1.25,1.25,1,hot-cold,0.44999999999999996,paper_bucket1024,Paper bucket 1024,0.45626268977761775,0.0062626897776177914,996,8,0.3360144216428947,0.33833238373171526,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,paper,Paper,0.5070753768372824,0.007075376837282488,1146,9,0.3917142598232262,0.3945083752837358,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,supported_full,Full supported,0.5254709570720044,0.025470957072004474,1169,8,0.38036895051180425,0.38820211577473557,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c4,TD-2L (4),0.6739862892830479,0.173986289283048,1769,10,0.5754902369059749,0.5878708366851014,True,False,
4864,1.25,1.25,1,hot-cold,0.49999999999999994,td_2l_c8,TD-2L (8),0.5254709570720044,0.025470957072004474,1169,8,0.38036895051180425,0.38820211577473557,True,False,
