latency_model,target_cv,spatial_mode,method,method_label,points,coverage_success_rate,fallback_rate,mean_saving_vs_paper_pct,mean_saving_vs_supported_pct,strict_win_rate_vs_paper,strict_win_rate_vs_supported
lookup,4.55,hot-cold,paper_bucket64,Paper bucket 64,60,1.0,0.05,-2.1966483333678606,-15.583317588853278,0.26666666666666666,0.13333333333333333
lookup,4.55,hot-cold,supported_full,Full supported,60,1.0,0.0,10.323804428141075,0.0,0.9,0.0
lookup,4.55,hot-cold,td_2l_c16,TD-2L (16),60,1.0,0.0,10.323804428141075,0.0,0.9,0.0
lookup,4.55,hot-cold,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,16.46719304085265,6.191438595598322,0.9833333333333333,0.95
lookup,4.55,hot-cold,td_2l_c32,TD-2L (32),60,1.0,0.0,10.323804428141075,0.0,0.9,0.0
lookup,4.55,hot-cold,td_2l_c4,TD-2L (4),60,1.0,0.0,-99.94318702588558,-123.0074739833229,0.16666666666666666,0.0
lookup,4.55,hot-cold,td_2l_c8,TD-2L (8),60,1.0,0.0,9.706476928270405,-0.7361712333037479,0.9,0.0
lookup,4.55,hot-cold,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,15.675392502949927,5.378725032437241,0.9666666666666667,0.8666666666666667
lookup,4.55,hot-cold,tiles_2s,Tiles (2s),60,1.0,0.0,-16.17693488166972,-29.154793063139174,0.4666666666666667,0.11666666666666667
lookup,4.55,hot-cold,tiles_half_s,Tiles (s/2),60,1.0,0.0,4.68105297750015,-6.85589012316134,0.7,0.16666666666666666
lookup,4.55,hot-cold,tiles_s,Tiles (s),60,1.0,0.0,-4.1739438758202425,-16.466401638060347,0.6166666666666667,0.13333333333333333
lookup,4.55,local,paper,Paper,60,1.0,0.016666666666666666,0.0,-13.26363130538913,0.0,0.03333333333333333
lookup,4.55,local,paper_bucket1024,Paper bucket 1024,60,1.0,0.016666666666666666,-0.40914071816134573,-13.732653867443252,0.2833333333333333,0.03333333333333333
lookup,4.55,local,paper_bucket256,Paper bucket 256,60,1.0,0.05,-1.630678307073792,-15.214763440784596,0.26666666666666666,0.03333333333333333
lookup,4.55,local,paper_bucket64,Paper bucket 64,60,1.0,0.05,-9.261682671598148,-23.648962071541504,0.2,0.016666666666666666
lookup,4.55,local,supported_full,Full supported,60,1.0,0.0,10.675905889259413,0.0,0.9666666666666667,0.0
lookup,4.55,local,td_2l_c16,TD-2L (16),60,1.0,0.0,10.675905889259413,0.0,0.9666666666666667,0.0
lookup,4.55,local,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,15.836671062950664,5.336683558477587,0.9833333333333333,1.0
lookup,4.55,local,td_2l_c32,TD-2L (32),60,1.0,0.0,10.675905889259413,0.0,0.9666666666666667,0.0
lookup,4.55,local,td_2l_c4,TD-2L (4),60,1.0,0.0,-102.60537746858797,-121.40644574144213,0.18333333333333332,0.0
lookup,4.55,local,td_2l_c8,TD-2L (8),60,1.0,0.0,9.347505449932717,-1.5424110951347698,0.9333333333333333,0.0
lookup,4.55,local,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,15.10870983136149,4.492146284078625,0.9833333333333333,0.7833333333333333
lookup,4.55,local,tiles_2s,Tiles (2s),60,1.0,0.0,-135.48086130588024,-159.16053178023847,0.05,0.0
lookup,4.55,local,tiles_half_s,Tiles (s/2),60,1.0,0.0,-16.331255698139902,-30.51756854019851,0.15,0.0
lookup,4.55,local,tiles_s,Tiles (s),60,1.0,0.0,-57.86797113718581,-75.2102300047023,0.06666666666666667,0.0
lookup,4.55,random,paper,Paper,60,1.0,0.016666666666666666,0.0,-12.201712400880744,0.0,0.1
lookup,4.55,random,paper_bucket1024,Paper bucket 1024,60,1.0,0.016666666666666666,0.047463998734928646,-12.14982246147895,0.3,0.1
lookup,4.55,random,paper_bucket256,Paper bucket 256,60,1.0,0.05,-0.6201218370498274,-12.8278416852302,0.3,0.11666666666666667
lookup,4.55,random,paper_bucket64,Paper bucket 64,60,1.0,0.05,-3.046864782866601,-15.197788964905033,0.18333333333333332,0.06666666666666667
lookup,4.55,random,supported_full,Full supported,60,1.0,0.0,9.396259519212471,0.0,0.9,0.0
lookup,4.55,random,td_2l_c16,TD-2L (16),60,1.0,0.0,9.396259519212471,0.0,0.9,0.0
lookup,4.55,random,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,12.81646381746354,3.45517632329171,0.9833333333333333,0.9
lookup,4.55,random,td_2l_c32,TD-2L (32),60,1.0,0.0,9.396259519212471,0.0,0.9,0.0
lookup,4.55,random,td_2l_c4,TD-2L (4),60,1.0,0.0,-63.34881047462831,-90.10887013234506,0.21666666666666667,0.0
lookup,4.55,random,td_2l_c8,TD-2L (8),60,1.0,0.0,8.392121154869155,-1.0942148227700121,0.9,0.016666666666666666
lookup,4.55,random,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,12.020020096277488,2.6112490991727246,0.9666666666666667,0.7
lookup,4.55,random,tiles_2s,Tiles (2s),60,1.0,0.0,-41.14989113157301,-59.50913769087599,0.1,0.0
lookup,4.55,random,tiles_half_s,Tiles (s/2),60,1.0,0.0,-7.63861703254406,-19.701758962650185,0.31666666666666665,0.016666666666666666
lookup,4.55,random,tiles_s,Tiles (s),60,1.0,0.0,-16.017293647991885,-29.55529394064646,0.13333333333333333,0.0
two_line,1.25,hot-cold,paper,Paper,60,1.0,0.05,0.0,-8.876987765927778,0.0,0.08333333333333333
two_line,1.25,hot-cold,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,-0.1414497820204887,-9.034070986466698,0.2,0.08333333333333333
two_line,1.25,hot-cold,paper_bucket256,Paper bucket 256,60,1.0,0.05,-0.9326412086691972,-9.785821987727774,0.35,0.1
two_line,1.25,hot-cold,paper_bucket64,Paper bucket 64,60,1.0,0.05,-3.1213768077499373,-12.035205720921795,0.3333333333333333,0.11666666666666667
two_line,1.25,hot-cold,supported_full,Full supported,60,1.0,0.0,7.42321835027725,0.0,0.9166666666666666,0.0
two_line,1.25,hot-cold,td_2l_c16,TD-2L (16),60,1.0,0.0,7.42321835027725,0.0,0.9166666666666666,0.0
two_line,1.25,hot-cold,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,12.148940090584524,4.574388605786903,1.0,1.0
two_line,1.25,hot-cold,td_2l_c32,TD-2L (32),60,1.0,0.0,7.42321835027725,0.0,0.9166666666666666,0.0
two_line,1.25,hot-cold,td_2l_c4,TD-2L (4),60,1.0,0.0,-69.20221384706609,-78.45960172401233,0.18333333333333332,0.0
two_line,1.25,hot-cold,td_2l_c8,TD-2L (8),60,1.0,0.0,6.821054465739068,-0.6876316135549343,0.9,0.0
two_line,1.25,hot-cold,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,11.532155694522112,3.946011960828534,1.0,0.8666666666666667
two_line,1.25,hot-cold,tiles_2s,Tiles (2s),60,1.0,0.0,0.7347189904871475,-7.567537646141244,0.7,0.11666666666666667
two_line,1.25,hot-cold,tiles_half_s,Tiles (s/2),60,1.0,0.0,5.604823082336281,-2.2412514579305785,0.9166666666666666,0.3
two_line,1.25,hot-cold,tiles_s,Tiles (s),60,1.0,0.0,4.353558499018353,-3.9569736293076287,0.8333333333333334,0.25
two_line,1.25,local,paper,Paper,60,1.0,0.05,0.0,-9.827586927362022,0.0,0.1
two_line,1.25,local,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,-0.007396999678816833,-9.832294631919389,0.25,0.1
two_line,1.25,local,paper_bucket256,Paper bucket 256,60,1.0,0.05,-0.3870388687581535,-10.279393543477102,0.3333333333333333,0.11666666666666667
two_line,1.25,local,paper_bucket64,Paper bucket 64,60,1.0,0.05,-1.4039821281496896,-11.402113017802037,0.2833333333333333,0.11666666666666667
two_line,1.25,local,supported_full,Full supported,60,1.0,0.0,8.303527750708453,0.0,0.9,0.0
two_line,1.25,local,td_2l_c16,TD-2L (16),60,1.0,0.0,8.303527750708453,0.0,0.9,0.0
two_line,1.25,local,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,12.496820553218067,4.228242948715561,0.9666666666666667,0.9666666666666667
two_line,1.25,local,td_2l_c32,TD-2L (32),60,1.0,0.0,8.303527750708453,0.0,0.9,0.0
two_line,1.25,local,td_2l_c4,TD-2L (4),60,1.0,0.0,-77.88233616821516,-92.69536674123142,0.2,0.0
two_line,1.25,local,td_2l_c8,TD-2L (8),60,1.0,0.0,6.929373513855566,-1.5507114484927098,0.85,0.0
two_line,1.25,local,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,11.532712489798199,3.18936518738233,0.95,0.75
two_line,1.25,local,tiles_2s,Tiles (2s),60,1.0,0.0,-37.19553969749113,-49.01454412616793,0.13333333333333333,0.0
two_line,1.25,local,tiles_half_s,Tiles (s/2),60,1.0,0.0,-3.1412356800929846,-12.611947169899585,0.4,0.0
two_line,1.25,local,tiles_s,Tiles (s),60,1.0,0.0,-11.964492750949848,-22.43313271964254,0.23333333333333334,0.016666666666666666
two_line,1.25,random,paper,Paper,60,1.0,0.05,0.0,-6.288143443082246,0.0,0.11666666666666667
two_line,1.25,random,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,0.031579089233431855,-6.252966232072154,0.1,0.11666666666666667
two_line,1.25,random,paper_bucket256,Paper bucket 256,60,1.0,0.03333333333333333,-1.665104938661781,-7.566527539890055,0.38333333333333336,0.08333333333333333
two_line,1.25,random,paper_bucket64,Paper bucket 64,60,1.0,0.05,-2.840703260109959,-8.881303062392396,0.16666666666666666,0.1
two_line,1.25,random,supported_full,Full supported,60,1.0,0.0,5.097402283048759,0.0,0.8833333333333333,0.0
two_line,1.25,random,td_2l_c16,TD-2L (16),60,1.0,0.0,5.097402283048759,0.0,0.8833333333333333,0.0
two_line,1.25,random,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,9.72398254366792,4.170729931807585,1.0,0.8833333333333333
two_line,1.25,random,td_2l_c32,TD-2L (32),60,1.0,0.0,5.097402283048759,0.0,0.8833333333333333,0.0
two_line,1.25,random,td_2l_c4,TD-2L (4),60,1.0,0.0,-50.670767079271926,-54.29302545613741,0.26666666666666666,0.0
two_line,1.25,random,td_2l_c8,TD-2L (8),60,1.0,0.0,4.255701017016724,-0.9270702550717218,0.85,0.0
two_line,1.25,random,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,7.6858642971470355,2.3099696000438064,0.95,0.7833333333333333
two_line,1.25,random,tiles_2s,Tiles (2s),60,1.0,0.0,-5.827310067313279,-11.925781916105901,0.26666666666666666,0.05
two_line,1.25,random,tiles_half_s,Tiles (s/2),60,1.0,0.0,-1.4728664430547036,-7.355120418217281,0.5166666666666667,0.06666666666666667
two_line,1.25,random,tiles_s,Tiles (s),60,1.0,0.0,0.04737047143211317,-5.641725795135401,0.6166666666666667,0.13333333333333333
two_line,3.3,hot-cold,paper,Paper,60,1.0,0.05,0.0,-14.109773464856325,0.0,0.15
two_line,3.3,hot-cold,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,0.08935808444191877,-13.968351493341608,0.31666666666666665,0.15
two_line,3.3,hot-cold,paper_bucket256,Paper bucket 256,60,1.0,0.05,-1.7912962252948774,-15.862792507124233,0.3333333333333333,0.11666666666666667
two_line,3.3,hot-cold,paper_bucket64,Paper bucket 64,60,1.0,0.05,-3.742115525461259,-18.41187061331557,0.3,0.13333333333333333
two_line,3.3,hot-cold,supported_full,Full supported,60,1.0,0.0,9.846595032136426,0.0,0.85,0.0
two_line,3.3,hot-cold,td_2l_c16,TD-2L (16),60,1.0,0.0,9.846595032136426,0.0,0.85,0.0
two_line,3.3,hot-cold,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,17.983672197738617,7.345053640996695,0.9833333333333333,0.9666666666666667
two_line,3.3,hot-cold,td_2l_c32,TD-2L (32),60,1.0,0.0,9.846595032136426,0.0,0.85,0.0
two_line,3.3,hot-cold,td_2l_c4,TD-2L (4),60,1.0,0.0,-92.62593078458578,-111.7943391553545,0.16666666666666666,0.0
two_line,3.3,hot-cold,td_2l_c8,TD-2L (8),60,1.0,0.0,8.886391178788754,-1.1183856707308037,0.8333333333333334,0.0
two_line,3.3,hot-cold,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,16.3925899476556,6.082760941950175,0.95,0.9
two_line,3.3,hot-cold,tiles_2s,Tiles (2s),60,1.0,0.0,-1.7370905681476974,-14.870092155718208,0.6833333333333333,0.15
two_line,3.3,hot-cold,tiles_half_s,Tiles (s/2),60,1.0,0.0,9.309668479061454,-2.3496788579101233,0.85,0.31666666666666665
two_line,3.3,hot-cold,tiles_s,Tiles (s),60,1.0,0.0,3.9724753630481895,-8.097590361014037,0.7666666666666667,0.2
two_line,3.3,local,paper,Paper,60,1.0,0.016666666666666666,0.0,-13.797361818881884,0.0,0.03333333333333333
two_line,3.3,local,paper_bucket1024,Paper bucket 1024,60,1.0,0.03333333333333333,-0.27951065900301864,-14.133646916957186,0.2,0.016666666666666666
two_line,3.3,local,paper_bucket256,Paper bucket 256,60,1.0,0.016666666666666666,-1.0442826564772232,-15.057068334425574,0.21666666666666667,0.016666666666666666
two_line,3.3,local,paper_bucket64,Paper bucket 64,60,1.0,0.05,-4.831189298472544,-19.638493192215684,0.16666666666666666,0.06666666666666667
