method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_x2,Cell-1 X²,x2,0,0.1,63,0.30061436495951527,0.2718108094576834,0.028803555501831862,0.08371996825396824,0.11252352375580012,0.1537345238095238,0.07188617460317459,0.041400611111111096,0.014660063465791042,0.019696253928400163,0.7854876669626387,0.3899365937899029,0.1,1.3333333333333333,1.0,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,63,0.30773884919170535,0.27893529368987346,0.028803555501831862,0.08636330158730157,0.11516685708913345,0.15599446825396826,0.0689935,0.04925516666666665,0.014969904774001624,0.021607619074601927,0.7181950238725495,0.31933960555091734,0.15,1.7619047619047619,1.0,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,63,0.3364781664258601,0.3076746109240282,0.028803555501831862,0.08807908730158728,0.11688264280341916,0.17971234920634918,0.077635373015873,0.061536373015872996,0.015456507869419541,0.024426666546672065,0.6711800376337672,0.2778062877200898,0.2,2.111111111111111,1.0,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,63,0.3307010474157371,0.3018974919139052,0.028803555501831862,0.08730377777777776,0.11610733327960965,0.1716304126984127,0.06409803968253966,0.07103761904761904,0.016025396803068682,0.026937904634645956,0.625324357123602,0.23063806598148645,0.25,2.3968253968253967,1.0,0.0
cell1_x2,Cell-1 X²,x2,4,0.3,63,0.34413802348310507,0.3153344679812732,0.028803555501831862,0.08722345238095236,0.11602700788278425,0.18325158730158728,0.06453992063492062,0.08256019047619045,0.01564698401720272,0.02921244428153071,0.5896009326217666,0.20621256317411146,0.3,2.619047619047619,1.0,0.0
cell1_x2,Cell-1 X²,x2,5,0.35,63,0.36924319049416554,0.3404396349923336,0.028803555501831862,0.08922325396825395,0.11802680947008584,0.2041606349206349,0.07011314285714285,0.09458511904761904,0.015581460181801045,0.031474285921643606,0.5383555380597947,0.17113660819946772,0.35,2.8095238095238093,1.0,0.0
cell1_x2,Cell-1 X²,x2,6,0.4,63,0.37214352418150787,0.3433399686796759,0.028803555501831862,0.08651612698412697,0.11531968248595885,0.20838396825396827,0.06702449206349205,0.10394748412698412,0.01579428561741392,0.032645587824166725,0.515722894479358,0.15458120523937163,0.4,3.0317460317460316,1.0,0.0
cell1_x2,Cell-1 X²,x2,7,0.45,63,0.38730629339570183,0.3585027378938699,0.028803555501831862,0.0907034365079365,0.11950699200976837,0.2201309841269841,0.06753710317460315,0.11563046825396824,0.014989206375228934,0.03267911088372029,0.4670659452676773,0.12910293019007119,0.45,3.0634920634920637,1.0,0.0
cell1_x2,Cell-1 X²,x2,8,0.5,63,0.4034293649122734,0.3746258094104415,0.028803555501831862,0.0897276746031746,0.11853123010500646,0.23514676984126984,0.07010357936507934,0.12715259523809522,0.015264000004482596,0.03448736496151434,0.43430176637475454,0.11158820561000275,0.5,3.2222222222222223,1.0,0.0
cell1_x2,Cell-1 X²,x2,9,0.55,63,0.4164554125982816,0.3876518570964497,0.028803555501831862,0.09017199999999997,0.11897555550183186,0.24694119047619048,0.07162743650793649,0.1386288333333333,0.015152761934413747,0.035385904685845404,0.4062325389139236,0.09819272964719737,0.55,3.238095238095238,1.0,0.0
cell1_x2,Cell-1 X²,x2,10,0.6,63,0.4295931983944424,0.40078964289261043,0.028803555501831862,0.09025635714285712,0.11905991264468901,0.2588248412698413,0.0720501349206349,0.14968935714285714,0.015243682507721157,0.036464761972190805,0.3638204455020882,0.08112495759176826,0.6,3.2857142857142856,1.0,0.0
cell1_x2,Cell-1 X²,x2,11,0.65,63,0.44480037316572574,0.4159968176638938,0.028803555501831862,0.08883034920634918,0.11763390470818107,0.2726034206349206,0.07426190476190475,0.16114009523809522,0.015499682490906023,0.03906336533171785,0.3380971023487666,0.06974417822701585,0.65,3.1904761904761907,1.0,0.0
cell1_x2,Cell-1 X²,x2,12,0.7,63,0.4662875159779503,0.4374839604761184,0.028803555501831862,0.09153415079365078,0.12033770629548265,0.2896745079365079,0.07872236507936506,0.1726424206349206,0.015801396812238345,0.04047390493372125,0.30788891295355464,0.05815400017632374,0.7,3.0,1.0,0.0
cell1_x2,Cell-1 X²,x2,13,0.75,63,0.4840388883720712,0.45523533287023926,0.028803555501831862,0.09221906349206348,0.12102261899389535,0.3053898571428571,0.08193492063492062,0.18359995238095236,0.015907555434202338,0.04171885680111623,0.27580263997827253,0.04719804771362785,0.75,2.7777777777777777,1.0,0.0
cell1_x2,Cell-1 X²,x2,14,0.8,63,0.4794965473618526,0.4506929918600207,0.028803555501831862,0.08672721428571428,0.11553076978754616,0.304371619047619,0.07296873809523807,0.19364770634920633,0.015688634817562355,0.04390552370912495,0.2520061002245971,0.03891646483587835,0.8,2.5555555555555554,1.0,0.0
