trial,target_cv,spatial_mode,q,budget_rows,target_importance,paper_aff_ms,paper_runtime_ms,paper_gap_pct,quant_aff_ms,quant_solve_ms,quant_single_query_ms,quant_gap_pct,paper_extra_vs_quant_pct
4,1.25,random,32,96,0.44595512537209553,0.02442290768018733,0.495085,0.0,0.02582103495789743,0.068197,7.964351,5.724655295013492,-5.4146833385641635
4,1.25,random,32,128,0.5646627371154878,0.028896914968859648,0.499263,0.0,0.03225242043536389,0.070772,7.966926,11.611985120627066,-10.403887277945255
4,1.25,random,32,160,0.7044902962969493,0.04437180807170234,0.520613,27.618697274789938,0.03602736408518116,0.066334,7.9624880000000005,3.619065136260513,23.161405776986687
4,1.25,random,32,192,0.788359470589256,0.04884581536037466,0.518138,30.02906949052604,0.046792944123548924,0.017243,7.913397,24.564262838432338,4.387138435669868
4,1.25,random,32,224,0.8882441038893392,0.053319822649046986,0.541882,25.58029428156834,0.046792944123548924,0.01616,7.912314,10.208012731289307,13.948424592102882
4,1.25,random,256,32,0.19044049178152878,0.015474893102842693,0.864646,0.0,0.015614705830613702,0.12828,56.525127999999995,0.9034810569730212,-0.8953913655990742
4,1.25,random,256,64,0.29669161229690294,0.019948900391515013,0.520663,2.147720089992422,0.01952946220820198,0.111999,56.508846999999996,0.0,2.147720089992422
4,1.25,random,256,96,0.44595512537209553,0.02442290768018733,0.495085,0.0,0.02442290768018733,0.109745,56.506592999999995,0.0,0.0
4,1.25,random,256,128,0.5646627371154878,0.028896914968859648,0.499263,0.0,0.028896914968859648,0.111759,56.508607,0.0,0.0
4,1.25,random,256,160,0.7044902962969493,0.04437180807170234,0.520613,27.618697274789938,0.03476904953524207,0.10171,56.498557999999996,0.0,27.618697274789938
4,1.25,random,256,192,0.788359470589256,0.04884581536037466,0.518138,30.02906949052604,0.03756530409066227,0.10149,56.498338,0.0,30.02906949052604
4,1.25,random,256,224,0.8882441038893392,0.053319822649046986,0.541882,25.58029428156834,0.04245874956264761,0.09648,56.493328,0.0,25.58029428156834
4,1.25,random,512,32,0.19044049178152878,0.015474893102842693,0.864646,0.0,0.015474893102842693,0.167553,89.603915,0.0,0.0
4,1.25,random,512,64,0.29669161229690294,0.019948900391515013,0.520663,2.147720089992422,0.01952946220820198,0.135453,89.571815,0.0,2.147720089992422
4,1.25,random,512,96,0.44595512537209553,0.02442290768018733,0.495085,0.0,0.02442290768018733,0.137117,89.573479,0.0,0.0
4,1.25,random,512,128,0.5646627371154878,0.028896914968859648,0.499263,0.0,0.028896914968859648,0.131576,89.567938,0.0,0.0
4,1.25,random,512,160,0.7044902962969493,0.04437180807170234,0.520613,27.618697274789938,0.03476904953524207,0.119894,89.556256,0.0,27.618697274789938
4,1.25,random,512,192,0.788359470589256,0.04884581536037466,0.518138,30.02906949052604,0.03756530409066227,0.120966,89.557328,0.0,30.02906949052604
4,1.25,random,512,224,0.8882441038893392,0.053319822649046986,0.541882,25.58029428156834,0.04245874956264761,0.114274,89.550636,0.0,25.58029428156834
4,1.25,random,8,32,0.19044049178152878,0.015474893102842693,0.864646,0.0,0.046792944123548924,0.016521,2.608394,202.37975676195913,-66.92900309503109
4,1.25,random,8,64,0.29669161229690294,0.019948900391515013,0.520663,2.147720089992422,0.046792944123548924,0.012754,2.6046270000000002,139.60180584950686,-57.36771693859808
4,1.25,random,8,96,0.44595512537209553,0.02442290768018733,0.495085,0.0,0.046792944123548924,0.012012,2.603885,91.59448472021579,-47.806430782165066
4,1.25,random,8,128,0.5646627371154878,0.028896914968859648,0.499263,0.0,0.046792944123548924,0.011512,2.6033850000000003,61.93058731001104,-38.24514462573205
4,1.25,random,8,160,0.7044902962969493,0.04437180807170234,0.520613,27.618697274789938,0.046792944123548924,0.011491,2.603364,34.582177968711456,-5.174147720763167
4,1.25,random,8,192,0.788359470589256,0.04884581536037466,0.518138,30.02906949052604,0.046792944123548924,0.011752,2.603625,24.564262838432338,4.387138435669868
4,1.25,random,8,224,0.8882441038893392,0.053319822649046986,0.541882,25.58029428156834,0.046792944123548924,0.011521,2.603394,10.208012731289307,13.948424592102882
4,1.25,random,1024,32,0.19044049178152878,0.015474893102842693,0.864646,0.0,0.015474893102842693,0.196207,127.923535,0.0,0.0
4,1.25,random,1024,64,0.29669161229690294,0.019948900391515013,0.520663,2.147720089992422,0.01952946220820198,0.14983,127.877158,0.0,2.147720089992422
