trial,target_cv,spatial_mode,coverage_target,exact_achieved,exact_rows,exact_chunks,exact_aff_ms
1,2.48,local,0.1,0.148248678529397,2,1,0.011280511269712393
1,2.48,local,0.3,0.3339444497358728,6,1,0.011839762180796434
1,2.48,local,0.5,0.5012215239071595,29,1,0.015055454919529664
1,2.48,local,0.7,0.7068799069870128,79,1,0.022046091308080162
1,2.48,local,0.9,0.9012726366300563,163,1,0.033790360440845
1,2.48,local,0.95,0.9515439631981549,185,1,0.03686624045180722
1,2.48,local,0.99,0.9908631017047796,213,1,0.0407809968293955
1,2.48,hot-cold,0.1,0.1224863439000176,2,1,0.011280511269712393
1,2.48,hot-cold,0.3,0.3195357915116226,21,1,0.013936953097361583
1,2.48,hot-cold,0.5,0.5231259256398451,35,1,0.015894331286155722
1,2.48,hot-cold,0.7,0.7012499182090793,68,1,0.020508151302599052
1,2.48,hot-cold,0.9,0.9042040070626897,128,1,0.028896914968859648
1,2.48,hot-cold,0.95,0.9504939588251021,160,1,0.033370922257531965
1,2.48,hot-cold,0.99,0.9906704830161982,223,1,0.042179124107105594
1,3.3,random,0.1,0.18292012412258762,1,1,0.011140698541941383
1,3.3,random,0.3,0.3003926272882828,31,1,0.015335080375071683
1,3.3,random,0.5,0.501070476908161,79,1,0.022046091308080162
1,3.3,random,0.7,0.7154789764551751,143,1,0.030994105885424797
1,3.3,random,0.9,0.9184024034631625,206,1,0.039802307734998425
1,3.3,random,0.95,0.9504767990102654,217,1,0.041340247740479535
1,3.3,random,0.99,0.9902137951689711,242,1,0.04483556593475478
1,3.3,local,0.1,0.18292012412258762,1,1,0.011140698541941383
1,3.3,local,0.3,0.3014524389123413,26,1,0.014636016736216633
1,3.3,local,0.5,0.5041065549603512,66,1,0.020228525847057033
1,3.3,local,0.7,0.703290960952281,113,1,0.0267997240522945
1,3.3,local,0.9,0.9001059676727214,140,1,0.03057466770211177
1,3.3,local,0.95,0.9513098569108464,173,1,0.0351884877185551
1,3.3,local,0.99,0.9905612106440002,221,1,0.041899498651563574
1,3.3,hot-cold,0.1,0.18292012412258762,1,1,0.011140698541941383
1,3.3,hot-cold,0.3,0.30144450209916246,12,1,0.012678638547422494
1,3.3,hot-cold,0.5,0.5107014652021642,37,1,0.01617395674169774
1,3.3,hot-cold,0.7,0.7158068662591973,60,1,0.01938964948043097
1,3.3,hot-cold,0.9,0.9006267847351763,115,1,0.02707934950783652
1,3.3,hot-cold,0.95,0.9502514733771378,162,1,0.03365054771307399
1,3.3,hot-cold,0.99,0.9900780663325829,225,1,0.04245874956264761
1,4.55,random,0.1,0.22189379681588975,1,1,0.011140698541941383
1,4.55,random,0.3,0.30016369552437505,36,1,0.01603414401392673
1,4.55,random,0.5,0.5016378759938455,109,1,0.02624047314121046
1,4.55,random,0.7,0.7032955465827945,83,2,0.03360622803333457
1,4.55,random,0.9,0.900057577955295,219,1,0.041619873196021555
1,4.55,random,0.95,0.9502084659966751,243,1,0.044975378662525795
1,4.55,random,0.99,0.990477355392389,252,1,0.046233693212464885
1,4.55,local,0.1,0.22189379681588975,1,1,0.011140698541941383
1,4.55,local,0.3,0.4319604315352168,8,1,0.012119387636338453
1,4.55,local,0.5,0.5098700931611578,11,1,0.012538825819651484
1,4.55,local,0.7,0.7009911227459277,87,1,0.02316459313024824
1,4.55,local,0.9,0.9005283159052713,65,2,0.031089598933456395
1,4.55,local,0.95,0.9519280927351196,131,2,0.04031723896634305
1,4.55,local,0.99,0.990020162742895,166,2,0.0452106844383284
1,4.55,hot-cold,0.1,0.22189379681588975,1,1,0.011140698541941383
1,4.55,hot-cold,0.3,0.3353123895420444,9,1,0.012259200364109463
1,4.55,hot-cold,0.5,0.5329494103893881,25,1,0.014496204008445623
1,4.55,hot-cold,0.7,0.7027746041062551,45,1,0.017292458563865822
1,4.55,hot-cold,0.9,0.9001152933414793,89,1,0.02344421858579026
1,4.55,hot-cold,0.95,0.95323344367844,117,1,0.027358974963378538
1,4.55,hot-cold,0.99,0.9903042025784489,180,1,0.036167176812952166
1,9.19,random,0.1,0.5418247056352495,1,1,0.011140698541941383
1,9.19,random,0.3,0.5418247056352495,1,1,0.011140698541941383
1,9.19,random,0.5,0.5418247056352495,1,1,0.011140698541941383
1,9.19,random,0.7,0.7308116523076016,51,1,0.018131334930491884
1,9.19,random,0.9,0.9018442786856373,134,1,0.029735791335485706
1,9.19,random,0.95,0.9570071983987172,147,1,0.031553356796508836
1,9.19,random,0.99,0.9905554747180068,213,1,0.0407809968293955
1,9.19,local,0.1,0.5418247056352495,1,1,0.011140698541941383
1,9.19,local,0.3,0.5418247056352495,1,1,0.011140698541941383
1,9.19,local,0.5,0.5418247056352495,1,1,0.011140698541941383
1,9.19,local,0.7,0.8051604521397906,3,1,0.011420323997483403
1,9.19,local,0.9,0.9102677829496909,6,1,0.011839762180796434
