method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,63,1.2995657530835092,1.2667190226149805,0.03284673046852856,0.10713105555555553,0.13997778602408414,1.002727015873016,0.30239470634920634,0.636298253968254,0.017917460303694427,0.13894349088271454,0.37462754021324807,0.07868169129840907,0.6690187936737424,0.6000786323051949,11.65079365079365,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,63,1.3885316989566647,1.355684968488136,0.03284673046852856,0.10772386507936507,0.14057059554789364,1.0845000238095237,0.33021936507936506,0.685800619047619,0.01785600006521216,0.14560507953403484,0.33650756781063385,0.06464503019575084,0.7148674319660853,0.6499213676948051,11.126984126984127,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,63,1.4717001350814891,1.4388534046129604,0.03284673046852856,0.11050634920634919,0.1433530796748778,1.1833098492063492,0.3774065952380952,0.7346375634920636,0.019462095322235185,0.12557511087802664,0.3069990936903253,0.05386211096294338,0.756654993882255,0.7001572646103896,10.698412698412698,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,63,1.5072695091897346,1.4744227787212059,0.03284673046852856,0.10499465873015872,0.1378413891986873,1.2317316111111112,0.3830932380952381,0.7801689444444445,0.01845790469457228,0.11923860418536356,0.267228114758692,0.0423014987082708,0.7995664363815671,0.75,9.603174603174603,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,63,1.6095491915603308,1.5767024610918021,0.03284673046852856,0.11120938095238093,0.14405611142090952,1.3049450158730158,0.4167857380952381,0.8228030714285715,0.01901765073102614,0.1415304135353792,0.2299602605727693,0.03204175593361018,0.8418552761986142,0.7998427353896104,8.158730158730158,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,63,1.7360170490162883,1.7031703185477598,0.03284673046852856,0.1110069841269841,0.14385371459551272,1.3804294920634923,0.4367433015873016,0.878004619047619,0.019923301472786824,0.19181054088449664,0.19289168920220123,0.023011292730058894,0.8830727367174058,0.8500786323051949,6.761904761904762,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,63,1.833695286353556,1.8008485558850273,0.03284673046852856,0.11123496031746032,0.14408169078598887,1.4670840714285716,0.47259416666666665,0.9252503571428572,0.01988825373469831,0.2026412704042972,0.15239774412845095,0.014574747236948113,0.923384582239484,0.8999213676948051,5.444444444444445,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,63,1.8864961199802075,1.8536493895116788,0.03284673046852856,0.11085381746031746,0.14370054792884604,1.5673243333333333,0.5165134603174604,0.9775291746031747,0.019275174505772052,0.156196064212256,0.10382564744305985,0.007041988864777533,0.9621342553032769,0.9501572646103896,3.0793650793650795,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,63,0.43134778608817426,0.39850105561964566,0.03284673046852856,0.09046630158730158,0.12331303205583016,0.2555867539682539,0.0894940238095238,0.11807623809523808,0.015272634931736473,0.03717536513235356,0.8048675675240774,0.3944655571665083,0.14768199137752017,0.1000786323051948,4.873015873015873,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,63,0.48408348467068535,0.45123675420215675,0.03284673046852856,0.09078721428571428,0.12363394475424284,0.2973363968253968,0.08736330952380951,0.16602451587301587,0.015010031694102807,0.04810311139694277,0.7576604244254884,0.3365460974829537,0.20544169039007215,0.14992136769480519,6.761904761904762,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,2,0.2,63,0.5553250718627667,0.5224783413942381,0.03284673046852856,0.0908134603174603,0.12366019078598889,0.36358056349206347,0.10170776190476188,0.2177936984126984,0.015373206401746383,0.052711111182967764,0.7139473233431105,0.29438549469387715,0.26123721779338893,0.2001572646103896,8.063492063492063,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,3,0.25,63,0.6372383101185636,0.604391579650035,0.03284673046852856,0.09773346825396824,0.13058019872249682,0.43849252380952375,0.11774830952380952,0.2734316111111111,0.016058412676174447,0.05210717491036838,0.6454384154270566,0.23477160079138618,0.32607521518828375,0.25,9.619047619047619,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,4,0.3,63,0.7160785960534375,0.6832318655849089,0.03284673046852856,0.09719434126984125,0.13004107173836985,0.5037599365079365,0.13327607142857142,0.32350483333333335,0.015287873054307566,0.06698971475282353,0.6064098489189905,0.20229723434599617,0.3766304580938248,0.29984273538961037,10.507936507936508,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,5,0.35,63,0.8295169123348177,0.7966701818662891,0.03284673046852856,0.10208634126984126,0.13493307173836985,0.5892281587301588,0.15663125396825395,0.3824779523809524,0.01635860304333383,0.08899707882295521,0.573345282721141,0.1776391712446061,0.42599528318359736,0.3500786323051948,11.079365079365079,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,6,0.4,63,0.9055311189603947,0.8726843884918661,0.03284673046852856,0.10127629365079364,0.13412302411932223,0.6598540634920634,0.17683579365079363,0.4330010238095238,0.015957333310137614,0.09559669803887129,0.5292829780115021,0.15242049618372838,0.47573897573683,0.3999213676948052,11.761904761904763,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,7,0.45,63,0.9718110000903398,0.9389642696218112,0.03284673046852856,0.09848435714285714,0.1313310876113857,0.7368837222222222,0.20463350793650792,0.4800603492063492,0.015445333328984984,0.08815085692774678,0.4906395910278199,0.13076338786927474,0.5239061282740699,0.45015726461038963,11.936507936507937,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,8,0.5,63,1.0478743251897966,1.0150275947212681,0.03284673046852856,0.10213232539682537,0.13497905586535397,0.8085072063492063,0.22843241269841266,0.524603634920635,0.01690920631563847,0.08747885665959777,0.44475614977261374,0.10920087874881801,0.5777299498754834,0.5,12.126984126984127,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,9,0.55,63,1.1629293021140041,1.1300825716454757,0.03284673046852856,0.10365446825396825,0.13650119872249683,0.9083227063492063,0.26174393650793654,0.5838865793650794,0.016766476134459127,0.10133892090784175,0.4105299720097156,0.09371135537586511,0.6235344532936339,0.5498427353896104,12.063492063492063,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,10,0.6,63,1.297107610534336,1.2642608800658073,0.03284673046852856,0.10606398412698412,0.13891071459551269,1.0011576587301587,0.30008178571428573,0.6375810476190477,0.018086095222286703,0.1389531419863776,0.3735587890186007,0.07840615321719453,0.6699357988342406,0.6000786323051949,11.65079365079365,1.0,0.0
