shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",7,0.530933
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",8,0.500215
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",9,0.519121
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",10,0.519171
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",11,0.524109
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",12,0.521164
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",13,0.519001
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",14,0.498472
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",15,0.495837
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",16,0.480468
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",17,0.470539
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",18,0.489725
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",19,0.489666
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",20,0.483244
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",21,0.524901
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",22,0.499153
