projection,method,method_label,cases,coverage_success_rate,row_budget_success_rate,paper_row_budget_success_rate,valid_and_deadline_pass_rate,row_budget_valid_and_deadline_pass_rate,deadline_pass_rate,cpu_deadline_pass_rate,gpu_faster_case_rate,deterministic_rate,legacy_mask_match_rate,legacy_two_line_max_abs_delta_ms,runtime_wall_median_ms,runtime_wall_case_p95_ms,runtime_wall_worst_case_p95_ms,runtime_event_median_ms,runtime_event_case_p95_ms,runtime_event_worst_case_p95_ms,runtime_cpu_legacy_median_ms,runtime_cpu_legacy_case_p95_ms,runtime_cpu_legacy_worst_case_p95_ms,gpu_wall_over_cpu_median_ratio,lookup_saving_pct_mean,lookup_saving_pct_median,lookup_saving_pct_weighted,lookup_nonregression_rate,two_line_saving_pct_mean,two_line_saving_pct_weighted,rows_mean,chunks_mean,importance_overshoot_mean
down_proj,tiles_s,Tiles (s),96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9270833333333334,2.220446049250313e-16,0.71139675,0.8563386749999999,1.3923670499999998,0.6993920058012009,0.8430591925978661,1.3691840291023254,0.08661450000000001,0.1071121,0.1437505499999999,8.153150993057059,-0.5708709729046478,-0.7256120193215643,-0.45332794754640027,0.34375,0.7320127273535803,0.8209379261259087,3375.1354166666665,6.8125,0.013172640430241203
down_proj,tiles_2s,Tiles (2s),96,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9791666666666666,1.1102230246251563e-16,0.711507,0.8933397999999999,1.0865384,0.6998720169067383,0.8698623925447463,1.0671471774578094,0.06789424999999999,0.0830466124999999,0.1071885999999999,10.420565156454984,-2.324605362199802,-1.9847174568840888,-2.205272661876956,0.19791666666666666,-0.8988620995906486,-0.8402013496028982,3431.8333333333335,3.84375,0.02105707513519894
v_proj,tiles_half_s,Tiles (s/2),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.706831,0.80776505,0.8813968,0.6947839856147766,0.7948031961917876,0.8676176071166991,0.033513,0.0435356749999999,0.0592963999999999,20.91431448627195,8.452057296417427,-2.7387578648341515,8.124195858513916,0.47058823529411764,9.550283992393371,9.260071391979075,690.1176470588235,1.0,0.07289205221285214
v_proj,tiles_s,Tiles (s),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7037150000000001,0.8020227499999999,0.88164885,0.6911999881267548,0.7855103999376296,0.8697471976280212,0.0325359999999999,0.0405869249999999,0.0475777999999999,21.569506998468373,2.8051296916699435,-2.9789608926579447,2.7190886699296812,0.39215686274509803,4.3067227400919155,4.1751426230400295,746.6666666666666,1.0,0.13898287992333816
v_proj,tiles_2s,Tiles (2s),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6995724999999999,0.818144475,0.93629175,0.6871039867401123,0.8029951989650725,0.9213440239429472,0.032405,0.0398722249999999,0.0453416999999999,21.37992420769536,2.8051296916699435,-2.9789608926579447,2.7190886699296812,0.39215686274509803,4.3067227400919155,4.1751426230400295,746.6666666666666,1.0,0.13898287992333816
o_proj,tiles_half_s,Tiles (s/2),51,1.0,0.0784313725490196,0.13725490196078433,1.0,0.0784313725490196,1.0,1.0,0.0,1.0,1.0,0.0,0.7091099999999999,0.837566725,0.87658035,0.6973440051078796,0.8212912037968635,0.8613375961780547,0.044869,0.0553429999999999,0.0565677499999999,15.71204995674261,1.5602129964413693,1.3800061993248236,1.8621005208455221,0.6274509803921569,3.9540166555697667,4.107990387647198,537.7254901960785,2.2549019607843137,0.021479457741961267
o_proj,tiles_s,Tiles (s),51,1.0,0.0196078431372549,0.13725490196078433,1.0,0.0196078431372549,1.0,1.0,0.0,1.0,1.0,0.0,0.7056235,0.8580785249999996,0.98307515,0.6932480037212372,0.8373080015182492,0.9659391909837722,0.0382165,0.047244449999999896,0.0480054999999999,18.23455002178761,-2.842771422573643,-2.1786671952729098,-2.4154788046667264,0.3333333333333333,0.07982467882562866,0.31481136090478756,568.7647058823529,1.6274509803921569,0.03715339325060036
o_proj,tiles_2s,Tiles (2s),51,1.0,0.0196078431372549,0.13725490196078433,1.0,0.0196078431372549,1.0,1.0,0.0,1.0,1.0,0.0,0.7080930000000001,0.8422516999999998,0.8960178499999999,0.6957120001316071,0.8186607956886292,0.8779776126146315,0.0350005,0.0421886499999999,0.0436493999999999,20.06555019153814,-14.574815493584467,-13.730929142334336,-12.192629640924867,0.17647058823529413,-11.045714004216574,-9.065347692522252,623.5490196078431,1.1568627450980393,0.08142126513121793
up_proj,tiles_half_s,Tiles (s/2),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9607843137254902,0.0053525013762437,0.716108,0.819706375,0.8300185999999999,0.7034879922866821,0.7981311991810798,0.8169984102249145,0.113427,0.13222115,0.1363681,6.128119158117949,-0.8503047377872495,-0.4223043284612648,-0.4942287764239772,0.43137254901960786,1.0373253271825846,1.3696782651291595,595.6862745098039,14.470588235294118,0.005108535274508182
up_proj,tiles_s,Tiles (s),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.803921568627451,0.0,0.7113295,0.823073525,0.9200024499999996,0.6988800168037415,0.8082432091236114,0.9043968290090558,0.069084,0.08405699999999994,0.0961028999999999,10.2110519449969,-0.6595927965323385,-0.0764874347139343,-0.3928035631757032,0.4117647058823529,2.35612858334713,2.354393043166192,607.9607843137255,7.764705882352941,0.009004329869059472
up_proj,tiles_2s,Tiles (2s),51,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9607843137254902,1.1102230246251563e-16,0.711179,0.8251283749999999,0.8929820499999997,0.6993920207023621,0.8082688033580778,0.8750591844320295,0.050309,0.06208182499999995,0.0678723999999999,14.089402735412774,-4.2621640890225025,-3.939260679989864,-3.581548467792328,0.19607843137254902,-1.3010820425511382,-0.886175736982997,628.156862745098,4.03921568627451,0.022692335296809585
