model,shape,family,budget_index,calibrated_nonselector_ms,calibrated_selector_ms,calibration_candidates
smol360,2560x960,diag,14,0.64110883359917,0.1170477222222222,9
smol360,2560x960,diag,15,0.6735687229232987,0.12794494444444443,9
smol360,2560x960,diag,16,0.7243559999620053,0.13334949999999998,9
smol360,2560x960,diag,17,0.7259532233669096,0.18916666666666668,9
smol360,2560x960,raw,0,0.21437755535422431,0.08856505555555554,9
smol360,2560x960,raw,1,0.22393172224040825,0.11000127777777778,9
smol360,2560x960,raw,2,0.2541472225688033,0.1096298333333333,9
smol360,2560x960,raw,3,0.3238756662062141,0.1070208333333333,9
smol360,2560x960,raw,4,0.3955155555791921,0.1205872222222222,9
smol360,2560x960,raw,5,0.42383572236806816,0.12186899999999998,9
smol360,2560x960,raw,6,0.4488831113553577,0.12250149999999999,9
smol360,2560x960,raw,7,0.484541999892407,0.11959427777777777,9
smol360,2560x960,raw,8,0.46373950043187534,0.12361227777777775,9
smol360,2560x960,raw,9,0.5097441108997994,0.1229488888888889,9
smol360,2560x960,raw,10,0.5602247226278252,0.11979566666666666,9
smol360,2560x960,raw,11,0.5526009449205995,0.12367899999999997,9
smol360,2560x960,raw,12,0.5786837794040971,0.11975,9
smol360,2560x960,raw,13,0.6444472223231461,0.12477749999999999,9
smol360,2560x960,raw,14,0.6354568881365193,0.13757177777777774,9
smol360,2560x960,raw,15,0.7031665000003047,0.12848311111111108,9
smol360,2560x960,raw,16,0.7340367779739632,0.1435496111111111,9
smol360,2560x960,raw,17,0.7403247789236506,0.13547549999999997,9
smol360,960x2560,bound,0,0.20139730538069206,0.11177863888888886,18
smol360,960x2560,bound,1,0.2353371668829222,0.09966252777777777,18
smol360,960x2560,bound,2,0.25954563912445305,0.10083341666666663,18
smol360,960x2560,bound,3,0.31117508327336113,0.10734413888888888,18
smol360,960x2560,bound,4,0.3669136665305197,0.10391149999999999,18
smol360,960x2560,bound,5,0.3883036669341226,0.09688230555555556,18
smol360,960x2560,bound,6,0.42028858353671095,0.09599124999999999,18
smol360,960x2560,bound,7,0.45432294423545067,0.10486255555555554,18
smol360,960x2560,bound,8,0.46297349957470757,0.11819152777777776,18
smol360,960x2560,bound,9,0.4820532223743597,0.1035246111111111,18
smol360,960x2560,bound,10,0.5148851108682122,0.10812669444444442,18
smol360,960x2560,bound,11,0.549694888779521,0.10714513888888888,18
smol360,960x2560,bound,12,0.5764842498512566,0.11836686111111111,18
smol360,960x2560,bound,13,0.5901856105639074,0.12227338888888888,18
smol360,960x2560,bound,14,0.623750638516436,0.11802719444444443,18
smol360,960x2560,bound,15,0.7351484446134335,0.12298308333333331,18
smol360,960x2560,bound,16,0.7187981668438216,0.12763994444444443,18
smol360,960x2560,bound,17,0.7383012784184415,0.12532016666666668,18
smol360,960x2560,diag,0,0.2051534444019496,0.10377627777777777,18
smol360,960x2560,diag,1,0.2324781668624414,0.09331016666666665,18
smol360,960x2560,diag,2,0.26208525007293954,0.09108630555555554,18
smol360,960x2560,diag,3,0.3062030279358956,0.09689224999999997,18
smol360,960x2560,diag,4,0.37299344471468193,0.09511099999999999,18
smol360,960x2560,diag,5,0.39611225020469554,0.09724469444444442,18
smol360,960x2560,diag,6,0.4207684722444547,0.10577983333333332,18
smol360,960x2560,diag,7,0.4547551667491694,0.10532016666666666,18
smol360,960x2560,diag,8,0.4696351108171344,0.11507688888888887,18
smol360,960x2560,diag,9,0.4969486670142842,0.10696191666666664,18
smol360,960x2560,diag,10,0.5176314997796747,0.10888816666666666,18
smol360,960x2560,diag,11,0.5537722498683499,0.10991005555555554,18
smol360,960x2560,diag,12,0.580594610535466,0.12035805555555555,18
smol360,960x2560,diag,13,0.6017725274453131,0.11512799999999997,18
smol360,960x2560,diag,14,0.6209705274413626,0.11203594444444444,18
smol360,960x2560,diag,15,0.6837473054195708,0.11265580555555554,18
smol360,960x2560,diag,16,0.7223996666801936,0.11950149999999998,18
smol360,960x2560,diag,17,0.7465062228755156,0.10892783333333331,18
smol360,960x2560,raw,0,0.2086473885463575,0.07806125,18
smol360,960x2560,raw,1,0.23446894468219737,0.10856441666666664,18
smol360,960x2560,raw,2,0.26710983322975035,0.10828488888888887,18
smol360,960x2560,raw,3,0.3043235001292295,0.10765863888888888,18
smol360,960x2560,raw,4,0.3681458612354066,0.11123086111111109,18
smol360,960x2560,raw,5,0.39170566656877265,0.10889930555555555,18
smol360,960x2560,raw,6,0.4225451389686564,0.11071588888888888,18
smol360,960x2560,raw,7,0.45354130539363285,0.11450405555555555,18
smol360,960x2560,raw,8,0.4858224441999098,0.11823674999999999,18
smol360,960x2560,raw,9,0.4844574165546596,0.116066,18
smol360,960x2560,raw,10,0.5141796946057644,0.10867411111111108,18
smol360,960x2560,raw,11,0.568651444135593,0.11150405555555554,18
smol360,960x2560,raw,12,0.5688640830530922,0.11801380555555555,18
smol360,960x2560,raw,13,0.5875543605972595,0.11976841666666665,18
smol360,960x2560,raw,14,0.6330807497196926,0.11679122222222221,18
smol360,960x2560,raw,15,0.6927825279835297,0.12585097222222222,18
smol360,960x2560,raw,16,0.7384781951639818,0.12492477777777775,18
smol360,960x2560,raw,17,0.7323120288093422,0.12883930555555553,18
smol360,960x320,bound,0,0.13197211088748106,0.09360672222222222,18
smol360,960x320,bound,1,0.13969736105690397,0.0861711944444444,18
smol360,960x320,bound,2,0.13709869441365863,0.09200597222222222,18
smol360,960x320,bound,3,0.14961652759956318,0.0908559722222222,18
smol360,960x320,bound,4,0.14710938864836093,0.08959288888888889,18
smol360,960x320,bound,5,0.15519572215621003,0.08919644444444444,18
smol360,960x320,bound,6,0.15425227768887742,0.08970283333333331,18
smol360,960x320,bound,7,0.15358080541412694,0.094559,18
smol360,960x320,bound,8,0.16107577778934437,0.09795494444444443,18
