model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
qwen05,896x896,bound,0.65,0.4191964285714286,18,1.0,0.376860119047619,0.5722222222222223
qwen05,896x896,bound,0.7,0.4111607142857143,18,1.0,0.43594990079365076,0.6333333333333333
qwen05,896x896,bound,0.75,0.39196428571428565,18,1.0,0.5008060515873016,0.6916666666666667
qwen05,896x896,bound,0.8,0.3582589285714286,18,1.0,0.5727926587301587,0.75
qwen05,896x896,bound,0.85,0.3566964285714286,18,1.0,0.652405753968254,0.8194444444444444
qwen05,896x896,bound,0.9,0.2850446428571429,18,1.0,0.7417534722222222,0.8777777777777778
qwen05,896x896,bound,0.925,0.21250000000000002,18,1.0,0.7914186507936508,0.911111111111111
qwen05,896x896,bound,0.95,0.18102678571428565,18,1.0,0.8460441468253967,0.9416666666666667
qwen05,896x896,bound,0.975,0.08504464285714286,18,0.2777777777777778,0.9100322420634921,0.9499999999999998
qwen05,896x896,diag,0.5,0.3354910714285715,18,1.0,0.05220734126984123,0.2833333333333333
qwen05,896x896,diag,0.55,0.3631696428571429,18,1.0,0.06597222222222217,0.32499999999999996
qwen05,896x896,diag,0.6,0.3897321428571429,18,1.0,0.08351934523809519,0.35555555555555557
qwen05,896x896,diag,0.65,0.4676339285714286,18,1.0,0.10881696428571425,0.39722222222222225
qwen05,896x896,diag,0.7,0.5109375,18,1.0,0.14167906746031741,0.4694444444444445
qwen05,896x896,diag,0.75,0.5232142857142859,18,1.0,0.18328373015873012,0.525
qwen05,896x896,diag,0.8,0.5665178571428572,18,1.0,0.2367931547619047,0.5944444444444444
qwen05,896x896,diag,0.85,0.6564732142857143,18,1.0,0.30815972222222215,0.6805555555555556
qwen05,896x896,diag,0.9,0.6341517857142858,18,1.0,0.40786210317460314,0.7555555555555555
qwen05,896x896,diag,0.925,0.7151785714285716,18,1.0,0.47271825396825395,0.8083333333333333
qwen05,896x896,diag,0.95,0.7272321428571429,18,1.0,0.5553695436507936,0.8833333333333333
qwen05,896x896,diag,0.975,0.6466517857142857,18,0.8888888888888888,0.6765873015873016,0.936111111111111
qwen05,896x896,raw,0.5,0.3283482142857143,18,1.0,0.22631448412698407,0.43333333333333335
qwen05,896x896,raw,0.55,0.3482142857142858,18,1.0,0.2703993055555555,0.48055555555555557
qwen05,896x896,raw,0.6,0.35468750000000004,18,1.0,0.3204365079365079,0.5305555555555556
qwen05,896x896,raw,0.65,0.3433035714285715,18,1.0,0.3766741071428571,0.575
qwen05,896x896,raw,0.7,0.3162946428571429,18,1.0,0.43911210317460314,0.6305555555555555
qwen05,896x896,raw,0.75,0.27924107142857146,18,1.0,0.5072544642857143,0.6944444444444444
qwen05,896x896,raw,0.8,0.234375,18,1.0,0.5812251984126984,0.75
qwen05,896x896,raw,0.85,0.21607142857142858,18,1.0,0.6618303571428572,0.8138888888888889
qwen05,896x896,raw,0.9,0.16562500000000002,18,1.0,0.7508680555555556,0.875
qwen05,896x896,raw,0.925,0.16093749999999996,18,1.0,0.7995411706349206,0.911111111111111
