trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,2.48,random,0.375,1824,0.5210928416948437,1824,21,0.6773008291426417,5.504205,0.8658787327206012,1824,1148,13.075299141712653,0.055363,66.16592350498398
0,2.48,random,0.5,2432,0.6466094933950003,2430,28,0.9025784276429903,9.281713,0.9242606875386323,2432,1211,13.917115690353741,0.041076,42.93954805485987
0,2.48,random,0.625,3040,0.7596079954630701,3036,34,1.1168551403291689,9.936455,0.9603388889330817,3040,1122,13.086797595240933,0.056946,26.425589865946918
0,2.48,random,0.75,3648,0.8560920683896251,3648,43,1.365602544099454,16.422795,0.9824791112854926,3648,915,10.958374974056019,0.071494,14.763253575472458
0,2.48,random,0.875,4256,0.9396803919340393,4254,45,1.5358757135289505,16.456408,0.9949311874146725,4256,522,6.783787591435417,0.040886,5.879743363263823
0,2.48,local,0.125,608,0.49877997368487603,606,14,0.3022837991995413,5.198292,0.6113460178798547,608,142,1.7108865279605476,0.041097,22.568276621726735
0,2.48,local,0.25,1216,0.6887953665516025,1212,23,0.5495631693282308,8.142593,0.7738743135306901,1216,186,2.343686246132399,0.038191,12.351846587619853
0,2.48,local,0.375,1824,0.8027940510161877,1824,31,0.7873096872843455,9.943168,0.8658787327206011,1824,242,3.1084965940742944,0.036798,7.858140157436377
0,2.48,local,0.5,2432,0.8697923689335831,2430,34,0.9685837425280126,11.331161,0.9242606875386324,2432,260,3.455273281077716,0.038372,6.262220795502116
0,2.48,local,0.625,3040,0.9211063420206727,3036,38,1.1608586835858503,12.206537,0.9603388889330817,3040,252,3.5160269369127075,0.052729,4.259285287987802
0,2.48,local,0.75,3648,0.9603066079350269,3648,37,1.2995972292144315,14.030394,0.9824791112854927,3648,181,2.8837247864549655,0.035947,2.3088983421809317
0,2.48,local,0.875,4256,0.9788820091849569,4254,36,1.436867741201417,15.453173,0.9949311874146726,4256,136,2.5374456671656533,0.036098,1.639541648444287
0,2.48,hot-cold,0.125,608,0.42602695221281284,606,9,0.24727937012868945,4.35656,0.6113460178798547,608,420,4.769132784299911,0.033713,43.49937596776026
0,2.48,hot-cold,0.25,1216,0.6396872724538242,1212,12,0.42855342537235663,6.353021,0.7738743135306901,1216,573,6.601029056216333,0.045696,20.976975290148857
0,2.48,hot-cold,0.375,1824,0.7771179292066828,1824,17,0.6332972858859602,7.584852,0.8658787327206012,1824,652,7.618859777884147,0.048741,11.421793292625427
0,2.48,hot-cold,0.5,2432,0.8667773493323776,2430,19,0.803570455315457,9.534404,0.9242606875386323,2432,656,7.811624063489184,0.035096,6.631845911816958
0,2.48,hot-cold,0.625,3040,0.9234134659189247,3036,23,0.9958453963732946,11.020061,0.9603388889330817,3040,654,7.938383034209197,0.047709,3.998796246425873
