trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_aff_ratio,fixed_rows,fixed_chunks,fixed_importance,fixed_aff_ms,fixed_aff_ratio,fixed_gain_pct,pareto_at_greedy_importance,pareto_at_greedy_aff_ms,greedy_extra_vs_pareto_pct,pareto_at_fixed_importance,pareto_at_fixed_aff_ms,fixed_extra_vs_pareto_pct,dinkelbach_iterations,dinkelbach_residual
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,96,0.375,96,1,0.693666509384625,0.02442290768018733,28.402290115003392,96,1,0.6966791283427308,0.02442290768018733,28.525642297206893,0.43430364841721136,0.6966791283427308,0.02442290768018733,0.0,0.6966791283427308,0.02442290768018733,0.0,3,1.1102230246251565e-16
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,128,0.5,128,1,0.7859235315149846,0.028896914968859648,27.197489156261973,128,1,0.7901189245679725,0.028896914968859648,27.342673964311864,0.5338169535273662,0.7897762531064835,0.028896914968859648,0.0,0.7956668925925167,0.029176540424401667,-0.9583914044454578,3,5.551115123125783e-17
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,160,0.625,160,1,0.8564205669159939,0.033370922257531965,25.663676907302015,160,1,0.8698439811864918,0.033370922257531965,26.065925732399084,1.5673857902357646,0.8576409247423359,0.03267185861867692,2.139650660876158,0.8717152243002336,0.03351073498530298,-0.4172177298776947,3,0.0
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,192,0.75,192,1,0.9163220489335715,0.03784492954620429,24.212544716587413,192,1,0.9234143025482835,0.03784492954620429,24.39994772406436,0.7739913737714765,0.9180017065767312,0.03742549136289126,1.1207285944385026,0.9271498318032676,0.03812455500174631,-0.7334523787338898,3,1.1102230246251565e-16
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,224,0.875,224,2,0.9469395234942202,0.053319822649046986,17.75961502586028,224,1,0.9497515252871251,0.04231893683487661,22.442707599034,26.369336082761574,0.9493497629228511,0.042598562290418626,25.16812723757067,0.9531255188570688,0.04329762592927368,-2.260375882954302,3,3.3306690738754696e-16
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,32,0.125,32,1,0.3501403778649651,0.015474893102842693,22.62635195849239,32,1,0.3501403778649651,0.015474893102842693,22.62635195849239,0.0,0.3501403778649651,0.015474893102842693,0.0,0.3501403778649651,0.015474893102842693,0.0,3,-1.3877787807814457e-17
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,64,0.25,64,1,0.5320738531761823,0.019948900391515013,26.671838684526815,64,1,0.5320738531761823,0.019948900391515013,26.671838684526815,0.0,0.5320738531761823,0.019948900391515013,0.0,0.5320738531761823,0.019948900391515013,0.0,3,2.7755575615628914e-17
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,96,0.375,96,1,0.673804145476766,0.02442290768018733,27.589022335099692,96,1,0.673804145476766,0.02442290768018733,27.589022335099692,0.0,0.6820343060218156,0.02456272040795834,-0.5692070155458473,0.6820343060218156,0.02456272040795834,-0.5692070155458473,3,1.1102230246251565e-16
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,128,0.5,128,1,0.784416930277837,0.028896914968859648,27.145352060008925,128,1,0.784416930277837,0.028896914968859648,27.145352060008925,0.0,0.7874717981978829,0.02903672769663066,-0.48150304411621603,0.7874717981978829,0.02903672769663066,-0.48150304411621603,3,2.7755575615628914e-16
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,160,0.625,160,1,0.8618215307945112,0.033370922257531965,25.825523314687363,160,1,0.8618215307945112,0.033370922257531965,25.825523314687363,0.0,0.8618215307945112,0.033370922257531965,0.0,0.8618215307945112,0.033370922257531965,0.0,3,2.220446049250313e-16
