trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
7,4.55,hot-cold,4.550000000000001,0.039530960434126676,0.9201308063916568,215
7,9.19,random,9.189999999999998,0.061643024042344924,0.7705374283198922,47
7,9.19,local,9.189999999999998,0.3681950311947027,0.9993434699585084,34
7,9.19,hot-cold,9.189999999999998,-0.0020109513185867026,0.9989245149553883,37
8,1.07,random,1.0699999999999998,0.1409020538606228,0.5103706659700582,299
8,1.07,local,1.07,0.7983065921367263,0.37701864876956787,294
8,1.07,hot-cold,1.07,0.4946627320980677,0.751561011908953,329
8,1.25,random,1.25,0.01577020564665217,0.3666118000031423,281
8,1.25,local,1.25,0.9104376969073926,0.6719367534146766,287
8,1.25,hot-cold,1.25,0.31116736348845414,0.7761443090235455,309
8,1.44,random,1.4399999999999997,0.009203314625089649,0.53812263199941,274
8,1.44,local,1.44,0.7671645692953939,0.6620599670218982,261
8,1.44,hot-cold,1.4399999999999997,0.3472302586547186,0.8061242394042338,298
8,2.48,random,2.480000000000001,-0.02933122814519917,0.4317508217807406,203
8,2.48,local,2.4800000000000004,0.7225642305978277,0.8210587585570686,246
8,2.48,hot-cold,2.4800000000000004,0.0965903322998468,0.8875235870548503,246
8,3.3,random,3.3000000000000003,0.019310375621545143,0.5036685572787818,170
8,3.3,local,3.3000000000000003,0.6742240086619834,0.5121859133949236,174
8,3.3,hot-cold,3.3000000000000007,0.1324374641392129,0.9283640646773033,178
8,4.55,random,4.549999999999999,-0.018280517902491043,0.4632658599313894,135
8,4.55,local,4.55,0.39600527310816414,0.20602010006832727,121
8,4.55,hot-cold,4.55,0.1537190309933815,0.9473435705322117,159
8,9.19,random,9.19,-0.00954083263777592,0.3012401010329006,111
8,9.19,local,9.189999999999998,0.04370051321781491,0.7945502599009718,136
8,9.19,hot-cold,9.189999999999996,0.14463366389604537,0.9710440351534262,123
9,1.07,random,1.0700000000000003,0.05348400745301928,0.5003253168679002,301
9,1.07,local,1.0700000000000003,0.9167136996693999,0.6993191513220571,330
9,1.07,hot-cold,1.0699999999999998,0.371883139950719,0.759833498848993,316
9,1.25,random,1.25,0.02135401773850924,0.5346215827334275,283
9,1.25,local,1.25,0.8604703371729542,0.7318782326124341,294
9,1.25,hot-cold,1.25,0.37031947265515003,0.7868738332142442,303
9,1.44,random,1.44,-0.07389163375557661,0.5260349408873152,264
9,1.44,local,1.44,0.699041306817875,0.4242193843208906,253
9,1.44,hot-cold,1.4400000000000002,0.36503660207451005,0.8379428606475591,285
9,2.48,random,2.4799999999999995,-0.07090052683441848,0.41984219523808497,199
