model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_long_structured,16,0.9,paper,Paper |x|,error_oracle,True,0.08082534869511925,0.16780028299295474,21.0,17.787728993752125,0.8470347139881964,3.479422560194507,0.1656867885806908,0.1656867885806908,0.8238425304332259
qwen05,test_long_structured,16,0.9,cell1_x2,Cell-1 X²,importance_bound,True,0.08082534869511925,0.16780028299295474,21.0,15.965556981058299,0.7602646181456333,1.4084712266921997,0.06707005841391427,0.154232608276375,0.9213001812567128
qwen05,test_long_structured,16,0.9,cell1_x2,Cell-1 X²,error_oracle,True,0.08082534869511925,0.16780028299295474,21.0,15.63213649513477,0.7443874521492747,3.1664961520582433,0.15078553105039255,0.15078553105039255,0.8473891201217325
qwen05,test_long_structured,16,0.9,shifted8_x2,Shifted-8 X²,importance_bound,True,0.08082534869511925,0.16780028299295474,21.0,16.777303485647796,0.798919213602276,1.6360942721366878,0.07790925105412799,0.16088378089036612,0.906912929645542
qwen05,test_long_structured,16,0.9,shifted8_x2,Shifted-8 X²,error_oracle,True,0.08082534869511925,0.16780028299295474,21.0,16.703469483609616,0.7954033087433151,3.3449217714369293,0.15928198911604424,0.15928198911604424,0.8497779045828857
qwen05,test_long_structured,16,0.9,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.08082534869511925,0.16780028299295474,21.0,17.344947993623613,0.8259499044582673,1.4475697875022884,0.06893189464296612,0.1537122170862165,0.9141534080737556
qwen05,test_long_structured,16,0.9,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.08082534869511925,0.16780028299295474,21.0,16.702115495646474,0.7953388331260226,3.392395071685314,0.16154262246120543,0.16154262246120543,0.8212006019513067
qwen05,test_long_structured,17,0.95,paper,Paper |x|,importance_bound,True,0.041903450375511526,0.1105678810826724,21.0,20.960447491666677,0.9981165472222228,0.8799724578857421,0.041903450375511526,0.11056788108267243,0.9427698711063373
qwen05,test_long_structured,17,0.95,paper,Paper |x|,error_oracle,True,0.041903450375511526,0.1105678810826724,21.0,20.960447491666677,0.9981165472222228,2.321925502736121,0.11056788108267243,0.11056788108267243,0.9427698711063373
qwen05,test_long_structured,17,0.95,cell1_x2,Cell-1 X²,importance_bound,False,0.041903450375511526,0.1105678810826724,,,,,,,
qwen05,test_long_structured,17,0.95,cell1_x2,Cell-1 X²,error_oracle,False,0.041903450375511526,0.1105678810826724,,,,,,,
qwen05,test_long_structured,17,0.95,shifted8_x2,Shifted-8 X²,importance_bound,True,0.041903450375511526,0.1105678810826724,21.0,19.053797490265843,0.9073236900126592,0.8708914518356317,0.04147102151598246,0.12382405212459463,0.9498145475295378
qwen05,test_long_structured,17,0.95,shifted8_x2,Shifted-8 X²,error_oracle,False,0.041903450375511526,0.1105678810826724,,,,,,,
qwen05,test_long_structured,17,0.95,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.041903450375511526,0.1105678810826724,21.0,19.04567598512036,0.9069369516723982,0.8675317764282221,0.04131103697277248,0.12302075092503355,0.9498145475295378
qwen05,test_long_structured,17,0.95,adaptive8_x2,Adaptive-8 X²,error_oracle,False,0.041903450375511526,0.1105678810826724,,,,,,,
qwen05,test_medium_code,0,0.1,paper,Paper |x|,importance_bound,True,0.8661304197850681,0.7010721026786736,21.0,9.942361501851975,0.473445785802475,15.63316448777914,0.744436404179959,0.6274370959117299,0.20383268438954522
qwen05,test_medium_code,0,0.1,paper,Paper |x|,error_oracle,True,0.8661304197850681,0.7010721026786736,21.0,9.942361501851975,0.473445785802475,13.176179014146328,0.6274370959117299,0.6274370959117299,0.20383268438954522
qwen05,test_medium_code,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.8661304197850681,0.7010721026786736,21.0,6.402706507235407,0.3048907860588289,16.98281556367874,0.808705503032321,0.7117892703307527,0.16919251253132828
qwen05,test_medium_code,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.8661304197850681,0.7010721026786736,21.0,6.404957007521748,0.3049979527391309,14.44862842746079,0.6880299251171804,0.6880299251171804,0.190610454708199
qwen05,test_medium_code,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8661304197850681,0.7010721026786736,21.0,7.2881045081889635,0.34705259562804586,16.149809822440147,0.7690385629733404,0.6585174831783488,0.19777261233440738
qwen05,test_medium_code,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8661304197850681,0.7010721026786736,21.0,7.2881045081889635,0.34705259562804586,13.828867146745324,0.6585174831783488,0.6585174831783488,0.19777261233440738
qwen05,test_medium_code,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8661304197850681,0.7010721026786736,21.0,7.486121006140352,0.3564819526733501,16.19986056536436,0.7714219316840172,0.6546490821277812,0.19300483351235223
qwen05,test_medium_code,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8661304197850681,0.7010721026786736,21.0,7.486121006140352,0.3564819526733501,13.747630724683404,0.6546490821277812,0.6546490821277812,0.19300483351235223
qwen05,test_medium_code,1,0.15,paper,Paper |x|,importance_bound,True,0.8049279699722925,0.6599680068237441,21.0,9.942361501851975,0.473445785802475,15.63316448777914,0.744436404179959,0.6274370959117299,0.20383268438954522
qwen05,test_medium_code,1,0.15,paper,Paper |x|,error_oracle,True,0.8049279699722925,0.6599680068237441,21.0,9.942361501851975,0.473445785802475,13.176179014146328,0.6274370959117299,0.6274370959117299,0.20383268438954522
qwen05,test_medium_code,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.8049279699722925,0.6599680068237441,21.0,6.404957007521748,0.3049979527391309,16.53376868367195,0.7873223182700929,0.6880299251171804,0.190610454708199
