error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.42,adaptive8_x2,Adaptive-8 X²,0.6296254316778982,0.032786793622469106,0.15457185207047075,0.37028004427345207,0.015795545003913388,0.056191196707592664,0.5511971649398263,6.633000684740499
0.4,paper,Paper |x|,0.7257211755120039,0.03138692085705102,0.25775431730310766,0.36991697317623035,0.016340291173480875,0.05032267300213384,0.551415333983216,10.835084485166254
0.4,cell1_x2,Cell-1 X²,0.596393249747477,0.032786793622469106,0.0965560498306817,0.40274043856468317,0.015988911860419317,0.048321055869223604,0.6048867952898743,4.790471888519807
0.4,shifted8_x2,Shifted-8 X²,0.6302474006363051,0.032786793622469106,0.14471621023522108,0.3881833483677239,0.015954258405302516,0.04860679000558847,0.5955960948132941,4.743750631774442
0.4,adaptive8_x2,Adaptive-8 X²,0.6421965044962475,0.032786793622469106,0.154790268165838,0.38834817332619576,0.015921604084480755,0.05034966529726376,0.5847685099125425,6.569291566014024
0.35,paper,Paper |x|,0.7785125448876837,0.03138692085705102,0.2643157560361328,0.4141135909204485,0.0168027255844215,0.05189355148962996,0.637754970461751,11.840921934990657
0.35,cell1_x2,Cell-1 X²,0.6447233359825147,0.032786793622469106,0.09755519470041514,0.43887404712882816,0.016253690006398612,0.05925361052440365,0.6773950186540457,4.321496360097528
0.35,shifted8_x2,Shifted-8 X²,0.688588169447897,0.032786793622469106,0.14812552234386595,0.43234386038834266,0.016308072413028427,0.05902392068019071,0.6755549815390757,4.3674819968043765
0.35,adaptive8_x2,Adaptive-8 X²,0.6927060333807273,0.032786793622469106,0.15801486838439432,0.4286443316140387,0.016404162184944254,0.05685587757488074,0.6675422461473186,6.142902418456886
0.3,paper,Paper |x|,0.8325170376952647,0.03138692085705102,0.2684228168943366,0.4617216354351024,0.01696783429628007,0.05401783021249446,0.7214880680459542,12.746545721355226
0.3,cell1_x2,Cell-1 X²,0.6796707810372381,0.032786793622469106,0.09913633463528836,0.4791191055054874,0.016950271177724643,0.05167827609626853,0.753449455238958,3.9755053308679194
0.3,shifted8_x2,Shifted-8 X²,0.7361665765887389,0.032786793622469106,0.15056877479312034,0.4825045306441971,0.016939619568537494,0.05336685796041466,0.7578296665774856,3.8731354080269185
0.3,adaptive8_x2,Adaptive-8 X²,0.7441437583242442,0.032786793622469106,0.15872695747917223,0.48353527870298163,0.0169964399410976,0.052098288578523506,0.7549133568585795,5.359861329893081
0.25,paper,Paper |x|,0.8937007996401883,0.03138692085705102,0.2802858156543501,0.5065694461751801,0.017000474529990865,0.05845814242361598,0.7908389682773286,13.198073393346482
0.25,cell1_x2,Cell-1 X²,0.7286630511988231,0.032786793622469106,0.09813308248688822,0.5157218010141245,0.016805485882723712,0.06521588819261746,0.823557240222632,3.236374303061362
0.25,shifted8_x2,Shifted-8 X²,0.7769652383190694,0.032786793622469106,0.14908710728772184,0.5131835823783353,0.016575876106774592,0.06533187892376843,0.8218279484615346,3.2459323597839522
0.25,adaptive8_x2,Adaptive-8 X²,0.7917326951134918,0.032786793622469106,0.15807487474586288,0.5182953898903331,0.01690103237994657,0.06567460447487991,0.8201371987161528,4.551181300796552
0.2,paper,Paper |x|,0.9468698357963975,0.03138692085705102,0.28845838999187384,0.5483569214700025,0.01737131498377614,0.06129628849369381,0.8630411667476984,12.76629712406449
0.2,cell1_x2,Cell-1 X²,0.7451052810440913,0.032786793622469106,0.09756017342697798,0.5366383886237054,0.016669147481822643,0.061450777889116195,0.8799446371641159,2.682327443132777
0.2,shifted8_x2,Shifted-8 X²,0.8083120896861504,0.032786793622469106,0.14389425402069106,0.5527564637534822,0.016736224368251736,0.062138353921256176,0.8917885681177969,2.5837327206840035
0.2,adaptive8_x2,Adaptive-8 X²,0.8187930992412051,0.032786793622469106,0.15344674953053533,0.5536694890012918,0.016788795177462054,0.06210127190944664,0.890223348878575,3.5498081675279702
0.15,paper,Paper |x|,0.9686136650208396,0.03138692085705102,0.2840793499200626,0.5712349488629658,0.017282619095020203,0.06462982628573986,0.9136719153519267,12.472582810568603
0.15,cell1_x2,Cell-1 X²,0.7777003408236391,0.032786793622469106,0.09500112358139141,0.5604510447806241,0.016880528794632886,0.07258085004452144,0.929705525499503,1.9751651831442552
0.15,shifted8_x2,Shifted-8 X²,0.8397553247318276,0.032786793622469106,0.1444518203999785,0.5720406279419963,0.016924549812359465,0.07355153295502398,0.9319979064420474,1.9346174409858206
0.15,adaptive8_x2,Adaptive-8 X²,0.850149903115478,0.032786793622469106,0.15374405751076384,0.5740826805424742,0.016704374504538877,0.07283199693523187,0.9312463742177088,2.5185586463609626
