method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,189,0.7638715951719542,0.7328732457456696,0.030998349426284624,0.08853481216931217,0.11953316159559679,0.5533223068783069,0.16747783068783068,0.33785853703703705,0.01654772485098821,0.07446840184706224,0.3832866361009933,0.08799578683086169,0.6557435475329243,0.6001498457487062,6.64021164021164,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,189,0.8092243470944557,0.778225997668171,0.030998349426284624,0.08935644708994708,0.12035479651623171,0.5936692116402116,0.18044555026455025,0.36343388888888883,0.016438857144700735,0.0787614817933115,0.3516440319399985,0.07454561682605235,0.7012059549805979,0.6498501542512938,6.285714285714286,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,189,0.8508017515520081,0.8198034021257234,0.030998349426284624,0.08974797354497353,0.12074632297125817,0.6359324232804232,0.1979368677248677,0.3874860582010582,0.01712169310462375,0.07700131219570279,0.31832677062117937,0.06133856912138596,0.7459775158967922,0.6999906040466426,5.925925925925926,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,189,0.872337757000713,0.8413394075744284,0.030998349426284624,0.08824464814814814,0.11924299757443277,0.665816537037037,0.20243876984126982,0.41348821428571425,0.016937989327642605,0.07034023306160057,0.2827048613443458,0.049608867319803344,0.7901361799113965,0.75,5.518518518518518,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,189,0.9236625985962442,0.8926642491699596,0.030998349426284624,0.08901039153439153,0.12000874096067617,0.7016402275132275,0.2141640132275132,0.4386624867724867,0.017139809501786035,0.08487382062055443,0.25184168332014917,0.03954183834570421,0.8334342622883105,0.8000093959533574,4.73015873015873,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,189,0.980136545465553,0.9491381960392683,0.030998349426284624,0.08957994708994708,0.12057829651623171,0.7412935291005291,0.2266071984126984,0.46543251058201063,0.017295238039599155,0.10096948180919282,0.21334309028905057,0.02891173943009952,0.8765045741878489,0.8501498457487062,3.994708994708995,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,189,1.0217027438458293,0.9907043944195446,0.030998349426284624,0.0888066746031746,0.11980502402945922,0.7787507142857143,0.23762458730158728,0.4911176825396825,0.01730725917196458,0.10583974635869103,0.17147790537481858,0.01899904044216898,0.9185178327181983,0.8998501542512938,3.248677248677249,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,189,1.0534648472949402,1.0224664978686555,0.030998349426284624,0.08821806084656084,0.11921641027284548,0.8205414312169312,0.24942606878306878,0.5189446798941799,0.017240380902809077,0.0964666249023543,0.12291005930109389,0.010252466908207596,0.9587109174047198,0.9499906040466426,2.0793650793650795,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,189,0.3412838255690717,0.31028547614278706,0.030998349426284624,0.07960130687830687,0.1105996563045915,0.18922114285714287,0.07628348941798942,0.06955146825396824,0.015016296292068737,0.026446730115268543,0.7795946139191824,0.39062341464259637,0.1396987659354058,0.10014984574870615,2.7248677248677247,1.0,0.0
cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,189,0.3666556669515875,0.33565731752530287,0.030998349426284624,0.0811374074074074,0.11213575683369204,0.2070618783068783,0.07349408994708993,0.09369729365079364,0.015160380911929533,0.03229765089908758,0.7267930488737803,0.32946880753078156,0.19615482881901752,0.1498501542512938,3.7142857142857144,1.0,0.0
