trial,target_cv,spatial_mode,budget_fraction,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
1,3.3,random,0.375,0.6162851454336434,paper,Paper greedy,1824,0.375,0.6162851454336434,0.7537700449148095,0.7249126626823175,28,True
1,3.3,random,0.375,0.6162851454336434,quant,"Quant q=131,072",1923,0.39535361842105265,0.6195879534260029,0.6596059983095883,0.6607002053394103,17,True
1,3.3,random,0.375,0.6162851454336434,global_supported,Two-line supported,1923,0.39535361842105265,0.6195879534260029,0.6596059983095883,0.6607002053394103,17,True
1,3.3,random,0.375,0.6162851454336434,lookup_supported,Lookup supported,1897,0.3900082236842105,0.6179356095645836,0.6624748043590809,0.6537370419378106,18,True
1,3.3,random,0.375,0.6162851454336434,exact_coverage,Exact global coverage,1942,0.39925986842105265,0.6163744985814782,0.6552111838595831,0.6602878080254987,16,True
1,3.3,random,0.5,0.7324630494659108,paper,Paper greedy,2430,0.4995888157894737,0.7324630494659108,0.99446143948916,0.9567797200006538,36,True
1,3.3,random,0.5,0.7324630494659108,quant,"Quant q=131,072",2542,0.5226151315789473,0.7338588561262135,0.8525509412189075,0.864657474542838,20,True
1,3.3,random,0.5,0.7324630494659108,global_supported,Two-line supported,2542,0.5226151315789473,0.7338588561262135,0.8525509412189075,0.864657474542838,20,True
1,3.3,random,0.5,0.7324630494659108,lookup_supported,Lookup supported,2539,0.5219983552631579,0.7478471550259262,0.8890424922823947,0.8765277474323948,24,True
1,3.3,random,0.5,0.7324630494659108,exact_coverage,Exact global coverage,2533,0.520764802631579,0.7324972806073364,0.8502803902386655,0.8618517518378133,20,True
1,3.3,random,0.625,0.8244196923825355,paper,Paper greedy,3036,0.6241776315789473,0.8244196923825355,1.1979670350285534,1.1611872279982791,41,True
1,3.3,random,0.625,0.8244196923825355,quant,"Quant q=131,072",3094,0.6361019736842105,0.827348702103934,1.0278547073915536,1.0451025704848411,22,True
1,3.3,random,0.625,0.8244196923825355,global_supported,Two-line supported,3094,0.6361019736842105,0.827348702103934,1.0278547073915536,1.0451025704848411,22,True
