trial,target_cv,spatial_mode,budget_fraction,budget_rows,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
0,1.25,hot-cold,0.125,608,0.3135488829220871,cell1_fixed,Cell-1 fixed-R,608,0.125,0.30730982703369547,0.19779427023110951,0.20204944528238647,1,False
0,1.25,hot-cold,0.125,608,0.3135488829220871,cell1_bound,Cell-1 I-bound,632,0.1299342105263158,0.31671839880667696,0.20560193879286384,0.2100250812803754,1,True
0,1.25,hot-cold,0.25,1216,0.5234895315581001,paper,Paper fixed-R,1212,0.24917763157894737,0.5234895315581001,0.424524199967725,0.4229813032172645,11,True
0,1.25,hot-cold,0.25,1216,0.5234895315581001,exact_coverage,Exact global I-bound,1185,0.24362664473684212,0.5235294340330956,0.385984890842817,0.3951673741546763,8,True
0,1.25,hot-cold,0.25,1216,0.5234895315581001,cell1_fixed,Cell-1 fixed-R,1216,0.25,0.5260711431562615,0.39558854046221903,0.40409889056477294,1,True
0,1.25,hot-cold,0.25,1216,0.5234895315581001,cell1_bound,Cell-1 I-bound,1216,0.25,0.5260711431562615,0.39558854046221903,0.40409889056477294,1,True
0,1.25,hot-cold,0.375,1824,0.6790957666962769,paper,Paper fixed-R,1824,0.375,0.6790957666962769,0.6098394048369553,0.6131109996813909,11,True
0,1.25,hot-cold,0.375,1824,0.6790957666962769,exact_coverage,Exact global I-bound,1783,0.3665707236842105,0.6791936640746823,0.5800447102336649,0.5917520542956498,10,True
0,1.25,hot-cold,0.375,1824,0.6790957666962769,cell1_fixed,Cell-1 fixed-R,1824,0.375,0.6818538693791532,0.5933828106933285,0.6061483358471593,1,True
0,1.25,hot-cold,0.375,1824,0.6790957666962769,cell1_bound,Cell-1 I-bound,1824,0.375,0.6818538693791532,0.5933828106933285,0.6061483358471593,1,True
0,1.25,hot-cold,0.5,2432,0.7838145725427493,paper,Paper fixed-R,2430,0.4995888157894737,0.7838145725427493,0.8145892221874932,0.8176783393568607,16,True
0,1.25,hot-cold,0.5,2432,0.7838145725427493,exact_coverage,Exact global I-bound,2353,0.4837582236842105,0.7838215426372168,0.7654768385753301,0.782799967577522,14,True
0,1.25,hot-cold,0.5,2432,0.7838145725427493,cell1_fixed,Cell-1 fixed-R,2432,0.5,0.7916497232035501,0.7911770809244381,0.8081977811295459,2,True
0,1.25,hot-cold,0.5,2432,0.7838145725427493,cell1_bound,Cell-1 I-bound,2432,0.5,0.7916497232035501,0.7911770809244381,0.8081977811295459,2,True
0,1.25,hot-cold,0.625,3040,0.860658998458213,paper,Paper fixed-R,3036,0.6241776315789473,0.860658998458213,1.0228134702559435,1.028944410587049,20,True
0,1.25,hot-cold,0.625,3040,0.860658998458213,exact_coverage,Exact global I-bound,2928,0.6019736842105263,0.8606781868161986,0.9525355645340274,0.9743215524913136,16,True
0,1.25,hot-cold,0.625,3040,0.860658998458213,cell1_fixed,Cell-1 fixed-R,3040,0.625,0.8706620490184308,0.9889713511555477,1.0102472264119324,1,True
0,1.25,hot-cold,0.625,3040,0.860658998458213,cell1_bound,Cell-1 I-bound,2967,0.6099917763157895,0.8611135557367278,0.9652230259468781,0.985705674655125,2,True
0,1.25,hot-cold,0.75,3648,0.9160824631868916,paper,Paper fixed-R,3648,0.75,0.9160824631868916,1.2300081982947322,1.236090319233866,24,True
0,1.25,hot-cold,0.75,3648,0.9160824631868916,exact_coverage,Exact global I-bound,3464,0.712171052631579,0.9160830268901186,1.1274467743941443,1.154006499094394,21,True
0,1.25,hot-cold,0.75,3648,0.9160824631868916,cell1_fixed,Cell-1 fixed-R,3648,0.75,0.9297831165051378,1.186765621386657,1.2124439713201727,2,True
0,1.25,hot-cold,0.75,3648,0.9160824631868916,cell1_bound,Cell-1 I-bound,3502,0.719983552631579,0.9163855133006652,1.1392689709693185,1.1637782193732196,1,True
0,1.25,hot-cold,0.875,4256,0.958999043535764,paper,Paper fixed-R,4254,0.8745888157894737,0.958999043535764,1.428865568954756,1.4399401720102825,26,True
