trial,target_cv,spatial_mode,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,cell_rows,tile_rows,repair_rows,strategy
1,1.44,hot-cold,243,0.049958881578947366,0.14680691189672873,0.07905264418776252,0.08075331447963802,1,135,135,27,2
1,1.44,hot-cold,292,0.060032894736842105,0.17086957035188682,0.09499330083467761,0.09703690464219876,1,135,135,22,1
1,1.44,hot-cold,340,0.06990131578947369,0.19958699986412426,0.11060863795818625,0.11298817663817665,1,135,135,70,1
1,1.44,hot-cold,389,0.07997532894736842,0.2264914249503488,0.12654929460510134,0.12927176680073738,1,135,135,16,2
1,1.44,hot-cold,438,0.09004934210526316,0.2522949178634921,0.1424899512520164,0.14555535696329813,1,135,135,33,1
1,1.44,hot-cold,486,0.09991776315789473,0.27025249574486754,0.15810528837552504,0.16150662895927603,1,135,135,81,1
1,1.44,hot-cold,535,0.10999177631578948,0.2985379708363669,0.17404594502244014,0.17750789352557927,2,135,135,5,2
1,1.44,hot-cold,584,0.12006578947368421,0.3208458572394007,0.18998660166935522,0.19407380928439752,2,135,135,44,1
1,1.44,hot-cold,608,0.125,0.3311752814837927,0.19779427023110954,0.20204944528238647,2,135,135,67,2
1,1.44,hot-cold,632,0.1299342105263158,0.3415252435679318,0.20560193879286387,0.2100250812803754,2,135,135,43,2
1,1.44,hot-cold,681,0.14000822368421054,0.36277441861555415,0.22154259543977894,0.22630867144293615,2,135,135,129,2
1,1.44,hot-cold,730,0.15008223684210525,0.38379917793189,0.23748325208669402,0.2425922616054969,2,135,135,80,2
1,1.44,hot-cold,778,0.15995065789473684,0.4040390821778119,0.2530985892102027,0.25854353360147475,2,135,135,32,2
1,1.44,hot-cold,827,0.17002467105263158,0.4222522538776143,0.2690392458571177,0.27482712376403556,2,135,135,17,1
1,1.44,hot-cold,876,0.18009868421052633,0.4438349722448552,0.2849799025040328,0.29111071392659627,2,135,135,66,1
1,1.44,hot-cold,924,0.18996710526315788,0.45936190784416797,0.3005952396275415,0.3070619859225742,2,135,135,114,1
1,1.44,hot-cold,973,0.20004111842105263,0.4767434747611121,0.31653589627445655,0.3233455760851349,1,135,135,28,1
1,1.44,hot-cold,1021,0.2099095394736842,0.4937814500206223,0.33215123339796515,0.33929684808111277,1,135,135,76,1
1,1.44,hot-cold,1070,0.21998355263157895,0.5095228779808963,0.3480918900448802,0.3555804382436735,1,135,135,125,1
1,1.44,hot-cold,1119,0.23005756578947367,0.5221428528268296,0.36403254669179536,0.3718640284062343,1,135,135,39,1
1,1.44,hot-cold,1167,0.23992598684210525,0.5342959740413528,0.37964788381530395,0.38781530040221224,1,135,135,87,1
1,1.44,hot-cold,1216,0.25,0.5508444199538857,0.39558854046221903,0.40409889056477294,1,135,135,134,2
1,1.44,hot-cold,1265,0.26007401315789475,0.5622836032132545,0.4115291971091341,0.4203824807273337,1,135,135,50,1
1,1.44,hot-cold,1313,0.2699424342105263,0.574780965473168,0.42714453423264276,0.4363337527233116,1,135,135,37,2
1,1.44,hot-cold,1362,0.2800164473684211,0.5872271839547714,0.44308519087955783,0.45261734288587235,1,135,135,12,1
1,1.44,hot-cold,1411,0.29009046052631576,0.598168387923496,0.4590258475264729,0.46890093304843306,1,135,135,61,1
1,1.44,hot-cold,1459,0.29995888157894735,0.6113417951803704,0.47464118464998156,0.48485220504441096,1,135,135,109,1
1,1.44,hot-cold,1508,0.3100328947368421,0.6217408225918103,0.49058184129689664,0.5011357952069717,1,135,135,112,2
1,1.44,hot-cold,1556,0.3199013157894737,0.6330671963726087,0.5061971784204053,0.5170870672029495,1,135,135,71,1
1,1.44,hot-cold,1605,0.3299753289473684,0.6453170112710012,0.5221378350673204,0.5333706573655104,1,135,135,120,1
1,1.44,hot-cold,1654,0.34004934210526316,0.6553306689781148,0.5380784917142355,0.5496542475280711,1,135,135,34,1
1,1.44,hot-cold,1702,0.34991776315789475,0.665234464645831,0.5536938288377441,0.5656055195240489,1,135,135,53,2
1,1.44,hot-cold,1751,0.3599917763157895,0.6763212903816285,0.5696344854846592,0.5818891096866098,1,135,135,4,2
1,1.44,hot-cold,1800,0.37006578947368424,0.6879802245853537,0.5855751421315742,0.5981726998491704,1,135,135,45,1
1,1.44,hot-cold,1824,0.375,0.6938147277352531,0.5933828106933285,0.6061483358471593,1,135,135,69,1
1,1.44,hot-cold,1848,0.37993421052631576,0.6978254585403045,0.601190479255083,0.6141239718451483,1,135,135,93,1
1,1.44,hot-cold,1897,0.3900082236842105,0.7060507223217098,0.617131135901998,0.6304075620077091,1,135,135,7,1
1,1.44,hot-cold,1946,0.40008223684210525,0.7183065010655276,0.6330717925489131,0.6466911521702698,1,135,135,56,1
1,1.44,hot-cold,1994,0.40995065789473684,0.7272895081882336,0.6486871296724217,0.6626424241662476,1,135,135,31,2
1,1.44,hot-cold,2043,0.4200246710526316,0.7360687864481927,0.6646277863193368,0.6789260143288085,1,135,135,18,1
1,1.44,hot-cold,2092,0.4300986842105263,0.744193184324105,0.6805684429662519,0.6952096044913693,1,135,135,67,1
1,1.44,hot-cold,2140,0.4399671052631579,0.7506874568759718,0.6961837800897605,0.711160876487347,1,135,135,115,1
1,1.44,hot-cold,2189,0.45004111842105265,0.7592212087162292,0.7121244367366756,0.7274444666499079,1,135,135,29,1
1,1.44,hot-cold,2237,0.45990953947368424,0.7669828216180252,0.7277397738601842,0.7433957386458857,1,135,135,77,1
1,1.44,hot-cold,2286,0.4699835526315789,0.7747847727371617,0.7436804305070993,0.7596793288084465,1,135,135,126,1
1,1.44,hot-cold,2335,0.4800575657894737,0.7808970574986756,0.7596210871540143,0.7759629189710072,1,135,135,40,1
1,1.44,hot-cold,2383,0.48992598684210525,0.7880249368068526,0.775236424277523,0.7919141909669851,1,135,135,88,1
1,1.44,hot-cold,2432,0.5,0.7960953923830786,0.7911770809244382,0.8080712956689957,2,135,135,2,1
1,1.44,hot-cold,2481,0.5100740131578947,0.8031642606352933,0.8071177375713532,0.8244813712921066,2,135,135,51,1
1,1.44,hot-cold,2529,0.5199424342105263,0.8094088986292922,0.8227330746948618,0.8404326432880845,2,135,135,99,1
1,1.44,hot-cold,2578,0.530016447368421,0.8176524525273208,0.8386737313417769,0.8571193402324185,2,135,135,13,1
1,1.44,hot-cold,2627,0.5400904605263158,0.8245634446860138,0.854614387988692,0.872999823613206,2,135,135,62,1
1,1.44,hot-cold,2675,0.5499588815789473,0.8306394222228717,0.8702297251122006,0.888951095609184,1,135,135,25,2
1,1.44,hot-cold,2724,0.5600328947368421,0.8377834587221719,0.8861703817591157,0.9052346857717447,1,135,135,24,1
1,1.44,hot-cold,2772,0.5699013157894737,0.8443506004916101,0.9017857188826244,0.9211859577677225,1,135,135,72,1
1,1.44,hot-cold,2821,0.5799753289473685,0.8501863535749346,0.9177263755295394,0.9374695479302833,1,135,135,14,2
1,1.44,hot-cold,2870,0.5900493421052632,0.8566355547613015,0.9336670321764545,0.9537531380928439,1,135,135,35,1
1,1.44,hot-cold,2918,0.5999177631578947,0.863415241753733,0.9492823692999631,0.9697044100888219,1,135,135,83,1
1,1.44,hot-cold,2967,0.6099917763157895,0.8695618497405366,0.9652230259468783,0.9859880002513827,1,135,135,132,1
1,1.44,hot-cold,3016,0.6200657894736842,0.8743879036247266,0.9811636825937933,1.0022715904139434,1,135,135,46,1
1,1.44,hot-cold,3040,0.625,0.8775165024474428,0.9889713511555477,1.0102472264119324,1,135,135,70,1
1,1.44,hot-cold,3064,0.6299342105263158,0.8799261098984559,0.996779019717302,1.0182228624099212,1,135,135,94,1
1,1.44,hot-cold,3113,0.6400082236842105,0.885217876045165,1.012719676364217,1.035185752528559,2,135,135,8,1
1,1.44,hot-cold,3162,0.6500822368421053,0.8901947552851756,1.0286603330111321,1.0507900427350427,1,135,135,78,2
1,1.44,hot-cold,3210,0.6599506578947368,0.8957102088010839,1.0442756701346407,1.0667413147310207,1,135,135,30,2
