trial,target_cv,spatial_mode,budget_fraction,target_importance,paper_r,cell1_fixed_r,cell1_bound_r,exact_r,cell1_fixed_importance_change_pct,cell1_fixed_two_line_saving_pct,cell1_bound_two_line_saving_pct,exact_two_line_saving_pct,exact_headroom_vs_cell1_bound_pct,cell1_bound_released_saving_pct,exact_released_saving_pct
0,1.07,local,0.5,0.750318882730123,0.4995888157894737,0.5,0.5699013157894737,0.4911595394736842,-7.941501957883579,14.905457782922193,3.0579169214323465,13.476755582851318,10.747487912937581,-2.264866837921198,9.812094662450033
0,1.07,local,0.625,0.8362503954496652,0.6241776315789473,0.625,0.6899671052631579,0.6097861842105263,-4.84430391841526,12.25653507288893,3.1358327975708034,13.10104355380336,10.287819576672774,-1.1794100109435268,9.572266331891989
0,1.07,local,0.75,0.9022125503297092,0.75,0.75,0.7999588815789473,0.7138157894736842,-3.109510319687059,9.147676630545277,3.0958360113628403,12.630512582792408,9.839284690127027,-0.12999613710902302,10.027403387996847
0,1.07,local,0.875,0.9579423342489884,0.8745888157894737,0.875,0.9099506578947368,0.8305921052631579,-1.458085834292544,7.633692737194597,3.9442490730317803,11.766268523125788,8.14320785024224,1.5830332118026758,9.709295554849506
0,1.07,random,0.125,0.1554175526105011,0.1245888157894736,0.125,0.1400082236842105,0.1243832236842105,-3.9956696324951024,2.408013300927181,-8.065314121609557,3.9204056051364455,11.091181128903283,-11.252712481305238,1.362672137752341
0,1.07,random,0.25,0.3035647835948994,0.2491776315789473,0.25,0.2699424342105263,0.2563733552631579,-5.845300891861738,6.4710454637340264,0.16043901409018568,5.438546954550782,5.28658969284278,-3.1650814727778753,2.42988684066312
0,1.07,random,0.375,0.4393799860433512,0.375,0.375,0.4000822368421052,0.3811677631578947,-5.874460476817022,5.9738652281338345,-0.19436887097792344,4.968452968647375,5.15280638802521,-4.017942186944645,1.1634791833124214
0,1.07,random,0.5,0.5687722118795482,0.4995888157894737,0.5,0.530016447368421,0.5032894736842105,-4.751316447036613,5.169889637776093,-0.23716279988288402,4.964014790800064,5.1888715177092255,-3.201333551950447,1.857201052438795
0,1.07,random,0.625,0.689506010423617,0.6241776315789473,0.625,0.6599506578947368,0.6229440789473685,-3.8826579446637033,4.994904226254371,-0.0814983503842015,5.470926297993694,5.547903198789972,-2.892889665862275,2.801152295776377
0,1.07,random,0.75,0.8055903503890303,0.75,0.75,0.780016447368421,0.7405427631578947,-2.8961041537265864,5.4618399137225,1.783275138035767,6.958536510142988,5.269226172406616,-0.8426731026574874,4.530652200379648
0,1.07,random,0.875,0.9092773998510222,0.8745888157894737,0.875,0.9000822368421053,0.8571134868421053,-1.6970777703960271,4.699121169158705,2.0071584529393727,6.631906574176827,4.719475472110313,-0.38487443237742447,4.147318588448867
0,1.25,hot-cold,0.125,0.3135488829220871,0.1245888157894736,0.125,0.1299342105263158,0.1219161184210526,-1.9898192046635343,5.7738940171108695,2.0544424651547266,8.065000603003803,6.136631705537788,-0.8341366579493359,5.1512126105531575
0,1.25,hot-cold,0.25,0.5234895315581001,0.2491776315789473,0.25,0.25,0.2436266447368421,0.49315438848940296,6.816021208615641,6.816021208615641,9.078236088269643,2.427686506838833,4.464124657252921,6.575687589742374
0,1.25,hot-cold,0.375,0.6790957666962769,0.375,0.375,0.375,0.3665707236842105,0.40614340688560624,2.69851275812959,2.69851275812959,4.885662416526893,2.247807017543868,1.1356285954500556,3.483699590586453
0,1.25,hot-cold,0.5,0.7838145725427493,0.4995888157894737,0.5,0.5,0.4837582236842105,0.9996178860751437,2.874103980922349,2.874103980922349,6.029098136147315,3.248355263157887,1.1594483760902552,4.265536960019278
0,1.25,hot-cold,0.625,0.860658998458213,0.6241776315789473,0.625,0.6099917763157895,0.6019736842105263,1.1622548045320258,3.308728334593347,5.630591108137672,6.871038343318858,1.3144590495449804,4.2022421704253965,5.308630625105515
0,1.25,hot-cold,0.75,0.9160824631868916,0.75,0.75,0.719983552631579,0.712171052631579,1.4955698715794608,3.515633226512316,7.3771237826880665,8.338271569472278,1.0377002162286098,5.850066029597711,6.640600517796136
0,1.25,hot-cold,0.875,0.958999043535764,0.8745888157894737,0.875,0.8400493421052632,0.8266858552631579,1.2866409108338805,3.1007589726862794,6.971264370863739,8.428983350897767,1.5669555972955496,5.7008023630636835,7.056805707696645
0,1.25,local,0.125,0.3708068848847259,0.1245888157894736,0.125,0.1700246710526315,0.1241776315789473,-16.542907419694785,21.268043302280525,-4.7471545944697935,13.064956403535998,17.004863823714977,-11.661478128015968,8.691457772941813
0,1.25,local,0.25,0.5518457866212039,0.2491776315789473,0.25,0.3299753289473684,0.2518503289473684,-12.211666761430273,19.423670794694015,-5.663049201513393,12.327424827738886,17.026268090126827,-10.894807446874854,9.441046585847134
0,1.25,local,0.375,0.687799877368507,0.375,0.375,0.4800575657894737,0.3745888157894737,-12.856127656619954,15.512778020074236,-8.156613663994872,9.811105796721842,16.612686780797524,-12.76133401609043,6.523331082335759
0,1.25,local,0.5,0.787271329288808,0.4995888157894737,0.5,0.6099917763157895,0.4934210526315789,-8.766727921440243,14.598935611244734,-4.095232216133549,11.893590658157615,15.35980326274069,-9.217678450190615,8.656034903799092
0,1.25,local,0.625,0.862428718460519,0.6241776315789473,0.625,0.7099095394736842,0.609375,-6.873527575731098,12.313152373742732,0.40043261399134167,12.57578962886452,12.224307127445943,-3.3745291951770895,9.862000774708546
0,1.25,local,0.75,0.9161250994551138,0.75,0.75,0.7999588815789473,0.7074424342105263,-3.021304004517178,10.467422080424738,4.62141225028061,14.623478263652833,10.486699634952036,1.6164560526292782,12.234110523790898
0,1.25,local,0.875,0.9606698124971832,0.8745888157894737,0.875,0.9000822368421053,0.815172697368421,-1.0270323660141467,7.556961207197843,4.907043271877853,13.645689463875177,9.189583006638202,2.971901775952046,11.92384972560342
0,1.25,random,0.125,0.1584561569247909,0.1245888157894736,0.125,0.1400082236842105,0.1272615131578947,-4.115834540555074,5.287169737114217,-3.241766065799778,5.435586475994835,8.404885805870677,-7.566177841022581,1.7907837617553657
0,1.25,random,0.25,0.3107151158179099,0.2491776315789473,0.25,0.2800164473684211,0.2530838815789473,-5.363995726339432,5.287169737114217,-5.2875592760290635,5.397313935058845,10.14827704674558,-8.910652827460442,2.5143614386872737
0,1.25,random,0.375,0.4540278373948716,0.375,0.375,0.4099506578947368,0.3793174342105263,-7.171022885943268,7.395138563709603,-0.8215349399253835,6.154393636947053,6.919085868935692,-4.4437460719654265,3.0741309815759843
0,1.25,random,0.5,0.5834883560437163,0.4995888157894737,0.5,0.5400904605263158,0.4987664473684211,-5.924326674333347,5.935291475401039,-1.1339265279687094,6.3810241037348785,7.43069204341168,-5.095987151613834,2.8565924709528345
0,1.25,random,0.625,0.7081852891467499,0.6241776315789473,0.625,0.6700246710526315,0.6217105263157895,-5.433089802183611,7.656542722343707,0.8854974668749183,8.066722675929016,7.245382891019469,-2.6668817953004353,4.4834218954641685
0,1.25,random,0.75,0.818193113016735,0.75,0.75,0.7900904605263158,0.7384868421052632,-3.67397993499754,7.514413231711103,2.8633804563655163,9.14089762614757,6.462564992764808,-0.8618932051966954,5.495344296161053
0,1.25,random,0.875,0.9177986148306624,0.8745888157894737,0.875,0.9099506578947368,0.8552631578947368,-2.2292896896969006,5.571269772888998,1.8598570129951475,7.777894530506069,6.030190437255179,-0.504048868545981,5.527706149248013
0,1.44,hot-cold,0.125,0.3279992494331701,0.1245888157894736,0.125,0.1299342105263158,0.1262335526315789,-4.07098421044031,7.195789663710228,3.5324655714882747,6.279958640654726,2.8481012658227667,0.053880235847059144,2.900446937990653
0,1.44,hot-cold,0.25,0.5255150981671874,0.2491776315789473,0.25,0.25,0.2397203947368421,1.5717216275235923,2.7616022068134405,2.7616022068134405,6.684874642852757,4.034694652603799,0.9778681291825131,4.766625218051068
0,1.44,hot-cold,0.375,0.6798976722544968,0.375,0.375,0.375,0.3684210526315789,0.07903662165049674,2.1068716833187784,2.1068716833187784,3.8242949871202025,1.7543859649122862,0.8548515612886831,2.5766669047827873
0,1.44,hot-cold,0.5,0.7844812556788585,0.4995888157894737,0.5,0.4899259868421052,0.4819078947368421,1.2198750147498272,2.3761231819952933,4.343051621173844,5.9085660931730954,1.6365925304238416,3.092226002750198,4.562463252578819
0,1.44,hot-cold,0.625,0.8676498784547386,0.6241776315789473,0.625,0.6200657894736842,0.6069078947368421,0.8290588222813033,1.21831162830216,1.9981670628155812,4.077781554851323,2.1220159151193685,1.1720345981784508,3.0998259024740182
0,1.44,hot-cold,0.75,0.9213819362124636,0.75,0.75,0.7300575657894737,0.7181332236842105,1.0529135354964136,1.4657571053730667,4.08577398058656,5.633865130738858,1.6140370562328865,3.311978992605946,4.833291549284802
0,1.44,hot-cold,0.875,0.9611344752686536,0.8745888157894737,0.875,0.8499177631578947,0.8340871710526315,1.0198350641220433,1.953817513559064,4.764351879946682,6.5382137341421735,1.8626028059990474,4.175473117214379,5.9384937322802696
