trial,target_cv,spatial_mode,budget_fraction,budget_rows,q,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask,paper_extra_vs_quant_pct,quant_strictly_beats_paper,quant_nonworse_than_paper,paper_extra_vs_top_pct,paper_extra_vs_single_pct
0,4.55,local,0.375,3360,8192,0.9150958445010918,3360,77,2.2563805036228994,14.682023,0.915174839030672,7745,1,3.259549615573587,1.294348,0.9151432873821396,2822,407,5.661015079676712,0.038181,0.9151665943663462,3768,37,1.9874758498479934,0.865548,413.961685,414.827233,30.434239785714286,False,13.529958303416478,True,True,-60.14176836017621,-30.776310541729814
0,4.55,local,0.5,4480,8192,0.95338734311643,4480,87,2.836160127075196,18.942543,0.9537779658066432,7982,1,3.358956465018775,1.229097,0.9534062921909457,3859,447,6.53600790833914,0.041788,0.9535191120388775,4822,38,2.4405645808741996,0.761172,413.961685,414.722857,30.329863785714284,False,16.209181650062952,True,True,-56.607149702854464,-15.564248700099082
0,4.55,local,0.625,5600,8192,0.9749605107499177,5600,82,3.250926463314938,21.630855,0.9752178914077045,8345,1,3.511212525561405,1.180105,0.9749658256830325,4864,479,7.309571628622187,0.045635,0.9749774769399859,6057,29,2.8595627649383815,0.724644,413.961685,414.686329,30.293335785714287,False,13.686137726198488,True,True,-55.52507549710243,-7.412996517630333
0,4.55,local,0.75,6720,8192,0.9892428057301179,6720,70,3.588686598855487,24.966839,0.9893136500345663,8559,1,3.6009722967903937,1.163163,0.9892468241205549,6015,443,7.39631308830535,0.044533,0.9892602146714677,7316,21,3.2996283512162403,0.709916,413.961685,414.671601,30.278607785714286,False,8.760327433018332,True,True,-51.480060997827096,-0.3411772410983893
0,4.55,local,0.875,7840,8192,0.9971222854236599,7840,48,3.8164378762543327,26.403713,0.9971255480940362,8902,1,3.7448395936667627,1.122968,0.9971226351818349,7312,302,6.389199512264328,0.044222,1.0000000000000002,8960,1,3.7691670082989184,0.70631,413.961685,414.66799499999996,30.275001785714284,True,1.254146283551072,True,True,-40.26735479259139,1.9119185427503016
0,4.55,local,0.125,1120,16384,0.6967631892531008,1120,29,0.7887964539215343,6.219741,0.6969680845047005,5077,1,2.1404885424944236,1.581895,0.6969404764698093,803,180,2.31696830775103,0.030146,0.6968482098648352,1106,22,0.7059181186559548,1.893067,792.703555,794.596622,58.51474950000001,False,11.740502627043647,True,True,-65.95566494013977,-63.14876542145335
0,4.55,local,0.25,2240,16384,0.8422158427784785,2240,58,1.5775929078430686,9.038338,0.8425136468454081,6618,1,2.7868427829798024,1.455619,0.8422586467547968,1762,323,4.292336196974589,0.034795,0.842241400105558,2501,35,1.4340458999619319,1.505262,792.703555,794.2088170000001,58.12694450000001,False,10.009931194318632,True,True,-63.24628744237184,-43.39139195515565
0,4.55,local,0.375,3360,16384,0.9150958445010918,3360,77,2.2563805036228994,14.682023,0.915174839030672,7745,1,3.259549615573587,1.294348,0.9151432873821396,2822,407,5.661015079676712,0.038181,0.9151055131549486,3720,38,1.9783437028631334,1.310449,792.703555,794.014004,57.932131500000004,False,14.054019044182287,True,True,-60.14176836017621,-30.776310541729814
0,4.55,local,0.5,4480,16384,0.95338734311643,4480,87,2.836160127075196,18.942543,0.9537779658066432,7982,1,3.358956465018775,1.229097,0.9534062921909457,3859,447,6.53600790833914,0.041788,0.9533889216030742,4753,39,2.4226242320397637,1.221172,792.703555,793.9247270000001,57.84285450000001,False,17.06974980132392,True,True,-56.607149702854464,-15.564248700099082
0,4.55,local,0.625,5600,16384,0.9749605107499177,5600,82,3.250926463314938,21.630855,0.9752178914077045,8345,1,3.511212525561405,1.180105,0.9749658256830325,4864,479,7.309571628622187,0.045635,0.9749880914726752,5778,36,2.8195457124932184,1.156771,792.703555,793.8603260000001,57.778453500000005,False,15.29965444114989,True,True,-55.52507549710243,-7.412996517630333
