trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,exact_build_ms
5,9.19,hot-cold,9.190000000000001,0.027891549097483148,0.999510415837218,29.214394
6,1.07,random,1.07,-0.03911526049759502,0.48585221913741106,29.409918
6,1.07,local,1.07,0.8690315456295106,0.4833921129574925,29.314019
6,1.07,hot-cold,1.0699999999999998,0.43508481257137616,0.7655626329764946,29.161465
6,1.25,random,1.25,-0.08870580041440543,0.484982326023066,29.518191
6,1.25,local,1.25,0.7300919050022217,0.28827162227725467,29.318918
6,1.25,hot-cold,1.25,0.36916829394403117,0.8023785818143618,29.336711
6,1.44,random,1.44,-0.08254638020880212,0.4527274178607686,29.397515
6,1.44,local,1.4400000000000002,0.8099685246625902,0.6128622176244927,29.314139
6,1.44,hot-cold,1.4400000000000002,0.2860039642824472,0.829203618507987,29.349245
6,2.48,random,2.4799999999999995,0.10337910248355081,0.3636148866446502,29.567232
6,2.48,local,2.4799999999999995,0.674126555354953,0.3398649538080271,29.358072
6,2.48,hot-cold,2.4799999999999995,0.28048418417017396,0.8905282974718388,29.316834
6,3.3,random,3.3000000000000003,-0.03721695393885708,0.5812430968580402,29.43733
6,3.3,local,3.2999999999999994,0.8021017861026982,0.8792341708524094,29.570699
6,3.3,hot-cold,3.3000000000000003,0.050879430227449306,0.9626577410435353,29.471873
6,4.55,random,4.550000000000001,0.09174438504172353,0.3347359919725327,29.488505
6,4.55,local,4.549999999999999,0.5381327824766083,0.9462078941622811,29.276169
6,4.55,hot-cold,4.55,0.10408296120321818,0.9832345182625971,29.693067
6,9.19,random,9.19,-0.010502639641112506,0.683325591969897,32.533473
6,9.19,local,9.19,0.11615550962987124,0.08096843105479634,29.449452
6,9.19,hot-cold,9.19,-0.0075876179323176125,0.9879576021513908,29.521707
7,1.07,random,1.07,0.0769879354419715,0.5125716577718875,29.452076
7,1.07,local,1.07,0.8199614822583594,0.5558405338801219,29.821477
7,1.07,hot-cold,1.07,0.36818474553011626,0.7854534827768165,29.50703
7,1.25,random,1.2500000000000002,0.016041466520040747,0.5015164052653021,29.433492
7,1.25,local,1.2500000000000002,0.7853420311077912,0.7972247827794148,29.441968
7,1.25,hot-cold,1.2500000000000004,0.37377862807361506,0.8022074762406022,30.09077
7,1.44,random,1.4399999999999997,-0.004103495047879336,0.5233597812848605,32.075568
7,1.44,local,1.4399999999999997,0.6515663201365407,0.320769315901134,31.239737
7,1.44,hot-cold,1.4399999999999997,0.2006547672340991,0.8195604358816434,30.785267
7,2.48,random,2.480000000000001,-0.03433399391281285,0.5470244555234138,31.084617
7,2.48,local,2.4800000000000013,0.36869931564890013,0.32310474679825235,29.950248
7,2.48,hot-cold,2.480000000000001,0.22871520079338195,0.8362804122285058,30.038263
7,3.3,random,3.3000000000000007,-0.008861720210256814,0.5750298730997924,29.947172
7,3.3,local,3.3000000000000003,0.6615873213679248,0.06352023728428176,29.779539
7,3.3,hot-cold,3.3000000000000003,0.05366838183831697,0.9344064371730026,30.063039
7,4.55,random,4.550000000000001,-0.018935806977770926,0.7018656214997694,30.364431
7,4.55,local,4.550000000000001,0.34649647763799324,0.12275336443905717,29.715539
7,4.55,hot-cold,4.550000000000002,0.18447025679357762,0.9680087401790567,30.275666
7,9.19,random,9.189999999999998,-0.009992691717089603,0.8124804381253954,30.008707
7,9.19,local,9.19,0.09205428133335589,0.2892300687193387,29.588072
7,9.19,hot-cold,9.189999999999998,-0.003733327397361829,0.9584112787308878,29.987067
8,1.07,random,1.0699999999999998,-0.055237359160674564,0.5183732086556256,32.090165
8,1.07,local,1.07,0.8336629894344189,0.4762658575391475,37.468803
8,1.07,hot-cold,1.07,0.32091538560474037,0.7584090833734749,39.851243
8,1.25,random,1.25,-0.004151076211815396,0.5604693751157998,32.454756
8,1.25,local,1.25,0.6808081663542489,0.6758327711926528,31.588649
8,1.25,hot-cold,1.25,0.2993099947959861,0.7876463850705098,30.190236
8,1.44,random,1.4400000000000002,0.05214053699632089,0.5308635102820638,30.190287
8,1.44,local,1.4400000000000002,0.5024574467147616,0.236820664168703,29.926443
8,1.44,hot-cold,1.4400000000000004,0.33291661764236957,0.7720405360837936,29.847235
8,2.48,random,2.4799999999999995,0.01015851798511645,0.35653467449972887,29.99473
8,2.48,local,2.48,0.3736979565110648,0.2816075889601879,29.560039
8,2.48,hot-cold,2.48,0.23452374924638544,0.9037800976089484,29.860601
8,3.3,random,3.3000000000000003,-0.041153528016921445,0.6228044861087925,29.866682
8,3.3,local,3.3000000000000003,0.5465203753126084,0.18228012349256578,29.740867
8,3.3,hot-cold,3.3000000000000003,0.05570228116500974,0.9370689300344976,30.656707
8,4.55,random,4.55,-0.034970136848058476,0.2787261562592275,31.491156
8,4.55,local,4.550000000000001,0.6591382702148562,0.6171544739036796,33.220016
8,4.55,hot-cold,4.55,0.13432991621458604,0.9737048552388441,30.387084
8,9.19,random,9.190000000000003,-0.011058879721307943,0.8725079024208677,30.870056
8,9.19,local,9.190000000000001,0.06049504421326912,0.08910322868181941,30.622504
8,9.19,hot-cold,9.19,0.01913139651945798,0.9953325778695553,30.312925
9,1.07,random,1.07,0.02290804825249103,0.4850905355004767,29.986796
9,1.07,local,1.0700000000000005,0.6952319129505333,0.6346169393275946,29.563616
9,1.07,hot-cold,1.0700000000000003,0.3048063626436148,0.7484347879353245,29.692606
9,1.25,random,1.25,-0.014633427544406052,0.5223602774501832,29.757207
9,1.25,local,1.25,0.9199799960935113,0.6811980281803256,29.831486
9,1.25,hot-cold,1.25,0.394646557851229,0.7853954816348906,30.181339
9,1.44,random,1.4400000000000002,0.16875835007116766,0.4408554049915581,30.11713
9,1.44,local,1.4400000000000002,0.7859148564938265,0.1929919404590671,30.235651
9,1.44,hot-cold,1.4400000000000002,0.3789029691371158,0.8561261981355448,29.700301
9,2.48,random,2.4800000000000004,-0.043245484020671764,0.5513843135122612,29.790639
9,2.48,local,2.4800000000000004,0.5103852729735744,0.5635695618911967,29.801179
9,2.48,hot-cold,2.4800000000000004,0.08205224413096321,0.8163103610948,30.126947
9,3.3,random,3.3,-0.062273808143580994,0.39590702015106394,29.771544
9,3.3,local,3.3,0.3759388695216302,0.5032768553773326,30.166812
9,3.3,hot-cold,3.3,0.027443904398007868,0.9480584141521647,29.965386
9,4.55,random,4.55,0.035396955063938654,0.6601368962928837,29.959555
9,4.55,local,4.55,0.2878159899122298,0.8319902122704526,29.863836
9,4.55,hot-cold,4.550000000000002,0.027084347630315003,0.9677091158278265,29.921424
9,9.19,random,9.19,-0.01182670959545037,0.1011539686056699,29.937153
9,9.19,local,9.19,0.5104119473697075,0.0028044450306490038,29.888291
9,9.19,hot-cold,9.19,0.021254309382770706,0.9993674629773636,29.975425
10,1.07,random,1.07,-0.0037458958969253096,0.48290129673353244,30.456944
10,1.07,local,1.07,0.8132768231644532,0.3108315147029729,31.024525
