trial,target_cv,spatial_mode,budget_rows,budget_fraction,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,paper_gap_pct,paper_extra_vs_single_pct,target_importance,exact_importance,exact_rows,exact_chunks,exact_aff_ms,exact_build_ms,exact_solve_ms,exact_single_query_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,single_gap_pct,single_exact
0,1.25,random,96,0.375,0.449931682579939,96,1,0.02442290768018733,0.482602,0.0,0.0,0.449931682579939,0.449931682579939,96,1,0.02442290768018733,31.844276,0.154789,31.999065,0.449931682579939,96,1,0.02442290768018733,0.063599,0.0,True
0,1.25,random,128,0.5,0.5686473273913,128,2,0.03989780078303003,0.513029,31.092462299121703,31.092462299121703,0.5686473273913,0.5693341208085305,139,1,0.030434854974340758,31.844276,0.156833,32.001109,0.5693341208085302,139,1,0.030434854974340758,0.058299,0.0,True
0,1.25,random,160,0.625,0.6810797422153942,160,1,0.033370922257531965,0.48174,0.8450120804126549,0.8450120804126549,0.6810797422153942,0.6847679325500546,158,1,0.033091296801989946,31.844276,0.18182,32.026096,0.6847679325500544,158,1,0.033091296801989946,0.054692,0.0,True
0,1.25,random,192,0.75,0.8382798498337387,192,2,0.04884581536037466,0.517727,25.36322814736507,25.36322814736507,0.8382798498337387,0.8545486829151077,200,1,0.03896343136837237,31.844276,0.163706,32.007982,0.8545486829151074,200,1,0.03896343136837237,0.047719,0.0,True
0,1.25,random,224,0.875,0.9334227429873694,224,1,0.04231893683487661,0.514972,0.6651523214042943,0.6651523214042943,0.9334227429873694,0.937027272893293,222,1,0.04203931137933459,31.844276,0.157845,32.002121,0.9370272728932927,222,1,0.04203931137933459,0.044683,0.0,True
0,1.25,local,32,0.125,0.35791224052989323,32,1,0.015474893102842693,0.791739,0.9117182587336625,0.9117182587336625,0.35791224052989323,0.3603056435159626,31,1,0.015335080375071683,29.89294,0.151663,30.044603,0.36030564351596267,31,1,0.015335080375071683,0.062327,0.0,True
0,1.25,local,64,0.25,0.5631154297731995,64,1,0.019948900391515013,0.495576,0.7058009442146407,0.7058009442146407,0.5631154297731995,0.5643437922349143,63,1,0.019809087663744,29.89294,0.145542,30.038482,0.5643437922349144,63,1,0.019809087663744,0.065162,0.0,True
0,1.25,local,96,0.375,0.7345899790142316,96,2,0.0354237934943577,0.516164,36.450835208717926,36.450835208717926,0.7345899790142316,0.7350792081384,107,1,0.02596084768566844,29.89294,0.154088,30.047028,0.7350792081383999,107,1,0.02596084768566844,0.05342,0.0,True
0,1.25,local,128,0.5,0.8246268855434286,128,2,0.03989780078303003,0.533276,31.69745880630874,31.69745880630874,0.8246268855434286,0.826000623555667,138,1,0.030295042246569752,29.89294,0.15539,30.04833,0.8260006235556664,138,1,0.030295042246569752,0.057798,0.0,True
0,1.25,local,160,0.625,0.8978612272210215,160,3,0.055372693885872716,0.58903,56.73749709528153,56.73749709528153,0.8978612272210215,0.8979814845580599,174,1,0.03532830044632611,29.89294,0.15555,30.04849,0.8979814845580596,174,1,0.03532830044632611,0.050124,0.0,True
0,1.25,local,192,0.75,0.9235200224177098,192,3,0.05984670117454503,0.659542,58.72302282667157,58.72302282667157,0.9235200224177098,0.923542893970264,191,1,0.037705116818433276,29.89294,0.171631,30.064571,0.9235428939702638,191,1,0.037705116818433276,0.047689,0.0,True
0,1.25,local,224,0.875,0.9569612135106373,224,2,0.053319822649046986,0.686883,23.147219979553803,23.147219979553803,0.9569612135106373,0.9580804473821408,231,1,0.04329762592927368,29.89294,0.162613,30.055553,0.9580804473821409,231,1,0.04329762592927368,0.045916,0.0,True
0,1.25,hot-cold,32,0.125,0.3033339206068921,32,1,0.015474893102842693,0.777813,0.0,0.0,0.3033339206068921,0.3048278161798361,32,1,0.015474893102842693,29.944687,0.140082,30.084768999999998,0.3048278161798361,32,1,0.015474893102842693,0.074128,0.0,True
0,1.25,hot-cold,64,0.25,0.561169922978396,64,1,0.019948900391515013,0.481319,0.0,0.0,0.561169922978396,0.5611699229783959,64,1,0.019948900391515013,29.944687,0.138369,30.083056,0.561169922978396,64,1,0.019948900391515013,0.053269,0.0,True
0,1.25,hot-cold,96,0.375,0.7236575737194098,96,1,0.02442290768018733,0.484906,0.0,0.0,0.7236575737194098,0.7236575737194098,96,1,0.02442290768018733,29.944687,0.1441,30.088787,0.7236575737194098,96,1,0.02442290768018733,0.049111,0.0,True
0,1.25,hot-cold,128,0.5,0.8101151342590766,128,1,0.028896914968859648,0.542563,0.0,0.0,0.8101151342590766,0.8101151342590764,128,1,0.028896914968859648,29.944687,0.140062,30.084749,0.8101151342590766,128,1,0.028896914968859648,0.047819,0.0,True
0,1.25,hot-cold,160,0.625,0.8862050835386068,160,1,0.033370922257531965,0.555618,0.0,0.0,0.8862050835386068,0.8862050835386068,160,1,0.033370922257531965,29.944687,0.147194,30.091880999999997,0.8862050835386068,160,1,0.033370922257531965,0.046487,0.0,True
0,1.25,hot-cold,192,0.75,0.937968854192919,192,1,0.03784492954620429,0.622963,0.0,0.0,0.937968854192919,0.9379688541929186,192,1,0.03784492954620429,29.944687,0.170659,30.115346,0.937968854192919,192,1,0.03784492954620429,0.048731,0.0,True
0,1.25,hot-cold,224,0.875,0.9812263850171307,224,1,0.04231893683487661,0.641038,0.0,0.0,0.9812263850171307,0.9812263850171302,224,1,0.04231893683487661,29.944687,0.161342,30.106029,0.9812263850171307,224,1,0.04231893683487661,0.05904,0.0,True
0,1.44,random,32,0.125,0.16963732805285986,32,1,0.015474893102842693,0.862702,1.8402140852826099,1.8402140852826099,0.16963732805285986,0.17054103350547353,30,1,0.015195267647300673,29.68869,0.157815,29.846505,0.1705410335054735,30,1,0.015195267647300673,0.077885,0.0,True
0,1.44,random,64,0.25,0.28921569990022056,64,1,0.019948900391515013,0.534669,0.0,0.0,0.28921569990022056,0.2906206492783712,64,1,0.019948900391515013,29.68869,0.151493,29.840183,0.2906206492783714,64,1,0.019948900391515013,0.076924,0.0,True
0,1.44,random,96,0.375,0.39383857278494483,96,1,0.02442290768018733,0.500364,1.7474064879147821,1.7474064879147821,0.39383857278494483,0.4164297533778922,93,1,0.0240034694968743,29.68869,0.159879,29.848569,0.41642975337789206,93,1,0.0240034694968743,0.066243,0.0,True
0,1.44,random,128,0.5,0.5528940757057046,128,1,0.028896914968859648,0.497038,0.0,0.0,0.5528940757057046,0.5602919873327652,128,1,0.028896914968859648,29.68869,0.155611,29.844301,0.5602919873327649,128,1,0.028896914968859648,0.062306,0.0,True
0,1.44,random,160,0.625,0.6550684321996688,160,1,0.033370922257531965,0.48751,0.4207284371465114,0.4207284371465114,0.6550684321996688,0.655287586893584,159,1,0.03323110952976096,29.68869,0.157875,29.846565000000002,0.6552875868935839,159,1,0.03323110952976096,0.057207,0.0,True
0,1.44,random,192,0.75,0.8045551547504499,192,2,0.04884581536037466,0.514241,23.589322746357098,23.589322746357098,0.8045551547504499,0.8070585608375463,204,1,0.039522682279456406,29.68869,0.184785,29.873475000000003,0.8070585608375463,204,1,0.039522682279456406,0.059401,0.0,True
0,1.44,random,224,0.875,0.8959569259916664,224,1,0.04231893683487661,0.490055,0.33147375800404166,0.33147375800404166,0.8959569259916664,0.8961529156511819,223,1,0.042179124107105594,29.68869,0.178814,29.867504,0.896152915651182,223,1,0.042179124107105594,0.047028,0.0,True
0,1.44,local,32,0.125,0.2986135444491508,32,1,0.015474893102842693,0.830221,0.0,0.0,0.2986135444491508,0.3020164339822857,32,1,0.015474893102842693,29.846194,0.14984,29.996034,0.3020164339822856,32,1,0.015474893102842693,0.071544,0.0,True
0,1.44,local,64,0.25,0.403716669885944,64,1,0.019948900391515013,0.513739,0.7058009442146407,0.7058009442146407,0.403716669885944,0.40449333622490596,63,1,0.019809087663744,29.846194,0.1497,29.995894,0.40449333622490574,63,1,0.019809087663744,0.067646,0.0,True
0,1.44,local,96,0.375,0.6301642962450448,96,2,0.0354237934943577,0.509963,8.42295171449976,8.42295171449976,0.6301642962450448,0.6328143787682682,155,1,0.03267185861867692,29.846194,0.160771,30.006965,0.6328143787682681,155,1,0.03267185861867692,0.053389,0.0,True
0,1.44,local,128,0.5,0.7726335773275115,128,2,0.03989780078303003,0.497479,15.681261278332759,15.681261278332759,0.7726335773275115,0.7796785102935969,168,1,0.03448942407970005,29.846194,0.156272,30.002466000000002,0.7796785102935966,168,1,0.03448942407970005,0.04822,0.0,True
0,1.44,local,160,0.625,0.8746249319166975,160,3,0.055372693885872716,0.53507,44.710855481241786,44.710855481241786,0.8746249319166975,0.8799096899815856,195,1,0.038264367729517315,29.846194,0.165269,30.011463,0.8799096899815853,195,1,0.038264367729517315,0.047599,0.0,True
