trial,target_cv,spatial_mode,coverage_target,target_importance,exact_importance,exact_rows,exact_chunks,exact_aff_ms,exact_build_ms,exact_solve_ms,exact_single_query_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,single_gap_pct,single_exact
0,2.48,local,0.99,0.99,0.9906456231778215,254,1,0.046513318668006905,29.885787,0.127718,30.013505000000002,0.9906456231778212,254,1,0.046513318668006905,0.038693,0.0,True
0,2.48,hot-cold,0.1,0.1,0.12130542556029009,1,1,0.011140698541941383,30.228909,0.246961,30.47587,0.12130542556029009,1,1,0.011140698541941383,0.08042,0.0,True
0,2.48,hot-cold,0.3,0.3,0.31869415126656586,12,1,0.012678638547422494,30.228909,0.138699,30.367608,0.3186941512665658,12,1,0.012678638547422494,0.061585,0.0,True
0,2.48,hot-cold,0.5,0.5,0.5001544284275203,32,1,0.015474893102842693,30.228909,0.136114,30.365023,0.5001544284275203,32,1,0.015474893102842693,0.049492,0.0,True
0,2.48,hot-cold,0.7,0.7,0.7075358335827985,73,1,0.0212072149414541,30.228909,0.132527,30.361436,0.7075358335827984,73,1,0.0212072149414541,0.045655,0.0,True
0,2.48,hot-cold,0.9,0.9,0.9017951034523504,144,1,0.03113391861319581,30.228909,0.132328,30.361237000000003,0.9017951034523501,144,1,0.03113391861319581,0.046556,0.0,True
0,2.48,hot-cold,0.95,0.95,0.9502627681414597,180,1,0.036167176812952166,30.228909,0.139861,30.36877,0.9502627681414595,180,1,0.036167176812952166,0.041598,0.0,True
0,2.48,hot-cold,0.99,0.99,0.9900841434292363,239,1,0.044416127751441756,30.228909,0.134071,30.36298,0.9900841434292362,239,1,0.044416127751441756,0.039133,0.0,True
0,3.3,random,0.1,0.1,0.12256936839779393,1,1,0.011140698541941383,32.005487,0.23029,32.235777,0.12256936839779393,1,1,0.011140698541941383,0.088886,0.0,True
0,3.3,random,0.3,0.3,0.3415294331777779,35,1,0.015894331286155722,32.005487,0.139962,32.145449,0.3415294331777779,35,1,0.015894331286155722,0.071343,0.0,True
0,3.3,random,0.5,0.5,0.5025380069693215,83,1,0.0226053422191642,32.005487,0.140352,32.145839,0.5025380069693217,83,1,0.0226053422191642,0.064931,0.0,True
0,3.3,random,0.7,0.7,0.7003871033350808,130,1,0.029176540424401667,32.005487,0.149048,32.154535,0.7003871033350808,130,1,0.029176540424401667,0.054372,0.0,True
0,3.3,random,0.9,0.9,0.9073674491656847,221,1,0.041899498651563574,32.005487,0.167283,32.17277,0.9073674491656847,221,1,0.041899498651563574,0.043822,0.0,True
0,3.3,random,0.95,0.95,0.962089231411737,235,1,0.04385687684035772,32.005487,0.203711,32.209198,0.9620892314117369,235,1,0.04385687684035772,0.04318,0.0,True
0,3.3,random,0.99,0.99,0.9902188049973926,247,1,0.04553462957360983,32.005487,0.155851,32.161338,0.9902188049973926,247,1,0.04553462957360983,0.040566,0.0,True
0,3.3,local,0.1,0.1,0.12256936839779393,1,1,0.011140698541941383,30.9738,0.226082,31.199882000000002,0.12256936839779393,1,1,0.011140698541941383,0.088716,0.0,True
0,3.3,local,0.3,0.3,0.37297528427782084,5,1,0.011699949453025424,30.9738,0.146815,31.120615,0.37297528427782084,5,1,0.011699949453025424,0.051506,0.0,True
0,3.3,local,0.5,0.5,0.5668781568040628,11,1,0.012538825819651484,30.9738,0.136836,31.110636,0.5668781568040628,11,1,0.012538825819651484,0.047489,0.0,True
0,3.3,local,0.7,0.7,0.70111953272875,22,1,0.014076765825132592,30.9738,0.131305,31.105105000000002,0.7011195327287499,22,1,0.014076765825132592,0.045886,0.0,True
0,3.3,local,0.9,0.9,0.9016772514834079,121,2,0.03891911168863295,30.9738,0.1394,31.1132,0.9007644255995283,201,1,0.03910324409614338,0.041257,0.473115648125666,False
0,3.3,local,0.95,0.95,0.9507102494516039,223,1,0.042179124107105594,30.9738,0.152525,31.126325,0.9507102494516029,223,1,0.042179124107105594,0.040716,0.0,True
0,3.3,local,0.99,0.99,0.9913775554903222,241,1,0.044695753206983775,30.9738,0.136635,31.110435,0.9913775554903212,241,1,0.044695753206983775,0.040135,0.0,True
0,3.3,hot-cold,0.1,0.1,0.12256936839779393,1,1,0.011140698541941383,30.082585,0.197639,30.280224,0.12256936839779393,1,1,0.011140698541941383,0.082434,0.0,True
0,3.3,hot-cold,0.3,0.3,0.30398239221229634,18,1,0.013517514914048553,30.082585,0.143178,30.225763,0.30398239221229645,18,1,0.013517514914048553,0.056235,0.0,True
0,3.3,hot-cold,0.5,0.5,0.5003855486749923,33,1,0.015614705830613702,30.082585,0.137046,30.219631000000003,0.5003855486749924,33,1,0.015614705830613702,0.056746,0.0,True
0,3.3,hot-cold,0.7,0.7,0.701132641246031,60,1,0.01938964948043097,30.082585,0.127759,30.210344000000003,0.7011326412460309,60,1,0.01938964948043097,0.048491,0.0,True
0,3.3,hot-cold,0.9,0.9,0.9007080650124999,109,1,0.02624047314121046,30.082585,0.131676,30.214261,0.9007080650124998,109,1,0.02624047314121046,0.043542,0.0,True
0,3.3,hot-cold,0.95,0.95,0.9577710492860443,142,1,0.03085429315765379,30.082585,0.129802,30.212387000000003,0.9577710492860436,142,1,0.03085429315765379,0.042088,0.0,True
0,3.3,hot-cold,0.99,0.99,0.9900688822505191,201,1,0.03910324409614338,30.082585,0.133219,30.215804000000002,0.9900688822505184,201,1,0.03910324409614338,0.040255,0.0,True
0,4.55,random,0.1,0.1,0.2717763540293677,1,1,0.011140698541941383,29.71074,0.197429,29.908169,0.2717763540293677,1,1,0.011140698541941383,0.095448,0.0,True
0,4.55,random,0.3,0.3,0.3081673764854729,7,1,0.011979574908567443,29.71074,0.132868,29.843608,0.3081673764854729,7,1,0.011979574908567443,0.07453,0.0,True
0,4.55,random,0.5,0.5,0.5036274904383707,63,1,0.019809087663744,29.71074,0.127608,29.838348,0.5036274904383707,63,1,0.019809087663744,0.063599,0.0,True
0,4.55,random,0.7,0.7,0.7016764062309766,143,1,0.030994105885424797,29.71074,0.138279,29.849019000000002,0.7016764062309764,143,1,0.030994105885424797,0.058028,0.0,True
0,4.55,random,0.9,0.9,0.9007488757001546,224,1,0.04231893683487661,29.71074,0.146985,29.857725000000002,0.9007488757001543,224,1,0.04231893683487661,0.042379,0.0,True
0,4.55,random,0.95,0.95,0.9522362899727479,235,1,0.04385687684035772,29.71074,0.146714,29.857454,0.9522362899727481,235,1,0.04385687684035772,0.046577,0.0,True
0,4.55,random,0.99,0.99,0.9900930731472951,249,1,0.04581425502915185,29.71074,0.16035,29.871090000000002,0.9900930731472952,249,1,0.04581425502915185,0.048651,0.0,True
0,4.55,local,0.1,0.1,0.2717763540293677,1,1,0.011140698541941383,30.366575,0.282347,30.648922000000002,0.2717763540293677,1,1,0.011140698541941383,0.094396,0.0,True
0,4.55,local,0.3,0.3,0.31903831828394047,2,1,0.011280511269712393,30.366575,0.153126,30.519701,0.31903831828394047,2,1,0.011280511269712393,0.067506,0.0,True
0,4.55,local,0.5,0.5,0.5001778320569027,23,1,0.014216578552903602,30.366575,0.143058,30.509633,0.5001778320569027,23,1,0.014216578552903602,0.049071,0.0,True
0,4.55,local,0.7,0.7,0.7011530076196287,38,2,0.027314655283639126,30.366575,0.137106,30.503681,0.7018163104129275,158,1,0.033091296801989946,0.043591,21.14850602493563,False
0,4.55,local,0.9,0.9,0.9000708449675068,101,2,0.036122857133212755,30.366575,0.148207,30.514782,0.9026540955601968,219,1,0.041619873196021555,0.046627,15.21755613775808,False
0,4.55,local,0.95,0.95,0.9501012994737995,133,2,0.04059686442188507,30.366575,0.16031,30.526885,0.9520675217548775,224,1,0.04231893683487661,0.041768,4.241885272457635,False
0,4.55,local,0.99,0.99,0.9925012804627107,246,1,0.04539481684583883,30.366575,0.1714,30.537975,0.9925012804627109,246,1,0.04539481684583883,0.039895,0.0,True
