model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
smol360,test_long_structured,16,0.9,cell1_x2,Cell-1 X²,error_oracle,True,0.0722421890213376,0.13737305422269158,21.0,11.93024650841546,0.5681069765912123,2.8405107446014877,0.13526241640959466,0.13526241640959466,0.9166666666666663
smol360,test_long_structured,16,0.9,shifted8_x2,Shifted-8 X²,importance_bound,True,0.0722421890213376,0.13737305422269158,21.0,12.224148025993165,0.5821022869520555,1.5137324333190918,0.07208249682471865,0.14074503470744404,0.9119047619047617
smol360,test_long_structured,16,0.9,shifted8_x2,Shifted-8 X²,error_oracle,True,0.0722421890213376,0.13737305422269158,21.0,12.191088016059814,0.5805280007647531,2.794588094577193,0.1330756235512949,0.1330756235512949,0.8857142857142855
smol360,test_long_structured,16,0.9,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.0722421890213376,0.13737305422269158,21.0,12.762634998124955,0.607744523720236,1.4457415938377385,0.06884483780179707,0.14374272241478872,0.9166666666666663
smol360,test_long_structured,16,0.9,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.0722421890213376,0.13737305422269158,21.0,12.831365499539254,0.6110174047399645,2.7818567287176843,0.13246936803417544,0.13246936803417544,0.8904761904761903
smol360,test_long_structured,17,0.95,paper,Paper |x|,importance_bound,True,0.035425898574647424,0.09348547374386161,21.0,19.56446100978494,0.9316410004659494,0.7439438700675959,0.035425898574647424,0.09348547374386161,0.9499999999999996
smol360,test_long_structured,17,0.95,paper,Paper |x|,error_oracle,True,0.035425898574647424,0.09348547374386161,21.0,19.56446100978494,0.9316410004659494,1.9631949486210938,0.09348547374386161,0.09348547374386161,0.9499999999999996
smol360,test_long_structured,17,0.95,cell1_x2,Cell-1 X²,importance_bound,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_long_structured,17,0.95,cell1_x2,Cell-1 X²,error_oracle,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_long_structured,17,0.95,shifted8_x2,Shifted-8 X²,importance_bound,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_long_structured,17,0.95,shifted8_x2,Shifted-8 X²,error_oracle,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_long_structured,17,0.95,adaptive8_x2,Adaptive-8 X²,importance_bound,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_long_structured,17,0.95,adaptive8_x2,Adaptive-8 X²,error_oracle,False,0.035425898574647424,0.09348547374386161,,,,,,,
smol360,test_medium_code,0,0.1,paper,Paper |x|,importance_bound,True,0.8265668384376026,0.7056083920456114,21.0,10.4473550115754,0.4974930957893048,15.612351827323437,0.7434453251106399,0.6373414014066968,0.1785714285714286
smol360,test_medium_code,0,0.1,paper,Paper |x|,error_oracle,True,0.8265668384376026,0.7056083920456114,21.0,10.4473550115754,0.4974930957893048,13.384169429540634,0.6373414014066968,0.6373414014066968,0.1785714285714286
smol360,test_medium_code,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.8265668384376026,0.7056083920456114,21.0,5.920169992174802,0.2819128567702287,17.330828614532948,0.8252775530729975,0.7588455854427247,0.13333333333333336
smol360,test_medium_code,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.8265668384376026,0.7056083920456114,21.0,5.9665314917221055,0.2841205472248622,14.769599363207817,0.7033142553908485,0.7033142553908485,0.17380952380952383
smol360,test_medium_code,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8265668384376026,0.7056083920456114,21.0,6.199720993644415,0.2952248092211626,17.114105135202408,0.8149573873905909,0.7339813879558018,0.13571428571428573
smol360,test_medium_code,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8265668384376026,0.7056083920456114,21.0,6.267549489128469,0.29845473757754615,14.618495360016823,0.6961188266674677,0.6961188266674677,0.17619047619047623
smol360,test_medium_code,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8265668384376026,0.7056083920456114,21.0,6.3640294958807235,0.3030490236133678,17.142430789768696,0.8163062280842236,0.7294152144874845,0.130952380952381
smol360,test_medium_code,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8265668384376026,0.7056083920456114,21.0,6.427352995925366,0.3060644283773984,14.444751009345055,0.6878452861592883,0.6878452861592883,0.15000000000000002
smol360,test_medium_code,1,0.15,paper,Paper |x|,importance_bound,True,0.7692068339813323,0.6535594388842583,21.0,10.4473550115754,0.4974930957893048,15.612351827323437,0.7434453251106399,0.6373414014066968,0.1785714285714286
smol360,test_medium_code,1,0.15,paper,Paper |x|,error_oracle,True,0.7692068339813323,0.6535594388842583,21.0,10.4473550115754,0.4974930957893048,13.384169429540634,0.6373414014066968,0.6373414014066968,0.1785714285714286
smol360,test_medium_code,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.7692068339813323,0.6535594388842583,21.0,5.9993874935684195,0.2856851187413533,15.759573556482792,0.7504558836420377,0.6927657808576312,0.2023809523809524
smol360,test_medium_code,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.7692068339813323,0.6535594388842583,21.0,6.109040493000089,0.29090669014286136,13.11026357114315,0.624298265292531,0.624298265292531,0.25000000000000006
smol360,test_medium_code,1,0.15,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7692068339813323,0.6535594388842583,21.0,6.277517990981756,0.29892942814198836,16.07118435949087,0.7652944933090892,0.6969381265697026,0.18333333333333335
smol360,test_medium_code,1,0.15,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7692068339813323,0.6535594388842583,21.0,6.366042489200114,0.3031448804381007,13.723856136202812,0.6535169588668006,0.6535169588668006,0.22380952380952376
smol360,test_medium_code,1,0.15,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7692068339813323,0.6535594388842583,21.0,6.497026493044078,0.3093822139544799,15.519426882266998,0.7390203277269999,0.6627348909775416,0.20476190476190478
smol360,test_medium_code,1,0.15,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7692068339813323,0.6535594388842583,21.0,6.509278495740055,0.30996564265428833,13.67147921025753,0.6510228195360729,0.6510228195360729,0.18571428571428572
smol360,test_medium_code,2,0.2,paper,Paper |x|,importance_bound,True,0.7151633004347483,0.6077669610579809,21.0,10.465726010275421,0.49836790525121055,15.00274645537138,0.7144164978748276,0.6164262819857824,0.20714285714285716
smol360,test_medium_code,2,0.2,paper,Paper |x|,error_oracle,True,0.7151633004347483,0.6077669610579809,21.0,10.480021512312055,0.4990486434434312,12.541134148836136,0.5971968642302922,0.5971968642302922,0.21904761904761902
smol360,test_medium_code,2,0.2,cell1_x2,Cell-1 X²,importance_bound,True,0.7151633004347483,0.6077669610579809,21.0,6.06050149276644,0.2885953091793543,15.016458667814732,0.71506946037213,0.6609987190791539,0.23809523809523814
smol360,test_medium_code,2,0.2,cell1_x2,Cell-1 X²,error_oracle,True,0.7151633004347483,0.6077669610579809,21.0,6.201382494121074,0.29530392829147967,12.17551577091217,0.5797864652815319,0.5797864652815319,0.3023809523809524
smol360,test_medium_code,2,0.2,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7151633004347483,0.6077669610579809,21.0,6.425160989887773,0.30596004713751296,14.642160542309284,0.6972457401099659,0.6367437647921699,0.2523809523809524
smol360,test_medium_code,2,0.2,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7151633004347483,0.6077669610579809,21.0,6.486264489269793,0.3088697375842758,12.734745278954506,0.6064164418549765,0.6064164418549765,0.2619047619047619
smol360,test_medium_code,2,0.2,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7151633004347483,0.6077669610579809,21.0,6.567620994305731,0.3127438568717015,14.873443707823753,0.7082592241820835,0.6386985260815847,0.23571428571428577
smol360,test_medium_code,2,0.2,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7151633004347483,0.6077669610579809,21.0,6.658794991815089,0.31708547580071855,12.470292076468468,0.5938234322127842,0.5938234322127842,0.2547619047619048
smol360,test_medium_code,3,0.25,paper,Paper |x|,importance_bound,True,0.6595162451267242,0.558444907622678,21.0,10.565811512900412,0.5031338815666863,13.43194741755724,0.6396165436932019,0.5438083809401307,0.28095238095238095
smol360,test_medium_code,3,0.25,paper,Paper |x|,error_oracle,True,0.6595162451267242,0.558444907622678,21.0,10.537080011682747,0.5017657148420356,11.69997225701809,0.5571415360484805,0.5571415360484805,0.25952380952380955
smol360,test_medium_code,3,0.25,cell1_x2,Cell-1 X²,importance_bound,True,0.6595162451267242,0.558444907622678,21.0,6.199857993303418,0.2952313330144485,13.523034147918224,0.643954007043725,0.5921128470273245,0.30714285714285716
smol360,test_medium_code,3,0.25,cell1_x2,Cell-1 X²,error_oracle,True,0.6595162451267242,0.558444907622678,21.0,6.301134493710398,0.300054023510019,11.395252645015717,0.5426310783340818,0.5426310783340818,0.32857142857142857
smol360,test_medium_code,3,0.25,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6595162451267242,0.558444907622678,21.0,6.533853991312086,0.3111359043481946,13.80322216451168,0.6572962935481753,0.6034089106888998,0.29285714285714287
smol360,test_medium_code,3,0.25,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6595162451267242,0.558444907622678,21.0,6.695532992178082,0.31883490438943246,11.427561059594154,0.5441695742663883,0.5441695742663883,0.3261904761904762
smol360,test_medium_code,3,0.25,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6595162451267242,0.558444907622678,21.0,6.840462995637715,0.32573633312560546,13.09185741841793,0.6234217818294253,0.5715415357124238,0.33095238095238094
smol360,test_medium_code,3,0.25,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6595162451267242,0.558444907622678,21.0,6.8593414933090795,0.32663530920519424,11.3085305839777,0.5385014563798904,0.5385014563798904,0.3071428571428571
smol360,test_medium_code,4,0.3,paper,Paper |x|,importance_bound,True,0.6087189785071782,0.534445383364246,21.0,10.635080012116074,0.5064323815293369,12.78148777037859,0.6086422747799328,0.5220969924259753,0.3119047619047619
smol360,test_medium_code,4,0.3,paper,Paper |x|,error_oracle,True,0.6087189785071782,0.534445383364246,21.0,10.620406512916087,0.5057336434721946,10.883306846022606,0.5182527069534574,0.5182527069534574,0.3
smol360,test_medium_code,4,0.3,cell1_x2,Cell-1 X²,importance_bound,True,0.6087189785071782,0.534445383364246,21.0,6.295624491029441,0.2997916424299734,12.754033371806145,0.6073349224669593,0.5534645056440717,0.3452380952380952
smol360,test_medium_code,4,0.3,cell1_x2,Cell-1 X²,error_oracle,True,0.6087189785071782,0.534445383364246,21.0,6.364266992087066,0.30306033295652696,11.063002899289131,0.526809661870911,0.526809661870911,0.34761904761904755
smol360,test_medium_code,4,0.3,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6087189785071782,0.534445383364246,21.0,6.707683989806116,0.3194135233241007,12.691501870751381,0.6043572319405419,0.5511100107715243,0.35238095238095235
smol360,test_medium_code,4,0.3,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6087189785071782,0.534445383364246,21.0,6.744522992578744,0.3211677615513688,11.152936652302742,0.5310922215382258,0.5310922215382258,0.33095238095238094
smol360,test_medium_code,4,0.3,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6087189785071782,0.534445383364246,21.0,7.026662991677701,0.33460299960370005,12.090123623609543,0.5757201725528354,0.5196129097825005,0.37857142857142856
