case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,paper,Paper |x|,abs,0,0.1,96,96,0.1,True,f11ca2f3239ddded2abc7a1482d05cb9e186dc7e7c89124b172f58802066cb2b,0.16724422574043274,0.16724422574043274,0.48500433564186096,0.04495999962091446,0.0570272009819746,0.442828,0.4697614,0.48778799962091446,0.642622999581933,0.6875829992028475,True,False,,0.7242007255554199,0.8817085027694702,0.31010717153549194,0.7103562951087952,5,0.014399999752640724,0.016963199153542517,0.021503999829292297,0.02320319935679436,0.068814,0.05362,0.163891,0.17686179999999999,1.0,0.19979499958193303
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,cell1_x2,Cell-1 X²,x2,0,0.1,96,96,0.1,True,d7f03c37dfe2950bde5f1245f0830ba7c7712d664f38bcfa6c3ba2413b2651c3,0.8981420397758484,0.15473322570323944,0.4423491656780243,0.028672000393271446,0.05096320081502199,0.083065,0.0899716,0.11173700039327145,0.27358099944126607,0.3022529998345375,True,False,,0.7357510328292847,0.886322021484375,0.3227279782295227,0.6824525594711304,1,0.015359999611973763,0.017059199139475824,0.021503999829292297,0.022367999702692033,0.0588805,0.0530395,0.153652,0.1594993,1.0,0.19051599944126607
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,shifted8_x2,Shifted-8 X²,x2,0,0.1,96,96,0.1,True,0a5408c222a5a8d5224b70c849eca0b5978e1bacbf990748fdc3777d5648a574,0.8982221484184265,0.15513551235198975,0.442870557308197,0.028672000393271446,0.05096320081502199,0.106509,0.130773,0.13518100039327147,0.33452750011956695,0.3631995005128384,True,False,,0.7358717918395996,0.8864487409591675,0.32285237312316895,0.6831684112548828,1,0.021536000072956085,0.02519359942525625,0.027648000046610832,0.028569600358605386,0.075326,0.0547425,0.1788345,0.19657035,1.0,0.22801850011956692
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,adaptive8_x2,Adaptive-8 X²,x2,0,0.1,96,96,0.1,True,6da5743c81edc130bf1b1679e4eb2a5885b7e1ee6b485737a4cfef9eb5e2c47e,0.9081779718399048,0.16468989849090576,0.47962236404418945,0.028672000393271446,0.05096320081502199,0.107751,0.12050129999999999,0.13642300039327143,0.298646000025928,0.32731800041919945,True,False,,0.7130424976348877,0.8677510023117065,0.29887598752975464,0.703216552734375,4,0.014336000196635723,0.015257599670439959,0.021503999829292297,0.02242560014128685,0.06959,0.050449499999999994,0.155055,0.1572141,1.0,0.19089500002592802
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,paper,Paper |x|,abs,1,0.15,144,144,0.15,True,c4f2de48740662e4cf01d06976f9d0548274900da9a34404a1e422dcb9302b52,0.22028829157352448,0.22028829157352448,0.524624228477478,0.04495999962091446,0.0570272009819746,0.489185,0.5297885,0.5341449996209144,0.7142839989652634,0.7592439985861779,True,False,,0.6993317604064941,0.8557477593421936,0.2850504517555237,0.7297032475471497,6,0.015359999611973763,0.016281599923968316,0.025599999353289604,0.026521599665284157,0.065918,0.073407,0.184139,0.2027006,1.0,0.22509899896526336
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,cell1_x2,Cell-1 X²,x2,1,0.15,144,144,0.15,True,65cbd05a18455b9b7ebef25572ac9cceabce4365f20e25c462f17c3bd8a9d383,0.909967839717865,0.20610645413398743,0.49289819598197937,0.028672000393271446,0.05096320081502199,0.084568,0.0930172,0.11324000039327145,0.31722549945259093,0.3458974998458624,True,False,,0.6962816119194031,0.8516477346420288,0.28222936391830444,0.7193642258644104,2,0.015424000099301338,0.016460799612104893,0.025599999353289604,0.026377600245177747,0.08159249999999998,0.0709575,0.1916335,0.19936584999999998,1.0,0.23265749945259095
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,shifted8_x2,Shifted-8 X²,x2,1,0.15,144,144,0.15,True,aad87e80d2a16459ff019d79663ea6a93cc1526009207b781b8ed017a93dca04,0.9100978970527649,0.2067783772945404,0.4932257831096649,0.028672000393271446,0.05096320081502199,0.101279,0.1077086,0.12995100039327145,0.34945200054091213,0.37812400093418364,True,False,,0.6956156492233276,0.8503358364105225,0.2815822958946228,0.7206850647926331,2,0.015296000055968761,0.01636160062626004,0.02550400048494339,0.025590399466454982,0.0852945,0.0739585,0.207373,0.2149249,1.0,0.24817300054091215
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,adaptive8_x2,Adaptive-8 X²,x2,1,0.15,144,144,0.15,True,854445d3d9e4c30dbe2ee78f792d4752500947a721f3b8f77655ee9275294ed6,0.9176510572433472,0.2213326394557953,0.5285647511482239,0.028672000393271446,0.05096320081502199,0.128751,0.133773,0.15742300039327145,0.34614549896526337,0.3748174993585348,True,False,,0.6946786046028137,0.8504108190536499,0.2805718183517456,0.7318875789642334,6,0.015359999611973763,0.015388799831271172,0.025599999353289604,0.026521599665284157,0.061189499999999994,0.073187,0.1764345,0.18531165,1.0,0.21739449896526336
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,paper,Paper |x|,abs,2,0.2,192,192,0.2,True,e3338b3ef1ff3f7e54c19afe2e7c139bc5d8a0c8c702db169befba62d95c2998,0.27247074246406555,0.27247074246406555,0.5646259784698486,0.04495999962091446,0.0570272009819746,0.420757,0.4591231,0.46571699962091445,0.671982499311924,0.7169424989328385,True,False,,0.6667224764823914,0.8186052441596985,0.2546934485435486,0.746219277381897,7,0.015359999611973763,0.016281599923968316,0.026623999699950218,0.028409599885344507,0.071629,0.094637,0.20924150000000002,0.20943995,1.0,0.251225499311924
smol360|test_short_korean|model.layers.0.mlp.up_proj,smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,model.layers.0.mlp.up_proj,0,up,960x2560,960,2560,5.0,generic-8KiB,cell1_x2,Cell-1 X²,x2,2,0.2,192,192,0.2,True,3472016b70dd220dbb15cde0e049074adbc9e827e17bc5f7531a3816d70e0fc2,0.9184343218803406,0.25835123658180237,0.535681962966919,0.028672000393271446,0.05096320081502199,0.108362,0.122168,0.13703400039327146,0.3604214996585846,0.38909350005185606,True,False,,0.6758602261543274,0.8305988907814026,0.2628675699234009,0.7494287490844727,3,0.016383999958634377,0.016383999958634377,0.026623999699950218,0.02754560001194477,0.0736575,0.08956800000000001,0.2090515,0.22889785,1.0,0.2520594996585846
