error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.35,adaptive8_x2,Adaptive-8 X²,0.5202634508052124,0.030865269757452417,0.13845020271141242,0.2949742594833541,0.016777232343590957,0.03919648650940234,0.6179916577890822,4.636182531227697
0.3,paper,Paper |x|,0.7612670207388944,0.032414984401492805,0.343738791029748,0.32728993997313327,0.016526885668982957,0.041296419665537265,0.6801095299832023,8.416811844300463
0.3,cell1_x2,Cell-1 X²,0.49109223191322876,0.030865269757452417,0.09575377625791105,0.30561000511333314,0.016627292222595028,0.04223588856193693,0.7122932834231509,2.945363184785996
0.3,shifted8_x2,Shifted-8 X²,0.5450206570376279,0.030865269757452417,0.12869463123229063,0.3266202183742814,0.016632693814572722,0.04220784385903071,0.7116746063057471,3.0385966129005655
0.3,adaptive8_x2,Adaptive-8 X²,0.548662898690952,0.030865269757452417,0.13708318943543438,0.32197105339346666,0.0167053326514669,0.04203805345313148,0.703170706488844,4.2983354211784
0.25,paper,Paper |x|,0.7891188361166229,0.032414984401492805,0.35109120381870246,0.3458913179552666,0.016704484098572794,0.043016845842588164,0.7433858544979698,8.80767418157699
0.25,cell1_x2,Cell-1 X²,0.5057615978733014,0.030865269757452417,0.0914059667433821,0.3198170780775096,0.0171959708776889,0.04647731241726833,0.8030658586557745,2.5370630747746934
0.25,shifted8_x2,Shifted-8 X²,0.5541211293413086,0.030865269757452417,0.11835359879559233,0.34176611931888046,0.017385925853505024,0.045750215615878304,0.793263375939947,2.5751361833146893
0.25,adaptive8_x2,Adaptive-8 X²,0.5670224661264072,0.030865269757452417,0.1304843703329918,0.34331587143915115,0.017163457556851548,0.04519349703996016,0.7857997916652807,3.686287632287892
0.2,paper,Paper |x|,0.8397698431570337,0.032414984401492805,0.36147915316515056,0.3802176011669376,0.01677436438143839,0.04888374004201419,0.8201699104641558,8.852727637880767
0.2,cell1_x2,Cell-1 X²,0.5494796351742138,0.030865269757452417,0.09561398528100891,0.35166303887766703,0.016991582539656318,0.05434575871842908,0.8764715501646859,2.060683919432452
0.2,shifted8_x2,Shifted-8 X²,0.590557440630315,0.030865269757452417,0.1239101359996425,0.36465383798549256,0.017011442546908607,0.05411675434081872,0.8691805925072593,2.134580929325902
0.2,adaptive8_x2,Adaptive-8 X²,0.5962058426418687,0.030865269757452417,0.1310525819430492,0.36337638024975877,0.01698976884466987,0.05392184184693832,0.8659974158460622,2.8590755115028212
0.15,paper,Paper |x|,0.8999536025775395,0.032414984401492805,0.3791645474114874,0.41706774438360766,0.016762326581050636,0.05454399979990081,0.8884836514381431,8.207324507830155
0.15,cell1_x2,Cell-1 X²,0.5610874597032014,0.030865269757452417,0.09207936996228001,0.36557710018621353,0.016922415656979547,0.05564330414027567,0.9333944299911856,1.549643885803829
0.15,shifted8_x2,Shifted-8 X²,0.6078290566686334,0.030865269757452417,0.12330036036550938,0.381100471243,0.017029476501110374,0.055533478801561065,0.9240578607351917,1.6322076595719248
0.15,adaptive8_x2,Adaptive-8 X²,0.6204569290890252,0.030865269757452417,0.13017691922713187,0.3862221310979718,0.017370989248521557,0.055821619757947354,0.9228586171223558,2.056661261161476
