n,model,shape,trial,target_cv,actual_cv,spatial_mode,lag1_corr,first_half_mass,budget_fraction,budget_rows,row_size_kib,a_ms_per_chunk,c_ms_per_row,profitable_gap_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_lookup_ms,paper_runtime_ms,merge_importance,merge_rows,merge_chunks,merge_aff_ms,merge_lookup_ms,merge_affine_ratio,merge_lookup_ratio,merge_affine_saving_pct,merge_lookup_saving_pct,refined_importance,refined_rows,refined_chunks,refined_aff_ms,refined_lookup_ms,refined_affine_ratio,refined_lookup_ratio,refined_affine_saving_pct,refined_lookup_saving_pct,refined_affine_strict_win,refined_affine_nonworse,refined_lookup_strict_win,refined_lookup_nonworse,refined_row_ratio,chunk_reduction_pct,importance_overshoot,post_runtime_ms,total_runtime_ms,runtime_overhead_pct
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.33965535889465626,2240,39,1.3685760773738316,1.3460706313906765,4.517313,0.3442925958577612,2305,36,1.3628369018466673,1.3703800885575157,0.9958064621893894,1.018059570278065,0.41935378106106036,-1.805957027806504,0.3397777538933946,2228,36,1.3305401617315642,1.3456694416417916,0.9722076717026541,0.9997019549052412,2.7792328297345903,0.029804509475883645,True,True,True,True,0.9946428571428572,7.692307692307687,0.00012239499873833992,1.154869,5.672181999999999,25.565396951683447
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.4838266494471396,3360,59,2.0583645589678325,2.024917258309284,7.727844,0.5000739008252157,3575,47,2.0165331386100895,2.106888094081283,0.9796773510428496,1.040481079133298,2.0322648957150413,-4.04810791332979,0.4838741605717565,3388,47,1.938098198330553,2.032645569543974,0.941571885255551,1.0038166059393174,5.842811474444898,-0.381660593931743,True,True,False,False,1.0083333333333333,20.33898305084746,4.751112461687246e-05,1.923656,9.6515,24.89253147449664
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.612552812013075,4480,73,2.682147725676811,2.6742638792864537,10.915393,0.6364966007451249,4815,53,2.602641800803269,2.804581336123336,0.9703573654379981,1.0487302161339642,2.964263456200189,-4.873021613396422,0.6127233613932594,4555,53,2.493587873141881,2.6894133871550405,0.9296981852528837,1.0056649263320376,7.030181474711627,-0.5664926332037634,True,True,False,False,1.0167410714285714,27.397260273972602,0.0001705493801844593,2.526001,13.441393999999999,23.141640433835043
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.7325827654925071,5600,88,3.3169317781999603,3.336321701970518,16.102348,0.7698739365073555,6120,51,3.128006858398432,3.5299050618024057,0.9430422654324068,1.0580229897247475,5.695773456759323,-5.802298972474751,0.7327632422658039,5746,51,2.971136977839359,3.3439182863745476,0.895748594338513,1.0022769340257394,10.425140566148706,-0.22769340257393633,True,True,False,False,1.0260714285714285,42.04545454545454,0.00018047677329680045,3.368316,19.470664,20.918166717052692
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.8360814514696293,6720,98,3.896711401652258,3.988742336253124,21.534511,0.8874951332003611,7475,35,3.5203314237608616,4.282793135371238,0.9034108664727375,1.0737201790262376,9.65891335272625,-7.372017902623762,0.8361125353731972,6974,34,3.2991920081068633,4.019319529389531,0.8466605986545377,1.007665873239917,15.333940134546232,-0.7665873239917076,True,True,False,False,1.037797619047619,65.3061224489796,3.1083903567874493e-05,3.816514,25.351025,17.722779960037172
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.2500000000000002,random,0.007479645474242927,0.49748002319519113,0.875,7840,3.0,0.011000885814170374,0.0004194381833130299,26,0.9291914482515911,7840,85,4.223470651378636,4.588816815308779,25.954683,0.9755263590513406,8590,12,3.734984624428971,4.8999894109679465,0.8843401393614012,1.0678110737872697,11.565986063859878,-6.781107378726969,0.929283551382186,8149,11,3.5390114997737547,4.653457542927411,0.8379391718085081,1.014086578353484,16.20608281914919,-1.4086578353484036,True,True,False,False,1.0394132653061225,87.05882352941177,9.21031305949338e-05,4.164955,30.119638,16.04702704325073
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.125,1120,3.0,0.011000885814170374,0.0004194381833130299,26,0.3682915469801917,1120,27,0.7667946822931936,0.7405689397907271,4.77756,0.37420109109778416,1185,24,0.7610555067660294,0.7538531183459303,0.9925153686381856,1.0179378013868055,0.7484631361814431,-1.7937801386805452,0.36838321959095666,1136,24,0.740503035783691,0.7377813443986432,0.9657122732895406,0.9962358732019309,3.428772671045943,0.3764126798069145,True,True,True,True,1.0142857142857142,11.111111111111116,9.167261076498123e-05,0.716129,5.493689,14.989429750751428
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.5535416168247024,2240,49,1.4785849355155354,1.4387532980354278,8.813534,0.5570461982700488,2290,46,1.4665541872386756,1.450613702721786,0.9918633363644646,1.0082435291043663,0.8136663635535446,-0.8243529104366321,0.5535908205786604,2243,46,1.4468405926229633,1.440217220035206,0.9785305922371623,1.0010174934102858,2.146940776283768,-0.10174934102857858,True,True,False,False,1.0013392857142858,6.122448979591832,4.92037539580048e-05,1.141794,9.955328000000002,12.955007605348772
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.6890248754910553,3360,68,2.157372531295366,2.126393067473438,11.208811,0.7014746074495859,3560,56,2.1092495381879273,2.1700972433216705,0.9776937026826128,1.020553197109583,2.2306297317387203,-2.055319710958292,0.6890961865239806,3396,56,2.0404616761245906,2.108103365787509,0.9458086846500369,0.991398720224544,5.419131534996313,0.8601279775455994,True,True,True,True,1.0107142857142857,17.647058823529417,7.131103292534746e-05,1.842493,13.051304,16.437898720925887
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.7906073517128793,4480,75,2.704149497305152,2.739502384310405,15.153914,0.8082381748934043,4785,54,2.6010595411180484,2.815922336930437,0.9618771239201683,1.0278955598132353,3.812287607983167,-2.7895559813235327,0.7906281387115777,4534,54,2.4957805571064777,2.7113716991431573,0.922944740885692,0.9897314616959791,7.705525911430799,1.0268538304020858,True,True,True,True,1.0120535714285714,28.000000000000004,2.0786998698341108e-05,2.419452,17.573366,15.965855421906184
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.8691755321855874,5600,78,3.2069229200582567,3.378040286633097,19.069283,0.8878666115250319,6000,49,3.0556725047725277,3.489398593679539,0.9528362798058828,1.032965357899101,4.716372019411718,-3.2965357899100933,0.869218956920716,5664,49,2.9147412751793498,3.3359652300602733,0.9088903437462104,0.987544536772011,9.110965625378963,1.245546322798896,True,True,True,True,1.0114285714285713,37.17948717948718,4.342473512863876e-05,2.96376,22.033043,15.542063117947333
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.9288232561164445,6720,73,3.6216892562979983,3.970152118053466,22.123031,0.9486684771221015,7265,35,3.4322494052651256,4.176208619894442,0.9476929582781176,1.0519014122667936,5.230704172188238,-5.190141226679357,0.928835239704316,6864,34,3.25305380794243,3.9618391852808585,0.8982145009502062,0.9979061425040099,10.178549904979384,0.20938574959901146,True,True,True,True,1.0214285714285714,53.42465753424658,1.1983587871577939e-05,3.419652,25.542683,15.457429861215672
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,local,0.8837655612460955,0.5033403842763463,0.875,7840,3.0,0.011000885814170374,0.0004194381833130299,26,0.9729786062769927,7840,50,3.8384396478826734,4.527347162663892,24.39631,0.9857177488242315,8285,17,3.6620604075893493,4.72132052872431,0.954049234461556,1.0428448181884695,4.595076553844402,-4.2844818188469525,0.9730186764872496,7980,17,3.534131761678875,4.551501754812761,0.9207209402467333,1.0053352639594477,7.927905975326666,-0.5335263959447722,True,True,False,False,1.0178571428571428,65.99999999999999,4.007021025687063e-05,3.640235,28.036545,14.921252435306815
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.125,1120,3.0,0.011000885814170374,0.0004194381833130299,26,0.3169272125016817,1120,15,0.6347840525231491,0.6523086127604754,3.959871,0.3400020799897934,1240,8,0.6081104338215201,0.7116461004496595,0.9579800113194301,1.0909653598441333,4.201998868056989,-9.096535984413334,0.3170341707102866,1138,8,0.565327739123591,0.6656453627790341,0.8905827688589811,1.0204454605652369,10.941723114101887,-2.0445460565236884,True,True,False,False,1.0160714285714285,46.666666666666664,0.00010695820860490146,0.670203,4.6300740000000005,16.924869522264743
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.5215106230483053,2240,18,1.1375574752762536,1.2893598075333186,7.086035,0.5459980948275416,2395,7,1.0815606497338992,1.370214326305707,0.9507745087528384,1.0627090423479786,4.9225491247161575,-6.270904234797858,0.5217478605393673,2246,5,0.9970625887919171,1.2846046456871512,0.8764942523451682,0.9963119977694477,12.35057476548318,0.3688002230552323,True,True,True,True,1.0026785714285715,72.22222222222221,0.00023723749106197012,1.166761,8.252796,16.465639811262573
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.6709515031869522,3360,23,1.6623326696576992,1.9282467818288238,10.257813,0.6893303820476802,3520,8,1.5644294917752284,2.0077498691328244,0.9411049426691285,1.0412307636414655,5.8895057330871525,-4.1230763641465495,0.671063918561655,3351,8,1.4935444387953263,1.9281215578465456,0.8984630249147849,0.9999350581142111,10.153697508521509,0.006494188578887172,True,True,True,True,0.9973214285714286,65.21739130434783,0.00011241537470285667,1.650936,11.908749,16.09442480575538
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.7768307198853457,4480,32,2.231111407295826,2.5717968479197517,12.748518,0.8026441150475836,4735,9,2.08504777031473,2.702060239264397,0.9345332391276108,1.0506507313942823,6.546676087238923,-5.065073139428233,0.7769287715538897,4452,8,1.9553458786229723,2.5563840549461814,0.8763999288555968,0.9940069943759215,12.360007114440318,0.5993005624078451,True,True,True,True,0.99375,75.0,9.805166854404135e-05,2.293827,15.042345000000001,17.992891409024953
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.8584209500737592,5600,34,2.72288394423476,3.215774227124114,18.548961,0.8799273100296511,5875,7,2.5412055276632435,3.3512010413342126,0.9332772089107252,1.042113284280909,6.672279108927482,-4.21132842809091,0.8584509570904675,5533,5,2.3757558973418464,3.1633765681804764,0.8725145639688765,0.9837060517179103,12.74854360311235,1.6293948282089743,True,True,True,True,0.9880357142857142,85.29411764705883,3.0007016708299972e-05,4.187227,22.736188,22.573916673823405
8960,NVILA-Lite-2B,8960x1536,3,1.25,1.25,hot-cold,0.33650093254012653,0.7781240576399979,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.9174602418953715,6720,39,3.2476591386162057,3.8523007454861307,21.94568,0.937999484068972,7060,6,3.0272388890750133,4.02322172477628,0.9321295000080855,1.044368545080605,6.787049999191453,-4.436854508060506,0.9175973411649336,6615,3,2.807586240058204,3.7913133869611007,0.8644953550311588,0.9841685884476982,13.550464496884118,1.5831411552301833,True,True,True,True,0.984375,92.3076923076923,0.00013709926956217977,3.444308,25.389988,15.694697088447475
