model,budget_index,method,cases,actual_total_ms_mean,actual_total_ms_median,relative_l2_error_mean,relative_l2_error_median,cosine_error_mean,importance_retention_mean,row_match_rate,direct_rate,fallback_rate,method_label
qwen05,2,wave_k1,63,1.467336253968254,0.994098,0.33272492153097005,0.3258565664291382,0.06841843752633954,0.7666135895301541,1.0,1.0,0.0,Wave K=1
qwen05,2,wave_k12,63,1.3859662063492064,0.930059,0.2542598291137625,0.2691959738731384,0.04147070267843817,0.8126083787736885,1.0,1.0,0.0,Wave K=12
qwen05,2,wave_k18,63,1.6747760793650792,1.172673,0.2393978889329388,0.2614248692989349,0.03709831408091949,0.820627654848631,1.0,1.0,0.0,Wave K=18
qwen05,2,wave_k24,63,1.4524055396825397,1.064761,0.23812231767390452,0.2581734657287597,0.03658803587868096,0.8211325959893743,1.0,1.0,0.0,Wave K=24
qwen05,2,wave_k6,63,1.4297073492063492,0.792161,0.2746577686334531,0.2859736382961273,0.04702075417079619,0.799279039673039,1.0,1.0,0.0,Wave K=6
smol360,0,paper,63,0.8538078888888889,0.775942,0.5675096947049337,0.5989170670509338,0.19897798980985365,0.3384460923048862,1.0,1.0,0.0,Paper
smol360,0,tile8_ceil,63,0.5796255873015873,0.6032280000000001,0.609981905373316,0.6493186950683594,0.22046084631057009,0.3178882798906574,1.0,1.0,0.0,Cell-8
smol360,0,wave_k1,63,0.6741411428571429,0.637903,0.6598973921130574,0.7037995457649231,0.250850014270298,0.30621555421436275,1.0,1.0,0.0,Wave K=1
smol360,0,wave_k12,63,0.7497576666666667,0.696091,0.5019783472257947,0.5143150687217712,0.16513773562416195,0.375409284436856,1.0,1.0,0.0,Wave K=12
smol360,0,wave_k18,63,0.9082561746031745,0.784878,0.4712967947125435,0.4819942116737366,0.1499516434139675,0.38860743806137926,1.0,1.0,0.0,Wave K=18
smol360,0,wave_k24,63,0.9732995873015874,0.938395,0.4612790001999764,0.4608297944068908,0.14653496609793767,0.3964893844552187,1.0,1.0,0.0,Wave K=24
smol360,0,wave_k6,63,0.6836618095238096,0.642792,0.5429072154183237,0.569813072681427,0.18635918980553035,0.3524975471673234,1.0,1.0,0.0,Wave K=6
smol360,1,paper,63,1.0722434603174604,0.8907660000000001,0.41099682438468177,0.4162190556526184,0.10463248831885198,0.5830602159477204,1.0,1.0,0.0,Paper
smol360,1,tile8_ceil,63,0.8129430158730159,0.700751,0.439444343840319,0.4450791776180267,0.11531192348116916,0.5676798987403843,1.0,1.0,0.0,Cell-8
smol360,1,wave_k1,63,0.9987030952380952,0.8494590000000001,0.468511890797388,0.4597444236278534,0.12222768957652738,0.5498698754280353,1.0,1.0,0.0,Wave K=1
smol360,1,wave_k12,63,0.9415788412698414,0.871941,0.3632224392559793,0.3547910749912262,0.08698957874661396,0.6040545762023637,1.0,1.0,0.0,Wave K=12
smol360,1,wave_k18,63,1.1815769206349207,0.944726,0.3485374404560952,0.34446981549263,0.0827606046010577,0.6110807517752734,1.0,1.0,0.0,Wave K=18
smol360,1,wave_k24,63,1.0499718571428571,0.931333,0.3449642432350961,0.3365404307842254,0.08227879376638499,0.6127108632065296,1.0,1.0,0.0,Wave K=24
smol360,1,wave_k6,63,0.8709560634920636,0.7510760000000001,0.3889567835463418,0.3926148116588592,0.09475959766478761,0.5875945028824513,1.0,1.0,0.0,Wave K=6
smol360,2,paper,63,1.3176672698412697,0.996874,0.24415588769174754,0.2321525365114212,0.0387490864783998,0.8057587800861784,1.0,1.0,0.0,Paper
smol360,2,tile8_ceil,63,1.0517487777777776,0.848617,0.2694345409316676,0.261524498462677,0.045880785064091704,0.7975851295713072,1.0,1.0,0.0,Cell-8
smol360,2,wave_k1,63,1.2243454126984128,1.082254,0.2895821143710424,0.2744722068309784,0.05001432555062425,0.7853313154883883,1.0,1.0,0.0,Wave K=1
smol360,2,wave_k12,63,1.1182067777777778,0.973,0.23572772906886205,0.2287439703941345,0.03765027579807095,0.8099405966261723,1.0,1.0,0.0,Wave K=12
smol360,2,wave_k18,63,1.1476805238095238,0.926513,0.2300881640542121,0.2221026569604873,0.03614838918050126,0.813853199762321,1.0,1.0,0.0,Wave K=18
smol360,2,wave_k24,63,1.2825778095238096,1.127088,0.22349555583463773,0.2149190157651901,0.034773379091232494,0.8181386585773011,1.0,1.0,0.0,Wave K=24
smol360,2,wave_k6,63,1.087457142857143,0.861492,0.24681036416736857,0.2441543489694595,0.04009977219596737,0.8028644980407751,1.0,1.0,0.0,Wave K=6
tiny11,0,paper,63,1.5881255555555556,1.435976,0.5938439631154613,0.6457961797714233,0.20258403202844041,0.34812647518539735,1.0,1.0,0.0,Paper
tiny11,0,tile8_ceil,63,1.2454403968253969,1.034996,0.6283903483833585,0.675853967666626,0.22353487355368476,0.33440732373647186,1.0,1.0,0.0,Cell-8
tiny11,0,wave_k1,63,1.3074953015873014,1.001513,0.7425190163037133,0.7595281600952148,0.30951317813661355,0.29241557818150066,1.0,1.0,0.0,Wave K=1
tiny11,0,wave_k12,63,1.8486403809523808,1.549628,0.5838288692018342,0.6206684112548828,0.2018859471593584,0.3539973806154673,1.0,1.0,0.0,Wave K=12
tiny11,0,wave_k18,63,2.126660174603175,1.837967,0.5594301874202395,0.5993502736091614,0.1894664404884217,0.36665007749109785,1.0,1.0,0.0,Wave K=18
tiny11,0,wave_k24,63,2.85377973015873,2.157997,0.5389132051477357,0.5773287415504456,0.18009745507013228,0.37516755491458936,1.0,1.0,0.0,Wave K=24
tiny11,0,wave_k6,63,1.490274888888889,1.104305,0.6281059914165072,0.6708070039749146,0.2264838445754278,0.3376850275757152,1.0,1.0,0.0,Wave K=6
tiny11,1,paper,63,2.4799457936507934,2.104806,0.4028516137410724,0.4259204268455505,0.09818979955854866,0.5948147101765641,1.0,1.0,0.0,Paper
tiny11,1,tile8_ceil,63,2.1445883333333335,1.599342,0.44281758397581084,0.4598887264728546,0.10884221489467313,0.581373920559282,1.0,1.0,0.0,Cell-8
tiny11,1,wave_k1,63,2.223246555555556,1.558184,0.5543573181780558,0.5702623724937439,0.15461603043571348,0.5297276617855722,1.0,1.0,0.0,Wave K=1
tiny11,1,wave_k12,63,2.652238,1.909933,0.4150102437725143,0.4438208341598511,0.10076093768316598,0.5914290348485806,1.0,1.0,0.0,Wave K=12
tiny11,1,wave_k18,63,3.372197396825397,2.567361,0.4076555130914563,0.4370019733905792,0.09926996723053944,0.5992317028823584,1.0,1.0,0.0,Wave K=18
tiny11,1,wave_k24,63,3.98897026984127,3.198232,0.39440665059974267,0.4209502041339874,0.09379004202191787,0.6032232916463114,1.0,1.0,0.0,Wave K=24
tiny11,1,wave_k6,63,2.3993196031746034,1.7442719999999998,0.45882667376408504,0.5070607662200928,0.11898753945789636,0.5758374080667619,1.0,1.0,0.0,Wave K=6
tiny11,2,paper,63,3.299793698412698,2.715939,0.24226263084167995,0.2342308610677719,0.03791538590476622,0.8112201164497417,1.0,1.0,0.0,Paper
tiny11,2,tile8_ceil,63,3.0058315873015875,2.05882,0.26166616465955495,0.2723299562931061,0.04058930892792955,0.805661756585034,1.0,1.0,0.0,Cell-8
tiny11,2,wave_k1,63,3.0029162380952377,2.024276,0.3245712021986643,0.3408556580543518,0.05860920652510623,0.7759310170263229,1.0,1.0,0.0,Wave K=1
tiny11,2,wave_k12,63,3.1426250476190476,2.110647,0.25868814661064077,0.2700765430927276,0.041125422432309065,0.8066248947041739,1.0,1.0,0.0,Wave K=12
tiny11,2,wave_k18,63,3.974423793650794,2.6298190000000004,0.2444032595034629,0.2528409361839294,0.0384485835120791,0.8113826640751304,1.0,1.0,0.0,Wave K=18
tiny11,2,wave_k24,63,3.0977843015873017,2.055574,0.24786144493532083,0.2492174357175827,0.038372856283944705,0.8121672161283146,1.0,1.0,0.0,Wave K=24
tiny11,2,wave_k6,63,3.099141650793651,2.276798,0.2759859128485596,0.2882594466209411,0.04439776568185711,0.7984502826138482,1.0,1.0,0.0,Wave K=6
