model,budget_index,policy,cases,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,logit_relative_l2_error_mean,fallback_calls,policy_label
tiny11,0,min_total_dispatch,3,10.078035990397135,0.0,9.069882392883299,1.0295976003011067,0,All-method min-total dispatch
tiny11,0,paper,3,9.373730818430582,0.0111731837193171,8.460206667582193,0.995339592297872,0,Paper
tiny11,0,tile8_ceil,3,9.515180269877115,0.0,8.626140276590982,1.0246920585632324,0,Cell-8
tiny11,0,wave_dispatch,3,10.147346178690592,0.0,9.193227132161459,1.093711296717326,0,Wave calibration dispatch
tiny11,0,wave_k6,3,10.099630355834961,0.0,9.15484587351481,1.0499183535575867,0,Wave K=6
tiny11,1,error_guard_dispatch,3,8.027361392974854,0.031872120996316235,7.275091807047526,0.8208128611246744,0,Measured-error guard dispatch
tiny11,1,min_total_dispatch,3,9.630669275919596,0.0,8.621572494506836,1.1045320828755696,0,All-method min-total dispatch
tiny11,1,paper,3,8.208457469940186,0.0214546111722787,7.27479616800944,0.8372652331988016,0,Paper
tiny11,1,tile8_ceil,3,8.525627136230469,0.020641539711505133,7.711836179097493,0.8776212731997172,0,Cell-8
tiny11,1,wave_dispatch,3,10.536165237426758,0.0,9.438971837361654,1.0629819830258687,0,Wave calibration dispatch
tiny11,1,wave_k6,3,9.516819794972738,0.0,8.856620788574219,0.8653024236361185,0,Wave K=6
tiny11,2,error_guard_dispatch,3,3.4868839581807456,0.2637603531281153,2.7991600036621094,0.674106498559316,0,Measured-error guard dispatch
tiny11,2,min_total_dispatch,3,4.333852767944336,0.18416291475296018,3.6782659689585366,0.7249884009361267,0,All-method min-total dispatch
tiny11,2,paper,3,3.249419609705607,0.28275446097056073,2.530644734700521,0.6489110787709554,0,Paper
tiny11,2,tile8_ceil,3,3.520831267038981,0.23745354016621908,2.848327318827311,0.6607844034830729,0,Cell-8
tiny11,2,wave_dispatch,3,4.355358282725017,0.18626116712888077,3.5738508701324463,0.7029680808385214,0,Wave calibration dispatch
tiny11,2,wave_k6,3,4.707580089569092,0.1867446800072987,4.026554902394612,0.7573740084966024,0,Wave K=6
