model,shape,budget_index,policy,selected_method,calibration_cases,calibration_total_ms,calibration_relative_l2_error,calibration_importance_retention,paper_calibration_error
qwen05,896x4864,2,error_guard_dispatch,wave_k24,18,2.1915653333333336,0.3110849658648173,0.7931003033332542,0.31525051924917435
qwen05,896x896,0,wave_dispatch,wave_k6,18,0.6007881666666667,0.3995627669824494,0.3674831440719961,0.42367492078079116
qwen05,896x896,0,min_total_dispatch,tile8_ceil,18,0.5044466666666667,0.46238209514154327,0.32087146469564903,0.42367492078079116
qwen05,896x896,0,error_guard_dispatch,wave_k6,18,0.6007881666666667,0.3995627669824494,0.3674831440719961,0.42367492078079116
qwen05,896x896,1,wave_dispatch,wave_k6,18,0.6238026111111111,0.27666680783861214,0.6171395121920086,0.2760227492286099
qwen05,896x896,1,min_total_dispatch,tile8_ceil,18,0.5935296111111111,0.2951485253870487,0.5922855289455475,0.2760227492286099
qwen05,896x896,1,error_guard_dispatch,wave_k6,18,0.6238026111111111,0.27666680783861214,0.6171395121920086,0.2760227492286099
qwen05,896x896,2,wave_dispatch,wave_k6,18,0.7587063888888889,0.18387287368790972,0.8231314297021644,0.18326102797355917
qwen05,896x896,2,min_total_dispatch,tile8_ceil,18,0.7211858333333333,0.17684967319170633,0.8182958479108855,0.18326102797355917
qwen05,896x896,2,error_guard_dispatch,tile8_ceil,18,0.7211858333333333,0.17684967319170633,0.8182958479108855,0.18326102797355917
smol360,2560x960,0,wave_dispatch,wave_k6,9,0.7809272222222222,0.6103289425373077,0.3173542957099324,0.5956034560998281
smol360,2560x960,0,min_total_dispatch,tile8_ceil,9,0.6680024444444445,0.6253683070341746,0.30899095547595645,0.5956034560998281
smol360,2560x960,0,error_guard_dispatch,paper,9,0.987606,0.5956034560998281,0.3337391140298413,0.5956034560998281
smol360,2560x960,1,wave_dispatch,wave_k6,9,1.1688862222222223,0.47103576693269944,0.5571823904330282,0.3997420387135612
smol360,2560x960,1,min_total_dispatch,tile8_ceil,9,1.0630870000000001,0.42396382987499237,0.5686763836253272,0.3997420387135612
smol360,2560x960,1,error_guard_dispatch,paper,9,1.3971296666666666,0.3997420387135612,0.5843364787379964,0.3997420387135612
smol360,2560x960,2,wave_dispatch,wave_k12,9,1.414524111111111,0.24134806171059608,0.8010736026662016,0.2509671250979106
smol360,2560x960,2,min_total_dispatch,tile8_ceil,9,1.3967487777777778,0.24334091113673317,0.802473356179849,0.2509671250979106
smol360,2560x960,2,error_guard_dispatch,tile8_ceil,9,1.3967487777777778,0.24334091113673317,0.802473356179849,0.2509671250979106
smol360,960x2560,0,wave_dispatch,wave_k6,18,0.767854888888889,0.5411030881934695,0.32815481826973414,0.5046561666660838
smol360,960x2560,0,min_total_dispatch,tile8_ceil,18,0.6941298888888888,0.5067062568333414,0.3201198216815424,0.5046561666660838
smol360,960x2560,0,error_guard_dispatch,tile8_ceil,18,0.6941298888888888,0.5067062568333414,0.3201198216815424,0.5046561666660838
smol360,960x2560,1,wave_dispatch,wave_k6,18,1.1204945000000002,0.3696514860623413,0.5619329941988793,0.3966000477472941
smol360,960x2560,1,min_total_dispatch,tile8_ceil,18,1.0802727222222221,0.3820704312788116,0.5650798999337894,0.3966000477472941
smol360,960x2560,1,error_guard_dispatch,tile8_ceil,18,1.0802727222222221,0.3820704312788116,0.5650798999337894,0.3966000477472941
smol360,960x2560,2,wave_dispatch,wave_k12,18,1.4168441666666665,0.24384423572984007,0.7920684340660338,0.24206635418037573
