trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,dpr_importance,dpr_rows,dpr_chunks,dpr_aff_ms,dpr_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,paper_cover_importance,paper_cover_rows,paper_cover_chunks,paper_cover_aff_ms,paper_cover_runtime_ms,dpr_cover_importance,dpr_cover_rows,dpr_cover_chunks,dpr_cover_aff_ms,dpr_cover_runtime_ms,top_cover_importance,top_cover_rows,top_cover_chunks,top_cover_aff_ms,top_cover_runtime_ms,paper_cover_ratio,dpr_cover_ratio,top_cover_ratio,paper_ratio,dpr_ratio,top_ratio,dpr_gain_over_paper_pct,top_importance_gain_over_paper_pct,dpr_iterations,dpr_residual
0,1.07,hot-cold,0.875,4256,0.9494152936631395,4254,26,1.3268588830597134,11.876164,0.9626394852277522,4256,1,1.0523260822526526,285.311199,0.9780227206049219,4256,398,5.41967775047829,0.033963,0.9495698758607926,4074,1,1.007795728457586,17.571763,0.9626394852277539,4256,1,1.0523260822526526,15.669818,0.9780557601009119,4486,1,1.1086007051804843,9.218666,1.3165950654409382,1.0,4.88875546006075,0.7155359969206404,0.914772998087329,0.18045772564957588,27.844441373197036,3.013162641546052,3,2.1094237467877974e-15
0,1.25,random,0.125,608,0.15845615692479093,606,6,0.21427671268617832,2.31567,0.13871501078349285,608,1,0.159761628162525,312.871789,0.4439386373045058,608,535,6.034234652929505,0.025678,0.15853615703741158,692,1,0.18031409914486346,18.007107,0.13871501078349283,608,1,0.159761628162525,18.14191,0.4439531228300785,1971,3,0.5152517087066673,16.663896,1.1883525121018377,1.0,11.711236568387188,0.7394931298804266,0.8682623755084575,0.07356999898719253,17.41317673212901,180.16496545174653,6,5.551115123125783e-17
0,1.25,random,0.25,1216,0.3107151158179099,1212,12,0.42855342537235663,2.619057,0.27784220100042323,1216,2,0.31952325632505,309.435433,0.6343766402175678,1216,924,10.462339976990135,0.03746,0.310820371930366,1375,2,0.3584261478273335,18.204557,0.2778422010004228,1216,2,0.31952325632505,8.297113,0.6344658034079217,2947,2,0.7430509619253819,7.940176,1.1956533527760533,1.0,14.080245518934912,0.7250323936809961,0.8695523580849315,0.06063429802632631,19.932897573059627,104.16664910159538,5,0.0
0,1.25,random,0.375,1824,0.4540278373948716,1824,18,0.6442981717001306,3.228005,0.40572331027915887,1824,2,0.46828399867340464,351.232581,0.758240463180679,1824,1159,13.196308885668527,0.04243,0.45404407799293506,2018,3,0.5267513055658328,11.703341,0.40572331027915787,1824,2,0.46828399867340464,8.291592,0.7582736679208617,3562,2,0.8935244101889314,11.930576,1.2231543897324177,1.0,14.768828624254633,0.7046859006239511,0.866404385860988,0.05745852645235853,22.949016731262283,67.00307794590823,5,-9.43689570931383e-16
0,1.25,random,0.5,2432,0.5834883560437163,2430,23,0.8475739985721384,4.829079,0.5378090854240727,2432,3,0.6280456268359296,387.648006,0.8461322774440372,2432,1205,13.851110375468718,0.047268,0.5835421173532658,2655,3,0.6826075438485661,17.894367,0.5378090854240722,2432,3,0.6280456268359296,8.268911,0.8462222276936003,4007,2,1.0024035719406055,6.685069,1.2416710102462176,1.0,13.81789806340537,0.688421727219909,0.8563216786231516,0.06108768571670589,24.389112772672373,45.01270996753928,5,-7.771561172376096e-16
0,1.25,random,0.625,3040,0.7081852891467499,3036,30,1.0728515970724872,7.148425,0.6542281899330968,3040,2,0.7658054833701138,418.389202,0.9099898318796237,3040,1109,12.943786079656718,0.043722,0.7084694648452527,3309,2,0.8316223249683168,17.579578,0.6542281899330983,3040,2,0.7658054833701138,8.690839,0.9100581655602619,4327,2,1.080698699492371,15.484721,1.2900707026033251,1.0,11.977238508510014,0.6600962249384631,0.8543007384251236,0.07030321934243196,29.42063689347185,28.496008858926736,5,1.2212453270876722e-15
0,1.25,random,0.75,3648,0.818193113016735,3648,35,1.2775954575860908,10.423669,0.7746912892192732,3648,2,0.9145662257184685,345.061093,0.9548577814321767,3648,907,10.870367887542656,0.040867,0.8182911684936673,3865,2,0.9676601090895095,11.540136,0.7746912892192759,3648,2,0.9145662257184685,12.447433,0.9553708405818518,4622,1,1.1418761343899846,9.844536,1.3202936088666564,1.0,9.519743481940663,0.6404164230222312,0.84705871202568,0.08784042925782072,32.266862868423885,16.703228888293808,4,2.4424906541753444e-15
0,1.25,random,0.875,4256,0.9177986148306624,4254,33,1.403865083758906,11.292404,0.895742225014338,4256,2,1.063326968066823,366.570638,0.9846572858706235,4256,520,6.761785819807076,0.029535,0.9178201074345477,4366,2,1.0902409181627424,16.583506,0.8957422250143382,4256,2,1.063326968066823,17.413828,0.9846582790024337,4776,1,1.1795556645242717,10.227693,1.287665010890142,1.0,5.732485564836978,0.6537655401851147,0.8423958499264232,0.14562089248468937,28.85289880648918,7.284677701578013,4,2.220446049250313e-16
0,1.25,local,0.125,608,0.37080688488472596,606,10,0.2582802559428598,3.947811,0.3136935306178432,608,3,0.18176339979086575,262.850926,0.4439386373045058,608,111,1.369859067721266,0.028704,0.3709441577023089,604,7,0.22478825395315016,10.180655,0.313885279550298,487,5,0.17415982631369512,8.456381,0.4441449882170872,908,7,0.29916862512732745,8.4824,1.148993559052645,1.0436585958892446,4.578886128644834,1.4356764652066971,1.725834414292285,0.3240761387541779,20.210538802961665,19.72232863004002,5,-3.3306690738754696e-16
0,1.25,local,0.25,1216,0.5518457866212039,1212,18,0.4945587402573789,5.232002,0.4886580147576456,1216,5,0.3525259137675611,308.036769,0.6343766402175678,1216,218,2.6957145921858507,0.03227,0.552024782284399,1366,8,0.4222294122499623,16.732665,0.48880266039001913,1153,6,0.3481124463449776,13.737695,0.6344078802938271,1741,9,0.524982400663858,17.239352,1.1713033860478606,1.0126782810236257,5.134866595103052,1.115834665734573,1.3861619690172438,0.23532782070344335,24.226465764505512,14.955419720004937,5,-5.551115123125783e-16
0,1.25,local,0.375,1824,0.687799877368507,1824,23,0.6993026007709824,7.000468,0.6110693111968989,1824,5,0.5012866561159157,282.783163,0.758240463180679,1824,244,3.130498365702635,0.025998,0.6879386043986137,2085,8,0.5981487769678356,7.992814,0.6112461437597757,1660,8,0.49416306068814697,10.401819,0.7582868718773464,2481,9,0.7060398831273159,10.861668,1.1691114781107144,1.0144154753652546,4.433883184950518,0.9835511502605687,1.2190017502791803,0.24221078390836123,23.938826156243586,10.24143622730418,4,-5.551115123125783e-16
0,1.25,local,0.5,2432,0.787271329288808,2430,30,0.9245801992713311,7.931669,0.7258997081217562,2432,6,0.6610482842784408,308.981495,0.8461322774440372,2432,250,3.345264422936012,0.027211,0.7873410560692841,2765,7,0.7535250372011671,13.311378,0.7259795126845984,2228,10,0.6551386837208716,13.38766,0.8461824511221778,3132,8,0.8543206474262687,12.304385,1.2270066071135703,1.0090203810344482,3.9157012452104194,0.8514905790857978,1.0981039137165347,0.2529343485204733,28.96254411828174,7.476577129819018,4,4.440892098500626e-16
0,1.25,local,0.625,3040,0.862428718460519,3036,33,1.1058542545149983,11.442223,0.7990257703374362,3040,4,0.7878072549984546,414.03424,0.9099898318796237,3040,243,3.417018964585174,0.032932,0.8624410812710482,3293,7,0.8827119976615804,8.004897,0.7990632181574696,2753,9,0.7725907415463167,7.075188,0.9100983892616428,3694,6,0.9698246935607162,10.474354,1.2527916890724846,1.0196954385211536,3.5233367301048726,0.7798755712512586,1.0142401777437344,0.26631102762699954,30.051538364825724,5.514787761706708,5,4.440892098500626e-16
0,1.25,local,0.75,3648,0.9161250994551138,3648,37,1.2995972292144315,11.853262,0.8893278557773335,3648,4,0.9365679973468093,348.307021,0.9548577814321768,3648,207,3.1697478176233953,0.033833,0.9161812239879573,3656,8,0.9825289187922848,13.186775,0.8893519850731781,3538,6,0.9316558188792305,16.795702,0.95487742495056,4161,4,1.0620848737032333,7.165096,1.3227063390784306,1.0052725248616898,2.9844581126282783,0.7049300189789451,0.9495603718007644,0.3012409303110136,34.702785558225145,4.227881323205773,4,6.661338147750939e-16
0,1.25,local,0.875,4256,0.9606698124971831,4254,36,1.436867741201417,12.309134,0.9590071186767368,4256,3,1.0743278538809933,364.577783,0.9846572858706234,4256,127,2.43843769483812,0.025528,0.9606757421187121,4178,5,1.0772451881685912,8.702371,0.9590139869310492,4160,5,1.0728410872438043,5.659261,0.984720476085769,4528,3,1.1408787122999942,5.898318,1.3338353765536097,1.0013858218657608,2.137332977247219,0.6685861091807465,0.8926577815257586,0.4038066209175755,33.51425781483539,2.496952965669519,4,3.3306690738754696e-16
0,1.25,hot-cold,0.125,608,0.3135488829220871,606,5,0.20327582687200796,3.205553,0.30730982703369547,608,1,0.159761628162525,208.390833,0.4439386373045058,608,419,4.7581318984857415,0.024897,0.313758810813842,627,1,0.1644104013609111,8.724281,0.3073098270336953,608,1,0.159761628162525,11.188969,0.4439604878204141,956,1,0.24490757937507007,9.826913,1.236392741513842,1.0,19.42827539526156,1.5424799286120343,1.9235521731230114,0.09330103636803083,24.705167143009522,41.58514397093829,4,-1.6653345369377348e-16
0,1.25,hot-cold,0.25,1216,0.5234895315581001,1212,11,0.4175525395581863,4.019996,0.5260711431562615,1216,1,0.3085223705108796,248.498602,0.6343766402175678,1216,574,6.612029942030504,0.027412,0.523639554123887,1210,1,0.30705433686928396,13.589438,0.5260711431562622,1216,1,0.3085223705108796,13.6173,0.6346629495066717,1614,1,0.40590193540338804,7.980892,1.3598653053252345,1.0,16.289722628347224,1.2537093705908389,1.7051312755219166,0.0959427960519422,36.00690203969161,21.18229725233021,4,6.661338147750939e-16
0,1.25,hot-cold,0.375,1824,0.6790957666962769,1824,11,0.567291971000938,4.79231,0.6818538693791532,1824,1,0.45728311285923423,284.434059,0.758240463180679,1824,665,7.761871293468362,0.034725,0.6791409580857316,1810,1,0.4538577010288445,14.083793,0.681853869379154,1824,1,0.45728311285923423,8.147213,0.7583272445628212,2228,1,0.5561307113933383,17.395734,1.24993355784192,1.0,13.956919002048371,1.1970833387577666,1.491097856458672,0.09768784285546459,24.560906344750343,11.654423479832875,4,6.661338147750939e-16
0,1.25,hot-cold,0.5,2432,0.7838145725427493,2430,16,0.7705677978729458,6.935427,0.7904594505393279,2432,1,0.6060438552075889,320.306529,0.8461322774440372,2432,693,8.218656838613487,0.038652,0.7838642662513514,2388,1,0.595278275169221,17.334009,0.7904594505393281,2432,1,0.6060438552075889,11.762422,0.8462402667038287,2839,1,0.7056254705624907,13.457831,1.2944665209794441,1.0,11.647335848097956,1.017190926880632,1.3042941426550245,0.10295262280190084,28.225105846631692,7.950567275002918,4,1.1102230246251565e-16
