model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,cell1,Cell-1,1,0.15,2.454721212387085,0.5772742033004761,22.105873107910156,0.0,4.304563045501709,24.637338638305664,20.332775115966797,168,0.14962909505907623,0
qwen05,test_short_korean,short,cell1,Cell-1,2,0.2,2.3620362281799316,0.5773133039474487,23.283266067504883,0.0,4.304563045501709,25.728580474853516,21.42401695251465,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell1,Cell-1,3,0.25,1.1087175607681274,0.6829211711883545,11.092072486877441,0.0,4.304563045501709,12.931497573852539,8.626934051513672,168,0.25,0
qwen05,test_short_korean,short,cell1,Cell-1,4,0.3,2.6082096099853516,0.5767401456832886,21.098896026611328,0.0,4.304563045501709,23.13715171813965,18.83258819580078,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell1,Cell-1,5,0.35,1.180057168006897,0.6138522624969482,12.252124786376953,0.018518518656492233,4.304563045501709,14.614184379577637,10.309621810913086,168,0.35037090494092366,0
qwen05,test_short_korean,short,cell1,Cell-1,6,0.4,2.106159210205078,0.574690043926239,20.260562896728516,0.0,4.304563045501709,22.647581100463867,18.343017578125,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell1,Cell-1,7,0.45,2.2968883514404297,0.5818949341773987,21.736324310302734,0.0,4.304563045501709,24.133831024169922,19.829267501831055,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell1,Cell-1,8,0.5,1.9292634725570679,0.5899039506912231,16.1068172454834,0.018518518656492233,4.304563045501709,18.15968894958496,13.855125427246094,168,0.5,0
qwen05,test_short_korean,short,cell1,Cell-1,9,0.55,1.6994214057922363,0.6056393384933472,18.92319679260254,0.0,4.304563045501709,21.364124298095703,17.059560775756836,168,0.550185452470462,0
qwen05,test_short_korean,short,cell1,Cell-1,10,0.6,1.573069453239441,0.6198288798332214,15.833986282348633,0.0,4.304563045501709,18.26878547668457,13.964221954345703,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell1,Cell-1,11,0.65,1.4383518695831299,0.6279914379119873,13.75925064086914,0.0,4.304563045501709,16.28821563720703,11.983652114868164,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell1,Cell-1,12,0.7,1.1869868040084839,0.7321662306785583,11.84505558013916,0.03703703731298447,4.304563045501709,14.432032585144043,10.127470016479492,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell1,Cell-1,13,0.75,1.0954980850219727,0.7378988265991211,10.378863334655762,0.018518518656492233,4.304563045501709,13.080190658569336,8.775627136230469,168,0.75,0
qwen05,test_short_korean,short,cell1,Cell-1,14,0.8,1.1704527139663696,0.5939371585845947,8.873066902160645,0.0,4.304563045501709,11.54769515991211,7.2431321144104,168,0.8001854524704617,0
qwen05,test_short_korean,short,cell1,Cell-1,15,0.85,1.1071665287017822,0.6456845998764038,8.769330978393555,0.0,4.304563045501709,11.222807884216309,6.9182448387146,168,0.8503709049409238,0
qwen05,test_short_korean,short,cell1,Cell-1,16,0.9,0.9727904796600342,0.5729835629463196,6.262227535247803,0.07407407462596893,4.304563045501709,9.031669616699219,4.72710657119751,168,0.8996290950590762,0
qwen05,test_short_korean,short,cell1,Cell-1,17,0.95,0.4667845070362091,0.11271536350250244,0.9860022068023682,0.5740740895271301,4.304563045501709,4.569004535675049,0.26444149017333984,168,0.9498145475295383,0
qwen05,test_short_korean,short,cell2,Cell-2,0,0.1,2.179868459701538,0.592714786529541,15.587688446044922,0.0,4.304563045501709,18.513671875,14.209108352661133,168,0.10037090494092374,0
qwen05,test_short_korean,short,cell2,Cell-2,1,0.15,1.976194977760315,0.6017969846725464,16.464767456054688,0.0,4.304563045501709,19.32170295715332,15.017139434814453,168,0.14962909505907623,0
qwen05,test_short_korean,short,cell2,Cell-2,2,0.2,1.1537034511566162,0.7050459384918213,10.485163688659668,0.0,4.304563045501709,12.859617233276367,8.5550537109375,168,0.19981454752953817,0
qwen05,test_short_korean,short,cell2,Cell-2,3,0.25,1.9245160818099976,0.5937645435333252,15.563042640686035,0.0,4.304563045501709,17.937458038330078,13.632894515991211,168,0.25,0
qwen05,test_short_korean,short,cell2,Cell-2,4,0.3,2.885096311569214,0.5753845572471619,19.968090057373047,0.018518518656492233,4.304563045501709,22.861209869384766,18.5566463470459,168,0.3001854524704619,0
qwen05,test_short_korean,short,cell2,Cell-2,5,0.35,1.2040971517562866,0.6402510404586792,11.0381441116333,0.0,4.304563045501709,13.345630645751953,9.041067123413086,168,0.35037090494092366,0
qwen05,test_short_korean,short,cell2,Cell-2,6,0.4,1.4046270847320557,0.6136883497238159,13.90978717803955,0.018518518656492233,4.304563045501709,16.66626739501953,12.361703872680664,168,0.39962909505907634,0
qwen05,test_short_korean,short,cell2,Cell-2,7,0.45,2.0455169677734375,0.5829547643661499,19.136518478393555,0.0,4.304563045501709,21.240530014038086,16.93596649169922,168,0.4498145475295381,0
qwen05,test_short_korean,short,cell2,Cell-2,8,0.5,1.6379715204238892,0.597892165184021,14.751240730285645,0.0,4.304563045501709,17.044885635375977,12.74032211303711,168,0.5,0
qwen05,test_short_korean,short,cell2,Cell-2,9,0.55,1.3999468088150024,0.6365020275115967,16.353178024291992,0.0,4.304563045501709,18.743404388427734,14.438840866088867,168,0.550185452470462,0
qwen05,test_short_korean,short,cell2,Cell-2,10,0.6,1.404040813446045,0.6241677403450012,13.445436477661133,0.0,4.304563045501709,15.836471557617188,11.53190803527832,168,0.6003709049409238,0
qwen05,test_short_korean,short,cell2,Cell-2,11,0.65,1.19655179977417,0.6393709182739258,11.1331787109375,0.018518518656492233,4.304563045501709,13.44693374633789,9.142370223999023,168,0.6496290950590762,0
qwen05,test_short_korean,short,cell2,Cell-2,12,0.7,1.1613770723342896,0.8378885984420776,10.971882820129395,0.018518518656492233,4.304563045501709,13.602590560913086,9.298027038574219,168,0.6998145475295381,0
qwen05,test_short_korean,short,cell2,Cell-2,13,0.75,1.2102681398391724,0.6153310537338257,10.953070640563965,0.0,4.304563045501709,13.27188777923584,8.967325210571289,168,0.75,0
qwen05,test_short_korean,short,cell2,Cell-2,14,0.8,1.1631145477294922,0.5992671251296997,9.233716011047363,0.018518518656492233,4.304563045501709,11.846647262573242,7.542084217071533,168,0.8001854524704617,0
