method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,projection_path_ms
cell2,Cell-2,8,0.5,9,11.333024554782444,0.017902935027248285,10.137399779425728,1.5352924068768818,0.5,0,0.6408622246447025
cell2,Cell-2,9,0.55,9,10.932352436913384,0.014483706715206289,9.872458669874403,1.3468009034792583,0.5500093959533574,0,0.6921410666051506
cell2,Cell-2,10,0.6,9,9.776431984371609,0.026329742227163555,8.574096414777967,1.3208505776193407,0.6001498457487062,0,0.7397392909118742
cell2,Cell-2,11,0.65,9,7.676518599192302,0.05598686532013941,6.7695357004801435,1.0879877077208624,0.6498501542512938,0,0.7866529841988518
cell2,Cell-2,12,0.7,9,7.701480229695638,0.05402582076688603,6.6749569574991865,1.0169281893306308,0.6999906040466426,0,0.8230753098810678
cell2,Cell-2,13,0.75,9,5.874280717637804,0.11441816079119836,4.839575449625651,0.9015683664215935,0.75,0,0.8570270025740921
cell2,Cell-2,14,0.8,9,4.840925137201945,0.18776336270901892,3.8809349801805286,0.8747722109158834,0.8000093959533573,0,0.900647354881069
cell2,Cell-2,15,0.85,9,3.704810619354248,0.26936637620545095,2.8261339002185397,0.7772454255157046,0.8501498457487061,0,0.957429560943952
cell2,Cell-2,16,0.9,9,2.535801801416609,0.3903568556739224,1.8402020401424832,0.6803555720382266,0.8998501542512939,0,1.0119073366715237
cell2,Cell-2,17,0.95,9,0.5475041816631953,0.6732625961303711,0.18170399136013451,0.39060672620932263,0.9499906040466427,0,1.032246283275961
cell32,Cell-32,0,0.1,9,14.609201431274414,0.0,13.051104333665636,1.3331964943144057,0.10014984574870617,0,0.31979695235001787
cell32,Cell-32,1,0.15,9,13.867174784342447,0.002057613184054689,12.415696673923069,1.373977051840888,0.14985015425129372,0,0.372259968292758
cell32,Cell-32,2,0.2,9,12.401335504319933,0.0,11.066765308380127,1.3123787972662184,0.19999060404664257,0,0.41990424594083375
cell32,Cell-32,3,0.25,9,11.353149943881565,0.005952381011512544,10.01823541853163,1.329640315638648,0.25,0,0.4459082300868094
cell32,Cell-32,4,0.3,9,11.20724826388889,0.009106634598639267,10.013610257042778,1.599307609928979,0.30000939595335735,0,0.5201218413689919
cell32,Cell-32,5,0.35,9,11.042832904391819,0.007755618956353923,9.774943669637045,1.4429829981591966,0.3501498457487061,0,0.5639949178026177
cell32,Cell-32,6,0.4,9,11.205591837565104,0.02023497482554779,10.279278967115614,1.586539970503913,0.3998501542512938,0,0.6099893570986618
cell32,Cell-32,7,0.45,9,11.975246800316704,0.028325583371851166,10.861989127265083,1.487307118044959,0.4499906040466426,0,0.6496955079920383
cell32,Cell-32,8,0.5,9,11.953628434075249,0.0172928783835636,10.855274200439453,1.4712028834554884,0.5,0,0.6484313438620605
cell32,Cell-32,9,0.55,9,10.338116010030111,0.006545649789687622,9.30770132276747,1.2754187319013808,0.5500093959533574,0,0.7484939895754052
cell32,Cell-32,10,0.6,9,8.856074121263292,0.042110778339621055,7.765513261159261,1.1286246445443895,0.6001498457487062,0,0.8135890025666672
cell32,Cell-32,11,0.65,9,7.624697738223606,0.054131727148261304,6.561453289455837,1.112293799718221,0.6498501542512938,0,0.8561270372374956
cell32,Cell-32,12,0.7,9,6.6660182740953235,0.10741723908318411,5.713429503970676,0.990424758858151,0.6999906040466426,0,0.9075680665046288
cell32,Cell-32,13,0.75,9,5.5089186032613116,0.12682549055251807,4.434252805180019,0.9231442709763845,0.75,0,0.8938768147045674
cell32,Cell-32,14,0.8,9,4.375574853685167,0.21091668152560789,3.46812637646993,0.8619753321011862,0.8000093959533573,0,1.004897587621193
cell32,Cell-32,15,0.85,9,2.878276507059733,0.3246852552725209,2.028546028667026,0.7619334095054202,0.8501498457487061,0,1.0808244548672419
cell32,Cell-32,16,0.9,9,1.629714654551612,0.48666010134749943,0.9571076499091254,0.604594373040729,0.8998501542512939,0,1.1303034471799094
cell32,Cell-32,17,0.95,9,1.5542859865559473,0.5539955794811249,1.002285122871399,0.5266524934106402,0.9499906040466427,0,1.1717116773565648
cell4,Cell-4,0,0.1,9,12.944340070088705,0.0026455026947789667,11.558211538526747,1.3571430842081706,0.10014984574870617,0,0.30194627244819217
cell4,Cell-4,1,0.15,9,12.48125574323866,0.0006422607435120444,11.373207939995659,1.4416240851084392,0.14985015425129372,0,0.351186796313305
cell4,Cell-4,2,0.2,9,12.675593270195854,0.007478632653752955,11.441113471984863,1.4824226299921672,0.19999060404664257,0,0.39722968505194733
cell4,Cell-4,3,0.25,9,10.3357941309611,0.010464642196893678,9.161604828304714,1.454785903294881,0.25,0,0.43752385447923914
cell4,Cell-4,4,0.3,9,11.609597206115723,0.005952381011512544,10.229683611128065,1.423198448287116,0.30000939595335735,0,0.4877907592849274
cell4,Cell-4,5,0.35,9,11.515126016404894,0.014912035730149998,10.315244250827366,1.3702175352308485,0.3501498457487061,0,0.5270123014281212
cell4,Cell-4,6,0.4,9,11.174803733825684,0.015238152816891655,9.932273228963217,1.3439045151074727,0.3998501542512938,0,0.5649563863154792
cell4,Cell-4,7,0.45,9,11.633316622840034,0.009117063962750945,10.368369526333279,1.4403082595931158,0.4499906040466426,0,0.6048627145129376
cell4,Cell-4,8,0.5,9,11.428307321336534,0.037209565026892516,10.397431055704752,1.4294010665681627,0.5,0,0.6350679785274204
cell4,Cell-4,9,0.55,9,10.444575256771511,0.02601731061521501,9.347192923227945,1.353784634007348,0.5500093959533574,0,0.6886472359886066
cell4,Cell-4,10,0.6,9,8.843230247497559,0.039197395866115856,7.710056622823079,1.1598864926232233,0.6001498457487062,0,0.7478012722144448
cell4,Cell-4,11,0.65,9,7.567328717973497,0.06379294643799457,6.582776572969225,1.0871108770370483,0.6498501542512938,0,0.7933299949619165
cell4,Cell-4,12,0.7,9,6.260007460912068,0.10508677735924718,5.224381658766005,0.9849787288241916,0.6999906040466426,0,0.8218112545832872
cell4,Cell-4,13,0.75,9,5.502559370464748,0.1512722849018044,4.477030012342665,0.9028825627432929,0.75,0,0.8506731534735515
cell4,Cell-4,14,0.8,9,4.859834127955967,0.20101129946609333,3.914835042423672,0.8708230356375376,0.8000093959533573,0,0.9066269312319387
cell4,Cell-4,15,0.85,9,3.5514830152193704,0.3038102111054791,2.6204217937257557,0.7562559545040131,0.8501498457487061,0,0.9695767564764729
cell4,Cell-4,16,0.9,9,2.1522933608955808,0.4222106701797909,1.4349404440985785,0.6730756163597107,0.8998501542512939,0,1.0218630799123194
cell4,Cell-4,17,0.95,9,1.2044921418031056,0.5912948482566409,0.807437989446852,0.48904094265566933,0.9499906040466427,0,1.0397969843825141
cell8,Cell-8,0,0.1,9,12.42224195268419,0.0,11.231731626722548,1.2693129115634494,0.10014984574870617,0,0.30490473800930207
cell8,Cell-8,1,0.15,9,12.602346420288086,0.004237891795734555,11.58445930480957,1.5050632887416415,0.14985015425129372,0,0.357674724839605
cell8,Cell-8,2,0.2,9,11.57967864142524,0.009106634598639267,10.13398027420044,1.261000156402588,0.19999060404664257,0,0.4033787699009379
cell8,Cell-8,3,0.25,9,11.811745961507162,0.005437160790380478,10.552838961283365,1.3811583121617634,0.25,0,0.43712537820891983
cell8,Cell-8,4,0.3,9,11.853550910949707,0.011879994637436322,10.590304798550076,1.5619118743472629,0.30000939595335735,0,0.4899506905593506
cell8,Cell-8,5,0.35,9,12.315521346198189,0.006883394490513522,11.134453879462349,1.5632541047202215,0.3501498457487061,0,0.5415152669235023
cell8,Cell-8,6,0.4,9,11.434956921471489,0.018106409762468564,10.425712373521593,1.511814170413547,0.3998501542512938,0,0.5759345875273101
