trial,target_cv,spatial_mode,budget_fraction,method,affine_matched_ratio,method_lookup_over_affine,cover_lookup_over_affine,relative_rescale_correction,lookup_matched_ratio,factorization_error
0,1.07,hot-cold,0.5,paper,1.3113298067688255,1.050817194725743,1.3331482370047403,0.7882223188373062,1.0336194210518004,0.0
0,1.07,hot-cold,0.5,dpr,1.0,1.3335631970935717,1.3335631970935717,1.0,1.0,0.0
0,1.07,hot-cold,0.5,top,11.719667299864474,0.9941412351871975,1.3365926457743103,0.7437877488928387,8.716944958739209,-1.7763568394002505e-15
0,1.07,hot-cold,0.625,paper,1.3227805651045592,1.0587011688672523,1.3379222074421948,0.7913024860326147,1.0467195496428647,2.220446049250313e-16
0,1.07,hot-cold,0.625,dpr,1.0,1.338422195205371,1.338422195205371,1.0,1.0,0.0
0,1.07,hot-cold,0.625,top,9.673141774006822,1.0053385585774222,1.3402350375990233,0.7501210835216228,7.25602758857627,0.0
0,1.07,hot-cold,0.75,paper,1.330918268420448,1.0747985941511708,1.3408586549071617,0.8015748641497099,1.0668306302034876,-2.220446049250313e-16
0,1.07,hot-cold,0.75,dpr,1.0,1.3416812466741148,1.3416812466741148,1.0,1.0,0.0
0,1.07,hot-cold,0.75,top,7.38994208246588,1.0293139402966556,1.342896794122567,0.7664877485757923,5.664300068894774,0.0
0,1.07,hot-cold,0.875,paper,1.3165950654409382,1.0826980770546344,1.3433914953486539,0.8059438226335048,1.0611016599018792,0.0
0,1.07,hot-cold,0.875,dpr,1.0,1.3440188747855584,1.3440188747855584,1.0,1.0,0.0
0,1.07,hot-cold,0.875,top,4.88875546006075,1.0631111360996897,1.3447396238558782,0.7905702466410167,3.864904609827844,-4.440892098500626e-16
0,1.25,random,0.125,paper,1.1883525121018377,0.9840817957549948,1.2753532439556803,0.7716150803072662,0.9169507190588012,2.220446049250313e-16
0,1.25,random,0.125,dpr,1.0,1.2646932032818425,1.2646932032818425,1.0,1.0,0.0
0,1.25,random,0.125,top,11.711236568387188,0.8937905189383174,1.2712216092964626,0.7030957563984234,8.234120733411066,0.0
0,1.25,random,0.25,paper,1.1956533527760531,0.9903113713493958,1.2748441535899677,0.7768097524396798,0.928795184973639,1.1102230246251565e-16
0,1.25,random,0.25,dpr,1.0,1.264693203281843,1.264693203281843,1.0,1.0,0.0
0,1.25,random,0.25,top,14.080245518934912,0.9203538368405845,1.3180006313188406,0.698295444608129,9.83217130483627,0.0
0,1.25,random,0.375,paper,1.2231543897324175,0.9892529913762663,1.2731208315542057,0.7770299305908002,0.9504275705556132,3.3306690738754696e-16
0,1.25,random,0.375,dpr,1.0,1.2944032629009505,1.2944032629009505,1.0,1.0,0.0
0,1.25,random,0.375,top,14.768828624254631,0.9555187523961947,1.3247733311705505,0.7212696164044246,10.652307356558827,3.552713678800501e-15
0,1.25,random,0.5,paper,1.2416710102462176,0.9855943861288562,1.2925505149021066,0.7625190464633421,0.9467977947541206,1.1102230246251565e-16
