spatial_mode,method,label,cases,chunks,mean_chunks_per_case,global_rows_per_chunk,run_length_mean,run_length_median,run_length_p05,run_length_p95,case_mean_run_length_median,mean_case_chunk_fraction_beyond_profile,mean_case_row_fraction_beyond_profile,global_chunk_fraction_beyond_profile,global_row_fraction_beyond_profile,lookup_over_affine_mean,lookup_over_affine_median
random,top,Top-R,126,114663,910.0238095238095,2.6724575495146645,2.6724575495146645,2.0,1.0,8.0,1.9983579638752054,0.0,0.0,0.0,0.0,0.9997447319465699,1.0005106437355602
random,top_cover,Matched affine DP-Cover (Top-R importance),126,312,2.4761904761904763,1588.8942307692307,1588.8942307692307,1173.5,152.65,4766.35,1994.0,0.9835411942554799,0.9970326096474742,0.9519230769230769,0.997851674785924,1.3171180841303696,1.328266425048455
local,paper,Paper greedy,126,3918,31.095238095238095,78.14701378254212,78.14701378254212,66.0,24.0,174.0,73.29818181818182,0.07298766248938873,0.15647400745780615,0.08831036242981113,0.22810111699000588,0.9915459931801567,0.985909433632616
local,paper_cover,Matched affine DP-Cover (Paper importance),126,1157,9.182539682539682,270.84442523768365,270.84442523768365,149.0,28.800000000000004,825.8000000000002,253.5,0.5605891532583261,0.7665757640910769,0.5108038029386344,0.8702575574326589,1.1615740467094675,1.1727208415424415
local,dpr,DP-R exact,126,612,4.857142857142857,500.70588235294116,500.70588235294116,289.5,44.55,1828.3499999999985,405.3333333333333,0.7364260519022424,0.8945307527250667,0.6944444444444444,0.9486150271512114,1.2188964357770542,1.2299343068163284
local,dpr_cover,Matched affine DP-Cover (DP-R importance),126,1151,9.134920634920634,234.56125108601216,234.56125108601216,128.0,27.0,714.5,210.125,0.4847062400458759,0.6892596326836582,0.4483058210251955,0.8330098525816727,1.138644886932396,1.1485012017278753
local,top,Top-R,126,25002,198.42857142857142,12.256299496040317,12.256299496040317,3.0,1.0,55.0,9.594024276377217,0.009685698476272358,0.07173162942077414,0.006999440044796417,0.11728540100250627,1.03444537014651,1.0333491827993129
local,top_cover,Matched affine DP-Cover (Top-R importance),126,1026,8.142857142857142,362.8187134502924,362.8187134502924,181.5,30.0,1293.0,364.45833333333337,0.6509300553943411,0.8481858417353871,0.5750487329434698,0.9151569366987954,1.1988871517636726,1.2165739595962037
hot-cold,paper,Paper greedy,126,2279,18.08730158730159,134.3483984203598,134.3483984203598,108.0,42.0,312.0,126.5,0.21951820545388415,0.39203458425005544,0.23299692847740236,0.45972957084068194,1.0471028827808704,1.0433436205258722
hot-cold,paper_cover,Matched affine DP-Cover (Paper importance),126,134,1.0634920634920635,2176.179104477612,2176.179104477612,2327.5,220.30000000000004,4068.8,2327.5,0.9761904761904762,0.9970162439558015,0.9552238805970149,0.9982064963924172,1.3202643321427034,1.3326282398874754
hot-cold,dpr,DP-R exact,126,128,1.0158730158730158,2394.0,2394.0,2432.0,608.0,4256.0,2432.0,0.9920634920634921,0.9974806808688387,0.984375,0.9993701702172096,1.3214464376317665,1.3335631970935717
hot-cold,dpr_cover,Matched affine DP-Cover (DP-R importance),126,137,1.0873015873015872,2232.8467153284673,2232.8467153284673,2432.0,102.2,4256.0,2432.0,0.962962962962963,0.9959611651938318,0.927007299270073,0.9977378228179143,1.320095193244228,1.3335631970935717
hot-cold,top,Top-R,126,71163,564.7857142857143,4.306057923359049,4.306057923359049,2.0,1.0,12.0,3.589685492936881,0.00221824058909927,0.10683078604248719,0.0019111054902126105,0.17203164160401002,1.0014651743367702,1.0025798607047798
hot-cold,top_cover,Matched affine DP-Cover (Top-R importance),126,133,1.0555555555555556,2746.09022556391,2746.09022556391,2833.0,656.8000000000003,4635.8,2826.5,0.9841269841269841,0.9988411496566357,0.9699248120300752,0.9992799058127755,1.3311049103071082,1.3370204720520333
