n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,0,local,3.3,supported,0.25,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.3,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.35,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.39999999999999997,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.44999999999999996,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.49999999999999994,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.5499999999999999,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.6,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.65,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.7,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.75,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.7999999999999999,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.85,0.8635463919394251,0.05425755280609401,132,2
256,0,local,3.3,supported,0.9,0.9339792566950568,0.06311198754084744,194,1
256,0,local,3.3,supported,0.95,0.9858449242931874,0.07645008800051108,235,1
256,0,local,3.3,supported,0.99,0.9922573461151213,0.0787273246643561,242,1
256,0,local,3.3,paper,0.05,0.24775313494990386,0.013998464069407138,12,1
256,0,local,3.3,paper,0.1,0.3549664417706818,0.027996928138814277,24,2
256,0,local,3.3,paper,0.15,0.4338142013804349,0.03091477532406758,36,2
256,0,local,3.3,paper,0.2,0.4886425977460753,0.033832622509320884,48,2
256,0,local,3.3,paper,0.25,0.5709708600571276,0.047831086578728026,60,3
256,0,local,3.3,paper,0.3,0.6203121106620711,0.050748933763981326,72,3
256,0,local,3.3,paper,0.35,0.6517172332680048,0.04404508765770745,90,2
256,0,local,3.3,paper,0.39999999999999997,0.7040198941982493,0.046962934842960755,102,2
256,0,local,3.3,paper,0.44999999999999996,0.777960401337163,0.06096139891236789,114,3
256,0,local,3.3,paper,0.49999999999999994,0.8239229209616372,0.052798629213467355,126,2
256,0,local,3.3,paper,0.5499999999999999,0.8754341146859206,0.055716476398720655,138,2
256,0,local,3.3,paper,0.6,0.8963202314489992,0.06971494046812779,150,3
256,0,local,3.3,paper,0.65,0.9114074861223038,0.0726327876533811,162,3
256,0,local,3.3,paper,0.7,0.9190454501752141,0.0755506348386344,174,3
256,0,local,3.3,paper,0.75,0.9418621363849452,0.06884678873236053,192,2
256,0,local,3.3,paper,0.7999999999999999,0.9494257662831669,0.08284525280176766,204,3
256,0,local,3.3,paper,0.85,0.9594312376095417,0.0968437168711748,216,4
256,0,local,3.3,paper,0.9,0.9820488051263806,0.07760033028812044,228,2
256,0,local,3.3,paper,0.95,0.9808576570789482,0.08521335411920164,240,2
256,0,hot-cold,3.3,supported,0.05,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.1,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.15,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.2,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.25,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.3,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.35,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.39999999999999997,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.44999999999999996,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.49999999999999994,0.5401486181201867,0.02275200562516705,48,1
256,0,hot-cold,3.3,supported,0.5499999999999999,0.6072079450490382,0.025669852810420352,60,1
256,0,hot-cold,3.3,supported,0.6,0.6072079450490382,0.025669852810420352,60,1
256,0,hot-cold,3.3,supported,0.65,0.7187688913500159,0.03199185504513584,86,1
256,0,hot-cold,3.3,supported,0.7,0.7187688913500159,0.03199185504513584,86,1
256,0,hot-cold,3.3,supported,0.75,0.8273370328438695,0.04147485839720908,125,1
256,0,hot-cold,3.3,supported,0.7999999999999999,0.8273370328438695,0.04147485839720908,125,1
256,0,hot-cold,3.3,supported,0.85,0.8615078823132803,0.04521941375349379,139,1
256,0,hot-cold,3.3,supported,0.9,0.9022484158277031,0.051725804221622394,159,1
256,0,hot-cold,3.3,supported,0.95,0.9508122326294368,0.06376262658766031,196,1
256,0,hot-cold,3.3,supported,0.99,0.9999999999999994,0.08328179799204612,256,1
256,0,hot-cold,3.3,paper,0.05,0.2966232726831214,0.013998464069407138,12,1
256,0,hot-cold,3.3,paper,0.1,0.4067750751067272,0.027996928138814277,24,2
256,0,hot-cold,3.3,paper,0.15,0.47101942601210206,0.03091477532406758,36,2
256,0,hot-cold,3.3,paper,0.2,0.5401486181201868,0.02275200562516705,48,1
256,0,hot-cold,3.3,paper,0.25,0.6047226689362817,0.036750469694574184,60,2
256,0,hot-cold,3.3,paper,0.3,0.659078060061536,0.03966831687982749,72,2
256,0,hot-cold,3.3,paper,0.35,0.7320075866178387,0.04404508765770745,90,2
256,0,hot-cold,3.3,paper,0.39999999999999997,0.7651933620101005,0.05804355172711459,102,3
256,0,hot-cold,3.3,paper,0.44999999999999996,0.7860478610093586,0.049880782028214055,114,2
