track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median,actual_cases,actual_direct_rate,actual_io_median_ms,actual_upload_median_ms,actual_read_wall_ms_mean,actual_read_wall_ms_median,actual_read_wall_case_p95_ms,actual_io_efficiency_gain_pct_mean,actual_read_saving_pct_mean,actual_total_ms_mean,actual_total_ms_median,actual_total_ms_p95,actual_total_saving_ms_mean,actual_total_win_rate
cuda,896x128,896,128,0.25,wave_k6,Wave K=6,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10044800000000001,0.1891223249999999,0.2245896999999999,-66.31811223632842,-66.5155888149302,0.0,-67.96138341303678,0.0,12.07101832952305,1.0,-233.7127401992476,-228.22024156881727,0.0,0.0,-0.0598178794942828,-0.06814049999999999,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,448.0,6.0,0.0,0.0,96,1.0,0.215225,0.03241324999999995,0.30138740625,0.29963249999999997,0.47376887499999987,-22.683487250646568,-46.5721843519432,0.40255351041666665,0.40013299999999996,0.45783812499999993,-0.024525187500000017,0.2604166666666667
cuda,896x128,896,128,0.25,wave_k12,Wave K=12,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1327305,0.25905247499999995,0.2907312499999999,-79.12624553690024,-78.9514947903067,0.0,-81.74891867817352,0.0,18.59932912569489,1.0,-468.99679486758623,-458.8189277679948,0.0,0.0,-0.12025916343904168,-0.02889399999999999,0.010416666666666666,1.0,0.0,0.0,0.0,0.0,448.0,12.0,0.0,0.0,96,1.0,0.27196849999999995,0.03344475,0.3657652552083333,0.3628785,0.5297981749999999,-32.43865394403107,-77.24975181205254,0.49540941666666666,0.495249,0.556237875,-0.11738109375,0.020833333333333332
cuda,896x128,896,128,0.25,wave_k18,Wave K=18,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21233225,0.4179059499999999,0.4701648499999998,-85.69166892166656,-85.18559589505757,0.0,-87.13494077187572,0.0,22.393350869234194,1.0,-767.246846443526,-738.7899851891572,0.0,0.0,-0.19364123883946602,0.03980475000000004,0.0,1.0,0.0,0.0,0.0,0.0,448.0,18.0,0.0,0.0,96,1.0,0.33453049999999995,0.034372,0.42293466145833336,0.42358724999999997,0.6194692624999998,-40.06843023911639,-106.015042725778,0.6313546614583333,0.64274975,0.740244875,-0.25332633854166664,0.0
cuda,896x128,896,128,0.25,wave_k24,Wave K=24,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24766549999999998,0.5876390499999999,0.7941446499999999,-88.0173105426713,-88.03991927634155,0.0,-90.05581421575857,0.0,24.662786191079395,1.0,-941.7996210058512,-917.6870580610089,0.0,0.0,-0.24053122315184136,0.07963400000000001,0.0,1.0,0.0,0.0,0.0,0.0,448.0,24.0,0.0,0.0,96,1.0,0.3992565,0.034692499999999946,0.4916377552083333,0.49014649999999993,0.6634768874999999,-47.53236563372722,-138.84020948305843,0.7416875156249999,0.749637,0.8628377500000001,-0.3636591927083334,0.0
cuda,896x4864,896,4864,9.5,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.28939125,0.4562925375,0.6954675999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,1.0,1.0148955,0.36936349999999996,1.5031055416666668,1.484824,2.50874765,0.0,0.0,1.7969877604166669,1.77373975,2.5185076250000002,0.0,0.0
cuda,896x4864,896,4864,9.5,tile8_ceil,Experiment 29 ceil(s/8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0508875,0.1084656625,0.14553365,4.735129301349289,4.400066556668946,1.0,1.7360519996117603,0.8854166666666666,-1.9150705413907172,0.010416666666666666,6.320381445076527,5.728586461897733,1.0,0.010416666666666666,0.0424837456295471,-0.23520950000000002,1.0,1.0,0.0,0.0,0.0,0.0,217.0,12.072916666666666,0.0,32.0,96,1.0,1.06096125,0.3709435,1.5175731197916666,1.508606,2.4169087125,-2.0259878805004847,-0.5853463112839776,1.5697408802083335,1.5631359999999999,2.2148345000000003,0.2272468802083333,0.9895833333333334
cuda,896x4864,896,4864,9.5,wave_k1,Wave K=1,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.082078,0.1691545124999999,0.3402203499999998,-2.2910233925336674,-2.200705457889651,0.2916666666666667,-5.078807336915335,0.0625,-8.458529851302847,0.0,6.320381445076527,5.728586461897733,1.0,0.0,0.0424837456295471,-0.2065015,1.0,1.0,0.0,0.0,0.0,0.0,896.0,1.0,0.0,0.0,96,1.0,1.2409880000000002,0.387502,1.7260132031250002,1.716568,2.8346192375,-18.979939848016095,-14.203006032872125,1.8109212708333333,1.8042167500000001,2.597972125,-0.013933510416666697,0.4166666666666667
cuda,896x4864,896,4864,9.5,wave_k6,Wave K=6,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.116911,0.2393534874999999,0.2731722499999999,3.4396386927709877,3.266926912730028,0.9791666666666666,0.47642341978691066,0.5729166666666666,-3.133109404694475,0.0,6.320381445076527,5.728586461897733,1.0,0.0,0.0424837456295471,-0.16992299999999994,1.0,1.0,0.0,0.0,0.0,0.0,896.0,6.0,0.0,0.0,96,1.0,1.067822,0.37437,1.5907485833333332,1.5352985000000001,2.5726293,-6.006974449464842,-3.9410173507277997,1.7077139062500002,1.67245025,2.45946925,0.08927385416666667,0.71875
cuda,896x4864,896,4864,9.5,wave_k12,Wave K=12,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.17886200000000002,0.36519805,0.7052941499999998,0.8631956944692032,3.407390494535878,0.6666666666666666,-0.06294283506031915,0.6666666666666666,-0.31620947605133415,0.3229166666666667,0.8159294854251226,2.8997474918046495,0.6770833333333334,0.0,0.02150480500750537,-0.10777374999999999,0.9479166666666666,1.0,0.0,0.0,0.0,0.0,896.0,12.0,0.0,0.0,96,1.0,1.0228627499999998,0.3641635,1.5031211927083332,1.4729245,2.284226575,-0.5864134968945399,-0.593029041114753,1.6800978125000003,1.6526185,2.220823,0.11688994791666663,0.8541666666666666
cuda,896x4864,896,4864,9.5,wave_k18,Wave K=18,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.34686575,0.6905412874999999,0.8231584,-3.2206437900477147,2.926165151652005,0.6458333333333334,-3.8143909864776675,0.6666666666666666,1.3297744714354884,0.5833333333333334,-6.177949145769493,-1.2221918106539276,0.6666666666666666,0.25,-0.009063891474745489,0.06395475,0.3229166666666667,1.0,0.0,0.0,0.0,0.0,896.0,18.0,0.0,0.0,96,1.0,0.9761405000000001,0.3681335,1.4755610729166666,1.42721675,2.3502178999999996,3.5317968467462904,1.6752325951966862,1.8508069010416666,1.90457675,2.35876125,-0.05381914062500002,0.2916666666666667
cuda,896x4864,896,4864,9.5,wave_k24,Wave K=24,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4343225,0.9394981249999999,1.179618449999999,-12.31609908615315,-8.983486659053424,0.3333333333333333,-9.83496472659637,0.3333333333333333,2.592312061237062,0.9583333333333334,-21.886584440144095,-11.53183256708128,0.3333333333333333,0.3020833333333333,-0.08552117432126766,0.15720874999999998,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,896.0,24.0,0.0,0.0,96,1.0,1.042259,0.37511149999999993,1.4891746458333335,1.4933255,2.15287685,2.400496370836484,-0.5689764763892771,1.903840015625,2.0440975,2.267010375,-0.10685225520833334,0.3333333333333333
cuda,4864x896,4864,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.26882524999999996,0.42349453749999977,0.5013483499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,96,1.0,0.98390725,0.36412125,1.4513493489583336,1.42747,2.3113372749999996,0.0,0.0,1.7247576822916664,1.7045807499999999,2.361181375,0.0,0.0
cuda,4864x896,4864,896,1.75,tile8_ceil,Experiment 29 ceil(s/8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.11415599999999995,0.20204118749999989,0.2360102499999999,6.905468840906889,6.87897667139924,1.0,3.1686970536481947,1.0,-0.5829357322508257,0.3229166666666667,6.984843993971601,6.600520925724862,1.0,0.3229166666666667,0.04937720186331673,-0.16515649999999996,1.0,1.0,43.125,20.625,0.0,2.0,263.0,13.708333333333334,43.125,144.0,96,1.0,1.05140875,0.37088625,1.5162023125000001,1.5245885000000001,2.4194564625000003,-3.739511538118359,-3.6785202247296382,1.6260571562500001,1.635699,2.31275675,0.09870052604166664,0.7916666666666666
cuda,4864x896,4864,896,1.75,wave_k1,Wave K=1,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10286224999999995,0.1905589249999999,0.21955455,2.0959938651064998,2.7957148340340576,0.8854166666666666,-1.505827922312898,0.19791666666666666,-5.048770899069097,0.0,7.022740944913288,6.620877938103509,1.0,0.0,0.04952948867838258,-0.1644575,1.0,1.0,0.0,0.0,0.0,2.0,2432.0,1.0,0.0,0.0,96,1.0,1.2303790000000001,0.3913395,1.69789434375,1.7125202499999999,2.6969779375,-17.85920437434662,-16.33542808816308,1.8035113541666667,1.82256625,2.55450875,-0.07875367187500004,0.3229166666666667
cuda,4864x896,4864,896,1.75,wave_k6,Wave K=6,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.13441124999999998,0.2942295374999999,0.3942328999999999,5.436286875813174,5.418875763215425,1.0,1.715527271742773,0.9270833333333334,-1.9830304201910776,0.0,7.022740944913298,6.620877938103509,1.0,0.0,0.04952948867838262,-0.129214,1.0,1.0,0.0,0.0,0.0,2.0,2432.0,6.0,0.0,0.0,96,1.0,1.0522577499999999,0.3710915,1.5774099583333332,1.50787775,2.5903763,-7.675214366265739,-6.8855443114397366,1.7343537343749997,1.7143962499999998,2.47386,-0.009596052083333365,0.5
cuda,4864x896,4864,896,1.75,wave_k12,Wave K=12,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3252055,0.6239342999999999,0.64830145,1.4609582717930418,5.1603049514258315,0.6666666666666666,0.17220720494554995,0.6770833333333334,-0.11898729425155498,0.3333333333333333,1.024483992226988,3.5797296539596513,0.6666666666666666,0.020833333333333332,0.026779255111634283,0.05634049999999999,0.46875,1.0,0.0,0.0,0.0,2.0,2432.0,12.0,0.0,0.0,96,1.0,1.01562475,0.3637925,1.5002740260416667,1.4699767499999998,2.3395855624999995,-3.0474681397838537,-3.3603184485567485,1.8222208072916668,1.8042295000000002,2.2789705,-0.09746312500000003,0.2708333333333333
cuda,4864x896,4864,896,1.75,wave_k18,Wave K=18,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8722415,1.3602045249999999,1.8175974,-3.5387414069921213,3.0120367157574712,0.6666666666666666,-3.823202768233743,0.6666666666666666,1.2209806485982124,0.8541666666666666,-6.847299735580104,-1.1641348049822087,0.6666666666666666,0.5208333333333334,-0.0087086640446349,0.603899,0.0,1.0,0.0,0.0,0.0,2.0,2432.0,18.0,0.0,0.0,96,1.0,0.94524525,0.36375775,1.465976390625,1.3832615000000001,2.36125205,0.5466082961343062,-1.1411884990799799,2.342272244791667,2.2700025,2.8519602500000003,-0.6175145625,0.0
cuda,4864x896,4864,896,1.75,wave_k24,Wave K=24,96,96,1.0,1.0,0.7604166666666666,0.7604166666666666,1.0,0.0,0.0,0.8912215,2.3934590625,2.69951815,-11.758521565021104,-9.216082551166703,0.3333333333333333,-10.067608088462068,0.34375,2.1652136513728806,1.0,-20.503864563668852,-10.402090588976343,0.3333333333333333,0.3333333333333333,-0.07781599855408149,0.6278165,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2432.0,24.0,0.0,0.0,96,1.0,1.02191125,0.37202575,1.4950460416666669,1.47077525,2.2418099875,-1.6314427105616167,-4.330661063113779,2.4672994270833333,2.1521697499999997,3.41828775,-0.7425417447916667,0.2708333333333333
