trial,target_cv,spatial_mode,coverage_target,target_importance,single_importance,single_overshoot,single_rows,single_chunks,single_aff_ms,single_runtime_ms,quant_importance,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,quant_solve_ms,single_extra_vs_quant_pct,quant_beats_single,quant_build_ms,quant_single_query_ms,quant_amortized_ms,quant_full_mask
0,2.48,random,0.1,0.1,0.10006191885958635,6.191885958634069e-05,383,1,0.10471036660268981,1.413862,0.10083817450937138,0.0008381745093713755,254,3,0.09514941493672506,1.663829,10.048355706992895,True,37.966887,39.630716,4.3757495,False
0,2.48,random,0.3,0.3,0.30000412961374234,4.129613742354099e-06,1344,1,0.33984042153158583,1.251158,0.300606386978587,0.0006063869785870035,1056,5,0.3133783499916783,1.529257,8.444128811262885,True,37.966887,39.496144,4.2411775,False
0,2.48,random,0.5,0.5,0.5004387080409104,0.00043870804091039606,2363,1,0.5891614683292393,1.045563,0.5001031309457314,0.00010313094573144443,1903,7,0.5426175373585986,1.345203,8.577668019579932,True,37.966887,39.31209,4.0571235,False
0,2.48,random,0.7,0.7,0.7001524359715885,0.00015243597158853817,3372,1,0.8360357923909002,0.857382,0.7002939534179738,0.0002939534179738912,2944,6,0.7863204883612657,1.63747,6.322524309807043,True,37.966887,39.604357,4.3493905,False
0,2.48,random,0.9,0.9,0.9000631071571923,6.31071571922659e-05,4312,1,1.0660277295742115,0.717591,0.9001059166403101,0.00010591664031012193,4076,5,1.052288616261466,1.445671,1.305641161600457,True,37.966887,39.412558,4.1575915000000006,False
0,2.48,random,0.95,0.95,0.9509126394266532,0.0009126394266532056,4554,1,1.1252384197852343,0.649464,0.9506966093447932,0.0006966093447932087,4452,3,1.1222836195064498,1.276015,0.2632846303222358,True,37.966887,39.242902,3.9879355,False
0,2.48,random,0.99,0.99,0.9901205312028596,0.00012053120285959729,4798,1,1.1849384545434556,0.673919,0.9901962230492383,0.0001962230492382755,4764,2,1.1876204830552508,1.339833,-0.2258321197774804,False,37.966887,39.30672,4.0517535,False
0,2.48,local,0.1,0.1,0.10002295740160777,2.2957401607764938e-05,96,1,0.03448942407970005,1.400387,0.10027399655713146,0.00027399655713145066,24,2,0.027873906194723165,1.659991,23.733730890682537,True,31.100769,32.76076,3.8814745000000004,False
0,2.48,local,0.3,0.3,0.30000877681768356,8.776817683575633e-06,1055,1,0.26913013446139755,1.22034,0.3007982397601635,0.0007982397601635216,161,4,0.08339577930616356,1.612633,222.71433482666296,True,31.100769,32.713402,3.8341165000000004,False
0,2.48,local,0.5,0.5,0.5001722789753245,0.00017227897532445802,2162,1,0.5399823413357866,1.017681,0.5002796592100894,0.0002796592100894335,559,7,0.21377800164118313,1.238274,152.59022780188718,True,31.100769,32.339043,3.4597575000000003,False
0,2.48,local,0.7,0.7,0.700141550132349,0.00014155013234906644,3318,1,0.8228234896165398,0.841412,0.7004758597819245,0.00047585978192454803,1248,11,0.42636074140775987,1.528175,92.98762988818751,True,31.100769,32.628944,3.7496585000000002,False
0,2.48,local,0.9,0.9,0.9002559066283002,0.0002559066283002176,4311,1,1.0657830573006124,0.651427,0.9004080685115137,0.0004080685115136484,2972,10,0.8371748552787266,1.482931,27.307103238997033,True,31.100769,32.5837,3.7044145000000004,False
0,2.48,local,0.95,0.95,0.950618198892893,0.0006181988928930515,4446,1,1.0988138142365136,0.629396,1.0,0.050000000000000044,4864,1,1.2010868246010074,0.221143,-8.515038902243234,False,31.100769,31.321912,2.4426265000000003,True
0,2.48,local,0.99,0.99,0.990101122179444,0.00010112217944402424,4638,1,1.145790890767573,0.616702,1.0,0.010000000000000009,4864,1,1.2010868246010074,0.212928,-4.603824861021466,False,31.100769,31.313697,2.4344115000000004,True
0,2.48,hot-cold,0.1,0.1,0.1001155057025612,0.00011550570256119164,104,1,0.03644680226849419,1.195554,0.1001155057025612,0.00011550570256119164,104,1,0.03644680226849419,1.794773,0.0,False,45.261146,47.055918999999996,5.027711999999999,False
0,2.48,hot-cold,0.3,0.3,0.30014941756606844,0.0001494175660684549,384,1,0.10495503887628908,0.972266,0.30014941756606844,0.0001494175660684549,384,1,0.10495503887628908,1.569553,0.0,False,45.261146,46.830698999999996,4.802491999999999,False
0,2.48,hot-cold,0.5,0.5,0.5003252140822048,0.0003252140822047611,758,1,0.1964624692024151,0.869524,0.5006377892016372,0.0006377892016371511,759,1,0.1967071414760144,1.543423,-0.12438403189806158,False,45.261146,46.804568999999994,4.776362,False
0,2.48,hot-cold,0.7,0.7,0.7004214907694167,0.0004214907694167769,1374,1,0.34718058973956384,0.78634,0.7004214907694167,0.0004214907694167769,1374,1,0.34718058973956384,1.560215,0.0,False,45.261146,46.821360999999996,4.7931539999999995,False
0,2.48,hot-cold,0.9,0.9,0.9000601443152907,6.014431529066666e-05,2597,1,0.6464147803514679,0.712331,0.9004410638493643,0.0004410638493642649,2525,2,0.6397992624664911,1.451813,1.033998985787088,True,45.261146,46.712959,4.684752,False
0,2.48,hot-cold,0.95,0.95,0.9500495514011187,4.9551401118730354e-05,3243,1,0.8044730690965948,0.664932,0.9502716515600367,0.0002716515600367231,3248,1,0.805696430464591,1.26325,-0.1518389956488786,False,45.261146,46.524395999999996,4.496188999999999,False
0,2.48,hot-cold,0.99,0.99,0.9900231267578055,2.3126757805469467e-05,4359,1,1.0775273264333771,0.621952,0.9999999999999998,0.009999999999999787,4864,1,1.2010868246010074,0.211626,-10.287307764671871,False,45.261146,45.472772,3.4445649999999994,True
0,3.3,random,0.1,0.1,0.10030355266975374,0.0003035526697537372,328,1,0.0912533915547301,1.410244,0.10080791920026927,0.0008079192002692637,190,3,0.07949038942637193,1.705857,14.79801799090903,True,40.3932,42.099057,4.591085571428572,False
0,3.3,random,0.3,0.3,0.3041142654113489,0.004114265411348905,1233,1,0.3126817991620671,1.238594,0.3003014399082281,0.0003014399082281183,732,9,0.27810807660219716,1.611621,12.431757819577394,True,40.3932,42.004821,4.496849571428571,False
0,3.3,random,0.5,0.5,0.5005102725543316,0.0005102725543315589,2171,1,0.54218439179818,1.027059,0.5000156046588882,1.5604658888168643e-05,1651,9,0.5029618960399239,1.588277,7.798303622416491,True,40.3932,41.981477,4.473505571428571,False
0,3.3,random,0.7,0.7,0.7019653073418899,0.0019653073418899325,3193,1,0.7922394554166313,0.837675,0.7007817199473996,0.0007817199473996173,2773,7,0.7554824153899613,1.464086,4.865373339986601,True,40.3932,41.857286,4.349314571428572,False
0,3.3,random,0.9,0.9,0.9023956909051598,0.0023956909051597863,4321,1,1.068229780036605,0.675953,0.9004230752954077,0.0004230752954076378,4004,5,1.0346722125623187,1.404815,3.243304214305942,True,40.3932,41.798015,4.290043571428571,False
0,3.3,random,0.95,0.95,0.9506027218918363,0.0006027218918362998,4555,1,1.1254830920588337,0.633724,0.9503335824977571,0.00033358249775716775,4405,3,1.1107840226472843,1.309036,1.323305801295005,True,40.3932,41.702236,4.194264571428572,False
