method,method_label,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
paper,Paper,3,0.25,11.789568212297228,0.019588784625132867,10.772083653344048,0.24996083959899748,0,0.670802862324784
paper,Paper,4,0.3,11.704020182291666,0.01413334637052482,10.592721144358316,0.2982324927578686,0,0.7123280581969795
paper,Paper,5,0.35,11.710204230414497,0.015132501721382134,10.680266380310059,0.34647499811826643,0,0.7530320950701164
paper,Paper,6,0.4,12.170986440446642,0.025419439810017732,10.969031439887154,0.3987857669233962,0,0.8026574868542655
paper,Paper,7,0.45,11.271714316474068,0.022750028098622945,10.277249548170301,0.44713818840933506,0,0.8371050661396943
paper,Paper,8,0.5,9.760278330908882,0.023306541869209843,8.60834370719062,0.49998041979949875,0,0.8736515976754584
paper,Paper,9,0.55,8.893751197391087,0.03955048157109152,7.6661744647555885,0.5481933323568662,0,0.9263342063695097
paper,Paper,10,0.6,8.557203663720024,0.0252768891967005,7.607950475480822,0.5964945783187676,0,0.9671344470753496
paper,Paper,11,0.65,8.109722084469265,0.04509306595557262,7.033200449413723,0.6488053471238975,0,1.0254174524006903
paper,Paper,12,0.7,6.2026121616363525,0.09965566462940635,5.100098927815755,0.6971577686098364,0,1.0655951407363695
paper,Paper,13,0.75,4.977282285690308,0.16028740877906478,3.933073149787055,0.75,0,1.121819779851683
paper,Paper,14,0.8,4.588180859883626,0.19163215812295673,3.65949018796285,0.7982129125573675,0,1.182607436364798
paper,Paper,15,0.85,2.9082143041822643,0.3195876632299688,2.06764288743337,0.8465141585192689,0,1.2349053385871094
paper,Paper,16,0.9,2.117678185304006,0.4349854124916924,1.4589480426576402,0.8987661867228951,0,1.298270484364058
paper,Paper,17,0.95,1.0912665377060573,0.5875511831707425,0.6467394696341621,0.9471773488103374,0,1.3326797617533535
paper_s,Paper-s,0,0.1,14.595808982849121,0.004252439830452178,13.09919548034668,0.048773503869251,0,0.34858673289181474
paper_s,Paper-s,1,0.15,14.17160373263889,0.0025475146766337892,12.61041005452474,0.08905319728569254,0,0.4024694603274171
paper_s,Paper-s,2,0.2,10.920028527577719,0.011655214656558277,9.623306645287407,0.12626482161844,0,0.4473092462837692
paper_s,Paper-s,3,0.25,12.615953021579319,0.012545788039763755,11.357779079013401,0.17583956254950142,0,0.5009330925764006
paper_s,Paper-s,4,0.3,10.994997130499947,0.0108903446752164,9.642341984642876,0.21611925596594295,0,0.5429534261030939
paper_s,Paper-s,5,0.35,11.385089609358046,0.028032036705149532,10.135920471615261,0.2560944857408673,0,0.5748208251959993
paper_s,Paper-s,6,0.4,11.21404176288181,0.008801383897662156,10.12037377887302,0.33272887728656053,0,0.6282621829491917
paper_s,Paper-s,7,0.45,10.166278786129421,0.03147164173424241,9.039082474178738,0.3589591241700029,0,0.6555885713299876
paper_s,Paper-s,8,0.5,9.108542230394152,0.021439635712239443,7.926290141211616,0.4240459610877844,0,0.6972212166920746
paper_s,Paper-s,9,0.55,9.0097090933058,0.020347965881228423,7.88566615846422,0.459794935966811,0,0.7426625714474417
paper_s,Paper-s,10,0.6,9.182285043928358,0.023786088037821958,8.05457173453437,0.4873762166848398,0,0.7800515847247353
paper_s,Paper-s,11,0.65,8.381906085544163,0.04067408707406783,7.196412722269694,0.5292978963914114,0,0.8169775238080554
paper_s,Paper-s,12,0.7,7.372961786058214,0.055234858145316396,6.277414374881321,0.5666919895450205,0,0.8645553972010344
paper_s,Paper-s,13,0.75,6.719830777910021,0.07734577575077609,5.519430531395806,0.6025259960617264,0,0.9005843123663746
paper_s,Paper-s,14,0.8,7.201221307118733,0.0723897547771533,6.178985781139797,0.6404259494617226,0,0.9204648309688006
paper_s,Paper-s,15,0.85,7.043508185280694,0.06259827869426869,5.978174659940931,0.6510739355973891,0,0.9264245610466174
paper_s,Paper-s,16,0.9,7.195654630661011,0.07249517795733276,6.153371625476414,0.6501656628673834,0,0.9255513997483247
paper_s,Paper-s,17,0.95,7.687268919414944,0.04252054609565268,6.583082622951931,0.6505087344107392,0,0.9279395213978755
