shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,target_importance,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,17,0.875676
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,18,0.872371
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,19,0.868093
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,20,0.882018
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,21,0.86137
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,22,0.869726
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,23,0.867541
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,24,0.874094
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,25,0.875917
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,26,0.881909
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,27,0.876829
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,28,0.954524
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,29,0.883391
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,0,0.907957
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,1,0.883501
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,2,0.875356
