scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N-CV,14336,,2.48,,420,0.9089214544657407,0.9112256315694939,9.10785455342593,0.9904271127848224,0.9572887215177515,1.0,0.8714285714285714,212.41904761904763,113.00714285714285,1.0063325918164885,4.197018609523809,18.087919547619048
N-CV,14336,,3.3,,420,0.9053083745674068,0.9062675836552325,9.469162543259314,0.9874307424473845,1.2569257552615587,1.0,0.8857142857142857,222.95,116.38571428571429,1.0088283242984695,4.192428866666666,18.440545776190472
N-CV,14336,,4.55,,420,0.9043525075729382,0.9034504698428413,9.564749242706192,0.9847731805324378,1.5226819467562285,1.0,0.8761904761904762,228.18333333333334,119.72619047619048,1.0094337361060495,4.202826488095238,18.717751035714286
N-CV,18944,,1.07,,420,0.9277398232452889,0.9262422142875855,7.226017675471097,0.9932862540035271,0.6713745996472898,0.9976190476190476,0.8738095238095238,212.7642857142857,128.37142857142857,0.998421012689986,5.177083328571429,23.592606271428572
N-CV,18944,,1.25,,420,0.926936558265604,0.9232818100470814,7.306344173439607,0.9925562422003771,0.7443757799622869,0.9976190476190476,0.8904761904761904,218.1261904761905,131.30238095238096,0.999093257798615,5.2008866,24.11277445952381
N-CV,18944,,1.44,,420,0.9252107319367483,0.9208290056632634,7.478926806325172,0.9912978621473301,0.8702137852669916,0.9976190476190476,0.8976190476190476,224.44285714285715,134.5547619047619,0.9996996685780168,5.262278004761905,24.87500423333333
N-CV,18944,,2.48,,420,0.9169676465344472,0.9167249045727197,8.303235346555287,0.9851139815449979,1.4886018455002095,1.0,0.9476190476190476,248.84047619047618,145.7357142857143,1.0010085412261753,5.340457928571428,26.24339160952381
N-CV,18944,,3.3,,420,0.9115292454830488,0.9129804527054513,8.84707545169512,0.9815114096764649,1.8488590323535135,1.0,0.95,261.96190476190475,149.08809523809524,1.0033997278528528,5.3324493523809515,26.848571861904766
N-CV,18944,,4.55,,420,0.9060760599898604,0.9061763869445163,9.392394001013956,0.9776601090752759,2.233989092472412,1.0,0.95,280.17857142857144,155.35476190476192,1.005854259074125,5.3656858071428575,27.57565366190476
N-budget,4864,,,0.125,360,0.9356785808936656,0.9568072345648847,6.432141910633439,0.9839697388859524,1.6030261114047473,0.6055555555555555,0.5027777777777778,8.933333333333334,7.4527777777777775,1.0083745874587458,0.35364579444444444,3.3986323638888885
N-budget,4864,,,0.25,360,0.899170379294743,0.9306658461738043,10.082962070525694,0.975451490264638,2.4548509735362063,0.8777777777777778,0.7583333333333333,15.405555555555555,11.208333333333334,1.0031078107810782,0.6893261,4.850650266666667
N-budget,4864,,,0.375,360,0.8736276449822166,0.8934754300165761,12.637235501778331,0.9662125179969987,3.3787482003001186,0.9888888888888889,0.8777777777777778,21.191666666666666,13.419444444444444,1.0031524122807018,1.0360181222222224,6.30385825
N-budget,4864,,,0.5,360,0.8434578548697115,0.85591173128753,15.65421451302886,0.9592142435750977,4.0785756424902315,1.0,0.8722222222222222,26.53611111111111,13.577777777777778,1.0084179240969364,1.4000696361111111,8.649352963888889
N-budget,4864,,,0.625,360,0.809507010503416,0.8158099024294513,19.04929894965841,0.9523877867951396,4.761221320486051,1.0,0.8638888888888889,31.094444444444445,11.566666666666666,1.010829307568438,1.8581353472222224,10.862054641666665
N-budget,4864,,,0.75,360,0.7740025052541583,0.7783319816435088,22.59974947458418,0.9460676984037254,5.3932301596274455,1.0,0.8472222222222222,34.72222222222222,7.75,1.0078086927387913,2.2537161777777777,12.787848858333334
N-budget,4864,,,0.875,360,0.7421855161980818,0.7436142769129758,25.78144838019181,0.9402928131313072,5.970718686869277,1.0,0.9,37.02777777777778,2.675,1.0013568928590084,2.512133316666667,14.825271119444444
N-budget,8960,,,0.125,360,0.9359397693038146,0.9580551856614428,6.406023069618545,0.9921044258639505,0.7895574136049485,0.8444444444444444,0.5916666666666667,25.719444444444445,21.419444444444444,1.0029141865079365,0.6652006138888888,5.3519037916666665
N-budget,8960,,,0.25,360,0.9123160782663325,0.9421287055365187,8.768392173366749,0.9884612251660394,1.1538774833960659,0.9972222222222222,0.7972222222222223,43.49722222222222,32.53055555555556,1.0022408234126985,1.2557622611111112,8.8600804
N-budget,8960,,,0.375,360,0.9006364126632433,0.9236638620579642,9.936358733675672,0.9865244553198661,1.3475544680133742,1.0,0.8611111111111112,57.075,38.525,1.006259093915344,1.970373933333333,12.828415541666669
N-budget,8960,,,0.5,360,0.888616525105727,0.90081955065539,11.138347489427304,0.9881901337000967,1.1809866299903269,1.0,0.8305555555555556,67.2611111111111,38.66388888888889,1.014836929563492,2.647437952777778,17.008190205555557
N-budget,8960,,,0.625,360,0.8770058940629389,0.8750516896251999,12.299410593706115,0.991819049564766,0.8180950435233985,1.0,0.7333333333333333,73.28611111111111,33.03333333333333,1.0224677579365078,3.290692875,21.375788958333334
N-budget,8960,,,0.75,360,0.8682245996883182,0.8723286346337644,13.177540031168176,0.9967065457411753,0.3293454258824565,1.0,0.5555555555555556,72.99722222222222,22.016666666666666,1.0258540013227513,3.8405322333333327,25.367952991666666
N-budget,8960,,,0.875,360,0.877509073242455,0.8849804722867896,12.249092675754511,1.0051249191833282,-0.512491918332816,1.0,0.36944444444444446,60.6,8.519444444444444,1.0235303287981858,4.151060727777779,28.971337349999995
N-budget,14336,,,0.125,360,0.9337755944367065,0.9475169098553254,6.622440556329345,0.9842697101006899,1.573028989931011,0.9972222222222222,0.8944444444444445,103.64722222222223,87.425,0.9851872519841268,1.1873581500000001,5.7121011527777785
N-budget,14336,,,0.25,360,0.914875526182579,0.9297661962210935,8.512447381742108,0.9831670199950201,1.6832980004979934,1.0,0.9138888888888889,170.98611111111111,129.40277777777777,0.9901824466765874,2.3437279833333333,9.593323352777778
N-budget,14336,,,0.375,360,0.9062439883758879,0.9088233893838764,9.375601162411193,0.9833882021207714,1.6611797879228642,1.0,0.9944444444444445,220.07222222222222,149.90277777777777,0.9971509176587302,3.405315175,13.598415816666668
N-budget,14336,,,0.5,360,0.9011690102064033,0.8885426522052686,9.883098979359668,0.9865228801234707,1.347711987652945,1.0,1.0,252.45,149.61111111111111,1.006363544766865,4.421370047222222,17.806053191666667
N-budget,14336,,,0.625,360,0.8992403473489392,0.89025355594098,10.075965265106074,0.9924331771118416,0.7566822888158302,1.0,0.8888888888888888,263.94444444444446,129.05,1.014271453373016,5.306067852777778,21.96378401666667
N-budget,14336,,,0.75,360,0.9010698250258571,0.904080213340626,9.893017497414299,1.0004180875712376,-0.04180875712377506,1.0,0.6527777777777778,248.30277777777778,89.25833333333334,1.0196263227513227,6.040133986111111,25.808838794444444
N-budget,14336,,,0.875,360,0.9166395450389925,0.9179680987242853,8.336045496100747,1.0100493684268241,-1.0049368426824055,1.0,0.6055555555555555,191.71944444444443,40.02777777777778,1.0206103404903628,6.4638511111111105,29.097512263888888
N-budget,18944,,,0.125,360,0.9457502809191668,0.9633637829092319,5.424971908083315,0.9826991635226967,1.7300836477303405,0.9916666666666667,0.9638888888888889,118.68333333333334,103.73333333333333,0.9866401557807808,1.4657539277777778,8.262980227777778
N-budget,18944,,,0.25,360,0.9276191893988295,0.9473233816382541,7.238081060117051,0.9810133017758378,1.898669822416224,1.0,0.9583333333333334,195.7888888888889,156.18055555555554,0.9892003331456457,2.9607294916666667,13.836880894444443
N-budget,18944,,,0.375,360,0.9177561137622263,0.9269901656408209,8.224388623777385,0.9794368724243744,2.056312757562563,1.0,1.0,252.26666666666668,184.0888888888889,0.9933613300800801,4.2746738861111115,19.568065519444445
N-budget,18944,,,0.5,360,0.912277569514259,0.9052667322937713,8.772243048574115,0.9811780244557952,1.8821975544204825,1.0,1.0,290.1333333333333,189.44166666666666,1.0003783079954955,5.510471708333333,25.52855335
N-budget,18944,,,0.625,360,0.9076721371598312,0.8966875636029868,9.2327862840169,0.9858274256921193,1.4172574307880716,1.0,1.0,307.6166666666667,169.74444444444444,1.0083452984234234,6.681538202777778,31.52773151111111
N-budget,18944,,,0.75,360,0.9063753589186907,0.908123486464856,9.362464108130922,0.9936633272215836,0.6336672778416458,1.0,0.8444444444444444,292.94444444444446,123.7611111111111,1.0141780452327327,7.697369505555556,37.416533083333334
