trial,coverage_target,coverage_achieved,coverage_overshoot,coverage_rows,coverage_row_fraction,coverage_chunks,coverage_aff_ms,coverage_table_ms,pareto_achieved,pareto_overshoot,pareto_rows,pareto_row_fraction,pareto_chunks,pareto_aff_ms,pareto_table_ms,pareto_target_gap_pct,pareto_achieved_gap_pct,pareto_peak_states
4,0.97,0.9722273952573747,0.002227395257374698,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.9722273952573744,0.002227395257374476,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.0,0.0,337
4,0.99,0.9909011729592659,0.0009011729592659501,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.9909011729592656,0.000901172959265617,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.0,0.0,337
5,0.1,0.10102833391982315,0.0010283339198231406,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.10102833391982315,0.0010283339198231406,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.0,0.0,312
5,0.2,0.20286481133135031,0.002864811331350303,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.2065341221854092,0.006534122185409191,40,0.15625,1,0.016593394925010774,0.017043641025641026,0.8497403549876603,0.0,312
5,0.3,0.3004869332482696,0.0004869332482695943,62,0.2421875,1,0.019669274935972994,0.019521860149355058,0.3004869332482696,0.0004869332482695943,62,0.2421875,1,0.019669274935972994,0.019521860149355058,0.0,0.0,312
5,0.4,0.4051357800996802,0.005135780099680187,85,0.33203125,1,0.02288496767470622,0.022947314578005116,0.40513578009968026,0.005135780099680243,85,0.33203125,1,0.02288496767470622,0.022947314578005116,0.0,0.0,312
5,0.5,0.502351757441211,0.0023517574412109665,109,0.42578125,1,0.02624047314121046,0.025803102378490178,0.5023517574412111,0.0023517574412110775,109,0.42578125,1,0.02624047314121046,0.025803102378490178,0.0,0.0,312
5,0.6,0.6055986537780951,0.005598653778095097,132,0.515625,1,0.029456165879943687,0.027515579710144927,0.6055986537780953,0.005598653778095319,132,0.515625,1,0.029456165879943687,0.027515579710144927,0.0,0.0,312
5,0.7,0.7012135166207611,0.0012135166207611903,157,0.61328125,1,0.03295148407421894,0.032014804469273746,0.7012034931791236,0.0012034931791236048,157,0.61328125,1,0.03295148407421894,0.032014804469273746,0.0,0.0,312
5,0.8,0.8018296732681457,0.0018296732681456485,184,0.71875,1,0.036726427724036205,0.03559616,0.8018296732681454,0.0018296732681453154,184,0.71875,1,0.036726427724036205,0.03559616,0.0,0.0,312
5,0.85,0.8519937597560998,0.0019937597560998332,196,0.765625,1,0.03840418045728833,0.038024493243243244,0.8519937597560995,0.0019937597560995,196,0.765625,1,0.03840418045728833,0.038024493243243244,0.0,0.0,312
5,0.9,0.9010747299583398,0.001074729958339793,214,0.8359375,1,0.04092080955716651,0.041812979890310784,0.9059009745570759,0.005900974557075833,215,0.83984375,1,0.041060622284937516,0.0420308256880734,0.3416665732765889,0.0,312
5,0.95,0.9525941522950586,0.0025941522950586604,236,0.921875,1,0.04399668956812872,0.04414103585657371,0.9525941522950585,0.0025941522950585494,236,0.921875,1,0.04399668956812872,0.04414103585657371,0.0,0.0,312
5,0.97,0.9708060984445516,0.0008060984445515951,244,0.953125,1,0.04511519139029681,0.046086858316221765,0.9708060984445515,0.000806098444551484,244,0.953125,1,0.04511519139029681,0.046086858316221765,0.0,0.0,312
5,0.99,0.9911965239412496,0.0011965239412495832,252,0.984375,1,0.046233693212464885,0.047364904862579285,0.9948937297791158,0.004893729779115841,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.3024044112775126,0.0,312
6,0.1,0.1028904857919827,0.0028904857919827,19,0.07421875,1,0.013657327641819563,0.015312371499468274,0.10289048579198268,0.002890485791982672,19,0.07421875,1,0.013657327641819563,0.015312371499468274,0.0,0.0,323
6,0.2,0.20035747076413085,0.00035747076413084056,44,0.171875,1,0.017152645836094813,0.017583269961977187,0.2004784600780388,0.00047846007803878376,45,0.17578125,1,0.017292458563865822,0.018111618942731278,0.8151088124072281,0.0,323
6,0.3,0.3019593853324008,0.0019593853324008093,73,0.28515625,1,0.0212072149414541,0.02042172256097561,0.30195938533240085,0.0019593853324008648,73,0.28515625,1,0.0212072149414541,0.02042172256097561,0.0,0.0,323
6,0.4,0.40248083261111123,0.0024808326111112056,97,0.37890625,1,0.02456272040795834,0.02290433962264151,0.40248083261111123,0.0024808326111112056,97,0.37890625,1,0.02456272040795834,0.02290433962264151,0.0,0.0,323
6,0.5,0.5005123940217279,0.0005123940217278689,124,0.484375,1,0.02833766405777561,0.02639587155963303,0.5005123940217278,0.0005123940217277578,124,0.484375,1,0.02833766405777561,0.02639587155963303,0.0,0.0,323
6,0.6,0.6023360149320837,0.0023360149320836854,151,0.58984375,1,0.03211260770759288,0.031588648648648646,0.6016031428901408,0.0016031428901408518,151,0.58984375,1,0.03211260770759288,0.031588648648648646,0.0,0.0,323
6,0.7,0.7035782351753802,0.003578235175380251,176,0.6875,1,0.03560792590186813,0.03554692307692307,0.7035782351753801,0.00357823517538014,176,0.6875,1,0.03560792590186813,0.03554692307692307,0.0,0.0,323
6,0.8,0.8003307739171717,0.00033077391717162286,199,0.77734375,1,0.03882361864060136,0.03939914383561644,0.800330773917172,0.0003307739171719559,199,0.77734375,1,0.03882361864060136,0.03939914383561644,0.0,0.0,323
6,0.85,0.8511153113363525,0.0011153113363525646,215,0.83984375,1,0.041060622284937516,0.0420308256880734,0.8557795286838411,0.005779528683841129,216,0.84375,1,0.04120043501270853,0.04185874769797422,0.34050318770326715,0.0,323
6,0.9,0.9003914684101109,0.0003914684101108401,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.9003914684101111,0.00039146841011106215,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.0,0.0,323
6,0.95,0.9513147299655208,0.0013147299655208444,239,0.93359375,1,0.044416127751441756,0.04510987903225806,0.9513147299655212,0.0013147299655212885,239,0.93359375,1,0.044416127751441756,0.04510987903225806,0.0,0.0,323
6,0.97,0.9707875774681233,0.0007875774681233016,244,0.953125,1,0.04511519139029681,0.046086858316221765,0.9707875774681236,0.0007875774681236347,244,0.953125,1,0.04511519139029681,0.046086858316221765,0.0,0.0,323
6,0.99,0.9902840749930142,0.0002840749930141939,250,0.9765625,1,0.045954067756922866,0.04733333333333334,0.9902840749930144,0.00028407499301441597,250,0.9765625,1,0.045954067756922866,0.04733333333333334,0.0,0.0,323
7,0.1,0.10001079610924599,1.0796109245980734e-05,19,0.07421875,1,0.013657327641819563,0.015312371499468274,0.10380620255842923,0.003806202558429228,20,0.078125,1,0.013797140369590573,0.014549891383055758,1.0237195111501451,0.0,332
7,0.2,0.20170514551547777,0.0017051455154777628,45,0.17578125,1,0.017292458563865822,0.018111618942731278,0.20544731268607064,0.005447312686070627,46,0.1796875,1,0.017432271291636832,0.018484486607142858,0.8085185068082978,0.0,332
7,0.3,0.30021672885223893,0.00021672885223894545,70,0.2734375,1,0.02078777675814107,0.020093865484109387,0.3049450795783819,0.004945079578381917,71,0.27734375,1,0.02092758948591208,0.020301941747572817,0.6725718165905059,0.0,332
7,0.4,0.4039640141856665,0.003964014185666498,96,0.375,1,0.02442290768018733,0.022693451824134705,0.4039640141856665,0.003964014185666498,96,0.375,1,0.02442290768018733,0.022693451824134705,0.0,0.0,332
7,0.5,0.5025395320191633,0.0025395320191633486,126,0.4921875,1,0.02861728951331763,0.02715029036004646,0.5025395320191633,0.0025395320191633486,126,0.4921875,1,0.02861728951331763,0.02715029036004646,0.0,0.0,332
7,0.6,0.602374075817801,0.0023740758178010246,152,0.59375,1,0.03225242043536389,0.03150054347826087,0.6023740758178008,0.0023740758178008026,152,0.59375,1,0.03225242043536389,0.03150054347826087,0.0,0.0,332
7,0.7,0.7012359222527449,0.0012359222527449365,177,0.69140625,1,0.03574773862963914,0.03657105263157895,0.7012359222527449,0.0012359222527449365,177,0.69140625,1,0.03574773862963914,0.03657105263157895,0.0,0.0,332
7,0.8,0.8001853925849066,0.00018539258490657406,203,0.79296875,1,0.0393828695516854,0.03993362369337979,0.8077231630416346,0.007723163041634562,204,0.796875,1,0.039522682279456406,0.039092994746059546,0.3550089908697984,0.0,332
7,0.85,0.8520904846872598,0.002090484687259808,215,0.83984375,1,0.041060622284937516,0.0420308256880734,0.8520904846872595,0.002090484687259475,215,0.83984375,1,0.041060622284937516,0.0420308256880734,0.0,0.0,332
7,0.9,0.9016803777132608,0.0016803777132607944,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.9016803777132603,0.0016803777132602393,228,0.890625,1,0.042878187745960646,0.04490405405405405,0.0,0.0,332
7,0.95,0.9520758194107535,0.002075819410753521,241,0.94140625,1,0.044695753206983775,0.04639878048780488,0.9520758194107535,0.002075819410753521,241,0.94140625,1,0.044695753206983775,0.04639878048780488,0.0,0.0,332
7,0.97,0.9739377307485421,0.00393773074854209,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.9739377307485418,0.003937730748541868,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.0,0.0,332
7,0.99,0.9906917148963627,0.0006917148963626607,250,0.9765625,1,0.045954067756922866,0.04733333333333334,0.9906917148963621,0.0006917148963621056,250,0.9765625,1,0.045954067756922866,0.04733333333333334,0.0,0.0,332
8,0.1,0.10197936011585906,0.001979360115859058,20,0.078125,1,0.013797140369590573,0.014549891383055758,0.10197936011585906,0.001979360115859058,20,0.078125,1,0.013797140369590573,0.014549891383055758,0.0,0.0,336
8,0.2,0.20461444978166002,0.004614449781660007,44,0.171875,1,0.017152645836094813,0.017583269961977187,0.20461444978166007,0.004614449781660063,44,0.171875,1,0.017152645836094813,0.017583269961977187,0.0,0.0,336
8,0.3,0.3015409136212882,0.0015409136212882202,68,0.265625,1,0.020508151302599052,0.019579362780593773,0.3015409136212882,0.0015409136212882202,68,0.265625,1,0.020508151302599052,0.019579362780593773,0.0,0.0,336
8,0.4,0.40412235292284804,0.004122352922848016,93,0.36328125,1,0.0240034694968743,0.022591232876712327,0.4041223529228479,0.004122352922847905,93,0.36328125,1,0.0240034694968743,0.022591232876712327,0.0,0.0,336
8,0.5,0.5026946404201096,0.002694640420109584,117,0.45703125,1,0.027358974963378538,0.025853610503282276,0.5026946404201095,0.002694640420109473,117,0.45703125,1,0.027358974963378538,0.025853610503282276,0.0,0.0,336
8,0.6,0.6031297169052946,0.0031297169052946217,143,0.55859375,1,0.030994105885424797,0.030185419354838712,0.6031297169052945,0.0031297169052945106,143,0.55859375,1,0.030994105885424797,0.030185419354838712,0.0,0.0,336
8,0.7,0.7042701335332219,0.00427013353322192,170,0.6640625,1,0.03476904953524207,0.0338881913303438,0.704270133533222,0.004270133533222031,170,0.6640625,1,0.03476904953524207,0.0338881913303438,0.0,0.0,336
8,0.8,0.8016673602995146,0.001667360299514531,199,0.77734375,1,0.03882361864060136,0.03939914383561644,0.8016673602995148,0.001667360299514753,199,0.77734375,1,0.03882361864060136,0.03939914383561644,0.0,0.0,336
8,0.85,0.850108811634201,0.00010881163420106699,212,0.828125,1,0.04064118410162449,0.04085869565217391,0.8501088116342013,0.00010881163420128903,212,0.828125,1,0.04064118410162449,0.04085869565217391,0.0,0.0,336
8,0.9,0.9034337553218167,0.003433755321816667,226,0.8828125,1,0.042598562290418626,0.0439360153256705,0.903433755321817,0.0034337553218170003,226,0.8828125,1,0.042598562290418626,0.0439360153256705,0.0,0.0,336
8,0.95,0.9511357698744387,0.0011357698744387523,240,0.9375,1,0.04455594047921276,0.04549817813765182,0.9511357698744392,0.0011357698744391964,240,0.9375,1,0.04455594047921276,0.04549817813765182,0.0,0.0,336
8,0.97,0.972328602267547,0.002328602267547053,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.9702408560737104,0.00024085607371038265,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.0,0.0,336
8,0.99,0.9900126088697856,1.260886978560194e-05,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.9900126088697858,1.2608869785823984e-05,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.0,0.0,336
9,0.1,0.10151799563143682,0.0015179956314368137,18,0.0703125,1,0.013517514914048553,0.014918147120055517,0.10151799563143683,0.0015179956314368276,18,0.0703125,1,0.013517514914048553,0.014918147120055517,0.0,0.0,328
9,0.2,0.20223596976088695,0.002235969760886941,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.20223596976088698,0.002235969760886969,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.0,0.0,328
9,0.3,0.3004280355643471,0.00042803556434711787,64,0.25,1,0.019948900391515013,0.019484455239417074,0.3029903827504317,0.0029903827504317304,66,0.2578125,1,0.020228525847057033,0.02009113475177305,1.4017086157839254,0.0,328
9,0.4,0.4005228854332956,0.0005228854332955946,93,0.36328125,1,0.0240034694968743,0.022591232876712327,0.4005228854332954,0.0005228854332953725,93,0.36328125,1,0.0240034694968743,0.022591232876712327,0.0,0.0,328
9,0.5,0.5005025377035802,0.0005025377035802192,119,0.46484375,1,0.027638600418920557,0.026446674057649666,0.50050253770358,0.0005025377035799972,119,0.46484375,1,0.027638600418920557,0.026446674057649666,0.0,0.0,328
9,0.6,0.6018907120793578,0.0018907120793578702,145,0.56640625,1,0.031273731340966816,0.030195300261096607,0.6018907120793582,0.0018907120793582033,145,0.56640625,1,0.031273731340966816,0.030195300261096607,0.0,0.0,328
