trial,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_aff_ratio,greedy_table_ms,greedy_table_ratio,top_r_rows,top_r_chunks,top_r_importance,top_r_aff_ms,top_r_aff_ratio,top_r_table_ms,top_r_table_ratio,top_r_aff_gain_pct,top_r_coverage_gap_pct,fixed_opt_rows,fixed_opt_chunks,fixed_opt_importance,fixed_opt_aff_ms,fixed_opt_aff_ratio,fixed_opt_table_ms,fixed_opt_table_ratio,fixed_aff_gain_pct,fixed_lookup_gain_pct,fixed_opt_coverage_gap_pct,upper_opt_rows,upper_opt_chunks,upper_opt_importance,upper_opt_table_ms,upper_opt_table_ratio,upper_table_gain_pct,greedy_fill_fraction,greedy_coverage_gap_pct,top_r_fill_fraction,upper_opt_fill_fraction,dinkelbach_iterations,dinkelbach_residual
45,96,0.375,96,1,0.43283520893760385,0.02442290768018733,17.72250931811588,0.022693451824134705,19.07313229789394,96,70,0.6931331743790744,0.7834840288579431,0.8846806684616534,0.7112085501163671,0.9745849853262658,-95.0081523300014,2247.8045431636438,96,1,0.4423091075278305,0.02442290768018733,18.110419665003533,0.022693451824134705,19.49060508535905,2.188800355100584,2.188800355100584,0.0,96,1,0.4423091075278305,0.022693451824134705,19.49060508535905,2.188800355100584,1.0,0.5757615659988113,1.0,1.0,4,1.6653345369377348e-16
45,128,0.5,128,1,0.5767599653015758,0.028896914968859648,19.95922284171556,0.026979764705882352,21.377501679094546,128,71,0.809940311881306,0.7989589219607858,1.013744623933318,0.7403430660582979,1.0940067504022895,-94.92092136065263,1980.395708090575,128,1,0.5801256245759259,0.028896914968859648,20.075694073263186,0.026979764705882352,21.502249219002344,0.583545924965545,0.583545924965545,0.0,128,1,0.5801256245759259,0.026979764705882352,21.502249219002344,0.583545924965545,1.0,0.4861850356091768,1.0,1.0,4,-5.551115123125783e-17
45,160,0.625,160,1,0.6931592360482874,0.033370922257531965,20.771353896035592,0.031587092198581565,21.94438258800581,160,66,0.8953167327704146,0.7484285001786062,1.1962622114961612,0.7196485769787515,1.2441026931911099,-94.24080771295087,1674.4050309772178,160,1,0.6931592360482874,0.033370922257531965,20.771353896035592,0.031587092198581565,21.94438258800581,0.0,0.0,0.0,160,1,0.6931592360482874,0.031587092198581565,21.94438258800581,0.0,1.0,0.0,1.0,1.0,3,0.0
45,192,0.75,192,2,0.8038857350105261,0.04884581536037466,16.45761728163647,0.047821119347902834,16.810265965591206,192,53,0.9535879126004443,0.6098909918830636,1.5635382802690727,0.6109254447991848,1.5608908103572194,-90.49960724257649,1264.539017965956,192,1,0.7980210555620011,0.03784492954620429,21.086604338573533,0.03774518272425249,21.142328582482843,28.12671468610539,25.770339539891275,0.0,160,1,0.6931592360482874,0.031587092198581565,21.94438258800581,30.54155498148323,1.0,28.121666884078422,1.0,0.8333333333333334,3,0.0
45,224,0.875,224,2,0.9071915582763104,0.053319822649046986,17.014151833314944,0.05438774579734973,16.68007278066886,224,31,0.9896426792172612,0.3723455112599878,2.657861178098773,0.39515936618091013,2.504414076735277,-84.37852674563248,700.513749443763,224,1,0.9000447296745326,0.04231893683487661,21.268131881157572,0.043105703422053235,20.87994530241356,25.00259836351657,25.178981992285344,0.0,160,1,0.6931592360482874,0.031587092198581565,21.94438258800581,31.56047264636608,1.0,25.16812723757067,1.0,0.7142857142857143,3,3.3306690738754696e-16
46,32,0.125,32,1,0.15227546254209,0.015474893102842693,9.840162483197862,0.01623402714932127,9.380017733212705,32,30,0.30219188834747857,0.3345005817137835,0.9034121459497193,0.30197394817771345,1.000721718449821,-90.81913385584535,1531.061604618605,32,1,0.15571289941401306,0.015474893102842693,10.062292409981756,0.01623402714932127,9.591760441310047,2.2573806800770146,2.2573806800770146,0.0,32,1,0.15571289941401306,0.01623402714932127,9.591760441310047,2.2573806800770146,1.0,0.0,1.0,1.0,4,0.0
46,64,0.25,64,1,0.28332905733818003,0.019948900391515013,14.202740591089928,0.019484455239417074,14.541287085358437,64,45,0.508800429264981,0.5039878762150115,1.0095489460701161,0.45681595789099816,1.1137974067586909,-92.89187224398468,1678.5088961019055,64,1,0.28754460378960467,0.019948900391515013,14.414057825057252,0.019484455239417074,14.757641425247632,1.4878623784757128,1.4878623784757128,0.0,64,1,0.28754460378960467,0.019484455239417074,14.757641425247632,1.4878623784757128,1.0,0.7058009442146407,1.0,1.0,4,8.326672684688674e-17
46,96,0.375,96,1,0.4056010787446346,0.02442290768018733,16.60740334672237,0.022693451824134705,17.87304469535454,96,59,0.6631573606491723,0.6624742849020689,1.0010310977537857,0.6072618949255386,1.0920450734530074,-93.97238040857634,1852.463612873128,96,1,0.4129353076398486,0.02442290768018733,16.907704563565762,0.022693451824134705,18.19623170771614,1.808237028834836,1.808237028834836,0.0,96,1,0.4129353076398486,0.022693451824134705,18.19623170771614,1.808237028834836,1.0,0.0,1.0,1.0,4,-5.551115123125783e-17
46,128,0.5,128,2,0.5509275220516182,0.03989780078303003,13.808468417786766,0.03840589542080408,14.34486856809974,128,60,0.7852396690814623,0.6779491780049116,1.15825742482982,0.6328471429378617,1.2408046363868372,-91.61197759385203,1646.2287178349702,128,1,0.5285016252345678,0.028896914968859648,18.289205813288376,0.026979764705882352,19.588815210065174,32.449198998275186,36.55625436420502,0.0,128,1,0.5285016252345678,0.026979764705882352,19.588815210065174,36.55625436420502,1.0,34.17433668703922,1.0,1.0,4,-1.6653345369377348e-16
46,160,0.625,160,1,0.6504934411314467,0.033370922257531965,19.49282180790276,0.031587092198581565,20.593647463398277,160,56,0.8773520160843246,0.6384196420369025,1.374255988247948,0.630208209583052,1.3921621501325472,-92.94993817831548,1418.6253558633045,160,1,0.6511211630983389,0.033370922257531965,19.511632254975453,0.031587092198581565,20.613520200114458,0.09649935375219965,0.09649935375217744,0.0,160,1,0.6511211630983389,0.031587092198581565,20.613520200114458,0.09649935375217744,1.0,0.0,1.0,1.0,4,-1.6653345369377348e-16
