method,method_label,score_kind,control_kind,budget_index,control_value,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selected_fraction_std,chunks,fallback_rate
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,10,0.6,63,1.5205583169974721,0.03285993641567604,0.10568919047619048,1.3096993492063493,0.01624431746405737,0.05606552343519902,0.4030108034817709,0.10360422872361678,0.7191372144789923,0.6003709049409237,0.00018648028058989696,4.825396825396825,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,11,0.65,63,1.6119322543370411,0.03285993641567604,0.104512,1.3978507301587302,0.01653536517054784,0.060174222592086976,0.3701697203611571,0.0873246382153223,0.7628404848159306,0.6496290950590763,0.00018648028058989696,4.444444444444445,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,12,0.7,63,1.7124267933283202,0.03285993641567604,0.10182768253968254,1.4778427936507936,0.01898006354236882,0.08091631717979904,0.3337140073334532,0.07089478439754905,0.8008021437932574,0.6998145475295382,9.324014029494565e-05,4.222222222222222,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,13,0.75,63,1.830871706042372,0.03285993641567604,0.10607726984126985,1.6180393888888889,0.017406476055464044,0.05648863484107308,0.3022979212969187,0.059017343180520154,0.8344722626701234,0.75,0.0,4.015873015873016,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,14,0.8,63,1.9342990154833417,0.03285993641567604,0.10313680952380953,1.695438523809524,0.01810234918126033,0.08476139655307166,0.26886591188136544,0.04676658198946994,0.8762432847704206,0.8001854524704618,9.324014029494565e-05,3.4285714285714284,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,15,0.85,63,1.9690201422439075,0.03285993641567604,0.10400571428571428,1.7438263650793653,0.017661968275668072,0.07066615818748394,0.22835577487029013,0.0342187058357965,0.9076848020629277,0.8503709049409237,0.00018648028058989696,3.015873015873016,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,16,0.9,63,1.9893132616962488,0.03285993641567604,0.10321350793650794,1.760604896825397,0.01799517448636742,0.0746397460323004,0.18112622200333994,0.02173534272209042,0.9403908025650751,0.8996290950590763,0.00018648028058989696,2.4603174603174605,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,17,0.95,63,2.097967261363033,0.03285993641567604,0.10248798412698412,1.8476067698412697,0.01870526982441775,0.09630730115468536,0.12918909010107785,0.011347797181871153,0.9729822306405931,0.949814547529538,9.32401402950243e-05,1.6507936507936507,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,18,0.97,63,2.101169563226624,0.03285993641567604,0.10069030158730159,1.8586354523809523,0.017793523739018078,0.0911903491036759,0.10100473723899096,0.006963327763572532,0.983100882598332,0.9698828544575725,4.1440062353316625e-05,1.380952380952381,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,19,0.98,63,2.112936793609497,0.03285993641567604,0.09727079365079365,1.8803760952380952,0.0179037459874673,0.08452622231746472,0.07897375041936772,0.004347838106609481,0.9899145430988736,0.9799316930719658,5.18000779415413e-05,1.3174603174603174,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,20,0.99,63,1.9205873322044544,0.03285993641567604,0.09720926984126983,1.6737247301587301,0.017618285654674395,0.0991751101341039,0.05254539231573862,0.001861337631467748,0.9948566584360032,0.9899511613856069,1.0360015588374474e-05,1.0952380952380953,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,0,0.1,63,0.378837412630522,0.03285993641567604,0.09025477777777778,0.21853361904761903,0.014170412654204932,0.023018666735244126,0.7935587826170145,0.4739005896780226,0.11528049504000039,0.018044553347654813,0.0233720844438247,1.253968253968254,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,1,0.15,63,0.44123092851703605,0.03285993641567604,0.10028787301587301,0.26869264285714284,0.015520507883694388,0.02386996834464957,0.7658829774175372,0.42546812031004166,0.15928518819430515,0.04641253431197035,0.041704645089221316,1.4761904761904763,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,2,0.2,63,0.4894226666888367,0.03285993641567604,0.09287206349206349,0.3229932698412698,0.015715047643179887,0.024982349296647357,0.7401864960316628,0.38814584130332586,0.20291362537278065,0.08508809225444561,0.061028726801327884,1.7619047619047619,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,3,0.25,63,0.5463727696415243,0.03285993641567604,0.09001068253968254,0.38136424603174607,0.01562869844455563,0.026509206209863884,0.7118186289592395,0.34833170781059863,0.2552990449799431,0.1231021191371285,0.07896424647337685,2.126984126984127,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,4,0.3,63,0.636027031684338,0.03285993641567604,0.09553290476190476,0.4631562222222222,0.016296126924100332,0.028181841360434605,0.6823134329465647,0.3085811828810071,0.3049679535721975,0.16128584109082225,0.09225505566039811,2.5555555555555554,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,5,0.35,63,0.7185259286479193,0.03285993641567604,0.09225923809523809,0.5440338015873016,0.016487619026549234,0.03288533352315421,0.6536676686345821,0.2771333531727866,0.3520143084109776,0.20500330066237019,0.10222790013189356,3.142857142857143,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,6,0.4,63,0.8090583330359865,0.03285993641567604,0.09003133333333332,0.636522873015873,0.01596088883363533,0.033683301437468706,0.6190273863455605,0.24437386459774438,0.401870717604955,0.25715050274495754,0.11136691410334265,3.4603174603174605,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,7,0.45,63,0.9079616826016004,0.03285993641567604,0.09457388888888889,0.7250627142857142,0.01621180948697853,0.03925333352434251,0.5872558320887269,0.21624249030673312,0.45474776057969957,0.3093993353920515,0.10936931104357313,3.8253968253968256,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,8,0.5,63,1.0169922460640792,0.03285993641567604,0.0932400634920635,0.8312569444444445,0.01712965079775401,0.042505650914141074,0.5581035278441887,0.1932471706753685,0.5051734863765656,0.3514035274197398,0.10125462408250545,4.142857142857143,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,9,0.55,63,1.0935009205816963,0.03285993641567604,0.0950561111111111,0.9019556666666666,0.01673752371044381,0.04689168267779875,0.5258128474510851,0.17137128682363598,0.5523698982738313,0.39344501506743046,0.09866491710849067,4.428571428571429,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,10,0.6,63,1.205223317453396,0.03285993641567604,0.09427696825396825,1.0124864126984128,0.016239238075084112,0.049360762010254515,0.4925347137457085,0.14994342838014874,0.6041420641399565,0.44224959720730395,0.09694029930612673,4.634920634920635,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,11,0.65,63,1.2992214917999592,0.03285993641567604,0.09228252380952381,1.100318015873016,0.016148825353454924,0.05761219034828833,0.4560192950542957,0.12778864398835194,0.6532871581259228,0.4997575784699845,0.09111873321877155,4.666666666666667,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,12,0.7,63,1.399901047148383,0.03285993641567604,0.09399652380952381,1.1956706190476192,0.017406476070246955,0.059967491805316867,0.4195911791323433,0.10765536531569461,0.7019054445009383,0.5598832460615825,0.0942600350388179,4.873015873015873,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,13,0.75,63,1.5369899364294912,0.03285993641567604,0.09582003174603174,1.3291333333333333,0.018870349175163625,0.06030628575928623,0.38143773651164437,0.0891273598822336,0.7523930489070831,0.6138863714345387,0.08443058090201933,4.682539682539683,0.0
cell1_tau,Cell-1-τ X² local I-bound,x2,importance_tau,14,0.8,63,1.6582240160457917,0.03285993641567604,0.09642746031746031,1.445448111111111,0.017702603121361987,0.06578590508018216,0.3391085789051084,0.07082607916423249,0.8021832307179769,0.676656298484306,0.0853710175327532,4.301587301587301,0.0
